ID, ideology, leadership, name, party, description, introduced_bills_115, cosponsored_bills_115, unique_cosponsors_115, total_cosponsors_115
412411, 0.840711954241, 0.645810669984, Ross, Republican, rank-and-file Republican, 18, 162, 191, 282
400116, 0.851254100836, 0.529480210208, Duncan [TN2], Republican, rank-and-file Republican, 14, 142, 59, 78
412510, 0.951302344671, 0.503271728481, LaMalfa, Republican, conservative Republican, 11, 245, 96, 135
412309, 0.859161943317, 0.837300097246, Posey, Republican, moderate Republican leader, 22, 173, 180, 234
412209, 0.426447781021, 0.430287051572, Loebsack, Democrat, centrist Democrat, 16, 281, 62, 72
412537, 0.420258534003, 0.500893492393, Bustos, Democrat, centrist Democrat, 16, 203, 104, 181
400251, 0.262176844689, 0.879659751188, Maloney [NY12], Democrat, moderate Democratic leader, 33, 275, 257, 855
412250, 0.781489781622, 0.794464410022, Bilirakis, Republican, moderate Republican leader, 27, 193, 172, 249
412282, 0.354345642052, 0.362889739805, Himes, Democrat, rank-and-file Democrat, 10, 224, 96, 133
412331, 0.274135977386, 0.472849470866, Quigley, Democrat, rank-and-file Democrat, 17, 317, 160, 337
412212, 0.319310645681, 0.49736245629, Sarbanes, Democrat, rank-and-file Democrat, 5, 172, 165, 200
400371, 0.402053228839, 0.368985991067, Sherman, Democrat, centrist Democrat, 6, 231, 68, 87
412571, 0.250238222934, 0.825941524809, Cartwright, Democrat, moderate Democratic leader, 43, 308, 222, 782
400004, 0.770332950248, 0.237013286413, Aderholt, Republican, moderate Republican follower, 3, 92, 5, 5
400616, 0.32944552098, 0.553715589241, Butterfield, Democrat, rank-and-file Democrat, 3, 208, 25, 25
412236, 0.174976116876, 0.667669690187, Cohen, Democrat, progressive Democratic leader, 28, 636, 239, 633
412272, 0.318436606911, 0.683516662891, Connolly, Democrat, moderate Democratic leader, 19, 357, 262, 483
400648, 0.638206689669, 0.830438174373, Dent, Republican, centrist Republican leader, 8, 109, 347, 641
412290, 0.698156289422, 0.655468340908, Lance, Republican, rank-and-file Republican, 19, 199, 168, 219
400245, 0.208957702778, 0.719035222555, Lofgren, Democrat, progressive Democratic leader, 14, 511, 207, 604
400249, 0.321315070406, 0.596660693868, Lynch, Democrat, rank-and-file Democrat, 19, 228, 214, 365
400263, 0.104017006997, 0.544270078621, McGovern, Democrat, progressive Democrat, 10, 656, 126, 187
400295, 0.0117083194132, 0.491589940536, Norton, Democrat, progressive Democrat, 51, 880, 162, 251
400349, 0.453424308715, 0.11628100451, Ruppersberger, Democrat, centrist Democratic follower, 5, 216, 20, 21
412565, 0.333035342989, 0.574096451362, Beatty, Democrat, rank-and-file Democrat, 15, 345, 94, 259
412404, 0.254654047605, 0.720646466071, Bass, Democrat, moderate Democratic leader, 15, 212, 199, 414
