"Mention","Frequency"
"SenBlumenthal",89
"ChrisMurphyCT",41
"RepEsty",23
"HouseGOP",18
"senrobportman",16
"NewDay",14
"AjitPaiFCC",13
"FCC",13
"Morning_Joe",13
"SenateGOP",13
"SenWhitehouse",13
"CFPB",12
"SenateDems",12
"DeptVetAffairs",11
"NAACP",11
"POTUS",11
"senjudiciary",11
"usedgov",11
"USDOT",10
"USNavy",10
"CNNSitRoom",9
"NHL",9
"rosadelauro",9
"Sikorsky",9
"TheJusticeDept",9
"AC360",8
"CDCgov",8
"civilrightsorg",8
"hardball",8
"HHSGov",8
"OutFrontCNN",8
"RepJohnLarson",8
"SenMarkey",8
"USCPSC",8
"USMC",8
"CAGVNews",7
"MetroNorth",7
"NARAL",7
"NewtownAction",7
"USArmy",7
"USDOTFRA",7
"Yale",7
"ConnCollege",6
"CoryBooker",6
"IRISCT",6
"JudiciaryDems",6
"RepJoeCourtney",6
"sandyhook",6
"SenDuckworth",6
"SenSanders",6
"SpiritAirlines",6
"US_FDA",6
"Americares",5
"BetsyDeVosED",5
"CTCADV",5
"ctchildrens",5
"CTVetsAffairs",5
"Delta",5
"DeptofDefense",5
"EPA",5
"fema",5
"FTC",5
"hartfordcourant",5
"LittleLeague",5
"LockheedMartin",5
"OfficeGovEthics",5
"ppvotesct",5
"realDonaldTrump",5
"SCOTUSnom",5
"SenCortezMasto",5
"SenFeinstein",5
"SenFranken",5
"UConn",5
"united",5
"USDA",5
"washingtonpost",5
"wesleyan_u",5
"womensmarchct",5
"Amtrak",4
"CHCConnecticut",4
"CMSGov",4
"ConnPIRG",4
"CT4aDREAM",4
"DHSgov",4
"HabitatCFC",4
"ITTTech",4
"MayorHarp",4
"MSNBC",4
"NTSB",4
"nytimes",4
"PPFA",4
"PPSNE",4
"SenatorDurbin",4
"SenGillibrand",4
"StateDept",4
"UConnWBB",4
"USCG",4
"UTC",4
"AccessHealthCT",3
"ACLU",3
"Aetna",3
"Bradybuzz",3
"CapitolPolice",3
"CNNPolitics",3
"CornellWBrooks",3
"EndSV_CT",3
"EPAScottPruitt",3
"growCT",3
"HispanicFedCT",3
"librarycongress",3
"LindseyGrahamSC",3
"LUKESFTY",3
"MaketheRoadCT",3
"maziehirono",3
"McCall_Center",3
"mysticaquarium",3
"NationalGuard",3
"NatlParkService",3
"optimum",3
"PPact",3
"prattandwhitney",3
"QuinnipiacU",3
"RepDonBeyer",3
"repjohnlewis",3
"RonWyden",3
"SenatorTomUdall",3
"SenWarren",3
"Twitter",3
"UBridgeport",3
"USDOL",3
"USPS",3
"Volkswagen",3
"WestConn",3
"3RiversCC",2
"ABAesq",2
"acluct",2
"ADL_National",2
"allinwithchris",2
"amprog",2
"BCDS_Bicultural",2
"BrianneGorod",2
"Channel3kCamp",2
"ChuckGrassley",2
"ConnAFLCIO",2
"CRN_News",2
"cspan",2
"CTGreenBank",2
"CTKidGovernor",2
"Equifax",2
"FairfieldU",2
"GDMS",2
"goChoate",2
"GoodwinCollege",2
"Habitat_org",2
"HispanicFed",2
"HomesForOurTrps",2
"HRC",2
"IAmJaneDoeFilm",2
"iava",2
"JerryMoran",2
"jimmykimmel",2
"JoyAnnReid",2
"MakeAWishCT",2
"marymazzio",2
"MayorBronin",2
"mitchellreports",2
"MoheganSun",2
"MyConstitution",2
"NHTSAgov",2
"nnedv",2
"NorwalkHospital",2
"NRDC",2
"PattyMurray",2
"PeaceCenterofCT",2
"ProChoiceCT",2
"RayOfLightFarm",2
"ricardorossello",2
"RockTheVote",2
"SafeRoadsNow",2
"SavetheSound",2
"SenateCommerce",2
"SenateJudiciary",2
"SenatorBaldwin",2
"SenatorCantwell",2
"SenatorShaheen",2
"SenatorTester",2
"SenatorWicker",2
"SenJeffMerkley",2
"SenSchumer",2
"SharedHope",2
"Surgeon_General",2
"TheWorkPlace_CT",2
"UN",2
"UofHartford",2
"USACEHQ",2
"USAGym",2
"VP",2
"WFSBnews",2
"Yahoo",2
"YaleLawSch",2
"11thHour",1
"211CT",1
"2RoadsBrewing",1
"33unitehere",1
"AAAJ_AAJC",1
"ABCPolitics",1
"ACarolina_B",1
"AcesHigh176",1
"ACLgov",1
"ADL_Connecticut",1
"Aero_Gear_Inc",1
"afa_cwa",1
"AFPhq",1
"AFTCT",1
"AIDSCT",1
"airforce",1
"ALEC_states",1
"almuirSI",1
"alzct",1
"amazon",1
"AmericanLegion",1
"americansunited",1
"AmeriCorps",1
"amyschumer",1
"APEastRegion",1
"AriMelber",1
"arjunsethi81",1
"ashlancousteau",1
"BankofAmerica",1
"BGCA_Clubs",1
"BGCNewHaven",1
"bigyfoods",1
"BLACKANDDECKER",1
"bre_stewart30",1
"BrennanCenter",1
"BridgeportFire",1
"BurgerKing",1
"CAIRConnecticut",1
"CAIRNational",1
"CarylStern",1
"CCATInc",1
"CCEHtweets",1
"CCSU",1
"CDCDirector",1
"ceanews",1
"CecileRichards",1
"CETOnline",1
"ChapmanAllegra",1
"CharterOakHealt",1
"chelliepingree",1
"cityofnewhaven",1
"ColorOfChange",1
"CommonCause",1
"CommonGroundCt",1
"Conathan",1
"connhospice",1
"Cotiviti",1
"crecsoundbridge",1
"CRTCT",1
"CSEA_CT",1
"CSGV",1
"CSHHC",1
"CSICyberSEED",1
"CT_CAES",1
"ctconventionctr",1
"CTDeptHousing",1
"CTDPH",1
"CTFallenHeroes",1
"CTHealthCenters",1
"CTHistoryDay",1
"ctlcv1",1
"CTNationalGuard",1
"CTScienceCenter",1
"CTVoices",1
"CTWBDC",1
"Diobpt",1
"DiscoveryEd",1
"DonaldJTrumpJr",1
"donlemon",1
"drsanjaygupta",1
"dstinc1913",1
"Duracell",1
"EasternCTStateU",1
"edatpost",1
"emerge_ct",1
"EPAnewengland",1
"Everytown",1
"ExpKitchens",1
"facebook",1
"FAFSA",1
"FallenPatriots",1
"FeinbergSarah",1
"FIFAcom",1
"FIRSTweets",1
"FLOTUS",1
"FMCSA",1
"fra",1
"FuelCell_Energy",1
"GabbyGiffords",1
"GenHealthCT",1
"GiffordsCourage",1
"GinaEPA",1
"Google",1
"GoYardGoats",1
"GretaFTR",1
"HamiltonMusical",1
"hartfordhosp",1
"Hesanche",1
"HFDFireDept",1
"HHF_Haiti",1
"HirokoTabuchi",1
"Honda",1
"hookerbeer",1
"HopeforHaitiFL",1
"HospSpecialCare",1
"HUDgov",1
"IKEAUSA",1
"IntervalHouseCT",1
"ISE_EasternCT",1
"jahimes",1
"jaltavilla",1
"Jeff_Currey",1
"JesseLewisLove",1
"jimsciutto",1
"JohnBoozman",1
"JRubinBlogger",1
"KatyTurNBC",1
"KentFallsBC",1
"LadyVol_Hoops",1
"LEAPforkids",1
"leedsgarcia",1
"LeoDiCaprio",1
"LGBTProgress",1
"Lin_Manuel",1
"lionsclub",1
"lionsclubs",1
"macfound",1
"maddow",1
"MarchofDimes",1
"mariapraeli",1
"MarkWarner",1
"MartinForMayor",1
"MattLesser",1
"MayorGanim",1
"MayorOBrien",1
"MayorOLeary",1
"McClatchyDC",1
"MClyburnFCC",1
"MDAnews",1
"mic",1
"michiganstateu",1
"midfairap",1
"mikesisak",1
"military_family",1
"MitchellCollege",1
"MorningEdition",1
"MorningJoe",1
"MuslimAdvocates",1
"NadiaMuradBasee",1
"NALC_National",1
"NAPOpolice",1
"NASA",1
"NatAbortionFed",1
"NCAPAtweets",1
"NCCC_CT",1
"ncmec",1
"NewAmericanEcon",1
"NewCovenantCtr",1
"NewmansOwnFdn",1
"News12CT",1
"NewsTimes",1
"newtownpd",1
"NFPRHA",1
"NHLAA",1
"nhregister",1
"NicholsUprising",1
"NMAAHC",1
"NOAA",1
"npratc",1
"NRA",1
"NWCTChamber",1
"nwlc",1
"nytegan",1
"nytopinion",1
"OurOcean",1
"paulkrugman",1
"PBS",1
"PCC_CT",1
"pcousteau",1
"pfizer",1
"PioneerHopsCT",1
"PitneyBowes",1
"Polaris_Project",1
"ponumurray",1
"RealFoodMom",1
"RepLoisFrankel",1
"RepTedDeutch",1
"RepTimWalz",1
"RevJJackson",1
"RideOnTeam26",1
"riteaid",1
"RobRyserNT",1
"SamanthaJPower",1
"SavetheChildren",1
"savingoceans",1
"SBALinda",1
"sbc350web",1
"Sears",1
"SecElaineChao",1
"SECNAV",1
"SecPriceMD",1
"SecretarySonny",1
"seiu_ct",1
"SenatorCollins",1
"SenatorHassan",1
"SenatorIsakson",1
"SenBillNelson",1
"SenBooker",1
"SenBrianSchatz",1
"SenJackReed",1
"SenKamalaHarris",1
"SenSessions3rd",1
"SenTedCruz",1
"SenTomCotton",1
"SenToomey",1
"ShallTakeCare",1
"ShatterproofHQ",1
"ShopSmall",1
"SI_NHL",1
"Sifill_LDF",1
"SpeakerRyan",1
"splcenter",1
"StamfordHosp",1
"StanMcChrystal",1
"tatecurtis",1
"team1150",1
"TechCrunch",1
"TedKennedyJR",1
"TheBeatWithAri",1
"thedebos3",1
"TheHartford",1
"TheHourNews",1
"theriver1059",1
"Tim_Calver",1
"timkaine",1
"TraffickCam",1
"Trrificicecream",1
"TSA",1
"UConnHuskies",1
"UltraViolet",1
"UNICEFUSA",1
"usairforce",1
"uscapitol",1
"USCGAcademy",1
"USDOTFHWA",1
"USGAO",1
"UTCAeroSystems",1
"Vamos4PR",1
"VFWHQ",1
"VOICESofSept11",1
"votolatino",1
"Walmart",1
"walsha",1
"wcbs880",1
"weatherchannel",1
"Wes_engage",1
"WhiteHouse",1
"wholesomewave",1
"wildlifeaction",1
"womensmarch",1
"WSAnews",1
"ymca",1
"YNHH",1
"ZACFoundation",1
