"Hashtag","Frequency"
"TodaysClimateFact",256
"TrumpCare",127
"OregonACAStory",106
"ActOnClimate",87
"ACA",79
"GOPTaxScam",76
"100by50",75
"CHIP",58
"Medicaid",57
"healthcare",52
"DREAMers",50
"StopGorsuch",48
"ProtectOurCare",44
"TownHall",44
"WeThePeople",37
"Gorsuch",35
"GrahamCassidy",35
"SCOTUS",35
"SOTU",33
"KillTheBill",30
"LGBTQ",30
"CascadeSiskiyou",27
"climatechange",27
"TrumpCuts",26
"EqualityForward",25
"KeepItPublic",25
"HoldTheFloor",24
"PDX",24
"DACA",23
"TrumpBudget",23
"HealthCareBill",22
"ParisAgreement",22
"climatedisruption",20
"renewableenergy",20
"EqualityAct",19
"NotOnePenny",19
"TrumpShutdown",19
"GoDucks",17
"MonumentalMonday",17
"MuslimBan",17
"NetNeutrality",17
"RenewableEnergy",17
"resist",16
"DefendDACA",15
"DREAMActNow",15
"SaveOurCare",15
"Trumpcare",15
"MedicareForAll",14
"TrumpRussia",14
"climateaction",13
"SaveMedicaid",12
"BrokenPromises",11
"CleanPowerPlan",11
"GetCovered",11
"OregonPride",11
"Pruitt",11
"GOP",10
"MonumentsForAll",10
"trans",10
"DreamActNow",9
"Equifax",9
"Harvey",9
"VoteNoAHCA",9
"EagleCreekFire",8
"EV",8
"GoElectric",8
"holdthefloor",8
"RepealAndRun",8
"SaveACA",8
"SaveNetNeutrality",8
"AmericaSpeaksOut",7
"ClimateAction",7
"ClimateDisruption",7
"DeVos",7
"DreamAct",7
"DREAMAct",7
"GoRenewable",7
"Oregon",7
"ProtectOurStudents",7
"taxreform",7
"AHCA",6
"ChetcoBarFire",6
"FinalFour",6
"GOPTaxPlan",6
"MarchMadness",6
"MTPDaily",6
"ProtectTransTroops",6
"ShowUsTheBill",6
"TaxScam",6
"TrumpsBrokenPromises",6
"WeObject",6
"wildfires",6
"AmericanDREAMer",5
"ANWR",5
"ClimateMarch",5
"COP23",5
"DefendCFPB",5
"EVs",5
"IranDeal",5
"JointSession",5
"KeepItInTheGround",5
"PNW",5
"StandWithStandingRock",5
"TitleX",5
"TrumpTolls",5
"BillionairesFirst",4
"breastfeeding",4
"Burma",4
"Charlottesville",4
"Climatechange",4
"ComeyFiring",4
"DREAMer",4
"HeadStart",4
"healthcarebill",4
"IANI",4
"LicenseToDiscriminate",4
"NationOfImmigrants",4
"NorthKorea",4
"NunesMemo",4
"ProtectOurCoast",4
"Puzder",4
"PyeongChang2018",4
"Questions4Betsy",4
"RipCity",4
"Trump100Days",4
"TrumpTaxScam",4
"Arpaio",3
"BanAsbestos",3
"BAONPDX",3
"BigOil",3
"BroadbandPrivacy",3
"climatemarch",3
"CorettasWords",3
"CourtsMatter",3
"DAPL",3
"EqualPay",3
"Flint",3
"ForeclosureKing",3
"fourfamines",3
"FundCHIPNow",3
"GoBeavs",3
"JCC",3
"LetLizSpeak",3
"LoveIsLove",3
"Medicare",3
"NoBanNoWall",3
"NoMuslimBanEver",3
"NoOneAboveTheLaw",3
"NWHeatWave",3
"OMBNom",3
"OpenToAll",3
"PollutingPruitt",3
"RaiseTheWage",3
"refugees",3
"renewables",3
"RipOffClause",3
"SAFELendingAct",3
"SaveBristolBay",3
"SaveDACA",3
"SaveOurRetirement",3
"SolarEclipse",3
"StopArcticDrilling",3
"StopMateer",3
"townhall",3
"VoteByMail",3
"WellsFargo",3
"WhyIMarch",3
"WorldRefugeeDay",3
"WrongChoiceAct",3
"100days",2
"actonclimate",2
"AM2DM",2
"AprilFoolsDay",2
"ArcticRefuge",2
"AYearOfTrump",2
"BlackHistoryMonth",2
"c2c",2
"CAPIdeas",2
"CBOSCORE",2
"chemicalsafety",2
"CleanAirAct",2
"CleanEnergy",2
"Climatedisruption",2
"ComeyDay",2
"ComeyHearings",2
"DoddFrank",2
"Dourson",2
"Dreamers",2
"Emoluments",2
"Filibuster",2
"FindYourPark",2
"FintechReg",2
"Flynn",2
"FlynnResignation",2
"ForcedArbitration",2
"GameOfThrones",2
"globalwarming",2
"Healthcare",2
"HurricaneMaria",2
"IAmNotInvisible",2
"justtransitions",2
"LaborDay",2
"LasVegas",2
"LondonAttacks",2
"loveislove",2
"MadeInAmerica",2
"MadeinOR",2
"marchforscience",2
"marchmadness",2
"marriageequality",2
"MasterpieceCakeshop",2
"Mission100",2
"MTP",2
"muslimban",2
"NationalLibraryWeek",2
"NoArcticRider",2
"NoDAPL",2
"NoScoreNoVote",2
"NursesWeek",2
"NYRenews",2
"OLSummit",2
"OregonACAstory",2
"paygap",2
"PeoplesFilibuster",2
"PodSaveTheWorld",2
"Pride2017",2
"ProtectDREAMers",2
"ProtectTheArctic",2
"PuertoRico",2
"questions4betsy",2
"ReleaseTheReturns",2
"RenewCHIP",2
"Resist",2
"ResistTrumpTuesday",2
"RestoreTheVRA",2
"Rohingya",2
"Russia",2
"SaveGrouse",2
"Sessions",2
"SkinnyRepeal",2
"SpiritDay",2
"StopBush",2
"StreamProtectionRule",2
"SutherlandSprings",2
"Sweet16",2
"tbt",2
"TimeToBuild",2
"TrumpTax",2
"WeAreStillIn",2
"WomensMarch",2
"youthvgov",2
"100By50",1
"100RE",1
"1FairWage",1
"1u",1
"9thcircuit",1
"AARP2017",1
"AbandonBannon",1
"ABetterDeal",1
"ACAworks",1
"ActOnTobacco",1
"alternativefact",1
"AmericaLeads",1
"AmericanHero",1
"AmericanWindWeek",1
"AmesMayfield",1
"APIsResist",1
"ATTSTRIKE",1
"Australia",1
"babyoysters",1
"BacktoWork",1
"BadForWomen",1
"Barcelona",1
"BearsEars",1
"BeatTheHeat",1
"BeInconvenient",1
"BlackWomensEqualPay",1
"BlackWomensEqualPayDay",1
"BREAKING",1
"BreastfeedingMonth",1
"BreastfeedingWeek",1
"Bridgegate",1
"BringYourDogToWorkDay",1
"Bunge",1
"BuyAmerica",1
"BuyAmerican",1
"capandtrade",1
"CareForVets",1
"CareToChaos",1
"CFPB",1
"charlottsville",1
"ChicagoMarathon",1
"CHIPworks",1
"chlorpyrifos",1
"CitizensUnited",1
"CJYS",1
"CleanDreamActNow",1
"cleanenergy",1
"ClimateChange",1
"ClimateJustice",1
"ComeyHearing",1
"ComeyMemo",1
"conflictsofinterest",1
"ConsumerFreedom",1
"CruzAmendment",1
"CultureOfHealth",1
"Cutmethane",1
"CyberMonday",1
"DayOfGiving",1
"DayWithoutAWoman",1
"DC",1
"DDay",1
"DefendOurMonuments",1
"DefendTheSacred",1
"delaythevote",1
"democracy",1
"DirtyDeputies",1
"Diwali",1
"DMZ",1
"DontbreaktheSenate",1
"DontCutLives",1
"DontTaxOurGrads",1
"draintheswamp",1
"DREAM",1
"DREAMER",1
"DREAMERs",1
"DrinkBeerDay",1
"DTS",1
"DumpDeVos",1
"EarthDay",1
"Eclipse2017",1
"ElectionDay",1
"Elite8",1
"ENDALZ",1
"EndCitizensUnited",1
"EndHunger",1
"Enough",1
"entrepreneurs",1
"EqualDignity",1
"equalpayforequalwork",1
"EqualPayForEqualWork",1
"EVRM10",1
"Exchanges",1
"FairHousing",1
"Faith4Medicaid",1
"famine",1
"FF",1
"FightFamine",1
"FlashbackFriday",1
"FlynnFacts",1
"FMLA25",1
"FollowFriday",1
"FourFamines",1
"G20Summit",1
"GettysburgAddress",1
"GIPSA",1
"Globalwarming",1
"go100re",1
"Go100RE",1
"GoJeffGo",1
"GoNancyGo",1
"goodtrouble",1
"GOPtaxbill",1
"GravitationalWaves",1
"GreatRecession",1
"Halloween",1
"Halloweentown",1
"handsoffmyBC",1
"HandsOffMyBC",1
"Hanukkah",1
"HappeningNow",1
"HappyDiwali",1
"HappyEaster",1
"happymothersday",1
"HBCU",1
"HereToStay",1
"HispanicHeritageMonth",1
"HoldtheFloor",1
"HolidayMail",1
"HolidaysForHeroes",1
"Honor911",1
"HonorWithAction",1
"Houston",1
"HoustonFlood",1
"HoustonStrong",1
"hunger",1
"IAFFLegCon",1
"IDAHOT",1
"IDB",1
"IDEVAW",1
"IfItsMonday",1
"IndigenousPeoplesDay",1
"InfrastructurePlan",1
"InfrastructureWeek",1
"InvestigateTrump",1
"IranProtests",1
"Irma",1
"IrmaHurricane2017",1
"IWD",1
"IWD2017",1
"JANUS",1
"JeffSessions",1
"jointsession",1
"July4",1
"July4th",1
"JustTransitions",1
"keepitintheGround",1
"KeepKidsCovered",1
"KeystoneXL",1
"LCVScorecard",1
"letlizspeak",1
"LibertyMedal",1
"LicencseToDiscriminate",1
"LifeatATT",1
"LiveOnKMTR",1
"LovingDay",1
"LunarNewYear",1
"MadeInOR",1
"MAGA",1
"MarchOnWashington",1
"MarriageEquality",1
"Measure101",1
"MedicaidCuts",1
"MedicaidWorks",1
"MemorialDay",1
"MerryChristmas",1
"MilitaryFamilyAppreciationMonth",1
"MLKDay",1
"Mnuchin",1
"Mogadishu",1
"monumentsforall",1
"MothersDay",1
"Muslim",1
"Myanmar",1
"NationalComingOutDay",1
"NationalFarmersDay",1
"NationalIceCreamDay",1
"NationalParkWeek",1
"NationalPumpkinDay",1
"NationalPuppyDay",1
"NationalSelfieDay",1
"NationalVoterRegistrationDay",1
"NationalWineDay",1
"NativeAmericanHeritageMonth",1
"NativeNationsRise",1
"NBM17",1
"netneutrality",1
"NeverForget",1
"NNSTOY17",1
"NoAbortionBan",1
"NoAgeTax",1
"NoAHCA",1
"NoDACANoCHIPNoDEAL",1
"NoHateAct",1
"NoHearingNoVote",1
"NoKXL",1
"NotInvisible",1
"NotNormal",1
"NotTheOnion",1
"NPS101",1
"nurses",1
"NWSLChampionship",1
"NWSLChamps",1
"NYC",1
"NYCMarathon",1
"Ocwen",1
"OnThisDay",1
"opioid",1
"Opioid",1
"OReclipse",1
"OREclipse",1
"Oregoncoast",1
"OregonSaves",1
"OrlandoUnitedDay",1
"ozone",1
"paidleave",1
"PaidLeaveMeans",1
"PANCAware",1
"pancreaticcancer",1
"ParadisePapers",1
"Parks101",1
"pdx",1
"pdxwbf",1
"PeaceDay",1
"PearlHarborDay",1
"PebbleMine",1
"PerkinsCTE",1
"PFlive",1
"PinkOut",1
"PlayIn4Climate",1
"podsavetheworld",1
"Portland",1
"portlandairportcarpet",1
"POWMIARecognitionDay",1
"PrayForMexico",1
"PresidentBannon",1
"PriceIsWrong",1
"PrideMonth",1
"ProtectCleanWater",1
"ProtectMueller",1
"protectourcare",1
"ProtectPublicLands",1
"ProtectTransKids",1
"proud",1
"PuertoRicoNeedsHelpNow",1
"Pulse",1
"PumpkinRegatta",1
"PurpleHeartDay",1
"Question4Betsy",1
"Readyfor100",1
"ReadyFor100",1
"RECities",1
"refugee",1
"RejectDourson",1
"releasethereturns",1
"repealandrun",1
"reprorights",1
"RescuetheRefuge",1
"ResistRepeal",1
"ResistTrumpcare",1
"RespectMyVote",1
"RohingyaCrisis",1
"RoshHashanah",1
"RuralHealth",1
"SAAM",1
"sagegrouse",1
"SALT",1
"SandyHook",1
"SaveRetirement",1
"SayNotoAzar",1
"SB100",1
"SCOTUSnominee",1
"SentryEagle17",1
"September11th",1
"SessionsHearing",1
"SharkWeek",1
"ShePersisted",1
"ShopSmall",1
"Smallbiz",1
"SmallBizSat",1
"SmallBusinessWeek",1
"SocSec82",1
"solar",1
"SolarEclipse2017",1
"SOTUnion",1
"SpecialProsecutor",1
"SpiritOf45",1
"StandWithBearsEars",1
"StandWithMerkley",1
"StandWithPP",1
"StandWithWorkers",1
"StartUpDay",1
"startups",1
"StatehoodDay",1
"StolenSeat",1
"StopDeVos",1
"StopDiabetes",1
"stopgorsuch",1
"StopGorusch",1
"StopTheDebtTrap",1
"StopTheHate",1
"StPatricksDay",1
"TaxDay",1
"TaxScamBill",1
"TBT",1
"TCSNYMarathon",1
"TDOR",1
"TDOV",1
"terremoto",1
"Thanksgiving",1
"the27percent",1
"TheLongestDay",1
"Thoreau200",1
"ThursdayThoughts",1
"Tillerson",1
"TipTheft",1
"TitleIX",1
"ToxicArmories",1
"transgender",1
"TransRightsAreHumanRights",1
"TransVisibility",1
"TransWeek",1
"Trump",1
"TRUMPCARE",1
"TrumpJudges",1
"TRUMPSHUTDOWN",1
"UCCShooting",1
"UCCStrong",1
"USSJohnSMcCain",1
"Vaisakhi",1
"ValentinesDay",1
"VeteransDay",1
"VietnamVeteransDay",1
"Vince",1
"VOICE",1
"Vote4Dream",1
"WACA2017",1
"WBW2017",1
"WellnessWed",1
"WheresTheBill",1
