"Hashtag","Frequency"
"NetNeutrality",271
"Trumpcare",185
"MA",148
"NorthKorea",134
"opioidcrisis",67
"GOP",63
"Medicaid",63
"climatechange",62
"healthcare",61
"nuclear",58
"ProtectOurCare",53
"ParisAgreement",48
"cleanenergy",47
"SaveNetNeutrality",47
"GOPTaxScam",45
"ACA",42
"BroadbandPrivacy",42
"TrumpBudget",42
"TrumpRussia",35
"Dreamers",34
"StopGorsuch",33
"MApoli",32
"BigOil",30
"ActOnClimate",29
"climate",27
"ArcticRefuge",23
"ClimateForum",23
"netneutrality",22
"OpioidCrisis",20
"ClimateAction",19
"DACA",19
"opioid",19
"opioidepidemic",18
"pollutingPruitt",17
"JointAddress",16
"Boston",15
"CHIP",15
"Gorsuch",15
"PuertoRico",15
"TrumpCare",15
"gunviolence",13
"mapoli",13
"ProtectTheArctic",13
"KeystoneXL",12
"ShowUsTheBill",12
"StopGottlieb",12
"TrumpShutdown",12
"BigPharma",11
"climatemarch",11
"Healthcare",11
"humanrights",11
"ProtectNetNeutrality",11
"SOTU",11
"ClimateMarch",10
"DreamActNow",10
"LGBT",10
"Mulvaney",10
"ComeyFiring",9
"ExtendCHIP",9
"EyesOnChechnya",9
"fentanyl",9
"GrahamCassidy",9
"Medicare",9
"SCOTUS",9
"SNAP",9
"cleanair",8
"Haiti",8
"JointSession",8
"LGBTQ",8
"Northampton",8
"nuclearweapons",8
"privacy",8
"ProtectOurCoast",8
"SNAPsince77",8
"TownHall",8
"TPS",8
"trumpcare",8
"DefendDACA",7
"Dourson",7
"JFK100",7
"NoBanNoWall",7
"NoFirstUse",7
"oilspill",7
"Pruitt",7
"ScienceNotSilence",7
"ABetterDeal",6
"Arctic",6
"CNNSOTU",6
"ComeyHearing",6
"COP23",6
"DreamAct",6
"Duterte",6
"infrastructure",6
"inners",6
"ISEC",6
"MuslimBan",6
"MuslimBan2",6
"NoArcticRider",6
"northkorea",6
"Peabody",6
"Putin",6
"Resist",6
"Rohingya",6
"Russia",6
"saveTPS",6
"smallbiz",6
"solar",6
"VoteNoAHCA",6
"Worcester",6
"AMR",5
"BrokenPromises",5
"CleanPowerPlan",5
"CutMethane",5
"flu",5
"FundCHIPNow",5
"G20Summit",5
"LasVegasShooting",5
"MAnetneutrality",5
"MedicareForAll",5
"NoBanNoWallNoRaids",5
"OneBostonDay",5
"opioids",5
"publiclands",5
"SCOTUSnom",5
"SocialSecurity",5
"Springfield",5
"StopGunViolence",5
"Syria",5
"Trump100Days",5
"TrumpRussiaInvestigation",5
"WearOrange",5
"34ever",4
"AHCA",4
"Alzheimers",4
"BigTelecom",4
"chemicalsafety",4
"CivilRights",4
"CleanerCars",4
"ClimateChange",4
"cybersecurity",4
"defendDACA",4
"DREAMers",4
"EarthDay",4
"ENDAlz",4
"ENDALZ",4
"EPABack2Basics",4
"EqualPay",4
"FallRiver",4
"FightFor15",4
"LoveIsLove",4
"Massachusetts",4
"Myanmar",4
"PollutingPruitt",4
"PostLive",4
"ProtectTheArcticRefuge",4
"ResistRepeal",4
"SaveOurCare",4
"TaxReform",4
"TBT",4
"Tillerson",4
"TitleX",4
"Trump",4
"Trumpbudget",4
"TrumpCuts",4
"WeAreStillIn",4
"100DaysofGOP",3
"AffirmativeAction",3
"alternativefacts",3
"AlternativeFacts",3
"ArmenianGenocide",3
"BlackHistoryMonth",3
"BPoilspill",3
"broadband",3
"CassidyGraham",3
"CBOSCORE",3
"Chechnya",3
"CHIPMatters",3
"CleanAir",3
"CleanWaterRule",3
"climateaction",3
"digitalcivilrights",3
"EqualPayDay",3
"FirstAmendment",3
"GorsuchHearing",3
"gunsafety",3
"Harvey",3
"HealthCare",3
"HeretoStay",3
"IDAHOT",3
"InfrastructureWeek",3
"IStandWithPP",3
"jobs",3
"LaborDay",3
"LGBTI",3
"Longmeadow",3
"MAsnow",3
"Newton",3
"Obamacare",3
"offshoredrilling",3
"OpenInternet",3
"OpioidEpidemic",3
"Parkland",3
"Pittsfield",3
"ProtectTransKids",3
"publichealth",3
"Questions4Betsy",3
"resist",3
"RestrictFirstUse",3
"RexTillerson",3
"robocalls",3
"rxsummit",3
"SaveACA",3
"SaveBroadbandPrivacy",3
"Scituate",3
"Senate",3
"SNAPmatters",3
"SpecialCounsel",3
"StillIn",3
"TheLead",3
"TravelBan",3
"Trump100days",3
"ValentinesDay",3
"Verma",3
"WeWillPersist",3
"1u",2
"7News",2
"ACA7",2
"ACAworks",2
"Afghanistan",2
"Alabama",2
"AmericaSpeaksOut",2
"Amherst",2
"ANWR",2
"aumf",2
"Berkshires",2
"bigoil",2
"Bonn",2
"broadbandprivacy",2
"Cambridge",2
"CapeCod",2
"CareNotChaos",2
"CBOScore",2
"Charlottesville",2
"Chelsea",2
"Chemsafety",2
"cholera",2
"CitizensUnited",2
"CleanEnergyJobs",2
"climatefacts",2
"CNNsotu",2
"CogswellMacyAct",2
"congress",2
"DAPL",2
"DejaReview",2
"DirtyWaterOrder",2
"DoomsdayClock",2
"DREAMActNow",2
"drone",2
"education",2
"EnergyWeek",2
"Erate",2
"Erate20",2
"Flynn",2
"ForTheRecord",2
"fueleconomy",2
"globalwarming",2
"GoPats",2
"GOPbudget",2
"GrahamCassidyBill",2
"guncontrol",2
"GunControl",2
"Haitians",2
"Hardball",2
"HealthcareBill",2
"HereToStay",2
"HR669",2
"HumanRights",2
"HurricaneHarvey",2
"ICYMI",2
"Immigrants",2
"Inners",2
"JFKstamp",2
"KillTheBill",2
"LasVegas",2
"Lawrence",2
"LIHEAP",2
"Lowell",2
"Lynn",2
"Manafort",2
"MarchForScience",2
"MarchMadness",2
"MAtraffic",2
"MBTA",2
"medicaid",2
"MemorialDay",2
"MLKDay",2
"Nantucket",2
"nofirstuse",2
"NoRedButton",2
"NothingBurgerMemo",2
"NotOnePenny",2
"NuclearPostureReview",2
"oilspills",2
"OpioidAwareChat",2
"ParisAgreeement",2
"Pilgrim",2
"pollutingpruitt",2
"POTUS",2
"PresidentsDay",2
"PrideMonth",2
"protectthearctic",2
"Quincy",2
"RaiseTheWage",2
"ReadTheBill",2
"RGGI",2
"RohingyaCrisis",2
"RxSummit",2
"S200",2
"SaveTPS",2
"SenateIntelligenceCommittee",2
"SkinnyRepeal",2
"SmallBizSat",2
"snapsince77",2
"SNAPworks",2
"SouthShore",2
"StartUpDay",2
"StopTheFCC",2
"TomPrice",2
"TransRightsAreHumanRights",2
"TrumpcareIsHere",2
"trumprussia",2
"TrumpsBrokenPromises",2
"TruthAboutTech",2
"TwitterChat",2
"USSFitzgerald",2
"veterans",2
"VoteByMail",2
"WBZ",2
"wilderness",2
"Wind",2
"windenergy",2
"WinterIsHere",2
"WorldOceansDay",2
"WorldRefugeeDay",2
"WorldWildlifeDay",2
"100days",1
"1in50",1
"4thofJuly",1
"6Rings",1
"acbmdy17",1
"ACK",1
"acrosstheaisle",1
"ActonClimate",1
"ADayWithoutAWoman",1
"addictiondisorders",1
"AIDSWatch",1
"AlabamaSenate",1
"AllFemalePanel",1
"ALZ",1
"alzforum",1
"ambulance",1
"AmericaNeedsUnions",1
"AmericasPledge",1
"amherst",1
"aptsthesummit",1
"ArcticOcean",1
"ArcticRider",1
"Arlington",1
"ASG",1
"askingsaves",1
"ASKingSavesKids",1
"assad",1
"ATC",1
"ATS2017",1
"AUMF",1
"backgroundchecks",1
"BanAsbestos",1
"Bannon",1
"Barcelona",1
"BigCable",1
"BigTobacco",1
"BlackLivesMatter",1
"Blizzard2018",1
"BorderWall",1
"BostonABCD",1
"BostonChildrensHospital",1
"BostonMarathon",1
"BostonMLK",1
"BostonPride",1
"BPOilSpill",1
"BRCA",1
"BREAKING",1
"breastcancer",1
"BudgetCuts",1
"Burma",1
"BuyAmerica",1
"BVS6",1
"ByeEaglesBye",1
"CareForVets",1
"carpoolgoals",1
"Cassini",1
"CBOReport",1
"CBOscore",1
"Charlestown",1
"Charlottesviille",1
"chemsafety",1
"Chicopee",1
"ChooseToInclude",1
"ChristmasTree",1
"CitySplash",1
"civilrights",1
"clean",1
"CleanAirAct",1
"cleancars",1
"CleanEnergy",1
"cleanercars",1
"Cleanercars",1
"CleanWaterAct",1
"Climate",1
"climateagreement",1
"Climatechange",1
"ClimateChangeIsReal",1
"climatedeniers",1
"climateforum",1
"ClimateJustice",1
"climatescience",1
"ClimateScience",1
"ClimateValentines",1
"Comey",1
"CongressionalBaseballGame",1
"consumer",1
"ConsumersFirst",1
"Conway",1
"cpp",1
"CruzAmendment",1
"CuresAct",1
"cutMethane",1
"cyberattack",1
"cyberattacks",1
"Cybersecurity",1
"DACAWorks",1
"Dandong",1
"DayofAction",1
"daywithoutawoman",1
"DayWithoutImmigrants",1
"DC",1
"DeclarationOfIndependence",1
"DefendClimate",1
"DefendOurProgress",1
"dejareview",1
"diplomacy",1
"doitsjob",1
"DoNoHarm",1
"DontPrivatizeOurSkies",1
"dourson",1
"DREAMAct",1
"DrSeuss",1
"Eclipse2017",1
"economy",1
"EdithWindsor",1
"EMS",1
"endalz",1
"EndangeredSpeciesAct",1
"EndangeredSpeciesDay",1
"EnergyWeak",1
"equality",1
"equalrights",1
"ERate",1
"ESPYs",1
"extendTPS",1
"ExtendTPS",1
"FAA",1
"FAIRFees",1
"FCC",1
"FederalJudge",1
"FireSessions",1
"FISA702",1
"fixthecliff",1
"FixtheCliff",1
"FixTheCliff",1
"FlynnResignation",1
"FoodStampAct",1
"forcedarbitration",1
"FortuneMPW",1
"fracking",1
"France",1
"FreeWaLoneKyawSoeOo",1
"FundFamiliesNotWalls",1
"G7Summit",1
"GetAWarrant",1
"GetCovered",1
"GOPBudget",1
"GOPshutdown",1
"GOPtaxplan",1
"Goshen",1
"Gottlieb",1
"GrahamCasiddy",1
"Gratitude",1
"growth",1
"GunReformNow",1
"Gunviolence",1
"Haitian",1
"HaitianHeritageMonth",1
"Hampden",1
"HappyEaster",1
"HappyMothersDay",1
"HappyNewYears",1
"Harveyrelief",1
"HarveyRelief",1
"HB2",1
"HeadStart",1
"healthcarebill",1
"HealthCareSabotage",1
"HeartOfHumanity",1
"HelpIsHere",1
"Hiroshima",1
"HobbyLobby",1
"holdthefloor",1
"HoldTheFloor",1
"Holliston",1
"HolocaustMemorialDay",1
"Honduras",1
"Houston",1
"HR392",1
"hunger",1
"Hunger",1
"HurricaneMaria",1
"ImmigrantRights",1
"immigrants",1
"Immigration",1
"internet",1
"Ip32017",1
"iPhoneX",1
"Iran",1
"IranDeal",1
"IWD",1
"IWD2017",1
"JCPOA",1
"JFK",1
"JFKStamp",1
"job",1
"KeepUsSafe",1
"Kentucky",1
"Keystone",1
"KidsEnvHealth",1
"KillTheDrill",1
"KimJongUn",1
"KXL",1
"LaborDay2017",1
"LasVegasShootings",1
"LawrenceWilkerson",1
"LCVScorecard",1
"LetsTrumpAddiction",1
"Lexington",1
"libraries",1
"Lifesciences",1
"livingwage",1
"London",1
"LondonTerrorAttacks",1
"LPFM",1
"Ludlow",1
"Ma",1
"MadeInChina",1
"Malden",1
"maleg",1
"ManafortIndictment",1
"Manchester",1
"MaraLago",1
"marchforscience",1
"Maria",1
"Markey",1
"MarkeyLieu",1
"MarriageEquality",1
"MarthasVineyard",1
"MayDay2017",1
"medicare",1
"Melrose",1
"MendtheGaps",1
"MerryChistmasMassachusetts",1
"Milton",1
"MondayMotivation",1
"MonumentsForAll",1
"morningjoe",1
"MorningJoe",1
"MSSAA",1
"MTR",1
"Mueller",1
"MuellerInvestigation",1
"MuseumBowl",1
"NASSP",1
"natgas",1
"NationalSelfieDay",1
"natresources",1
"NDAA",1
"NECHV",1
"NetNeutality",1
"netneutrali",1
"Netneutrality",1
"NetNeutralty",1
"NeverAgain",1
"NeverForget",1
"NewBedford",1
