"Mention","Frequency"
"SenWhitehouse",424
"realDonaldTrump",124
"POTUS",105
"SenateGOP",63
"SenateDems",60
"EPAScottPruitt",54
"SenJackReed",47
"JimLangevin",43
"EPA",37
"SenJohnMcCain",35
"SenBlumenthal",29
"SenSchumer",27
"ChuckGrassley",24
"LindseyGrahamSC",23
"SenMarkey",21
"CoryBooker",17
"SenateMajLdr",17
"StopBigMoney",17
"davidcicilline",16
"SenatorCarper",16
"SenWarren",16
"FBI",15
"GovRaimondo",15
"HealthSourceRI",15
"PattyMurray",15
"SenatorTomUdall",15
"nytimes",14
"SenFeinstein",14
"SenSanders",14
"SenDanSullivan",13
"TheJusticeDept",13
"SenFranken",12
"washingtonpost",12
"HouseGOP",11
"SenCapito",11
"SenJeffMerkley",11
"brianschatz",10
"CFPB",10
"SenAlexander",10
"senjudiciary",10
"AmericanCancer",9
"civilrightsorg",9
"JohnCornyn",9
"JudiciaryDems",9
"lisamurkowski",9
"projo",9
"RonWyden",9
"SenatorCollins",9
"Surgeon_General",9
"USChamber",9
"AmeriCorps",8
"LCVoters",8
"RepCicilline",8
"RhodeIslandDEM",8
"SaveTheBayRI",8
"SenatorCantwell",8
"SenatorCardin",8
"SenatorDurbin",8
"SenatorHeitkamp",8
"senorrinhatch",8
"senrobportman",8
"UPS",8
"acslaw",7
"amyklobuchar",7
"ChrisCoons",7
"DeepwaterWind",7
"FCC",7
"hardball",7
"HelsinkiComm",7
"JeffFlake",7
"NIH",7
"PPFA",7
"RIHEALTH",7
"SenJohnBarrasso",7
"SenSherrodBrown",7
"ThirdWayEnergy",7
"universityofri",7
"WhiteHouse",7
"youthvgov",7
"ALEC_states",6
"billmckibben",6
"EveryVoice",6
"greta",6
"JohnBoozman",6
"NRA",6
"pfizer",6
"SenatorHassan",6
"SenatorShaheen",6
"SenTomCotton",6
"SierraClub",6
"AEI",5
"AFJustice",5
"Apple",5
"AtlanticCouncil",5
"CleanAirMoms",5
"exxonmobil",5
"GinaRaimondo",5
"Jorge_Elorza",5
"JRubinBlogger",5
"NaomiOreskes",5
"NOAA",5
"peoplefor",5
"PostOpinions",5
"Public_Citizen",5
"SenatorBaldwin",5
"SenatorLeahy",5
"SenatorMenendez",5
"SenJohnKennedy",5
"SenJoniErnst",5
"SenKamalaHarris",5
"SenThomTillis",5
"SenToomey",5
"AARP",4
"BrookingsInst",4
"carenewengland",4
"clairecmc",4
"cleanh2oaction",4
"cleanwater_ri",4
"cspan",4
"Demos_Org",4
"DevinNunes",4
"Earthjustice",4
