"Mention","Frequency"
"amyklobuchar",167
"Vikings",86
"HillaryClinton",34
"SenJohnMcCain",30
"ChuckGrassley",29
"alfranken",27
"StarTribune",23
"nytimes",20
"SenFranken",20
"JohnCornyn",17
"SenatorCollins",17
"MarkWarner",16
"POTUS",16
"mnstatefair",15
"SenatorBaldwin",15
"keithellison",14
"SenMikeLee",14
"mnwild",13
"mspairport",13
"RepTomEmmer",12
"PioneerPress",11
"RepTimWalz",11
"SenBlumenthal",11
"SenCapito",11
"SenJohnThune",11
"Twins",11
"USDOT",11
"MNFarmBureau",10
"TheJusticeDept",10
"USDA",10
"USRepRickNolan",10
"clairecmc",9
"collinpeterson",9
"DeptVetAffairs",9
"FCC",9
"LindseyGrahamSC",9
"MinnesotaDFL",9
"minnesotalynx",9
"SenatorFischer",9
"SenatorLeahy",9
"senrobportman",9
"timkaine",9
"kare11",8
"RoyBlunt",8
"SenatorHeitkamp",8
"duluthnews",7
"FTC",7
"GopherFootball",7
"HHHSchool",7
"MPRnews",7
"SenatorLankford",7
"US_FDA",7
"GovMarkDayton",6
"SenatorTester",6
"SenJohnHoeven",6
"SenThomTillis",6
"_cingraham",5
"CCAInstitute",5
"CMSGov",5
"JeffFlake",5
"JoeBiden",5
"JohnBoozman",5
"maddow",5
"maziehirono",5
"mitchellreports",5
"MNFarmersUnion",5
"NFL",5
"SenAngusKing",5
"SenateCommerce",5
"SenatorEnzi",5
"SenatorWicker",5
"SenBobCasey",5
"SteveDaines",5
"TinaFlintSmith",5
"USCPSC",5
"washingtonpost",5
"ArlingtonNatl",4
"BernieSanders",4
"BettyMcCollum04",4
"CattlemenMN",4
"cindymccain",4
"CoryBooker",4
"DEAHQ",4
"GopherMBB",4
"HHSGov",4
"Jeopardy",4
"KSTP",4
"MayoClinic",4
"MNcounties",4
"MNNationalGuard",4
"MorningEdition",4
"NIH",4
"NPR",4
"SenatorDurbin",4
"SenatorShaheen",4
"SenatorTomUdall",4
"SenBennetCO",4
"SenDeanHeller",4
"SenGillibrand",4
"SenShelby",4
"stpauljcc",4
"Timberwolves",4
"UofMNLawSchool",4
"WCCO",4
"148FW",3
"3M",3
"AbbeysHope",3
"actonalz",3
"amprog",3
"BarackObama",3
"bobdylan",3
"CBSThisMorning",3
"chrislhayes",3
"Cirrus_Aircraft",3
"CNN",3
"CommerceGov",3
"cspan",3
"DanaBashCNN",3
"DeptofDefense",3
"EatonSenator",3
"Engage_Cuba",3
"esmemurphy",3
"exploreminn",3
"FEC",3
"FergusFallsMN",3
"GeneralMills",3
"GopherWHockey",3
"HamiltonMusical",3
"HRC",3
"joniernst",3
"jseller",3
"KamalaHarris",3
"KellyAyotte",3
"ks95",3
"Lindsay_13",3
"lisamurkowski",3
"Mankatonews",3
"MichelleObama",3
"millerlawmd",3
"mnhungerwalk",3
"MooreMaya",3
"Morning_Joe",3
"NatlParkService",3
"NFUDC",3
"PattyMurray",3
"prairie_home",3
"repjohnlewis",3
"seimoneaugustus",3
"SenAlexander",3
"SenatorBarb",3
"SenatorCardin",3
"SenatorHassan",3
"SenatorRounds",3
"SenBillNelson",3
"SenCortezMasto",3
"SenDuckworth",3
"SenFeinstein",3
"SenJohnKennedy",3
"senorrinhatch",3
"SenPatRoberts",3
"SenStabenow",3
"SenWhitehouse",3
"stcloudstate",3
"StOlaf",3
"SylviaFowles",3
"tomemmer",3
"UMNews",3
"USArmy",3
"USATODAY",3
"USPS",3
"VP",3
"wccoradio",3
"WCCORosen",3
"_ALLRISE_",2
"133rdAW",2
"AAIUSA",2
"aarpmn",2
"AccessibleMeds",2
"Accorhotels",2
"ACS_Minnesota",2
"acslaw",2
"AndersenCorp",2
"andrewluger",2
"ASlavitt",2
"BestBuy",2
"BeTheMatch",2
"BillCassidy",2
"Botticelli44",2
"brd_dispatch",2
"BuzzFeed",2
"Captsully",2
"cctwincitiesorg",2
"CEAChair",2
"ChelseaClinton",2
"childrensmn",2
"ChrisVanHollen",2
"CraigCaplan",2
"Cubs",2
"Delta",2
"DHSgov",2
"ecpatusa",2
"emilyslist",2
"EPA",2
"FairviewHealth",2
"FirstAvenue",2
"FoxNewsSunday",2
"GilletteChildrn",2
"GoodwillMN",2
"hardball",2
"hazldnbettyford",2
"healthylakes",2
"HennepinSheriff",2
"HuffingtonPost",2
"IlhanMN",2
"Interior",2
"Jacob_Frey",2
"JerryMoran",2
"jimmyfallon",2
"JohnCroman",2
"JohnKerry",2
"JustinTrudeau",2
"kevinhvollmers",2
"KSBurrack17",2
"LarsonForDuluth",2
"LSC_Duluth",2
"Lynn_Ketelsen",2
"madeleine",2
"Maggie_Hassan",2
"mallofamerica",2
"mayorcoleman",2
"McCainInstitute",2
"Meda_MN",2
"melvincarter3",2
"Michele_Tafoya",2
"milkjamcreamery",2
"MinnPost",2
"MNBiofuels",2
"MnDOTnews",2
"mnhs",2
"MNMLKDay",2
"mnscu",2
"MSUMoorhead",2
"myfox9",2
"NACoTweets",2
"nctrail",2
"NDI",2
"Ness_Duluth",2
"NfldHospClinics",2
"nnedv",2
"NSF",2
"NTCAconnect",2
"OwatonnaNews",2
"pattywetterling",2
"PhyllisKahn",2
"PodSaveAmerica",2
"PrepareProsper",2
"R_T_Rybak",2
"RandPaul",2
"RareAdvocates",2
"redheadcreamery",2
"robportman",2
"RonWyden",2
"SabesJCC",2
"Sannehfdn",2
"saoic",2
"SCCollege",2
"SchellsBrewery",2
"sctimes",2
"Sen_JoeManchin",2
"SenJackReed",2
"SenJoniErnst",2
"senjudiciary",2
"SenKamalaHarris",2
"SenMarkey",2
"SenSchumer",2
"SenTedCruz",2
"SenTinaSmith",2
"sjemorse",2
"smifound",2
"smithsonian",2
"SmithsonianMag",2
"SpecialOlympics",2
"spotlightmn",2
"stanekmn",2
"StPaulWinter",2
"StScholastica",2
"Students7United",2
"tammybaldwin",2
"TammyforIL",2
"TeamUSA",2
"teddyb_h2o",2
"Terri_Bonoff",2
"TheArcUS",2
"TheAtlantic",2
"TheDailyShow",2
