"Hashtag","Frequency"
"Hawaii",113
"Trumpcare",52
"HawaiiOnTheHill",40
"smallbiz",37
"SCOTUS",25
"HaiyanReliefByApril15",21
"HawaiiontheHill",21
"CIR",20
"students",20
"ACA",19
"Selma50",19
"TitleIX",19
"Medicare",17
"RenewUI",17
"AAPI",16
"Haiyan",16
"RaiseTheWage",16
"STEM",16
"DREAMers",15
"GOPTaxScam",15
"Philippines",15
"SOTU",15
"AlohaforSelma",14
"AmericaSpeaksOut",14
"DoYourJob",14
"EqualPay",14
"hawaiionthehill",14
"immigration",14
"DACA",13
"USA",12
"veterans",12
"GOPBudget",11
"healthcare",11
"StopGorsuch",11
"AAPIs",10
"DC",10
"DreamActNow",10
"fall",10
"GrahamCassidy",10
"jobs",10
"MuslimBan",10
"SocialSecurity",10
"apply",9
"cleanenergy",9
"Hawaiian",9
"intern",9
"minimumwage",9
"sustainability",9
"travel",9
"ag",8
"farmers",8
"Kauai",8
"passMJIA",8
"PellGrant",8
"SaveDACA",8
"UAC",8
"CIRfloor",7
"Dreamers",7
"education",7
"EqualPayDay",7
"fairshot",7
"ImmigrationAction",7
"KidsStateDinner",7
"NationalGuard",7
"ranchers",7
"StandWithPP",7
"tourism",7
"VA",7
"Veteran",7
"Veterans",7
"AllStudentsCount",6
"AskCAPAC",6
"Biz",6
"CAPAC",6
"Congress",6
"DREAMinstate",6
"economy",6
"energy",6
"families",6
"FilAmVets",6
"Flossie",6
"GorsuchHearing",6
"Honolulu",6
"ImmigrationReform",6
"LGBT",6
"Molokai",6
"NoBillNoBreak",6
"NotMyBossBusiness",6
"ParisAgreement",6
"PaycheckFairness",6
"ProtectOurCare",6
"SmallBiz",6
"TrumpShutdown",6
"TrumpTaxScam",6
"VAWA",6
"webinars",6
"YASHSAct",6
"buylocal",5
"cirmarkup",5
"CourtsMatter",5
"EqualPayNow",5
"FundDHS",5
"HobbyLobby",5
"Maui",5
"MemorialDay",5
"middleclasstaxcuts",5
"MJIA",5
"MyHealtheVet",5
"NoBanNoWall",5
"Olympics",5
"OpenEnrollment",5
"PellGrants",5
"raisethewage",5
"SecClinton",5
"Senate",5
"TBT",5
"WarOnPoverty",5
"WeObject",5
"4immigrantwomen",4
"ActOnClimate",4
"BankOnStudents",4
"bipartisan",4
"businesses",4
"care",4
"ConfirmPillard",4
"DefendDACA",4
"dontdoublemyrate",4
"equalpay",4
"familyunity",4
"FilVets",4
"FPI15",4
"Gorsuch",4
"Inouye",4
"InTheRed",4
"Mahalo",4
"Obama",4
"promise",4
"RefugeesWelcome",4
"retirement",4
"Sandy",4
"SASC",4
"SaveMedicare",4
"StandwithPP",4
"SwampCabinet",4
"tasteofHI",4
"teachers",4
"ThankATeacher",4
"TitleX",4
"Trump100Days",4
"values",4
"VeteransDay",4
"VisaReform",4
"18millionhearts",3
"ADA",3
"ALA",3
"aloha",3
"AlohaForSelma",3
"Americans",3
"Ana",3
