"Hashtag","Frequency"
"StartupAct",169
"KansasCommonSense",98
"VA",64
"veterans",34
"Obamacare",28
"SXSW",28
"FAA",25
"GITMO",25
"Kansas",19
"StartupDay",18
"IRS",15
"KC",15
"USMNT",15
"AmericanSavingsPromotionAct",12
"GEW",11
"KeystoneXL",11
"sxsw",11
"Alzheimers",10
"Iran",10
"TakeTheCrown",10
"kswx",9
"NDAA",9
"OurFuture",9
"S1597",9
"UNATT",9
"USA",9
"WorldSeries",9
"ChoiceAct",8
"jobs",8
"NAFTA",8
"ObamaCare",8
"Shinseki",8
"StrongEurope",8
"SXSWi",8
"CES2013",7
"KState",7
"MGTAct",7
"NBAF",7
"TaxReform",7
"Veterans",7
"WOTUS",7
"DidYouKnow",6
"FairTax",6
"HourOfCode",6
"IranDeal",6
"MLPParityAct",6
"SCOTUS",6
"SOTU",6
"580WIBW",5
"EconomicMobilityCaucus",5
"entrepreneurs",5
"Gitmo",5
"KansasDay",5
"PrizeLinkedSavings",5
"Royals",5
"shutdown",5
"taxreform",5
"tbt",5
"vets",5
"Zika",5
"AgDay",4
"AlanGross",4
"ArmsTradeTreaty",4
"ClayHuntSAVAct",4
"FIFA",4
"FinalFour",4
"FinancialLiteracy",4
"GoogleFiber",4
"GoShox",4
"healthcare",4
"HealthcareBill",4
"immigration",4
"KansasListeningTour",4
"ksleg",4
"NetNeutrality",4
"NeverForget",4
"ObamaFlightDelays",4
"Senate",4
"smallbiz",4
"SportingKC",4
"STEM",4
"VeteransFirst",4
"WatchUs",4
"2ndAmendment",3
"ACA",3
"Ag",3
"agday2016",3
"agriculture",3
"AmazonHQ2",3
"BeatAuburn",3
"budget",3
"CR",3
"Cuba",3
"DDay",3
"DevlinForum",3
"DigitalDivide",3
"DitchTheRule",3
"DoddFrank",3
"Ebola",3
"ENDALZ",3
"Farmers4NAFTA",3
"ICBAWPS16",3
"InnovationDeficit",3
"Israel",3
"KansasCity",3
"KCS",3
"LPC",3
"MemorialDay",3
"military",3
"MLSAllStar",3
"MLSCup",3
"NationalFarmersDay",3
"Olympics",3
"OPM",3
"PearlHarbor",3
"RCJH",3
"SOTN",3
"startup",3
"startupact",3
"Startupact",3
