"Hashtag","Frequency"
"GOPDebate",89
"DemTownHall",36
"AiringofGrievances",27
"StandWithRand",25
"iacaucus",22
"StandwithRand",21
"Obamacare",20
"RandRally",20
"debatenight",17
"FullRepeal",14
"HappyFestivus",13
"IowaCaucus",11
"kysen",10
"IndependenceDay",9
"AuditTheFed",8
"Festivus",7
"GrahamCassidy",7
"IAcaucus",7
"JointAddress",7
"KYPrimary",7
"morningjoe",7
"ObamaCare",7
"Periscope",7
"FancyFarm",6
"Kentucky",6
"NewMajority",6
"tcot",6
"WednesdayWisdom",6
"AprilFools",5
"FreedomFest",5
"GOP",5
"Iowa",5
"Iowa10K",5
"kycaucus",5
"RepealAndReplace",5
"tlot",5
"2A",4
"FISA",4
"FlashbackFriday",4
"foxnewsdebate",4
"Hardball",4
"HealthcareBill",4
"KellyFile",4
"KYSen",4
"MTP",4
"Obamacarerepeal",4
"SaudiArabia",4
"StillRanding",4
"TFAS",4
"Cato702",3
"ConstitutionDay",3
"DemDebate",3
"EKU",3
"Hannity",3
"healthcare",3
"HealthCare",3
"lasen",3
"liberty",3
"Liberty",3
"MakeLibertyWin",3
"NRAAM",3
"onlyatGW",3
"RandPaul",3
"RandWyden",3
"RTS15",3
"SchoolChoice",3
"Senate",3
"SFR",3
"standwithrand",3
"standwithRand",3
"Syria",3
"teaparty",3
"ThrowbackThursday",3
"YAFcon",3
"ACA",2
"AHCA",2
"BBN",2
"CARA",2
"Cavuto",2
"cjreform",2
"CNNSOTU",2
"Coal",2
"CongressionalBaseball",2
"CongressionalTour",2
"Constitution",2
"DayofAction",2
"Decision2016",2
"Election2016",2
"electionday",2
"First100",2
"GOPdebate",2
"gopdebate7",2
"Healthcare",2
"healthcarebill",2
"IaCaucus",2
"Iowacaucus",2
"KYGOPLD",2
"KYprimary",2
"MAGA",2
"NSA",2
"opioid",2
"OutnumberedOT",2
"ParisAgreement",2
"Privacy",2
"ReadMore",2
"Saudi",2
"SCOTUS",2
"Section702",2
"StopArmingSaudi",2
"SuperTuesday",2
"surveillance",2
"TeamRand",2
"TeaParty",2
"TheLead",2
"TheStory",2
"TSCA",2
"Tucker",2
"txlege",2
"US",2
"WarInYemen",2
"WarOnCoal",2
"WhichHillary",2
"winterstorm",2
"YoungMadisons",2
"4thAmendment",1
"51Million",1
"AD22",1
"AHP",1
"airingofthegrievances",1
"allvotesmatter",1
"alpolitics",1
"AsiaBibi",1
"auditthefed",1
"AudittheFed",1
"Awesome",1
"bailreform",1
"BailReform",1
"BeatTennessee",1
"BetterKY",1
"BillofRights",1
"Bourbon",1
"budget",1
"busTed",1
"campaign2016",1
"Cashinin",1
"caucus",1
"caucuseve",1
"CaucusTonight",1
"CAVUTO",1
"ChristmasEveEve",1
"CivilLiberties",1
"cleanrepeal",1
"Clintoncash",1
"ClintonCash",1
"CNNsotu",1
"CoalJobsMatter",1
"CoalPowersKY",1
"coffeelover",1
"ColonelsCrew",1
"ConcernedAmericanVoters",1
"CongressionalBaseballGame",1
"conservatives",1
"copolitics",1
