"Mention","Frequency"
"SenCoryGardner",136
"HouseCommerce",55
"repcorygardner",49
"SenBennetCO",42
"POTUS",39
"RepTipton",29
"denverpost",28
"Broncos",25
"RepMikeCoffman",15
"PeterWelch",14
"SenatorTimScott",13
"AjitPaiFCC",12
"WhiteHouse",12
"710KNUS",11
"BarackObama",11
"ChieftainNews",11
"RepFredUpton",11
"SenPatRoberts",11
"VP",11
"hickforco",10
"ColoFarmBureau",9
"FCC",9
"Heritage",9
"KellyAyotte",9
"RockyNPS",9
"SenGaryPeters",9
"9NEWS",8
"CO_Municipal",8
"DurangoHerald",8
"GOPLeader",8
"NREL",8
"RepDianaDeGette",8
"SAISHopkins",8
"SenJohnThune",8
"EnergyGOP",7
"ENR_GOP",7
"EPA",7
"MarkWarner",7
"MayorHancock",7
"NASA",7
"netanyahu",7
"RepKinzinger",7
"RiponAdvance",7
"SenThomTillis",7
"CNNSitRoom",6
"colo_politics",6
"ColoradoStateU",6
"csgazette",6
"CSUFootball",6
"DENAirport",6
"HelsinkiComm",6
"HouseFloor",6
"marcorubio",6
"RepMarthaRoby",6
"RepPerlmutter",6
"RepTimGriffin",6
"SenatorFischer",6
"SpeakerBoehner",6
"SteveDaines",6
"thehill",6
"TimesCall",6
"usairforce",6
"cathymcmorris",5
"CBSDenver",5
"cubuffs",5
"ENERGY",5
"fema",5
"FoxNews",5
"GovofCO",5
"HillaryClinton",5
"JohnKerry",5
"kurtisalee",5
"megynkelly",5
"NACoTweets",5
"RepDLamborn",5
"RepJaredPolis",5
"SallieClark",5
"Sebelius",5
"SenBobCorker",5
"SenJoniErnst",5
"StateDept",5
"SteveScalise",5
"850koa",4
"allisonsherry",4
"BLMNational",4
"ChrisCoons",4
"COEmergency",4
"dcsheriff",4
"DenverChannel",4
"FarmBureau",4
"FoxBusiness",4
"GOPWhip",4
"GreeleyTribune",4
"hughhewitt",4
"Interior",4
"KOAA",4
"luckysmarket",4
"lynn_bartels",4
"realDonaldTrump",4
"SenateGOP",4
"SenateMajLdr",4
"SenatorWicker",4
"SenDeanHeller",4
"SengCenter",4
"SenRonJohnson",4
"USMC",4
"washingtonpost",4
"WashTimes",4
"westerncaucus",4
"WSJ",4
"630khow",3
"amazon",3
"AmbassadorPower",3
"ARPAE",3
"ChuckGrassley",3
"COcounties",3
"CONG1860",3
"COSpringsMayor",3
"COSSADC",3
"COWaterCongress",3
"CPRverlee",3
"CrossfireCNN",3
"CUBoulder",3
"DailySentinelGJ",3
"DeptVetAffairs",3
"DHSgov",3
"epcpio",3
"EPCSheriff",3
"ErnestMoniz",3
"FaceTheNation",3
"Forbes",3
"GOPConference",3
"HHSGov",3
"jaredpolis",3
"KDVR",3
"kelleyandco",3
"KOANewsRadio",3
"lisamurkowski",3
"lofdev",3
"MarcKMGH",3
"MariaBartiromo",3
"mkmatthews",3
"mkraju",3
"MorningBriefing",3
"NatlParkService",3
"OutdoorRetailer",3
"Project2049",3
"RepMGriffith",3
"RepRichHudson",3
"RepSonnenberg",3
"Rockies",3
"SecretaryJewell",3
"SecretaryPerry",3
"SenatorIsakson",3
"sendavidperdue",3
"SenJohnBarrasso",3
"senjudiciary",3
"SenMikeLee",3
"senrobportman",3
"SenTomCotton",3
"TeamCavuto",3
"TIME",3
"ulalaunch",3
"uscapitol",3
"USNavy",3
"Wilderness",3
"wolfblitzer",3
"WSJopinion",3
"1010KSIR",2
"4lylesg",2
"AF_Academy",2
"AlanSalazarCO",2
"AlbusBrooksD9",2
"ArcThriftStores",2
"AtlanticLIVE",2
"ATT",2
"blairmiller",2
"BrandonRittiman",2
"BrundageBone",2
"Buckley_AFB",2
"CapitolPolice",2
"CBS4Shaun",2
"CCAInstitute",2
"CDCgov",2
"ChipotleTweets",2
"chrisvanderveen",2
"cityoflongmont",2
"CNN",2
"CNNOpinion",2
"CoachToCureMD",2
"Colorado4H",2
"ColoradoDOT",2
"ColoradoFFA",2
"coloradowheat",2
"ColoTechAsn",2
"ColtonJohnson15",2
"COpeakpolitics",2
"CoryBooker",2
"CraigatFEMA",2
"CSIS",2
"CU_Bruce_Benson",2
"CUFederal",2
"CynthiaLummis",2
"DanaPerino",2
"dcexaminer",2
"denveropinion",2
"DocHastings",2
"DoreyScheimer",2
"eesionline",2
"EnergyCommerce",2
"femaregion8",2
"ForeignPolicyI",2
"forestservice",2
"foxandfriends",2
"GerriWillisFBN",2
"GretchenCarlson",2
"HouseGOP",2
"jaketapper",2
"jinsadc",2
"JoeHockey",2
"JoeStGeorge",2
"JohnSuthers",2
"keithellison",2
"KKTV11News",2
"Ldperkins970",2
"loudobbsnews",2
"MarkUdall",2
"MediaMarcus",2
"MillerCoors",2
"MONEY",2
"moneytalk1690",2
"Morning_Joe",2
"NatlGovsAssoc",2
"NATO",2
"newtgingrich",2
"NoradNorthcom",2
"Panthers",2
"Patriots",2
"PeterZampa",2
"PVFPD",2
"RepCloakroom",2
"RepDelGrosso",2
"RepDianeBlack",2
"RepHalRogers",2
"RepKevinYoder",2
"RepSeanDuffy",2
"RichHudson",2
"Rossputin",2
"runningstartDC",2
"SamMamet",2
"SBAgov",2
"ScrippsBee",2
"SenateCommerce",2
"SenatorBrophy",2
"SenatorBurr",2
"SenatorEnzi",2
"SenatorHassan",2
"SenatorRisch",2
"SenatorShaheen",2
"SenBlumenthal",2
"SenDanSullivan",2
"SenGillibrand",2
"SenKamalaHarris",2
"SenMarkey",2
"SenRubioPress",2
"SenSchumer",2
"ShopFloorNAM",2
"stefcutter",2
"TeamRubicon",2
"TeamUSA",2
"TerraLUXInc",2
"TGowdySC",2
"TheIranDeal",2
"ToddRokita",2
"UANI",2
"UN",2
"UnitedWayWeld",2
"USArmy",2
"USDOTFRA",2
"USNationalGuard",2
"usnistgov",2
"usscolo",2
"VOA_News",2
"WilliamJBennett",2
"1310kfkanews",1
"247weatheR",1
"4H",1
"7Marshall",1
"aaronschock",1
"ABCWorldNews",1
"Abel_Romero_",1
"AccelerateCO",1
"ACSCAN",1
"AdamsCoSheriff",1
"AdoptCoKids",1
"AEI",1
"AFFootball",1
"Aflac",1
"AFSpace",1
"agripulse",1
"AGUSciPolicy",1
"Airbnb",1
"AlabamaFTBL",1
"AlanGTV",1
"AlexGangitano",1
"AlHuntDC",1
"AliciaMCaldwell",1
"AmbJohnBolton",1
"AmericanCancer",1
"Amtrak",1
"amyklobuchar",1
"AngelArmorPro",1
"AP",1
"ArmySLD",1
"AsiaPolicy",1
"aspencountryday",1
"AstroSamantha",1
"AstroTerry",1
"AusAmbUSA",1
"Avik",1
"axios",1
"BabakDehghan",1
"baboydston",1
"Backcountry_H_A",1
"bankofcolorado",1
"baseballcrank",1
"BayanRahman",1
"BeefUSA",1
"BenjySarlin",1
"BestChamber",1
"bigcatt44",1
"BlackCanyonNPS",1
"bobbeauprez",1
"boblatta",1
"BoulderJCC",1
"BoydPolhamus",1
"BPC_Bipartisan",1
"bradjtownsend",1
"BrandUSA",1
"BrendanCarrFCC",1
"BrittMorenoTV",1
"brucewilsonco",1
"BrushNewsTrib",1
"CAAAagAviation",1
"cannabist",1
"carlquintanilla",1
"CarolCastielVOA",1
"CarolCNN",1
"cbrangel",1
"CBS4Tim",1
"CDNST1",1
"CFR_org",1
"ChadPergram",1
"CharlieRoseShow",1
"ChelseaToy",1
"CherylPreheim",1
"chicagotribune",1
"ChrisHogan360",1
"chucktodd",1
"CityofDurango",1
"ClariceHD47",1
"CNBC",1
"CNNnewsroom",1
"CoBank",1
"CoCHCs",1
"COHealth",1
"COHospitalAssn",1
"CoHotSheetBlog",1
"COHouseGOP",1
"COindependent",1
"ColoAgLeaders",1
"cologop",1
"coloradoan",1
"ColoradoCattle",1
"ColoradoChamber",1
"ColoradoMesaU",1
"ColoradoPress",1
"ColoradoREA",1
"comcast",1
"CommerceGOP",1
"commonsonchampa",1
"CommunityHosp",1
"CompleteCO",1
"congressdotgov",1
"COREALTORS",1
"CoryGardner",1
"CoryGardnerCO",1
"COVA_Denver",1
"COWildfireInfo",1
"craigdailypress",1
"CraigHospital",1
"Crewof42",1
"CRS4Congress",1
"CSP_News",1
"cspan",1
"CSUEnergy",1
"CSUPoliSci",1
"CSUTonyFrank",1
"CSUWomensBball",1
"CTATech",1
"CUAdvocates",1
"CUBuffsMBB",1
"CUEngineering",1
"dailybriefing",1
"darden",1
"DarrellIssa",1
"DarrenGoode",1
"DaveBoulder",1
"DavidMDrucker",1
"DeanBobbyBraun",1
"deirdrewalshcnn",1
"denbizjournal",1
"denverpostjoe",1
"DenverSouth",1
"DeptofDefense",1
"dgardinera",1
"DinahLord",1
"DLoesch",1
"doe",1
"dolingerdp",1
"DonGoers",1
"dougseserman",1
"DowntownDenver",1
"DrLindaLujan",1
