"Hashtag","Frequency"
"Arizona",237
"SASC",149
"Russia",99
"Syria",95
"AZ",93
"Phoenix",61
"Afghanistan",60
"FY18NDAA",59
"Obamacare",57
"FY17NDAA",53
"Putin",42
"Iran",37
"Ukraine",28
"Vietnam",26
"NATO",25
"Tucson",25
"SecDef",24
"China",22
"Montenegro",22
"ISIL",21
"JonesAct",20
"Assad",18
"NorthKorea",18
"Pentagon",18
"PuertoRico",18
"Dbacks",17
"Choice4Vets",16
"Aleppo",15
"Asia",15
"ObamaCare",14
"Australia",13
"MemorialDay",13
"Iraq",12
"LibertyMedal",12
"Venezuela",12
"AmericasMostWasted",11
"BearDown",11
"BeRedSeeRed",11
"Flagstaff",11
"AZCardinals",10
"CedarFire",10
"CNNTownHall",10
"Kosovo",10
"OurSeason",10
"Prescott",10
"IndependenceDay",9
"NAFTA",9
"IranDeal",8
"ISIS",8
"MSC2017",8
"Russian",8
"Cambodia",7
"Estonia",7
"Europe",7
"GrandCanyon",7
"NDAA",7
"Slovenia",7
"Cyber",6
"Israel",6
"Mattis",6
"Mexico",6
"Pakistan",6
"ROK",6
"RussiaSanctions",6
"SouthKorea",6
"VeteransDay",6
"Arizonans",5
"Canada",5
"Croatia",5
"cyber",5
"Egypt",5
"GoldKingMine",5
"Italy",5
"JudgeGorsuch",5
"LasVegasShooting",5
"Moscow",5
"Nafta",5
"Orlando",5
"passabudget",5
"PigBook2016",5
"Rohingya",5
"SCOTUS",5
"SouthChinaSea",5
"Syrian",5
"ThreeQuestions",5
"TPP",5
"Turkey",5
"VietnamWarPBS",5
"60Minutes",4
"BirdGang",4
"Burma",4
"Canberra",4
"CardsCamp",4
"cybersecurity",4
"cyberspace",4
"FightersFirst",4
"GoNavy",4
"Hanoi",4
"India",4
"IRANniversary",4
"Istanbul",4
"Kiev",4
"Latvia",4
"LetsSeeAZ",4
"Lithuania",4
"Marines",4
"shutdown",4
"Singapore",4
"SolarEclipse17",4
"TaxReform",4
"Texas",4
"WashConf2017",4
"Albania",3
"ArmyNavy",3
"Beijing",3
"BrusselsForum",3
"California",3
"CareVeteransDeserve",3
"CivilityPrize",3
"CNNSOTU",3
"DACA",3
"Dubrovnik",3
"earmarks",3
"EndTrafficking",3
"GoodwinFire",3
"Harvey",3
"HISF2016",3
"Japan",3
"Kabul",3
"Korea",3
"Mesa",3
"MiddleEast",3
"Mosul",3
"NDAA2017",3
"NEvsAZ",3
"PearlHarbor",3
"PearlHarborRemembranceDay",3
"Philadelphia",3
"PhotosoftheWeek",3
"POWMIARecognitionDay",3
"SaluteFromTheChief",3
"SLD16",3
"SupremeCourt",3
"Taliban",3
"TX",3
"veterans",3
"Zika",3
"ActionToImpact",2
"Afghan",2
"Afghans",2
"America",2
"ArmyNavyGame",2
"Azerbaijan",2
"AZTechEvent",2
"Balkans",2
"BorisNemtsov",2
"Bosnia",2
"CA",2
"ceasefire",2
"Charlottesville",2
"ChelseaManning",2
"continuingresolution",2
"Coyotes",2
"Cuba",2
"cyberattacks",2
"enditmovement",2
"EndSlaveryAct",2
"FindYourPark",2
"ForksUp",2
"ForTheRecord",2
"Georgia",2
"Germany",2
"Gorsuch",2
"Hanukkah",2
"HASC",2
"Herzegovina",2
"humantrafficking",2
"HumanTrafficking",2
"Inauguration",2
"Iranian",2
"JFK100",2
"JohnMcCain",2
"LNSM",2
"LopesRising",2
"Magnitsky",2
"Manchester",2
"marchmadness",2
"MexicoCity",2
"monsoon",2
"morningjoe",2
"MothersDay",2
"NarendraModi",2
"NationalPoliceWeek",2
"NCAI2016",2
"NeverForget",2
"Niger",2
"NTTW17",2
"NYC",2
"Obama",2
"Ohio",2
"Panama",2
"PassTheBudget",2
"Philippines",2
"Poland",2
"s",2
"Saban17",2
"Senate",2
"ShaneDoan",2
"ShangriLaDialogue",2
"TBT",2
"Tempe",2
"THAAD",2
"threequestions",2
"Ukrainian",2
"USCro25years",2
"Utah",2
"Veterans",2
"WordsThatMatter2017",2
"WOTUS",2
"Yuma",2
"1innovation",1
"2017POWMIASalute",1
"241NavyBday",1
"43turns70",1
"49ers",1
"4thofJuly",1
"50yearsof60",1
"911remembrance",1
"abc15",1
"Aetna",1
"AFootballLife",1
"Alabama",1
"AlexeiNavalny",1
"AllorNothing",1
"AllStarGame",1
"AnzacDay2016",1
"ArizonaGivesDay",1
"ArnoldPalmer",1
"Arpaio",1
"Article5",1
"ASeasonWith",1
"AshlynneMike",1
"ASUCyber",1
"Australians",1
"Austria",1
"AZAwesome",1
"AZGivesDay",1
"AZvsSF",1
"Baghdad",1
"Baltic",1
"BanEarmarks",1
"Bangladesh",1
"BarcelonaAttack",1
"BearDownWithPride",1
"BeatArmy",1
"beatbobbyflay",1
"BeatLA",1
"Belgrade",1
"BestHighSchools",1
"BeThere",1
"bipartisan",1
"BlueCutFire",1
"BlueRibbon",1
"BostonStrong",1
"BPClive",1
"BREAKING",1
"BroomEmoji",1
"Brussels",1
"budget",1
"Budget",1
"BudgetDeal",1
"Burmese",1
"CaliforniaWildfires",1
"Cambodian",1
"CANationalGuard",1
"CARA",1
"CedarCreekFire",1
"CharlesKeating",1
"Christmas",1
"ChuckHagel",1
"CollegeWorldSeries",1
"Comey",1
"ContinuingResolutions",1
"counterterrorism",1
"Crimea",1
"CWS",1
"Cybersecurity",1
"CyberSecurity",1
"CyYoung",1
"Dallas",1
"Danang",1
"dayofhope",1
"DBacks",1
"DbacksOpeningDay",1
"DDay",1
"democracy",1
"democracyisbipartisan",1
"Denmark",1
"DepSecDef",1
"DIA",1
"DisinfoWeek",1
"DNI",1
"DWTS",1
"Earmarks",1
"EarthDay",1
"Egyptian",1
"EmbraceTheFoundation",1
"EndHumanTrafficking",1
"Equifax",1
"FAABill",1
"FacebookLIVE",1
"Fail",1
"FathersDay",1
"FightZikaNow",1
"FinalFour",1
"FinancingGrowth",1
"Finland",1
"First100",1
"First100Days",1
"FiscalSummit",1
"FITN",1
"FitzgeraldWPMOYChallenge",1
"Florida",1
"ForeverGIBill",1
"fortherecord",1
"FourthofJuly",1
"freedomofnavigation",1
"FY16NDAA",1
"GeorgeWBush",1
"GillvWhitford",1
"GivingTuesday",1
"GlobalPodcast",1
"GoCards",1
"GoDbacks",1
"GoGold4PCH",1
"Goldy1000",1
"govwaste",1
"GreenwayDemons",1
"HappeningNow",1
"HavasuFall",1
"HoneyBadger",1
"HotTopics",1
"HSGAC",1
"HumanRights",1
"HumanRightsDay",1
"HurricaneHarvey",1
"HurricaneIrma",1
"HurricaneMaria",1
"IAFFLegCon",1
"IAmJaneDoeFilm",1
"ICYMI",1
"immigration",1
"Irma",1
"Islamabad",1
"Israeli",1
"IStandWithTheJCC",1
"ISWsc17",1
"ISWSC17",1
"JCC",1
"Jerusalem",1
"JohnGlenn",1
"Jordan",1
"KFOR",1
"KhadijaIsmayilova",1
"KidsServeToo",1
"Kunduz",1
"LACT16",1
"Libya",1
"LiuXiaobo",1
"Ljubljana",1
"londonattack",1
"lookinggoodin2016",1
"MarchMadness",1
"MarshallPlan",1
"Maverick",1
"MaxScherzer",1
"Miami",1
"military",1
"MilitaryChildMonth",1
"MillionsMissing",1
"MissAmerica",1
"Mississippi",1
"mj10",1
"Moldova",1
"MorningMissionBrief",1
"MTP",1
"MTPDaily",1
"MuhammadAli",1
"MullahMansour",1
"Munich",1
"Myanmar",1
"NadiyaSavchenko",1
"NASSPDC",1
"NationalCodeTalkerDay",1
"NationalDebt",1
"NationalHispanicHeritageMonth",1
"NationalPurpleHeartDay",1
"NatSecurity",1
"NavajoCodeTalkersDay",1
"NavyDay",1
"Nawruz",1
"NBWADC16",1
"NCAA",1
"ncaaw",1
"NDAA17",1
"NeilGorsuch",1
"Nemtsov",1
"Nevada",1
"NewYear",1
"NewYearsEve",1
"NewYorkCity",1
"NewZealanders",1
"NFL",1
"NFLDraft2016",1
"NHL",1
"NiceAttack",1
"NLDS",1
"Nogales",1
"NORPAC",1
"Norway",1
"NPS100",1
"nttw17",1
"NuclearOption",1
"NYCStrong",1
"ObamacareFail",1
"Olympians",1
"Olympics",1
"omnibus",1
"OmranDaqneesh",1
"OneLuckyGuy",1
"OnThisDay",1
"OpenEnrollment",1
"OpeningDay",1
"OpioidCrisis",1
"Oscars",1
"OTD",1
"Pakistani",1
"pardonjackjohnson",1
"Payson",1
"PearlHarbor75",1
"Periscope",1
"PHX",1
"PigBook",1
"pigselfie",1
"POW",1
"PT42",1
"PTSDAwarenessDay",1
"PurpleHeartDay",1
"PurpleUp",1
"Pyongyang",1
"QuickenLoansNational",1
"Raqqa",1
"RecreationWednesday",1
"refugeecrisis",1
"regularorder",1
"Rio2016",1
"RioOlympics",1
"RNDF",1
"RohingyaCrisis",1
"RussiaInvestigation",1
"RussiaWillBeFree",1
"SaberStrike",1
"Salute",1
"SaluteFromThe",1
"SanDiegoShooting",1
"Savchenko",1
"SaveSyria",1
"Schulte3000",1
"Scottsdale",1
"Sedona",1
"September11attacks",1
"SESTA",1
"ShimonPeres",1
"shopsmall",1
"SmallBizSat",1
"Snapchat",1
"SouthDakota",1
"Spain",1
"StateOfTheState",1
"Sudanese",1
"SuicidePreventionMonth",1
"SunsAt50",1
"swearingin",1
"Sweden",1
"SWEET16",1
"Sydney",1
"Syrians",1
"takeyourchildtoworkday",1
"Tallinn",1
"TaxDay",1
"taxreform",1
"TBvsAZ",1
"teamdanceforourvets",1
"ThanksBA",1
"Thanksgiving",1
"TheRealStory",1
"throwdown",1
"TIME100",1
"TN",1
"TNF",1
"TuneIn",1
"TwilightTattoo",1
"Twitter",1
"UCH2017",1
"UkraineIndependenceDay",1
"UNESCO",1
"UnitedHealth",1
"UnitedHealthcare",1
"UnitedStates",1
"USA",1
"USAact",1
"USNavy",1
"USSArizona",1
"USSFitzgerald",1
"USSJohnSMcCain",1
"VAaccountability",1
"ValentinesDay",1
"VeteranJobsMission",1
"VietnamVeteransDay",1
"Virginia",1
"VladimirPutin",1
"vote",1
"VoteLamb",1
"WhiteHelmets",1
"Wildcats",1
"wildfire",1
"WPMOY",1
"WRDA",1
"Yarnell19",1
"zikavirus",1
"ZikaVirus",1
