"Mention","Frequency"
"SenatorWicker",182
"SenThadCochran",159
"realDonaldTrump",111
"USNavy",85
"POTUS",60
"HelsinkiComm",41
"WickerGayle",36
"PhilBryantMS",30
"EPA",29
"paulgalloshow",29
"supertalk",28
"BarackObama",25
"SenateGOP",24
"HIIndustries",23
"USDA",21
"FCC",19
"msstate",18
"fema",16
"FoxBusiness",16
"FoxNews",16
"GreggHarper",15
"OleMissRebels",15
"SenateMajLdr",14
"UMMCnews",14
"NASAStennis",13
"SenateFloor",13
"CommerceGOP",12
"CongPalazzo",12
"librarycongress",12
"RoyBlunt",12
"SenateDems",12
"USMC",12
"amyklobuchar",11
"clarionledger",11
"usairforce",11
"USCG",11
"MSNBC",10
"nationalguardMS",10
"NatlParkService",10
"SenateCommerce",10
"SenatorCardin",10
"WLOX",10
"CNN",9
"CoryBooker",9
"cspanwj",9
"MSFarmBureau",9
"PortofGulfport",9
"RobWittman",9
"SenateYouth",9
"SenBrianSchatz",9
"theaward",9
"AjitPaiFCC",8
"DeptVetAffairs",8
"KellyAyotte",8
"RepTrentKelly",8
"Rotary",8
"SenDonnelly",8
"thejtshow",8
"USArmy",8
"WhiteHouse",8
"81trwKeeslerAFB",7
"alzassociation",7
"Amtrak",7
"ARCgov",7
"BudgetGOP",7
"ChrisCoons",7
"CityofGulfport",7
"Crossfire",7
"GulfportHigh",7
"HHSGov",7
"hughhewitt",7
"LizClaman",7
"mdaworks",7
"RepChrisSmith",7
"SenatorTimScott",7
"SenJohnThune",7
"WSJ",7
"AmeriCorps",6
"DeltaState",6
"laporsharenae",6
"marcorubio",6
"Raytheon",6
"RogerWicker",6
"samkendricks",6
"SASCMajority",6
"ScottPruittOK",6
"senate_gops",6
"SenatorHeitkamp",6
"TeamCavuto",6
"TheJusticeDept",6
"trentWHarmon",6
"UMMCTelehealth",6
"usedgov",6
"VisitMSCoast",6
"WashTimes",6
"16WAPTNews",5
"AlcornStateU",5
"AmericanIdol",5
"AmericanLegion",5
"chucktodd",5
"DeltaRegional",5
"DJournalnow",5
"GOPSenFinance",5
"JimInhofe",5
"JohnBoozman",5
"jontester",5
"mitchellreports",5
"MPBOnline",5
"MS_Boysstate",5
"MSEMA",5
"nasmeridianms",5
"NewsHour",5
"NIH",5
"PascagoulaCity",5
"politico",5
"SecretarySonny",5
"SenAlexander",5
"SenatorKirk",5
"SenBlumenthal",5
"SenCoryGardner",5
"SenJohnBarrasso",5
"SenSherrodBrown",5
"SouthernMiss",5
"SundayFutures",5
"TheNatchezTrace",5
"TupeloHigh",5
"TVAnews",5
"VP",5
"xprize",5
"YokohamaTC",5
"amphibwarships",4
"BillCassidy",4
"CBSThisMorning",4
"CTIA",4
"dailyrundown",4
"EPWGOP",4
"EPWRepublicans",4
"FAANews",4
"FirstNetGov",4
"fxnopinion",4
"GrahamBlog",4
"gretabrawner",4
"HailStateWBK",4
"IAAFWorldChamps",4
"Interior",4
"JacksonStateU",4
"JansingCo",4
"JohnCornyn",4
"Kiwanis",4
"lisamurkowski",4
"MariaBartiromo",4
"Morning_Joe",4
"nikkihaley",4
"SECNAV",4
"SenatorDurbin",4
"SenatorShaheen",4
"SenCapito",4
"sendavidperdue",4
"SenFeinstein",4
"SenGillibrand",4
"SenJohnMcCain",4
"senorrinhatch",4
"SenPatRoberts",4
"SenTomCotton",4
"SpclOlympicsMS",4
"SpeakerBoehner",4
"sunherald",4
"TheTupeloBand",4
"USACEHQ",4
"USCBO",4
"USChamber",4
"USDOT",4
"USTreasury",4
"USUN",4
"wolfblitzer",4
"wtvanews",4
"ADPHattiesburg",3
"arrl",3
"Boeing",3
"boyscouts",3
"CBSNews",3
"cspanMcArdle",3
"CSpire",3
"DeptofDefense",3
"DHSgov",3
"EPAScottPruitt",3
"Favre4Official",3
"FoxFriendsFirst",3
"gwenifill",3
"LEAD_Coalition",3
"March_for_Life",3
"MarkWarner",3
"maziehirono",3
"memphisnews",3
"MikeEmanuelFox",3
"Mississippi_DMR",3
"Mississippi4H",3
"msgulfcoast",3
"MyTupelo",3
"NASA",3
"NFIB",3
"NGAUS1878",3
"NissanUSA",3
"NOAA",3
"oscepa",3
"RiponAdvance",3
"SecElaineChao",3
"SenatorBurr",3
"SenatorHassan",3
"SenatorLeahy",3
"SenatorTomUdall",3
"SenBobCasey",3
"SenCortezMasto",3
"SenJackReed",3
"SenJoniErnst",3
"SenRonJohnson",3
"SenThomTillis",3
"ShopFloorNAM",3
