"Hashtag","Frequency"
"Ohio",768
"jobs",376
"SESTA",309
"taxreform",232
"TaxReform",200
"STOPAct",179
"Jobs",177
"opioidcrisis",140
"EndHumanTrafficking",133
"CARA",92
"Backpage",72
"humantrafficking",57
"middleclass",52
"CDA230",49
"PassRAA",48
"smallbiz",45
"NorthKorea",38
"Ukraine",38
"Russia",37
"China",35
"CHIP",35
"healthcare",34
"GreatLakes",31
"endhumantrafficking",28
"CareerTechEd",24
"opioidepidemic",22
"NDAA",21
"SCOTUS",21
"DefendTheLand",20
"Columbus",19
"CutRedTape",18
"HumanTrafficking",18
"Cleveland",17
"Iran",15
"RAA",15
"ConfirmGorsuch",13
"ExtendCHIP",13
"GoBucks",12
"SmallBiz",12
"HumanTraffickingAwarenessDay",11
"Obamacare",11
"PuertoRico",10
"SOTU",10
"NationalPoliceWeek",9
"OHTF1",9
"SaveCHIP",9
"BacktheBlue",8
"Buckeye",8
"NAFTA",8
"POTUS",8
"Cbus",7
"DefendtheLand",7
"HumanTraffickingAwarenessMonth",7
"ohio",7
"Olympics",7
"RallyTogether",7
"RegReform",7
"Syria",7
"Cincinnati",6
"CURES",6
"ListenToSurvivors",6
"NBAFinals",6
"OpioidCrisis",6
"PassSESTA",6
"Pelotonia17",6
"PerkinsLoan",6
"DACA",5
"DrugTakeBackDay",5
"Gorsuch",5
"Israel",5
"JobsReport",5
"LetsGoX",5
"marchmadness",5
"MLKDay",5
"NPS101",5
"Thanksgiving",5
"Crimea",4
"FindYourPark",4
"infrastructure",4
"Manchester",4
"MiddleClass",4
"NATO",4
"smallbusiness",4
"SmallBusiness",4
"TeamUSA",4
"veterans",4
"AmazonHQ2",3
"backtheblue",3
"BlackHistoryMonth",3
"Buckeyes",3
"CTE",3
"DrugTakeBack",3
"HurricaneIrma",3
"KeystoneXL",3
"KidstoParks",3
"MFGDay17",3
"miners",3
"NationalPrayerBreakfast",3
"OpeningDay",3
"regreform",3
"Smallbiz",3
"Taxreform",3
"TBT",3
"USSJohnSMcCain",3
"Veterans",3
"VPinOH",3
"WhyWeMarch",3
"Youngstown",3
"Afghanistan",2
"AHCA",2
"ArmedForcesDay",2
"AUMF",2
"BackTheBlue",2
"Bearcats",2
"BikeToCure",2
"CavsWarriors",2
"Charlottesville",2
"Dayton",2
"DDay",2
"disinfoweek",2
"drugepidemic",2
"DrugFreeCommunities",2
"endtrafficking",2
"FathersDay",2
"GLRI",2
"GoTribe",2
"GrahamCassidy",2
"GreatestGeneration",2
"Harvey",2
"Healthcare",2
"humanrights",2
"IndependenceDay",2
"IranDeal",2
"July4th",2
"LaborDay",2
