"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970722147890028545",2018-03-05 18:06:09,"x787373558","RepCummings","RT @OversightDems: If true, these reports raise significant questions about what was discussed in these meetings, the terms of these loans,…","Twitter Web Client",,,,FALSE,TRUE,0,64,,,,,,,,,,,,,,"x31122582","OversightDems","en",,,"x970721665125703684","If true, these reports raise significant questions about what was discussed in these meetings, the terms of these loans, and what #JaredKushner knew about Kushner Companies’ solicitations for financial assistance.
https://t.co/nK2S9CAV8R",,,,,,,,,
"x970722119247155200",2018-03-05 18:06:03,"x787373558","RepCummings","RT @OversightDems: BREAKING: Top Democrats Request Documents After Reports That #JaredKushner Companies Received Massive Loans After White…","Twitter Web Client",,,,FALSE,TRUE,0,277,"JaredKushner",,,,,,,,,,,,,"x31122582","OversightDems","en",,,"x970721335512059904","BREAKING: Top Democrats Request Documents After Reports That #JaredKushner Companies Received Massive Loans After White House Meetings
 https://t.co/TxH7FNhlXB",,,,,,,,,
"x969337083268620289",2018-03-01 22:22:24,"x787373558","RepCummings","RT @OversightDems: JUST IN: Democrats Ask Gowdy to Subpoena IRS Inspector General for Documents on Flawed So-Called “Targeting” Report http…","Twitter Lite",,,,FALSE,TRUE,0,191,,,,,,,,,,,,,,"x31122582","OversightDems","en",,,"x969310388037849088","JUST IN: Democrats Ask Gowdy to Subpoena IRS Inspector General for Documents on Flawed So-Called “Targeting” Report https://t.co/P25jWndQaD",,,,,,,,,
"x969249586438180864",2018-03-01 16:34:43,"x787373558","RepCummings","RT @OversightDems: BREAKING: Top Democrats Request Subpoena for Documents Withheld by Sessions on Communications with White House About AT&amp;…","Twitter Web Client",,,,FALSE,TRUE,0,665,,,,,,,,,,,,,,"x31122582","OversightDems","en",,,"x969246691244281856","BREAKING: Top Democrats Request Subpoena for Documents Withheld by Sessions on Communications with White House About AT&amp;T-Time Warner Merger
 https://t.co/HCCyEIqY6s",,,,,,,,,
"x968606746179760128",2018-02-27 22:00:18,"x787373558","RepCummings","RT @OversightDems: JUST IN: Top Dems Request Info from Pentagon on Reports that Manafort Promised Army Secretary Job To Banker Who Loaned H…","Twitter Web Client",,,,FALSE,TRUE,0,244,,,,,,,,,,,,,,"x31122582","OversightDems","en",,,"x968606072683495424","JUST IN: Top Dems Request Info from Pentagon on Reports that Manafort Promised Army Secretary Job To Banker Who Loaned Him Millions. https://t.co/0t4PjlHA00",,,,,,,,,
"x968535346085552129",2018-02-27 17:16:35,"x787373558","RepCummings","The future of #NetNeutrality hangs in the balance. The GOP @FCC Commissioners want to kill the open internet. Democrats have a plan to #SaveTheInternet. We must reverse this  terrible ruling. https://t.co/8nzZKgLh7H","Twitter Web Client",,,,FALSE,FALSE,780,399,"NetNeutrality SaveTheInternet",,"wired.com/story/senate-d…","https://t.co/8nzZKgLh7H","https://www.wired.com/story/senate-democrats-have-a-plan-to-save-net-neutrality/",,,,,,,,,"x66369206","FCC","en",,,,,,,,,,,,,
"x968513897702612992",2018-02-27 15:51:21,"x787373558","RepCummings","RT @OversightDems: BREAKING:@RepCummings Seeks Subpoena for Documents onTrump Administration’s Secret Collaboration with Anti-Choice Group…","Twitter Web Client",,,,FALSE,TRUE,0,580,,,,,,,,,,,,,,"x31122582 787373558","OversightDems RepCummings","en",,,"x968510274734100482","BREAKING:@RepCummings Seeks Subpoena for Documents onTrump Administration’s Secret Collaboration with Anti-Choice Group to Target Planned Parenthood. https://t.co/G2lSzxsTk9",,,,,,,,,
"x968229147851022338",2018-02-26 20:59:52,"x787373558","RepCummings","Measures to reduce gun violence have broad support from the American people, including from gun owners. For too long, Congress has done nothing to protect our public safety. We must act, for the sake of our children and for generations yet unborn. #NeverAgain","Twitter Web Client","x968229146706042889","x787373558","RepCummings",FALSE,FALSE,501,148,"NeverAgain",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x968229146706042889",2018-02-26 20:59:52,"x787373558","RepCummings","My colleagues and I have introduced many pieces of legislation that would reduce gun violence, but we have been blocked at every turn. I call upon @SpeakerRyan yet again to bring these common sense measures to the floor and allow a vote. #NeverAgain","Twitter Web Client","x968229145573580802","x787373558","RepCummings",FALSE,FALSE,598,206,"NeverAgain",,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,,,,,,,,,,,
"x968229145573580802",2018-02-26 20:59:51,"x787373558","RepCummings","Assault weapons are meant for battlefields, not for our streets and schools. I am proud to join @davidcicilline and over 150 of my colleagues today in introducing the Assault Weapons Ban of 2018. #NeverAgain","Twitter Web Client",,,,FALSE,FALSE,3567,1209,"NeverAgain",,,,,,,,,,,,,"x23593446","davidcicilline","en",,,,,,,,,,,,,
