"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970756317454495744",2018-03-05 20:21:56,"x254082173","RepJoeWilson","I am grateful for the opportunity to attend the @AIPAC Policy Conference this weekend, where I participating in a panel discussion on ""The Threat to Israel from Gaza."" Thank you for having me! https://t.co/cmGmrLo6Ha","TweetDeck",,,,FALSE,FALSE,1,2,,,,,,"http://pbs.twimg.com/media/DXjRqX6WAAAdbZT.jpg","https://t.co/cmGmrLo6Ha","https://twitter.com/RepJoeWilson/status/970756317454495744/photo/1","photo","http://pbs.twimg.com/media/DXjRqX6WAAAdbZT.jpg http://pbs.twimg.com/media/DXjRqX5W0AAXbkj.jpg http://pbs.twimg.com/media/DXjRqX3W4AAvFJa.jpg","https://t.co/cmGmrLo6Ha https://t.co/cmGmrLo6Ha https://t.co/cmGmrLo6Ha","https://twitter.com/RepJoeWilson/status/970756317454495744/photo/1 https://twitter.com/RepJoeWilson/status/970756317454495744/photo/1 https://twitter.com/RepJoeWilson/status/970756317454495744/photo/1",,"x15987296","AIPAC","en",,,,,,,,,,,,,
"x970734093649547265",2018-03-05 18:53:37,"x254082173","RepJoeWilson","RT @HouseGOP: Do you want to pay off some of your student loans? Or maybe send your kids to soccer camp? Thanks to the #TaxCutsandJobsAct,…","TweetDeck",,,,FALSE,TRUE,0,24,"TaxCutsandJobsAct",,,,,,,,,,,,,"x15207668","HouseGOP","en",,,"x970720850247761921","Do you want to pay off some of your student loans? Or maybe send your kids to soccer camp? Thanks to the #TaxCutsandJobsAct, you’ll have extra money back in your wallet to do just that.
https://t.co/vTnOQg1q8X https://t.co/MnULxb0sSJ",,,,,,,,,
"x970711714760216577",2018-03-05 17:24:42,"x254082173","RepJoeWilson","RT @EdWorkforce: TOMORROW ➡️ Subcommittee on Early Childhood, Elementary, and Secondary Education examines the role of welfare in the child…","TweetDeck",,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x16424044","EdWorkforce","en",,,"x970711356029788160","TOMORROW ➡️ Subcommittee on Early Childhood, Elementary, and Secondary Education examines the role of welfare in the child care system. https://t.co/ZaxGXDche8",,,,,,,,,
"x969641804659417090",2018-03-02 18:33:15,"x254082173","RepJoeWilson","RT @HouseGOP: The lives of everyday American families are changed with the #TaxCutsandJobsAct because it:
✔ Expands the Child Tax Credit fr…","Twitter for iPhone",,,,FALSE,TRUE,0,75,"TaxCutsandJobsAct",,,,,,,,,,,,,"x15207668","HouseGOP","en",,,"x969583103143538688","The lives of everyday American families are changed with the #TaxCutsandJobsAct because it:
✔ Expands the Child Tax Credit from $1,000 to $2,000
✔ Preserves the Child and Dependent Care Tax Credit 
✔ Preserves the Adoption Tax Credit.",,,,,,,,,
"x969264630961983489",2018-03-01 17:34:30,"x254082173","RepJoeWilson","Today, I had the opportunity to meet with @scwgcap cadets who are in town for their annual legislative day on Capitol Hill. I am a proud member of the Civil Air Patrol Congressional Squadron, and I am grateful for the opportunity to continue supporting their missions! https://t.co/HHdhoeDNeE","Twitter Web Client",,,,FALSE,FALSE,9,5,,,,,,"http://pbs.twimg.com/media/DXOEyHOXcAMJoKg.jpg","https://t.co/HHdhoeDNeE","https://twitter.com/RepJoeWilson/status/969264630961983489/photo/1","photo","http://pbs.twimg.com/media/DXOEyHOXcAMJoKg.jpg","https://t.co/HHdhoeDNeE","https://twitter.com/RepJoeWilson/status/969264630961983489/photo/1",,"x2469775549","scwgcap","en",,,,,,,,,,,,,
"x969253030234337281",2018-03-01 16:48:24,"x254082173","RepJoeWilson","RT @DeptofDefense: MT Congratulations to Georgia Army National Guard #soldier Spc. Jason Warren and his wife Cortney as their son, Lucas, w…","TweetDeck",,,,FALSE,TRUE,0,417,"soldier",,,,,,,,,,,,,"x66369181","DeptofDefense","en",,,"x968935173243985921","MT Congratulations to Georgia Army National Guard #soldier Spc. Jason Warren and his wife Cortney as their son, Lucas, was chosen as the 2018 #Gerber Spokesbaby out of more than 140,000 entries. Read: https://t.co/VsX5eAg6QZ https://t.co/dLZZDTJn0n",,,,,,,,,
"x969229550789038080",2018-03-01 15:15:06,"x254082173","RepJoeWilson","RT @SpeakerRyan: It’s time to #CheckYourCheck. Starting this month, 90% of Americans will see bigger paychecks as a result of the tax cuts…","TweetDeck",,,,FALSE,TRUE,0,262,"CheckYourCheck",,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,"x969227535996325888","It’s time to #CheckYourCheck. Starting this month, 90% of Americans will see bigger paychecks as a result of the tax cuts bill. https://t.co/2xgkuPGmUD",,,,,,,,,
"x969222692435120134",2018-03-01 14:47:51,"x254082173","RepJoeWilson","RT @SteveScalise: The economy is making a comeback → unemployment claims fell to the lowest point since 1969
https://t.co/Abl6b0rOdM","TweetDeck",,,,FALSE,TRUE,0,215,,,"bloomberg.com/news/articles/…","https://t.co/Abl6b0rOdM","https://www.bloomberg.com/news/articles/2018-03-01/jobless-claims-in-u-s-drop-to-lowest-in-almost-five-decades",,,,,,,,,"x1209417007","SteveScalise","en",,,"x969216587873087488","The economy is making a comeback → unemployment claims fell to the lowest point since 1969
https://t.co/Abl6b0rOdM",,,,,,,,,
"x969207884176330752",2018-03-01 13:49:01,"x254082173","RepJoeWilson","RT @HouseForeign: (1/2) Glad to see @RepSteveChabot's Taiwan Travel Act passed the Senate &amp; now heads to the president's desk.","TweetDeck",,,,FALSE,TRUE,0,14,,,,,,,,,,,,,,"x75367781 237750442","HouseForeign RepSteveChabot","en",,,"x969038415562977280","(1/2) Glad to see @RepSteveChabot's Taiwan Travel Act passed the Senate &amp; now heads to the president's desk.",,,,,,,,,
"x968988554411020289",2018-02-28 23:17:28,"x254082173","RepJoeWilson","Today, I met with representatives from the S.C. Broadcasting Association where we discussed their legislative priorities, including the Satellite Television Extension and Localism Reauthorization Act, &amp; the Local Radio Freedom Act. Thank you for taking time to meet with me! #SC02 https://t.co/yyrqY6BNvO","Twitter Web Client",,,,FALSE,FALSE,6,1,"SC02",,,,,"http://pbs.twimg.com/media/DXKJzF3W4AARPtY.jpg","https://t.co/yyrqY6BNvO","https://twitter.com/RepJoeWilson/status/968988554411020289/photo/1","photo","http://pbs.twimg.com/media/DXKJzF3W4AARPtY.jpg","https://t.co/yyrqY6BNvO","https://twitter.com/RepJoeWilson/status/968988554411020289/photo/1",,,,"en",,,,,,,,,,,,,
