"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969047823273615360",2018-03-01 03:12:59,"x249410485","SanfordBishop","@Morehouse (est. in 1867) is 1 of 10 HBCUs in GA &amp; 1 of 2 HBCUs to produce Rhode Scholars. Notable alumni include Dr. Martin Luther King, Jr., Dr. Benjamin E. Mays, Julian Bond &amp; others including yours truly. #BlackHistoryMonth https://t.co/1apYdAbuUJ","Twitter for iPhone",,"x111074974","Morehouse",FALSE,FALSE,3,2,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DXK_23nVAAAUIQU.jpg","https://t.co/1apYdAbuUJ","https://twitter.com/SanfordBishop/status/969047823273615360/photo/1","photo","http://pbs.twimg.com/media/DXK_23nVAAAUIQU.jpg","https://t.co/1apYdAbuUJ","https://twitter.com/SanfordBishop/status/969047823273615360/photo/1",,"x111074974","Morehouse","en",,,,,,,,,,,,,
"x968983828118298624",2018-02-28 22:58:42,"x249410485","SanfordBishop","Today, I had the pleasure of meeting with the Dooly County Delegation! #SWGA https://t.co/2manvv3i9C","Twitter Web Client",,,,FALSE,FALSE,2,3,"SWGA",,,,,"http://pbs.twimg.com/media/DXKDc_6XcAIRjD7.jpg","https://t.co/2manvv3i9C","https://twitter.com/SanfordBishop/status/968983828118298624/photo/1","photo","http://pbs.twimg.com/media/DXKDc_6XcAIRjD7.jpg","https://t.co/2manvv3i9C","https://twitter.com/SanfordBishop/status/968983828118298624/photo/1",,,,"en",,,,,,,,,,,,,
"x968871825630515200",2018-02-28 15:33:38,"x249410485","SanfordBishop","RT @RepJohnLarson: This week we recognize #PeaceCorpsWeek. President Kennedy had the foresight to establish a program that went beyond nati…","Twitter Web Client",,,,FALSE,TRUE,0,43,"PeaceCorpsWeek",,,,,,,,,,,,,"x50452197","RepJohnLarson","en",,,"x968860056199614465","This week we recognize #PeaceCorpsWeek. President Kennedy had the foresight to establish a program that went beyond national interest to build bridges according to our shared human experience. https://t.co/758ADXjnWW",,,,,,,,,
"x968634232460410882",2018-02-27 23:49:32,"x249410485","SanfordBishop","Fletcher Henderson, Jr., the father of ”Big Band Jazz”, was a talented pianist, conductor, arranger, and composer born Cuthbert, Georgia in 1897. #BlackHistoryMonth https://t.co/xgOii5gfr9","Twitter for iPhone",,,,FALSE,FALSE,8,5,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DXFHsumXkAE2W5H.jpg","https://t.co/xgOii5gfr9","https://twitter.com/SanfordBishop/status/968634232460410882/photo/1","photo","http://pbs.twimg.com/media/DXFHsumXkAE2W5H.jpg","https://t.co/xgOii5gfr9","https://twitter.com/SanfordBishop/status/968634232460410882/photo/1",,,,"en",,,,,,,,,,,,,
"x968562679425232896",2018-02-27 19:05:12,"x249410485","SanfordBishop","Thank you @StateDept for inviting me to speak at your National African-American History Month program. https://t.co/xGMPPTSAku","Twitter Web Client",,,,FALSE,FALSE,7,4,,,,,,"http://pbs.twimg.com/media/DXEFTWbWkAIyjZo.jpg","https://t.co/xGMPPTSAku","https://twitter.com/SanfordBishop/status/968562679425232896/photo/1","photo","http://pbs.twimg.com/media/DXEFTWbWkAIyjZo.jpg","https://t.co/xGMPPTSAku","https://twitter.com/SanfordBishop/status/968562679425232896/photo/1",,"x9624742","StateDept","en",,,,,,,,,,,,,
"x968204073605517312",2018-02-26 19:20:14,"x249410485","SanfordBishop","The Old Mt. Zion Baptist Church in Albany, Georgia was a prominent gathering place for civil rights activists during the Albany Civil Rights Movement in the 1960s. #BlackHistoryMonth https://t.co/hs6UzU08Xf","Twitter Web Client",,,,FALSE,FALSE,4,4,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DW-6TaTX0AAl4zd.jpg","https://t.co/hs6UzU08Xf","https://twitter.com/SanfordBishop/status/968204073605517312/photo/1","photo","http://pbs.twimg.com/media/DW-6TaTX0AAl4zd.jpg","https://t.co/hs6UzU08Xf","https://twitter.com/SanfordBishop/status/968204073605517312/photo/1",,,,"en",,,,,,,,,,,,,
"x967169724961447937",2018-02-23 22:50:06,"x249410485","SanfordBishop","“The Father of Soul”, Ray Charles, was born in Albany, Georgia in 1930. This musical genius helped establish the musical genre known as “Soul” by mixing sounds of Gospel, Jazz, and R&amp;B music. #BlackHistoryMonth https://t.co/8rsOoNEhPu","Twitter Web Client",,,,FALSE,FALSE,18,9,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWwTVYXXUAIyP5z.jpg","https://t.co/8rsOoNEhPu","https://twitter.com/SanfordBishop/status/967169724961447937/photo/1","photo","http://pbs.twimg.com/media/DWwTVYXXUAIyP5z.jpg","https://t.co/8rsOoNEhPu","https://twitter.com/SanfordBishop/status/967169724961447937/photo/1",,,,"en",,,,,,,,,,,,,
"x966783222393733122",2018-02-22 21:14:16,"x249410485","SanfordBishop","Joshua Gibson aka “The Black Babe Ruth” was born in Buena Vista, Georgia in 1911. This legendary baseball player was one of the first Negro League veterans to be inducted into the National Baseball Hall of Fame in 1972. #BHM https://t.co/8UH3M5LTdl","Twitter Web Client",,,,FALSE,FALSE,4,6,"BHM",,,,,"http://pbs.twimg.com/media/DWqzzURXUAA3Hv5.jpg","https://t.co/8UH3M5LTdl","https://twitter.com/SanfordBishop/status/966783222393733122/photo/1","photo","http://pbs.twimg.com/media/DWqzzURXUAA3Hv5.jpg","https://t.co/8UH3M5LTdl","https://twitter.com/SanfordBishop/status/966783222393733122/photo/1",,,,"en",,,,,,,,,,,,,
"x966413756778598401",2018-02-21 20:46:09,"x249410485","SanfordBishop","Rock ‘n’ Roll icon Richard “Little Richard” Wayne Penniman was born December 5, 1932 in Macon, Georgia. #BlackHistoryMonth https://t.co/wfK5o1783w","Twitter Web Client",,,,FALSE,FALSE,9,7,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWlkCM1X0AEl_sb.jpg","https://t.co/wfK5o1783w","https://twitter.com/SanfordBishop/status/966413756778598401/photo/1","photo","http://pbs.twimg.com/media/DWlkCM1X0AEl_sb.jpg","https://t.co/wfK5o1783w","https://twitter.com/SanfordBishop/status/966413756778598401/photo/1",,,,"en",,,,,,,,,,,,,
"x966402852204752898",2018-02-21 20:02:49,"x249410485","SanfordBishop","Happy Birthday to my dear friend and colleague @repjohnlewis! You are a true civil rights hero and an inspiration to all! #GoodTrouble","Twitter Web Client",,,,FALSE,FALSE,11,2,"GoodTrouble",,,,,,,,,,,,,"x29450962","repjohnlewis","en",,,,,,,,,,,,,
"x965993980679872514",2018-02-20 16:58:06,"x249410485","SanfordBishop","Founded in 1903 in Albany, Georgia, @AlbanyStateUniv is 1 of 10 HBCUs in Georgia, and 1 of 2 HBCUs in Georgia’s 2nd Congressional District. #BlackHistoryMonth https://t.co/zUzR664uMG","Twitter Web Client",,,,FALSE,FALSE,4,4,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWfkw_bWsAAR1-M.jpg","https://t.co/zUzR664uMG","https://twitter.com/SanfordBishop/status/965993980679872514/photo/1","photo","http://pbs.twimg.com/media/DWfkw_bWsAAR1-M.jpg","https://t.co/zUzR664uMG","https://twitter.com/SanfordBishop/status/965993980679872514/photo/1",,"x374160270","AlbanyStateUniv","en",,,,,,,,,,,,,
"x965640900620816384",2018-02-19 17:35:06,"x249410485","SanfordBishop","A native of Macon, Georgia (by way of Dawson, Georgia), Otis Ray Redding, Jr. was a world-renowned musician whose timeless talent and unique sound earned him the nickname “The King of Soul”. #BlackHistoryMonth https://t.co/qmMzZeLo3Z","Twitter for iPhone",,,,FALSE,FALSE,12,5,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWalR18XcAIReFn.jpg","https://t.co/qmMzZeLo3Z","https://twitter.com/SanfordBishop/status/965640900620816384/photo/1","photo","http://pbs.twimg.com/media/DWalR18XcAIReFn.jpg","https://t.co/qmMzZeLo3Z","https://twitter.com/SanfordBishop/status/965640900620816384/photo/1",,,,"en",,,,,,,,,,,,,
"x964540756634558465",2018-02-16 16:43:31,"x249410485","SanfordBishop","Jack “Jackie” Roosevelt Robinson was born in 1919 in Cairo, Georgia. He was the 1st African-American to play Major League Baseball in the 20th century and the 1st African-American to be inducted into the Baseball Hall of Fame. #BlackHistoryMonth https://t.co/op9IlOCzPm","Twitter Web Client",,,,FALSE,FALSE,6,5,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWK7I_fWkAYFbxE.jpg","https://t.co/op9IlOCzPm","https://twitter.com/SanfordBishop/status/964540756634558465/photo/1","photo","http://pbs.twimg.com/media/DWK7I_fWkAYFbxE.jpg","https://t.co/op9IlOCzPm","https://twitter.com/SanfordBishop/status/964540756634558465/photo/1",,,,"en",,,,,,,,,,,,,
"x964213059169464320",2018-02-15 19:01:22,"x249410485","SanfordBishop","The Bridge House in Albany, Georgia was built in 1858 by Horace King, a freed African-American architect. This historic landmark is now the home of the Albany Welcome Center. #BlackHistoryMonth https://t.co/3XFXAGan26","Twitter Web Client",,,,FALSE,FALSE,4,5,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWGSiNUWkAA9e4L.jpg","https://t.co/3XFXAGan26","https://twitter.com/SanfordBishop/status/964213059169464320/photo/1","photo","http://pbs.twimg.com/media/DWGSiNUWkAA9e4L.jpg","https://t.co/3XFXAGan26","https://twitter.com/SanfordBishop/status/964213059169464320/photo/1",,,,"en",,,,,,,,,,,,,
"x964150795397713921",2018-02-15 14:53:57,"x249410485","SanfordBishop","I have significant concerns over the White House’s SNAP proposal. https://t.co/2dWQNPkRhb","Twitter Web Client",,,,FALSE,FALSE,6,6,,,"bishop.house.gov/media-center/p…","https://t.co/2dWQNPkRhb","https://bishop.house.gov/media-center/press-releases/congressman-bishop-statement-on-white-house-s-fy19-budget-request-and",,,,,,,,,,,"en",,,,,,,,,,,,,
"x963954911816888321",2018-02-15 01:55:35,"x249410485","SanfordBishop","Founded in 1895 in Fort Valley, Georgia, @FVSU is 1 of 10 HBCUs in Georgia and 1 of 2 HBCUs in Georgia’s 2nd Congressional District. #BlackHistoryMonth https://t.co/KzVDRdUwld","Twitter for iPhone",,,,FALSE,FALSE,51,26,"BlackHistoryMonth",,,,,"http://pbs.twimg.com/media/DWCn4hpVQAAQtUC.jpg","https://t.co/KzVDRdUwld","https://twitter.com/SanfordBishop/status/963954911816888321/photo/1","photo","http://pbs.twimg.com/media/DWCn4hpVQAAQtUC.jpg","https://t.co/KzVDRdUwld","https://twitter.com/SanfordBishop/status/963954911816888321/photo/1",,"x19934409","FVSU","en",,,,,,,,,,,,,
