"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969593556510928897",2018-03-02 15:21:32,"x2966758114","RepRussell","Earlier this week I discussed my recent investigative trip to Niger with @NEWS9's @GrantHermesKWTV.
https://t.co/HuveZPx6uh","Twitter Web Client",,,,FALSE,FALSE,5,3,,,"news9.com/story/37631479…","https://t.co/HuveZPx6uh","http://www.news9.com/story/37631479/only-on-9-rep-russell-tours-africa-after-soldiers-deaths",,,,,,,,,"x15896162 3318963758","NEWS9 GrantHermesKWTV","en",,,,,,,,,,,,,
"x969243144549273601",2018-03-01 16:09:07,"x2966758114","RepRussell","I was on @AFRnet's Washington Watch program yesterday speaking with @tperkins, President of the @FRCdc. I gave Tony a report on what I learned during my recent investigative trip to Niger. Listen here:
https://t.co/3qBeZ20TK9","Twitter Web Client",,,,FALSE,FALSE,2,3,,,"frc.org/wwlivewithtony…","https://t.co/3qBeZ20TK9","http://www.frc.org/wwlivewithtonyperkins/chris-wilson-rep-steve-russell-polycarp-gbaja",,,,,,,,,"x113423164 18958999 18163042","AFRnet tperkins FRCdc","en",,,,,,,,,,,,,
"x968880432753315840",2018-02-28 16:07:50,"x2966758114","RepRussell","Cindy and I join millions of people around the world in mourning the passing of Billy Graham. You can watch today's Capitol service for Reverend Billy Graham here: https://t.co/gfhJoj9od2
https://t.co/PERR00n4Iv https://t.co/NVjjFptYFb","Twitter Web Client",,,,FALSE,FALSE,14,7,,,"speaker.gov/live facebook.com/reprussell/pho…","https://t.co/gfhJoj9od2 https://t.co/PERR00n4Iv","http://speaker.gov/live https://www.facebook.com/reprussell/photos/pb.996556490372532.-2207520000.1519833963./1992634440764727/?type=3&theater","http://pbs.twimg.com/media/DXIng_nXUAcGMrk.jpg","https://t.co/NVjjFptYFb","https://twitter.com/RepRussell/status/968880432753315840/photo/1","photo","http://pbs.twimg.com/media/DXIng_nXUAcGMrk.jpg","https://t.co/NVjjFptYFb","https://twitter.com/RepRussell/status/968880432753315840/photo/1",,,,"en",,,,,,,,,,,,,
"x968581728590876673",2018-02-27 20:20:54,"x2966758114","RepRussell","I spoke with @kilmeade on @foxnewsradio this morning about my recent investigative trip to Niger as well as the fight against gun violence. Listen here:
https://t.co/AlIAjy8D8S","Twitter Web Client",,,,FALSE,FALSE,3,2,,,"radio.foxnews.com/2018/02/27/con…","https://t.co/AlIAjy8D8S","https://radio.foxnews.com/2018/02/27/congressman-steve-russell-the-film-video-game-industry-need-to-be-more-engaged-in-the-fight-against-gun-violence/",,,,,,,,,"x43919633 11611052","kilmeade foxnewsradio","en",,,,,,,,,,,,,
"x968533410674339840",2018-02-27 17:08:54,"x2966758114","RepRussell","I'm accepting nominations for the annual Teacher Recognition Award for teachers in Oklahoma’s 5th District. Nominations will be accepted through April 1. For questions about the nomination process please contact Cecilia Perez at the Del City office. https://t.co/YP7kMSjZvb https://t.co/k7PifcQNRK","Twitter Web Client",,,,FALSE,FALSE,2,3,,,"russell.house.gov/primary","https://t.co/YP7kMSjZvb","https://russell.house.gov/primary","http://pbs.twimg.com/media/DXDrnZLW4AAQrMO.jpg","https://t.co/k7PifcQNRK","https://twitter.com/RepRussell/status/968533410674339840/photo/1","photo","http://pbs.twimg.com/media/DXDrnZLW4AAQrMO.jpg","https://t.co/k7PifcQNRK","https://twitter.com/RepRussell/status/968533410674339840/photo/1",,,,"en",,,,,,,,,,,,,
"x968212808591650818",2018-02-26 19:54:56,"x2966758114","RepRussell","I was honored to receive @FRCAction's ""True Blue"" award last week. https://t.co/hbGEgYVtbe @FRCAction","Twitter Web Client",,,,FALSE,FALSE,7,2,,,"frcaction.org/get.cfm?i=PR18…","https://t.co/hbGEgYVtbe","http://www.frcaction.org/get.cfm?i=PR18B50",,,,,,,,,"x18163893 18163893","FRCAction FRCAction","en",,,,,,,,,,,,,
"x963891300620783619",2018-02-14 21:42:48,"x2966758114","RepRussell","Congratulations to @davidfholt on his election as mayor of Oklahoma City!","Twitter Web Client",,,,FALSE,FALSE,11,2,,,,,,,,,,,,,,"x19791281","davidfholt","en",,,,,,,,,,,,,
"x962067105360195584",2018-02-09 20:54:06,"x2966758114","RepRussell","Today, I voted to end years of devastation to our military. Read more here: https://t.co/PHMmkk5lQh","Twitter Web Client",,,,FALSE,FALSE,13,6,,,"russell.house.gov/media-center/p…","https://t.co/PHMmkk5lQh","https://russell.house.gov/media-center/press-releases/rep-russell-votes-end-years-devastation-our-military",,,,,,,,,,,"en",,,,,,,,,,,,,
"x961255956603695104",2018-02-07 15:10:53,"x2966758114","RepRussell","I was glad to join @cspan for their @cspanwj program this morning. I talked about the ongoing discussions between the House and Senate on a deal to avoid a government shutdown as well as my recently released Waste Watch report.
https://t.co/vkMTEbeoQg","Twitter Web Client",,,,FALSE,FALSE,9,4,,,"c-span.org/video/?440798-…","https://t.co/vkMTEbeoQg","https://www.c-span.org/video/?440798-3/washington-journal-representative-steve-russell-r-ok-discusses-thursdays-government-funding",,,,,,,,,"x15675138 15923226","cspan cspanwj","en",,,,,,,,,,,,,
"x960947544141520896",2018-02-06 18:45:22,"x2966758114","RepRussell","Yesterday I discussed the FISA memo with @Liz_Wheeler on @OANN. Watch here: https://t.co/KEpheWiPUq","Twitter Web Client",,,,FALSE,FALSE,31,6,,,"facebook.com/reprussell/vid…","https://t.co/KEpheWiPUq","https://www.facebook.com/reprussell/videos/1967704979924340/",,,,,,,,,"x264361128 1209936918","Liz_Wheeler OANN","en",,,,,,,,,,,,,
"x958786184918036481",2018-01-31 19:36:54,"x2966758114","RepRussell","I spoke with @BBCNews last night following President Trump's State of the Union address. Listen here: https://t.co/v0wy6wogCc","Twitter Web Client",,,,FALSE,FALSE,4,2,,,"facebook.com/reprussell/vid…","https://t.co/v0wy6wogCc","https://www.facebook.com/reprussell/videos/1961188100576028/",,,,,,,,,"x612473","BBCNews","en",,,,,,,,,,,,,
