"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966347503791673347",2018-02-21 16:22:53,"x249288197","SamsPressShop","Today America lost one of its foremost examples of faith, leadership, &amp; strong character.  Let us carry on Billy Graham's legacy of sharing God's love &amp; grace w/ others. GBU Graham family - our hearts &amp; prayers are w/ you.","Twitter Web Client",,,,FALSE,FALSE,3,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964157495156641792",2018-02-15 15:20:34,"x249288197","SamsPressShop","Glad to hear Secretary Mnuchin commit to working w/ me to support our servicemen and women by solving this problem!","Twitter Web Client",,,,FALSE,FALSE,0,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964157410033262599",2018-02-15 15:20:14,"x249288197","SamsPressShop","I asked if he thought our brave men &amp; women in uniform deserved the same retirement treatment as other public servants. He agreed they should.","Twitter Web Client",,,,FALSE,FALSE,0,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964157325962555392",2018-02-15 15:19:54,"x249288197","SamsPressShop","I also asked Secretary Mnuchin about an issue w/ the 2016 NDAA that may harm some guard &amp; reservists who also have a civilian retirement plan.","Twitter Web Client",,,,FALSE,FALSE,0,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964157244542775296",2018-02-15 15:19:34,"x249288197","SamsPressShop","I have a bill to address this that requires a Social Security # in order to claim the refundable child tax credit.  Joint Tax scored my bill, and it saves $13.3 BILLION!","Twitter Web Client",,,,FALSE,FALSE,3,6,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964157169833857036",2018-02-15 15:19:17,"x249288197","SamsPressShop","He also confirmed this meant individuals who AREN’T allowed to work here can get this credit.","Twitter Web Client",,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964157107019964417",2018-02-15 15:19:02,"x249288197","SamsPressShop","I asked Treasury Secretary Mnuchin if an individual can claim the refundable child tax credit w/ JUST individual taxpayer identification #.  He said YES.","Twitter Web Client",,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964156885933940736",2018-02-15 15:18:09,"x249288197","SamsPressShop","The President’s budget includes a proposal to stop individuals who aren’t authorized to work f/ claiming the Child Tax Credit.","Twitter Web Client",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964153095264591873",2018-02-15 15:03:05,"x249288197","SamsPressShop","WATCH LIVE: @WaysandMeansGOP hearing on the President’s FY2019 Budget Proposals https://t.co/r0OcQLyZd8","Twitter Web Client",,,,FALSE,FALSE,1,3,,,"waysandmeans.house.gov/live/","https://t.co/r0OcQLyZd8","https://waysandmeans.house.gov/live/",,,,,,,,,"x12788332","WaysandMeansGOP","en",,,,,,,,,,,,,
"x961250317869441024",2018-02-07 14:48:29,"x249288197","SamsPressShop","Wounded warriors who return to work after recovery shouldn’t forfeit their choice of health care. My bill, the HEARTS Act, rights this wrong.","Twitter Web Client",,,,FALSE,FALSE,5,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961250231672360965",2018-02-07 14:48:09,"x249288197","SamsPressShop","Veterans who return to work and want to keep Tricare coverage can only do so by staying on more expensive Medicare.","Twitter Web Client",,,,FALSE,FALSE,2,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961250144325955584",2018-02-07 14:47:48,"x249288197","SamsPressShop","She confirmed there’s a quirk in the law that means these veterans aren’t treated like everyone else and DON’T have a choice.","Twitter Web Client",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961250079330971649",2018-02-07 14:47:32,"x249288197","SamsPressShop","I also asked Ms. Clemons to detail what happens if a wounded warrior returning to work has other insurance available to them and no longer wants to be on Medicare? Do they have a choice?","Twitter Web Client",,,,FALSE,FALSE,2,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961249966948782082",2018-02-07 14:47:05,"x249288197","SamsPressShop","She said they need to get records outside of the VA as more veterans get care at other locations.","Twitter Web Client",,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961249902763429888",2018-02-07 14:46:50,"x249288197","SamsPressShop","In addition to working with the VA &amp; DOD, I also asked Ms. Clemons if there are other ways to get more electronic health records for veterans.","Twitter Web Client",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961249819917520897",2018-02-07 14:46:30,"x249288197","SamsPressShop","She said they expedite claims of vets who have a VA disability rating of 100% permanent and total","Twitter Web Client",,,,FALSE,FALSE,1,3,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x961249677839687681",2018-02-07 14:45:57,"x249288197","SamsPressShop","I asked Gina Clemons, the @SocialSecurity Associate Commissioner for the Office of Disability Policy, for more information about these expedited claims.","Twitter Web Client",,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,"x39580052","SocialSecurity","en",,,,,,,,,,,,,
"x961249629928153088",2018-02-07 14:45:45,"x249288197","SamsPressShop","While @SocialSecurity is processing disabled veterans’ initial claims 5-7 days faster than the general public, that doesn’t seem like it’s much faster.","Twitter Web Client",,,,FALSE,FALSE,1,2,,,,,,,,,,,,,,"x39580052","SocialSecurity","en",,,,,,,,,,,,,
