"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970790308173795328",2018-03-05 22:37:00,"x2974648323","SteveKnight25","RT @GOPLeader: #TaxReform 
✅Jobless Claims at 49-Year Low
✅Disposable Income ↑
✅Consumer Confidence at 18-Year High
✅Small Business Confide…","Twitter Web Client",,,,FALSE,TRUE,0,39,"TaxReform",,,,,,,,,,,,,"x19739126","GOPLeader","en",,,"x970758461570060288","#TaxReform 
✅Jobless Claims at 49-Year Low
✅Disposable Income ↑
✅Consumer Confidence at 18-Year High
✅Small Business Confidence at All-Time High https://t.co/SLj5cgG6UQ",,,,,,,,,
"x969648542301151232",2018-03-02 19:00:02,"x2974648323","SteveKnight25","https://t.co/i8VP8Jreag","TweetDeck",,,,FALSE,FALSE,23,11,,,,,,"http://pbs.twimg.com/media/DXTSBABWsAABi_q.jpg","https://t.co/i8VP8Jreag","https://twitter.com/SteveKnight25/status/969648542301151232/photo/1","photo","http://pbs.twimg.com/media/DXTSBABWsAABi_q.jpg","https://t.co/i8VP8Jreag","https://twitter.com/SteveKnight25/status/969648542301151232/photo/1",,,,"und",,,,,,,,,,,,,
"x969633435521298433",2018-03-02 18:00:00,"x2974648323","SteveKnight25","Absolutely beautiful rainbow over Quartz Hill this morning. Living in SoCal is such a blessing. https://t.co/5uSogDP4Fx","TweetDeck",,,,FALSE,FALSE,14,3,,,,,,"http://pbs.twimg.com/media/DXTS1jJW0AY8DiP.jpg","https://t.co/5uSogDP4Fx","https://twitter.com/SteveKnight25/status/969633435521298433/photo/1","photo","http://pbs.twimg.com/media/DXTS1jJW0AY8DiP.jpg","https://t.co/5uSogDP4Fx","https://twitter.com/SteveKnight25/status/969633435521298433/photo/1",,,,"en",,,,,,,,,,,,,
"x969631352285990912",2018-03-02 17:51:43,"x2974648323","SteveKnight25","Lily and I had a great time at the Antelope Valley Board of Trade reception last night. Looking forward to hearing from some great speakers today at the Business Outlook Conference. https://t.co/XBWjjpYlkt","TweetDeck",,,,FALSE,FALSE,9,4,,,,,,"http://pbs.twimg.com/media/DXTSkcCWAAAO6hR.jpg","https://t.co/XBWjjpYlkt","https://twitter.com/SteveKnight25/status/969631352285990912/photo/1","photo","http://pbs.twimg.com/media/DXTSkcCWAAAO6hR.jpg","https://t.co/XBWjjpYlkt","https://twitter.com/SteveKnight25/status/969631352285990912/photo/1",,,,"en",,,,,,,,,,,,,
"x969321023031205888",2018-03-01 21:18:35,"x2974648323","SteveKnight25","Today I spoke with local and federal law enforcement professionals to share ideas on how to detect and prevent school shootings. Thank you everyone who participated in these discussions. We need to get this done.
https://t.co/trI9MBAbUN","Twitter Web Client",,,,FALSE,FALSE,10,2,,,"knight.house.gov/news/documents…","https://t.co/trI9MBAbUN","https://knight.house.gov/news/documentsingle.aspx?DocumentID=1587",,,,,,,,,,,"en",,,,,,,,,,,,,
"x969253037121339393",2018-03-01 16:48:26,"x2974648323","SteveKnight25","RT @SpeakerRyan: It’s time to #CheckYourCheck. Starting this month, 90% of Americans will see bigger paychecks as a result of the tax cuts…","Twitter Web Client",,,,FALSE,TRUE,0,262,"CheckYourCheck",,,,,,,,,,,,,"x18916432","SpeakerRyan","en",,,"x969227535996325888","It’s time to #CheckYourCheck. Starting this month, 90% of Americans will see bigger paychecks as a result of the tax cuts bill. https://t.co/2xgkuPGmUD",,,,,,,,,
"x968970486775500805",2018-02-28 22:05:41,"x2974648323","SteveKnight25","I had a great time speaking at the National Indian Gaming Association's leadership summit today. Thank you for inviting me and for all that you do! https://t.co/G2I8TkWboz","Twitter Web Client",,,,FALSE,FALSE,10,3,,,,,,"http://pbs.twimg.com/media/DXJ5dE0WsAEsqPL.jpg","https://t.co/G2I8TkWboz","https://twitter.com/SteveKnight25/status/968970486775500805/photo/1","photo","http://pbs.twimg.com/media/DXJ5dE0WsAEsqPL.jpg","https://t.co/G2I8TkWboz","https://twitter.com/SteveKnight25/status/968970486775500805/photo/1",,,,"en",,,,,,,,,,,,,
"x968888442506670080",2018-02-28 16:39:40,"x2974648323","SteveKnight25","It was an honor to participate in Reverend Billy Graham’s memorial service today in the Capitol Rotunda. Throughout his life, Rev. Graham inspired millions of Americans, including several Presidents of both parties, with his faith and wisdom. May he rest in peace. https://t.co/ConNxef4Xv","Twitter Web Client",,,,FALSE,FALSE,17,7,,,,,,"http://pbs.twimg.com/media/DXIu5KuX4AAck5s.jpg","https://t.co/ConNxef4Xv","https://twitter.com/SteveKnight25/status/968888442506670080/photo/1","photo","http://pbs.twimg.com/media/DXIu5KuX4AAck5s.jpg","https://t.co/ConNxef4Xv","https://twitter.com/SteveKnight25/status/968888442506670080/photo/1",,,,"en",,,,,,,,,,,,,
"x968575696779005952",2018-02-27 19:56:56,"x2974648323","SteveKnight25","Today I introduced H.R. 5100, the Recovery Homes Certification Act with @RepAnnaEshoo. The Opioid Epidemic must be attacked from all sides. This bill would improve accountability and service standards at addiction recovery homes. Read more here: https://t.co/rP6smCAJSB https://t.co/3rjjIQzAa7","Twitter Web Client",,,,FALSE,FALSE,10,2,,,"knight.house.gov/news/documents…","https://t.co/rP6smCAJSB","https://knight.house.gov/news/documentsingle.aspx?DocumentID=1586","http://pbs.twimg.com/media/DXESU_bWsAE4RJA.png","https://t.co/3rjjIQzAa7","https://twitter.com/SteveKnight25/status/968575696779005952/photo/1","photo","http://pbs.twimg.com/media/DXESU_bWsAE4RJA.png","https://t.co/3rjjIQzAa7","https://twitter.com/SteveKnight25/status/968575696779005952/photo/1",,"x249348006","RepAnnaEshoo","en",,,,,,,,,,,,,
"x968195913708724224",2018-02-26 18:47:48,"x2974648323","SteveKnight25","The always-great Vin Scully gave some wise words of advice and told some amazing tales at last week's opening day for Simi Valley Youth Baseball. https://t.co/dWR68y9WHX","Twitter Web Client",,,,FALSE,FALSE,10,6,,,"youtube.com/watch?v=L25NG8…","https://t.co/dWR68y9WHX","https://www.youtube.com/watch?v=L25NG8xuxK8",,,,,,,,,,,"en",,,,,,,,,,,,,
