"Hashtag","Frequency","screen_name"
"TrumpCare",138,"MartinHeinrich"
"NM",92,"MartinHeinrich"
"GOPTaxScam",63,"MartinHeinrich"
"DREAMers",51,"MartinHeinrich"
"publiclands",42,"MartinHeinrich"
"KeepItPublic",41,"MartinHeinrich"
"OMDP4NM",39,"MartinHeinrich"
"MonumentsForAll",37,"MartinHeinrich"
"Medicaid",35,"MartinHeinrich"
"NetNeutrality",34,"MartinHeinrich"
"Trumpcare",30,"MartinHeinrich"
"RGDN",27,"MartinHeinrich"
"PublicLands",26,"MartinHeinrich"
"BearsEars",24,"MartinHeinrich"
"DACA",23,"MartinHeinrich"
"opioid",23,"MartinHeinrich"
"AmericaSpeaksOut",22,"MartinHeinrich"
"TrumpRussia",21,"MartinHeinrich"
"DreamActNow",19,"MartinHeinrich"
"NoScoreNoVote",18,"MartinHeinrich"
"TrumpCuts",18,"MartinHeinrich"
"ActOnClimate",15,"MartinHeinrich"
"SaveRetirement",15,"MartinHeinrich"
"HealthCare",14,"MartinHeinrich"
"SecureElections",14,"MartinHeinrich"
"Dreamers",13,"MartinHeinrich"
"EveryKidOutdoors",13,"MartinHeinrich"
"DefendDACA",12,"MartinHeinrich"
"ProtectDreamers",12,"MartinHeinrich"
"ProtectDREAMers",12,"MartinHeinrich"
"ProtectTheArctic",12,"MartinHeinrich"
"ArcticRefuge",11,"MartinHeinrich"
"ClimateChange",11,"MartinHeinrich"
"DomesticViolenceLoophole",11,"MartinHeinrich"
"DreamAct",11,"MartinHeinrich"
"NoOnDeVos",11,"MartinHeinrich"
"StopAct",11,"MartinHeinrich"
"2Gen",10,"MartinHeinrich"
"DREAMAct",10,"MartinHeinrich"
"KeepMeCovered",10,"MartinHeinrich"
"SASC",10,"MartinHeinrich"
"ParisAgreement",9,"MartinHeinrich"
"RioGrandedelNorte",9,"MartinHeinrich"
"RuralHealth",9,"MartinHeinrich"
"SecureElectionsAct",9,"MartinHeinrich"
"ThriveOutside",9,"MartinHeinrich"
