"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964972594352066560",2018-02-17 21:19:29,"x171598736","SenBobCasey","RT @DailyCollegian: PA @SenBobCasey takes the stage to send a message to the #THON2018 dancers: ""If you’re a dancer, give yourself a hand.…","Twitter for iPhone",,,,FALSE,TRUE,0,10,"THON2018",,,,,,,,,,,,,"x16084829 171598736","DailyCollegian SenBobCasey","en",,,"x964972503104966656","PA @SenBobCasey takes the stage to send a message to the #THON2018 dancers: ""If you’re a dancer, give yourself a hand. We want to thank you today for what you’re doing for children.""",,,,,,,,,
"x964926431309586432",2018-02-17 18:16:03,"x171598736","SenBobCasey","Congratulations to proud Pittsburgher @Real_JohnHenry on claiming 🥈 in the 1,000m Short Track! We’ll be waving our terrible towels on Thursday for the relay! #Olympics","Twitter for iPhone",,,,FALSE,FALSE,282,50,"Olympics",,,,,,,,,,,,,"x895449154259828737","Real_JohnHenry","en",,,,,,,,,,,,,
"x964917370610507777",2018-02-17 17:40:03,"x171598736","SenBobCasey","RT @jdprose: New: @SenBobCasey hearing on steel imports gets administration response via @bctimes https://t.co/osSjPIUaF8","Twitter for iPhone",,,,FALSE,TRUE,0,17,,,"timesonline.com/news/20180216/…","https://t.co/osSjPIUaF8","http://www.timesonline.com/news/20180216/casey-hearing-on-steel-imports-gets-administration-response",,,,,,,,,"x52541572 171598736 16203795","jdprose SenBobCasey bctimes","en",,,"x964906518993932288","New: @SenBobCasey hearing on steel imports gets administration response via @bctimes https://t.co/osSjPIUaF8",,,,,,,,,
"x964713309911109632",2018-02-17 04:09:11,"x171598736","SenBobCasey",".@Adaripp your infectious spirit and positive attitude have been an inspiration- Pennsylvania is proud of you! #Olympics","Twitter for iPhone",,,,FALSE,FALSE,5310,670,"Olympics",,,,,,,,,,,,,"x31339831","Adaripp","en",,,,,,,,,,,,,
"x964635173542350850",2018-02-16 22:58:42,"x171598736","SenBobCasey","Casey hearing on steel imports gets administration response https://t.co/tAGE9K4Ivq","Twitter Web Client",,,,FALSE,FALSE,74,37,,,"timesonline.com/news/20180216/…","https://t.co/tAGE9K4Ivq","http://timesonline.com/news/20180216/casey-hearing-on-steel-imports-gets-administration-response",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964603174878433280",2018-02-16 20:51:33,"x171598736","SenBobCasey","The Administration also needs to take steps to protect our democracy in future elections. Thus far, the Administration has done next to nothing to strengthen our defenses","Twitter for iPhone","x964602922544893952","x171598736","SenBobCasey",FALSE,FALSE,175,55,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964602922544893952",2018-02-16 20:50:32,"x171598736","SenBobCasey",".@realDonaldTrump’s policy of weakness towards Russia is making our nation less safe. It’s far past time for this Administration to protect our citizens from Russian aggression and implement tough sanctions.","Twitter for iPhone","x964602518075531264","x171598736","SenBobCasey",FALSE,FALSE,532,221,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964602518075531264",2018-02-16 20:48:56,"x171598736","SenBobCasey","Congress passed legislation to hold Russia accountable for its attack on our nation. @realDonaldTrump has refused to implement these sanctions","Twitter for iPhone","x964602274608762881","x171598736","SenBobCasey",FALSE,FALSE,203,79,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964602274608762881",2018-02-16 20:47:58,"x171598736","SenBobCasey","It’s time for @realDonaldTrump &amp; Congressional Rs to stop the disgraceful attacks on law enforcement &amp; end their obstruction of the Mueller investigation","Twitter for iPhone","x964601969062105088","x171598736","SenBobCasey",FALSE,FALSE,174,56,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964601969062105088",2018-02-16 20:46:45,"x171598736","SenBobCasey","Rs in Congress &amp; @realDonaldTrump have spent months attacking our law enforcement officers and disparaging this investigation as a “witch hunt”","Twitter for iPhone","x964601772479336449","x171598736","SenBobCasey",FALSE,FALSE,155,52,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964601772479336449",2018-02-16 20:45:58,"x171598736","SenBobCasey","Today’s indictments make clear the serious nature of Russia’s attack on our nation during the 2016 election","Twitter for iPhone",,,,FALSE,FALSE,812,206,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964514204505001984",2018-02-16 14:58:00,"x171598736","SenBobCasey","Talking trade and infrastructure with @RonWyden in Beaver Co. We're hosting a @SenateFinance Subcommittee field hearing on trade enforcement with local leaders. Watch live https://t.co/etnSHPwJYP","Twitter Web Client",,,,FALSE,FALSE,51,20,,,"youtube.com/watch?v=wiKP5L…","https://t.co/etnSHPwJYP","https://www.youtube.com/watch?v=wiKP5L_3a5s",,,,,,,,,"x250188760 628709039","RonWyden SenateFinance","en",,,,,,,,,,,,,
"x964350158946340864",2018-02-16 04:06:09,"x171598736","SenBobCasey","Well done @Adaripp, you make Pennsylvania and your country proud! https://t.co/hyFrn9GZJr","Twitter for iPhone",,,,TRUE,FALSE,1369,168,,,"twitter.com/nbcolympics/st…","https://t.co/hyFrn9GZJr","https://twitter.com/nbcolympics/status/964346061023338496",,,,,,,,,"x31339831","Adaripp","en","x964346061023338496","ADAM. https://t.co/8scK7Qu5xb",,,,,,,,,,,
"x964246517283545091",2018-02-15 21:14:19,"x171598736","SenBobCasey","Congressional Republicans and @realDonaldTrump have, once again, betrayed the Dreamers, some of whom are serving in our military right now, and broken faith with the values of our nation, while failing to support effective border security.","Twitter Web Client","x964246346394980352","x171598736","SenBobCasey",FALSE,FALSE,207,70,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964246346394980352",2018-02-15 21:13:38,"x171598736","SenBobCasey","That legislation would have secured the border, addressed the problem of illegal immigration and provided a fair pathway to citizenship for law-abiding immigrants. That’s how we will fix our immigration system.","Twitter Web Client","x964246215784267776","x171598736","SenBobCasey",FALSE,FALSE,145,39,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964246215784267776",2018-02-15 21:13:07,"x171598736","SenBobCasey","In 2013, I voted for a bipartisan, comprehensive reform of our immigration system, which achieved 68 votes in the Senate.","Twitter Web Client","x964245996766187520","x171598736","SenBobCasey",FALSE,FALSE,91,32,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x964245996766187520",2018-02-15 21:12:15,"x171598736","SenBobCasey","It’s clear that Congressional Republicans and @realDonaldTrump don’t care about the Dreamers or securing our border. They blow hot air about these young people but don’t act. Their only plan is to deport eleven million people, which is unworkable and unrealistic.","Twitter Web Client","x964245781233401857","x171598736","SenBobCasey",FALSE,FALSE,140,61,,,,,,,,,,,,,,"x25073877","realDonaldTrump","en",,,,,,,,,,,,,
"x964245781233401857",2018-02-15 21:11:23,"x171598736","SenBobCasey","Many Republicans in Congress and President Trump created the Dreamers crisis. Now, they have torpedoed every bipartisan proposal, even one that funds President Trump’s border wall, to solve the mess they created.","Twitter Web Client",,,,FALSE,FALSE,708,354,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
