"Mention","Frequency","screen_name"
"SenateMajLdr",3,"SenDougJones"
"SenDougJones",3,"SenDougJones"
"AlabamaFTBL",2,"SenDougJones"
"CBSThisMorning",2,"SenDougJones"
"NPR",2,"SenDougJones"
"rachelnpr",2,"SenDougJones"
"SenTinaSmith",2,"SenDougJones"
"aamuedu",1,"SenDougJones"
"alalumnidc",1,"SenDougJones"
"almedassoc",1,"SenDougJones"
"ASUHornetNation",1,"SenDougJones"
"clairecmc",1,"SenDougJones"
"DrMichaelLomax",1,"SenDougJones"
"JeffFlake",1,"SenDougJones"
"JeffWVTM13",1,"SenDougJones"
"MilesCollege",1,"SenDougJones"
"MorningEdition",1,"SenDougJones"
"mynbc15",1,"SenDougJones"
"NPRinskeep",1,"SenDougJones"
"Outdoor_Alabama",1,"SenDougJones"
"RyanKinder",1,"SenDougJones"
"SBGC2C",1,"SenDougJones"
"SenAlexander",1,"SenDougJones"
"SenateHSGACDems",1,"SenDougJones"
"SenatorHassan",1,"SenDougJones"
"SenDuckworth",1,"SenDougJones"
"SpaceCampCEO",1,"SenDougJones"
"stairbirmingham",1,"SenDougJones"
"timkaine",1,"SenDougJones"
"WBRCgoodday",1,"SenDougJones"
"WIAT42",1,"SenDougJones"
