"Hashtag","Frequency","screen_name"
"NY",111,"SenGillibrand"
"paidleave",72,"SenGillibrand"
"offthesidelines",70,"SenGillibrand"
"FAMILYAct",32,"SenGillibrand"
"passMJIA",27,"SenGillibrand"
"NY24",24,"SenGillibrand"
"OffTheSidelines",23,"SenGillibrand"
"CNY",15,"SenGillibrand"
"WomensMarch",15,"SenGillibrand"
"NYC",14,"SenGillibrand"
"ruralbroadband",13,"SenGillibrand"
"ACA",12,"SenGillibrand"
"DemsInPhilly",12,"SenGillibrand"
"DNCinPHL",12,"SenGillibrand"
"DreamActNow",10,"SenGillibrand"
"winwithwomen",10,"SenGillibrand"
"Buffalo",9,"SenGillibrand"
"MadeInAmerica",9,"SenGillibrand"
"NDAA",9,"SenGillibrand"
"NetNeutrality",9,"SenGillibrand"
"SOTU",9,"SenGillibrand"
"HoosickFalls",8,"SenGillibrand"
"Rochester",8,"SenGillibrand"
"ZikaVirus",8,"SenGillibrand"
"LaborDay",7,"SenGillibrand"
"NY19",7,"SenGillibrand"
"Syracuse",7,"SenGillibrand"
"CWSG",6,"SenGillibrand"
"GOTV",6,"SenGillibrand"
"GrahamCassidy",6,"SenGillibrand"
"IgniteChangeChat",6,"SenGillibrand"
"LongIsland",6,"SenGillibrand"
"Trumpcare",6,"SenGillibrand"
"Albany",5,"SenGillibrand"
"BlackWomensEqualPay",5,"SenGillibrand"
"Brooklyn",5,"SenGillibrand"
"DefendDACA",5,"SenGillibrand"
"Fairness4Vets",5,"SenGillibrand"
"GetCovered",5,"SenGillibrand"
"ImWithHer",5,"SenGillibrand"
"NPS100",5,"SenGillibrand"
"NYFarmDay",5,"SenGillibrand"
"Sandy",5,"SenGillibrand"
"Stonewall",5,"SenGillibrand"
"Thanksgiving",5,"SenGillibrand"
"Watertown",5,"SenGillibrand"
"WNY",5,"SenGillibrand"
"Zika",5,"SenGillibrand"
"7in10forRoe",4,"SenGillibrand"
"DemConvention",4,"SenGillibrand"
"equalpay",4,"SenGillibrand"
"FathersDay",4,"SenGillibrand"
"feelthelove",4,"SenGillibrand"
"FindYourPark",4,"SenGillibrand"
"FMLA25",4,"SenGillibrand"
"LGBTQ",4,"SenGillibrand"
"MadeinAmerica",4,"SenGillibrand"
"makeaplan",4,"SenGillibrand"
"MakeAPlan",4,"SenGillibrand"
"medicalmarijuana",4,"SenGillibrand"
"MeToo",4,"SenGillibrand"
"NoBillNoBreak",4,"SenGillibrand"
"Nov8",4,"SenGillibrand"
