"Mention","Frequency","screen_name"
"SenSchumer",197,"SenSchumer"
"POTUS",176,"SenSchumer"
"SenateDems",159,"SenSchumer"
"realDonaldTrump",74,"SenSchumer"
"SenateGOP",37,"SenSchumer"
"RonWyden",32,"SenSchumer"
"SenateMajLdr",32,"SenSchumer"
"SenWarren",29,"SenSchumer"
"PattyMurray",27,"SenSchumer"
"SenMarkey",27,"SenSchumer"
"ChrisMurphyCT",23,"SenSchumer"
"FCC",23,"SenSchumer"
"SenatorHassan",22,"SenSchumer"
"DSenFloor",21,"SenSchumer"
"SenatorMenendez",19,"SenSchumer"
"ThisWeekABC",19,"SenSchumer"
"mattwhouse",18,"SenSchumer"
"SenBobCasey",18,"SenSchumer"
"SenSherrodBrown",16,"SenSchumer"
"brianschatz",15,"SenSchumer"
"MartinHeinrich",15,"SenSchumer"
"SenatorDurbin",15,"SenSchumer"
"SenJeffMerkley",14,"SenSchumer"
"SenSanders",14,"SenSchumer"
"VP",14,"SenSchumer"
"CFPB",13,"SenSchumer"
"SenWhitehouse",13,"SenSchumer"
"EPA",12,"SenSchumer"
"SenFeinstein",12,"SenSchumer"
"civilrightsorg",11,"SenSchumer"
"Equifax",11,"SenSchumer"
"FaceTheNation",11,"SenSchumer"
"HouseGOP",11,"SenSchumer"
"maziehirono",11,"SenSchumer"
"SenatorCantwell",11,"SenSchumer"
"ChrisVanHollen",10,"SenSchumer"
"CoryBooker",10,"SenSchumer"
"WhiteHouse",10,"SenSchumer"
"CNN",9,"SenSchumer"
"MeetThePress",9,"SenSchumer"
"MSNBC",9,"SenSchumer"
"SenatorCardin",9,"SenSchumer"
"SenBillNelson",9,"SenSchumer"
"SenGillibrand",9,"SenSchumer"
"SenStabenow",9,"SenSchumer"
"ABCPolitics",8,"SenSchumer"
"buffalobills",8,"SenSchumer"
"CenterOnBudget",8,"SenSchumer"
"clairecmc",8,"SenSchumer"
"MarkWeinerDC",8,"SenSchumer"
"NancyPelosi",8,"SenSchumer"
"PPFA",8,"SenSchumer"
"SenatorLeahy",8,"SenSchumer"
"SenBlumenthal",8,"SenSchumer"
"SenDuckworth",8,"SenSchumer"
"SenFranken",8,"SenSchumer"
"SenKamalaHarris",8,"SenSchumer"
"washingtonpost",8,"SenSchumer"
"AARPadvocates",7,"SenSchumer"
"Heritage",7,"SenSchumer"
"jimmykimmel",7,"SenSchumer"
"KamalaHarris",7,"SenSchumer"
"MomsRising",7,"SenSchumer"
"nytimes",7,"SenSchumer"
"RepAdamSchiff",7,"SenSchumer"
"SenateFinance",7,"SenSchumer"
"SenatorBaldwin",7,"SenSchumer"
"DHSgov",6,"SenSchumer"
"fema",6,"SenSchumer"
