"Hashtag","Frequency","screen_name"
"TPP",35,"SenSherrodBrown"
"SCOTUS",18,"SenSherrodBrown"
"CHIP",17,"SenSherrodBrown"
"NotAnotherNAFTA",17,"SenSherrodBrown"
"EqualPay",16,"SenSherrodBrown"
"LGBT",16,"SenSherrodBrown"
"DoYourJob",14,"SenSherrodBrown"
"SOTU",14,"SenSherrodBrown"
"GetCovered",13,"SenSherrodBrown"
"MarchMadness",13,"SenSherrodBrown"
"SocialSecurity",12,"SenSherrodBrown"
"ACA",11,"SenSherrodBrown"
"GoBucks",11,"SenSherrodBrown"
"extendCHIPnow",10,"SenSherrodBrown"
"MakeWorkPayMonday",10,"SenSherrodBrown"
"GrahamCassidy",9,"SenSherrodBrown"
"NetNeutrality",9,"SenSherrodBrown"
"DefendTheLand",8,"SenSherrodBrown"
"RallyTogether",8,"SenSherrodBrown"
"StopFastTrack",8,"SenSherrodBrown"
"EITC",7,"SenSherrodBrown"
"ENOUGH",7,"SenSherrodBrown"
"NBAFinals",7,"SenSherrodBrown"
"veterans",7,"SenSherrodBrown"
"Allin216",6,"SenSherrodBrown"
"DoddFrankRollback",6,"SenSherrodBrown"
"ExtendCHIP",6,"SenSherrodBrown"
"FastTrack",6,"SenSherrodBrown"
"MarriageEquality",6,"SenSherrodBrown"
"OpeningDay",6,"SenSherrodBrown"
"RaiseTheWage",6,"SenSherrodBrown"
"TwitterTradeTalk",6,"SenSherrodBrown"
"ACAworks",5,"SenSherrodBrown"
"BuyAmerica",5,"SenSherrodBrown"
"DefendCFPB",5,"SenSherrodBrown"
"jobs",5,"SenSherrodBrown"
"MadeinAmerica",5,"SenSherrodBrown"
"MFGDay17",5,"SenSherrodBrown"
"MyBrothersKeeper",5,"SenSherrodBrown"
"OTD",5,"SenSherrodBrown"
"raisethewage",5,"SenSherrodBrown"
"RaisetheWage",5,"SenSherrodBrown"
"SCOTUSnominee",5,"SenSherrodBrown"
"tbt",5,"SenSherrodBrown"
"TBT",5,"SenSherrodBrown"
"ACATurns6",4,"SenSherrodBrown"
"ALLin216",4,"SenSherrodBrown"
"CHIPworks",4,"SenSherrodBrown"
"CLE",4,"SenSherrodBrown"
"EqualPayDay",4,"SenSherrodBrown"
"EXIM",4,"SenSherrodBrown"
"FixOvertime",4,"SenSherrodBrown"
"InTheCLE",4,"SenSherrodBrown"
"NationalChampionship",4,"SenSherrodBrown"
"PropelOhio",4,"SenSherrodBrown"
"StandWithWorkers",4,"SenSherrodBrown"
"StopTPP",4,"SenSherrodBrown"
"defendcfpb",3,"SenSherrodBrown"
"EarthDay",3,"SenSherrodBrown"
"fairshot",3,"SenSherrodBrown"
"FarmersNotTraders",3,"SenSherrodBrown"
"GreatLakes",3,"SenSherrodBrown"
"IWD2016",3,"SenSherrodBrown"
"LoveCantWait",3,"SenSherrodBrown"
"MadeinOhio",3,"SenSherrodBrown"
"Medicare",3,"SenSherrodBrown"
"MemorialDay",3,"SenSherrodBrown"
"MinimumWage",3,"SenSherrodBrown"
"MLKDay",3,"SenSherrodBrown"
"MLKDayOfService",3,"SenSherrodBrown"
"MothersDay",3,"SenSherrodBrown"
"NAACP107",3,"SenSherrodBrown"
"NationalAgDay",3,"SenSherrodBrown"
"NBAChampions",3,"SenSherrodBrown"
"OhioProud",3,"SenSherrodBrown"
"OnThisDay",3,"SenSherrodBrown"
