"Mention","Frequency","screen_name"
"realDonaldTrump",62,"SenWhitehouse"
"POTUS",37,"SenWhitehouse"
"EPAScottPruitt",35,"SenWhitehouse"
"SenateGOP",35,"SenWhitehouse"
"EPA",21,"SenWhitehouse"
"JimLangevin",13,"SenWhitehouse"
"SenateDems",13,"SenWhitehouse"
"SenJohnMcCain",10,"SenWhitehouse"
"LindseyGrahamSC",9,"SenWhitehouse"
"SenJackReed",9,"SenWhitehouse"
"FBI",8,"SenWhitehouse"
"GovRaimondo",7,"SenWhitehouse"
"nytimes",6,"SenWhitehouse"
"projo",6,"SenWhitehouse"
"TheJusticeDept",6,"SenWhitehouse"
"davidcicilline",5,"SenWhitehouse"
"DeepwaterWind",5,"SenWhitehouse"
"FCC",5,"SenWhitehouse"
"universityofri",5,"SenWhitehouse"
"PattyMurray",4,"SenWhitehouse"
"SaveTheBayRI",4,"SenWhitehouse"
"SenAlexander",4,"SenWhitehouse"
"SenateMajLdr",4,"SenWhitehouse"
"SenWarren",4,"SenWhitehouse"
"Surgeon_General",4,"SenWhitehouse"
"USTreasury",4,"SenWhitehouse"
"WhiteHouse",4,"SenWhitehouse"
"API_News",3,"SenWhitehouse"
"EPWDems",3,"SenWhitehouse"
"exxonmobil",3,"SenWhitehouse"
"GaspeeDay",3,"SenWhitehouse"
"HouseGOP",3,"SenWhitehouse"
"JohnCornyn",3,"SenWhitehouse"
"maddow",3,"SenWhitehouse"
"NIH",3,"SenWhitehouse"
"PJK4brainhealth",3,"SenWhitehouse"
"RhodeIslandDEM",3,"SenWhitehouse"
"RIBHDDH",3,"SenWhitehouse"
"SecretaryPerry",3,"SenWhitehouse"
"SenateFinance",3,"SenWhitehouse"
"SenatorCarper",3,"SenWhitehouse"
"SenSanders",3,"SenWhitehouse"
"SenSchumer",3,"SenWhitehouse"
"USChamber",3,"SenWhitehouse"
"washingtonpost",3,"SenWhitehouse"
"WSJ",3,"SenWhitehouse"
"AARP",2,"SenWhitehouse"
"ALEC_states",2,"SenWhitehouse"
"alfranken",2,"SenWhitehouse"
"AmeriCorps",2,"SenWhitehouse"
"Apple",2,"SenWhitehouse"
"ASBCouncil",2,"SenWhitehouse"
"blackrock",2,"SenWhitehouse"
"BrownUniversity",2,"SenWhitehouse"
"CDCgov",2,"SenWhitehouse"
"CityofPawtucket",2,"SenWhitehouse"
"Enric_Sala",2,"SenWhitehouse"
"EPWGOP",2,"SenWhitehouse"
"FERC",2,"SenWhitehouse"
"gao",2,"SenWhitehouse"
"garyknell",2,"SenWhitehouse"
"HealthSourceRI",2,"SenWhitehouse"
"HeartlandInst",2,"SenWhitehouse"
"HelsinkiComm",2,"SenWhitehouse"
"HHSGov",2,"SenWhitehouse"
"IMFNews",2,"SenWhitehouse"
"IRSnews",2,"SenWhitehouse"
"JamesDiossa",2,"SenWhitehouse"
"jctgov",2,"SenWhitehouse"
"JoeNBC",2,"SenWhitehouse"
"JohnKerry",2,"SenWhitehouse"
"Jorge_Elorza",2,"SenWhitehouse"
"JRubinBlogger",2,"SenWhitehouse"
"LCVoters",2,"SenWhitehouse"
"LPRRI",2,"SenWhitehouse"
"Milbank",2,"SenWhitehouse"
"Narragansett_RI",2,"SenWhitehouse"
"nature_org",2,"SenWhitehouse"
"NRA",2,"SenWhitehouse"
"nuestrasalud",2,"SenWhitehouse"
"OMBPress",2,"SenWhitehouse"
"paulkrugman",2,"SenWhitehouse"
"Peoples_Climate",2,"SenWhitehouse"
"pfizer",2,"SenWhitehouse"
"PostOpinions",2,"SenWhitehouse"
"QuonsetRI",2,"SenWhitehouse"
"RepAdamSchiff",2,"SenWhitehouse"
"RICatholic",2,"SenWhitehouse"
"RICNews",2,"SenWhitehouse"
"RIDOTNews",2,"SenWhitehouse"
"ritextiles",2,"SenWhitehouse"
"RonWyden",2,"SenWhitehouse"
"SENEDIA_",2,"SenWhitehouse"
"SenFeinstein",2,"SenWhitehouse"
