"Mention","Frequency","screen_name"
"Sen_JoeManchin",155,"Sen_JoeManchin"
"WestVirginiaU",49,"Sen_JoeManchin"
"EPA",48,"Sen_JoeManchin"
"HoppyKercheval",40,"Sen_JoeManchin"
"SenateFloor",40,"Sen_JoeManchin"
"SenCapito",35,"Sen_JoeManchin"
"US_FDA",35,"Sen_JoeManchin"
"Morning_Joe",29,"Sen_JoeManchin"
"Skype",27,"Sen_JoeManchin"
"DeptVetAffairs",26,"Sen_JoeManchin"
"foxandfriends",26,"Sen_JoeManchin"
"WVUhoops",24,"Sen_JoeManchin"
"marshallu",21,"Sen_JoeManchin"
"Register_Herald",21,"Sen_JoeManchin"
"fema",20,"Sen_JoeManchin"
"FoxNews",20,"Sen_JoeManchin"
"WoodyWilliams45",20,"Sen_JoeManchin"
"wvgazettemail",19,"Sen_JoeManchin"
"realDonaldTrump",18,"Sen_JoeManchin"
"kilmeade",16,"Sen_JoeManchin"
"SenatorCollins",16,"Sen_JoeManchin"
"hollowthefilm",15,"Sen_JoeManchin"
"IntelligencerWV",15,"Sen_JoeManchin"
"SenJohnHoeven",15,"Sen_JoeManchin"
"JoeNBC",14,"Sen_JoeManchin"
"MineWorkers",14,"Sen_JoeManchin"
"MSNBC",14,"Sen_JoeManchin"
"morningmika",13,"Sen_JoeManchin"
"POTUS",13,"Sen_JoeManchin"
"YeagerAirport",13,"Sen_JoeManchin"
"FaceTheNation",12,"Sen_JoeManchin"
"GovTomblin",12,"Sen_JoeManchin"
"huntingtoncity",12,"Sen_JoeManchin"
"CDCgov",11,"Sen_JoeManchin"
"mitchellreports",11,"Sen_JoeManchin"
"SenWhitehouse",11,"Sen_JoeManchin"
"WVVA",11,"Sen_JoeManchin"
"SenatorKirk",10,"Sen_JoeManchin"
"TimesWV",10,"Sen_JoeManchin"
"USNavy",10,"Sen_JoeManchin"
"WVMetroNews",10,"Sen_JoeManchin"
"CNN",9,"Sen_JoeManchin"
"emcmillion",9,"Sen_JoeManchin"
"FeinbergSarah",9,"Sen_JoeManchin"
"GenChuckYeager",9,"Sen_JoeManchin"
"NewDay",9,"Sen_JoeManchin"
"SecretaryPerry",9,"Sen_JoeManchin"
"SenateYouth",9,"Sen_JoeManchin"
"TeamCavuto",9,"Sen_JoeManchin"
"WVNationalGuard",9,"Sen_JoeManchin"
"BDTonline",8,"Sen_JoeManchin"
"BrookingsGov",8,"Sen_JoeManchin"
"charleywest",8,"Sen_JoeManchin"
"EximBankUS",8,"Sen_JoeManchin"
"FCC",8,"Sen_JoeManchin"
"ProcterGamble",8,"Sen_JoeManchin"
"senateenergy",8,"Sen_JoeManchin"
"UCWV",8,"Sen_JoeManchin"
"WBOY12News",8,"Sen_JoeManchin"
"wvgazette",8,"Sen_JoeManchin"
"WVStateU",8,"Sen_JoeManchin"
"boyscouts",7,"Sen_JoeManchin"
"ChrisCuomo",7,"Sen_JoeManchin"
"CoachHuggs",7,"Sen_JoeManchin"
"gazette_opinion",7,"Sen_JoeManchin"
"gordongee",7,"Sen_JoeManchin"
"librarycongress",7,"Sen_JoeManchin"
"NoLabelsOrg",7,"Sen_JoeManchin"
"SenateFinance",7,"Sen_JoeManchin"
"SenatorRounds",7,"Sen_JoeManchin"
"TheJournalWV",7,"Sen_JoeManchin"
"wchs8fox11",7,"Sen_JoeManchin"
"WVDHSEM",7,"Sen_JoeManchin"
"Amb_AlKuwari",6,"Sen_JoeManchin"
"bobschieffer",6,"Sen_JoeManchin"
"BPC_Bipartisan",6,"Sen_JoeManchin"
"chucktodd",6,"Sen_JoeManchin"
"davisandelkins",6,"Sen_JoeManchin"
"DHSgov",6,"Sen_JoeManchin"
"GoToWV",6,"Sen_JoeManchin"
"HHSGov",6,"Sen_JoeManchin"
"MeetThePress",6,"Sen_JoeManchin"
"mikequeen",6,"Sen_JoeManchin"
"NASA",6,"Sen_JoeManchin"
"SenMarkey",6,"Sen_JoeManchin"
"SenToomey",6,"Sen_JoeManchin"
"SFWV",6,"Sen_JoeManchin"
"uscapitol",6,"Sen_JoeManchin"
"WhiteHouse",6,"Sen_JoeManchin"
"wolfblitzer",6,"Sen_JoeManchin"
"workforcewv",6,"Sen_JoeManchin"
"WSAZnews",6,"Sen_JoeManchin"
"WV_DHHR",6,"Sen_JoeManchin"
"wvcbw",6,"Sen_JoeManchin"
"WVUfootball",6,"Sen_JoeManchin"
"WVUParkersburg",6,"Sen_JoeManchin"
"BradPaisley",5,"Sen_JoeManchin"
"BretBaier",5,"Sen_JoeManchin"
"BrookingsInst",5,"Sen_JoeManchin"
"DM_opinion",5,"Sen_JoeManchin"
"ENERGY",5,"Sen_JoeManchin"
"facebook",5,"Sen_JoeManchin"
"heralddispatch",5,"Sen_JoeManchin"
"JonHuntsman",5,"Sen_JoeManchin"
"MinedMinds",5,"Sen_JoeManchin"
"NASDAQOMX",5,"Sen_JoeManchin"
"NewsandSentinel",5,"Sen_JoeManchin"
"NYSCdotORG",5,"Sen_JoeManchin"
"SBAgov",5,"Sen_JoeManchin"
"SenatorWicker",5,"Sen_JoeManchin"
"WDTV5News",5,"Sen_JoeManchin"
"wvamwater",5,"Sen_JoeManchin"
"WVNS59News",5,"Sen_JoeManchin"
"wvssac",5,"Sen_JoeManchin"
"WVWesleyan",5,"Sen_JoeManchin"
"ARCWV",4,"Sen_JoeManchin"
"CanadianPacific",4,"Sen_JoeManchin"
"CityofWheeling",4,"Sen_JoeManchin"
"CSX",4,"Sen_JoeManchin"
"CustardStand",4,"Sen_JoeManchin"
"ErnestMoniz",4,"Sen_JoeManchin"
"FacingHungerFB",4,"Sen_JoeManchin"
"girlscouts",4,"Sen_JoeManchin"
"HUDgov",4,"Sen_JoeManchin"
"HuntsmanAbby",4,"Sen_JoeManchin"
"InterMountainWV",4,"Sen_JoeManchin"
"jaketapper",4,"Sen_JoeManchin"
"MarkWarner",4,"Sen_JoeManchin"
"NEAarts",4,"Sen_JoeManchin"
"nscorp",4,"Sen_JoeManchin"
"NYSF",4,"Sen_JoeManchin"
"rollcall",4,"Sen_JoeManchin"
"RxSummit",4,"Sen_JoeManchin"
"SECNAV",4,"Sen_JoeManchin"
"SecretaryAcosta",4,"Sen_JoeManchin"
"SenatorHeitkamp",4,"Sen_JoeManchin"
"SenDeanHeller",4,"Sen_JoeManchin"
"ShopSmall",4,"Sen_JoeManchin"
"theaward",4,"Sen_JoeManchin"
"theloganbanner",4,"Sen_JoeManchin"
"USDOT",4,"Sen_JoeManchin"
"USNationalGuard",4,"Sen_JoeManchin"
"VP",4,"Sen_JoeManchin"
"WOWK13News",4,"Sen_JoeManchin"
"WVaChamber",4,"Sen_JoeManchin"
"wvpublicnews",4,"Sen_JoeManchin"
"WVSociety",4,"Sen_JoeManchin"
"wvstatejournal",4,"Sen_JoeManchin"
"WVURifle",4,"Sen_JoeManchin"
"ABCSharkTank",3,"Sen_JoeManchin"
"ainsleyearhardt",3,"Sen_JoeManchin"
"alexwagner",3,"Sen_JoeManchin"
"alphanr",3,"Sen_JoeManchin"
"AmeriCorps",3,"Sen_JoeManchin"
"Atlantic_LIVE",3,"Sen_JoeManchin"
"autismspeaks",3,"Sen_JoeManchin"
"BechtelSummit",3,"Sen_JoeManchin"
"BigSandyArena",3,"Sen_JoeManchin"
"BigTimberBrew",3,"Sen_JoeManchin"
"BillHemmer",3,"Sen_JoeManchin"
"blazinwv",3,"Sen_JoeManchin"
"BorenAwards",3,"Sen_JoeManchin"
"Canaanvi",3,"Sen_JoeManchin"
"charlestoncity",3,"Sen_JoeManchin"
"CivilAirPatrol",3,"Sen_JoeManchin"
"clairecmc",3,"Sen_JoeManchin"
"CNNSotu",3,"Sen_JoeManchin"
"connect2canada",3,"Sen_JoeManchin"
"Crossfire",3,"Sen_JoeManchin"
"cspan",3,"Sen_JoeManchin"
"CSPC_DC",3,"Sen_JoeManchin"
"EIAgov",3,"Sen_JoeManchin"
"EKamarck",3,"Sen_JoeManchin"
"EricEyre",3,"Sen_JoeManchin"
"espn",3,"Sen_JoeManchin"
"FAANews",3,"Sen_JoeManchin"
"FIFAWWC",3,"Sen_JoeManchin"
"fractweets",3,"Sen_JoeManchin"
"Google",3,"Sen_JoeManchin"
"HarpersFerryNPS",3,"Sen_JoeManchin"
"HeadStartgov",3,"Sen_JoeManchin"
"KellieMeyerNews",3,"Sen_JoeManchin"
"mmcauliff",3,"Sen_JoeManchin"
"NOAA",3,"Sen_JoeManchin"
"nothingbutnets",3,"Sen_JoeManchin"
"NSF",3,"Sen_JoeManchin"
"politico",3,"Sen_JoeManchin"
"Pontifex",3,"Sen_JoeManchin"
"PruSpirit",3,"Sen_JoeManchin"
"QatarEmbassyUSA",3,"Sen_JoeManchin"
