"Hashtag","Frequency","screen_name"
"healthcare",202,"SenatorCantwell"
"Medicaid",135,"SenatorCantwell"
"LIHTC",126,"SenatorCantwell"
"AffordableHousing",108,"SenatorCantwell"
"ACA",79,"SenatorCantwell"
"NetNeutrality",72,"SenatorCantwell"
"Trumpcare",60,"SenatorCantwell"
"OpenInternet",43,"SenatorCantwell"
"DoYourJob",41,"SenatorCantwell"
"affordablehousing",40,"SenatorCantwell"
"GOPTaxPlan",40,"SenatorCantwell"
"DREAMers",39,"SenatorCantwell"
"SCOTUS",37,"SenatorCantwell"
"climatechange",36,"SenatorCantwell"
"publiclands",35,"SenatorCantwell"
"ArcticRefuge",34,"SenatorCantwell"
"LWCF",33,"SenatorCantwell"
"Seattle",33,"SenatorCantwell"
"NationalParks",31,"SenatorCantwell"
"energy",29,"SenatorCantwell"
"jobs",29,"SenatorCantwell"
"NationalMonuments",29,"SenatorCantwell"
"PNW",29,"SenatorCantwell"
"ProtectTheArctic",29,"SenatorCantwell"
"STEM",29,"SenatorCantwell"
"innovation",28,"SenatorCantwell"
"PublicLands",28,"SenatorCantwell"
"AHCA",27,"SenatorCantwell"
"cleanenergy",27,"SenatorCantwell"
"ICYMI",27,"SenatorCantwell"
"infrastructure",26,"SenatorCantwell"
"DACA",23,"SenatorCantwell"
"salmon",23,"SenatorCantwell"
"EnergyBill",22,"SenatorCantwell"
"BristolBay",21,"SenatorCantwell"
"CantwellTownHall",21,"SenatorCantwell"
"economy",21,"SenatorCantwell"
"HikeTrailsNotFees",21,"SenatorCantwell"
"GOPTaxBill",20,"SenatorCantwell"
"GrahamCassidy",20,"SenatorCantwell"
"PuertoRico",20,"SenatorCantwell"
"PugetSound",20,"SenatorCantwell"
"WA",19,"SenatorCantwell"
"wildfires",19,"SenatorCantwell"
"ANWR",18,"SenatorCantwell"
"Senate",18,"SenatorCantwell"
"ZikaVirus",18,"SenatorCantwell"
"CSforAll",17,"SenatorCantwell"
"tech",17,"SenatorCantwell"
"homelessness",16,"SenatorCantwell"
"wildfire",16,"SenatorCantwell"
"outdoor",15,"SenatorCantwell"
"AntiquitiesAct",14,"SenatorCantwell"
"Arctic",14,"SenatorCantwell"
"computerscience",14,"SenatorCantwell"
"DefendDACA",14,"SenatorCantwell"
"EqualPay",14,"SenatorCantwell"
"Hanford",14,"SenatorCantwell"
"LGBTQ",14,"SenatorCantwell"
"ClimateChange",13,"SenatorCantwell"
"coal",13,"SenatorCantwell"
"DAPL",13,"SenatorCantwell"
"FindYourPark",13,"SenatorCantwell"
"JunkInsurance",13,"SenatorCantwell"
"Price",13,"SenatorCantwell"
"wildlife",13,"SenatorCantwell"
"AffordableCare",12,"SenatorCantwell"
"birthcontrol",12,"SenatorCantwell"
"cleanwater",12,"SenatorCantwell"
"DeVos",12,"SenatorCantwell"
"science",12,"SenatorCantwell"
"Zika",12,"SenatorCantwell"
"cybersecurity",11,"SenatorCantwell"
"EqualPayDay",11,"SenatorCantwell"
"Internet",11,"SenatorCantwell"
"Medicare",11,"SenatorCantwell"
"Mnuchin",11,"SenatorCantwell"
"ParisAgreement",11,"SenatorCantwell"
"ProtectOurCare",11,"SenatorCantwell"
"SmallBiz",11,"SenatorCantwell"
"Trump",11,"SenatorCantwell"
"DreamAct",10,"SenatorCantwell"
"Enough",10,"SenatorCantwell"
"environmental",10,"SenatorCantwell"
"equality",10,"SenatorCantwell"
"equalpay",10,"SenatorCantwell"
"internet",10,"SenatorCantwell"
"KeepItPublic",10,"SenatorCantwell"
"TaxBill",10,"SenatorCantwell"
"TBT",10,"SenatorCantwell"
"broadband",9,"SenatorCantwell"
"conservation",9,"SenatorCantwell"
"health",9,"SenatorCantwell"
"immigration",9,"SenatorCantwell"
"MethowValley",9,"SenatorCantwell"
"Trump100Days",9,"SenatorCantwell"
"ColumbiaRiverTreaty",8,"SenatorCantwell"
"education",8,"SenatorCantwell"
"ExpandLIHTC",8,"SenatorCantwell"
"GlassSteagall",8,"SenatorCantwell"
"GoDawgs",8,"SenatorCantwell"
"Healthcare",8,"SenatorCantwell"
"MonumentsForAll",8,"SenatorCantwell"
"NPS100",8,"SenatorCantwell"
"oiltrain",8,"SenatorCantwell"
"openinternet",8,"SenatorCantwell"
"USCG",8,"SenatorCantwell"
"veterans",8,"SenatorCantwell"
"WeNeedNine",8,"SenatorCantwell"
"womenshealth",8,"SenatorCantwell"
"affordable",7,"SenatorCantwell"
"environment",7,"SenatorCantwell"
"EO",7,"SenatorCantwell"
"filibuster",7,"SenatorCantwell"
"GoHawks",7,"SenatorCantwell"
"IStandWithPP",7,"SenatorCantwell"
"NAW2016",7,"SenatorCantwell"
"netneutrality",7,"SenatorCantwell"
"oilandgas",7,"SenatorCantwell"
"opioid",7,"SenatorCantwell"
"PollutingPruitt",7,"SenatorCantwell"
"Pruitt",7,"SenatorCantwell"
"smallbiz",7,"SenatorCantwell"
"wilderness",7,"SenatorCantwell"
"apprenticeships",6,"SenatorCantwell"
"BlackWomensEqualPay",6,"SenatorCantwell"
"civilrights",6,"SenatorCantwell"
"cleanair",6,"SenatorCantwell"
"CleanEnergy",6,"SenatorCantwell"
"crudeoil",6,"SenatorCantwell"
"DidYouKnow",6,"SenatorCantwell"
"economic",6,"SenatorCantwell"
"energyefficiency",6,"SenatorCantwell"
"forests",6,"SenatorCantwell"
"holdthefloor",6,"SenatorCantwell"
"minimumwage",6,"SenatorCantwell"
"NoAHCA",6,"SenatorCantwell"
"opioidepidemic",6,"SenatorCantwell"
"OpioidEpidemic",6,"SenatorCantwell"
"OTD",6,"SenatorCantwell"
"paygap",6,"SenatorCantwell"
"PebbleMine",6,"SenatorCantwell"
"PriceIsWrong",6,"SenatorCantwell"
"Pride2016",6,"SenatorCantwell"
"publichealth",6,"SenatorCantwell"
"retirement",6,"SenatorCantwell"
"SmallBusiness",6,"SenatorCantwell"
"TaxFairness",6,"SenatorCantwell"
"TaxReform",6,"SenatorCantwell"
"transportation",6,"SenatorCantwell"
"tsunami",6,"SenatorCantwell"
"Washington",6,"SenatorCantwell"
"Yakima",6,"SenatorCantwell"
"ActOnClimate",5,"SenatorCantwell"
"Apprenticeships",5,"SenatorCantwell"
"BearsEars",5,"SenatorCantwell"
"CHIPworks",5,"SenatorCantwell"
"climate",5,"SenatorCantwell"
"ClimateFacts",5,"SenatorCantwell"
"coding",5,"SenatorCantwell"
"ExIm",5,"SenatorCantwell"
"familyplanning",5,"SenatorCantwell"
"FBF",5,"SenatorCantwell"
"GAO",5,"SenatorCantwell"
"GlobalGagRule",5,"SenatorCantwell"
"InternationalWomensDay",5,"SenatorCantwell"
"job",5,"SenatorCantwell"
"NetNeutraility",5,"SenatorCantwell"
"oceans",5,"SenatorCantwell"
"oiltrains",5,"SenatorCantwell"
"opioids",5,"SenatorCantwell"
"PinkOut",5,"SenatorCantwell"
"reformcoal",5,"SenatorCantwell"
"Sessions",5,"SenatorCantwell"
"Sinclair",5,"SenatorCantwell"
"StartupDay",5,"SenatorCantwell"
"Startups",5,"SenatorCantwell"
"StreamProtectionRule",5,"SenatorCantwell"
"taxdebate",5,"SenatorCantwell"
"technology",5,"SenatorCantwell"
"VeteransDay",5,"SenatorCantwell"
"WeAre12",5,"SenatorCantwell"
"WildlifeRefuge",5,"SenatorCantwell"
"agriculture",4,"SenatorCantwell"
"BroadbandPrivacy",4,"SenatorCantwell"
"business",4,"SenatorCantwell"
"Climatechange",4,"SenatorCantwell"
"CNNDebateNight",4,"SenatorCantwell"
"ComeyHearing",4,"SenatorCantwell"
"CoverageMatters",4,"SenatorCantwell"
"CSEdWeek",4,"SenatorCantwell"
"cyberattacks",4,"SenatorCantwell"
"DefendOurMonuments",4,"SenatorCantwell"
"drilling",4,"SenatorCantwell"
"DYK",4,"SenatorCantwell"
"FAA",4,"SenatorCantwell"
"Gorsuch",4,"SenatorCantwell"
"HBD",4,"SenatorCantwell"
"icebreakers",4,"SenatorCantwell"
"IWD2017",4,"SenatorCantwell"
"IYP2016",4,"SenatorCantwell"
"MakeAmericaSickAgain",4,"SenatorCantwell"
"marine",4,"SenatorCantwell"
"mining",4,"SenatorCantwell"
"MLSCup",4,"SenatorCantwell"
"Mnunchin",4,"SenatorCantwell"
"nationalparks",4,"SenatorCantwell"
"NationalParkWeek",4,"SenatorCantwell"
"NoBillNoBreak",4,"SenatorCantwell"
"NPLD",4,"SenatorCantwell"
"OceanAcidification",4,"SenatorCantwell"
"opioidcrisis",4,"SenatorCantwell"
"OpioidCrisis",4,"SenatorCantwell"
"Outdoor",4,"SenatorCantwell"
"PlannedParenthood",4,"SenatorCantwell"
"poverty",4,"SenatorCantwell"
"Pride",4,"SenatorCantwell"
"ProtectOurCoast",4,"SenatorCantwell"
"PublicEducation",4,"SenatorCantwell"
"renewableenergy",4,"SenatorCantwell"
"SaveRetirement",4,"SenatorCantwell"
"taxpayers",4,"SenatorCantwell"
"TeddyRoosevelt",4,"SenatorCantwell"
"ThursdayThoughts",4,"SenatorCantwell"
"TitleX",4,"SenatorCantwell"
"UnitedWeZag",4,"SenatorCantwell"
