"Mention","Frequency","screen_name"
"SenatorCarper",251,"SenatorCarper"
"EPA",168,"SenatorCarper"
"EPWDems",62,"SenatorCarper"
"ChrisCoons",54,"SenatorCarper"
"POTUS",42,"SenatorCarper"
"UDelaware",40,"SenatorCarper"
"SenateHSGACDems",39,"SenatorCarper"
"JohnCarneyDE",33,"SenatorCarper"
"DHSgov",28,"SenatorCarper"
"SenateDems",23,"SenatorCarper"
"delawareonline",20,"SenatorCarper"
"EPAScottPruitt",20,"SenatorCarper"
"westsidehealth",20,"SenatorCarper"
"delawaretech",19,"SenatorCarper"
"DelStateUniv",19,"SenatorCarper"
"VP",18,"SenatorCarper"
"ChrisMurphyCT",15,"SenatorCarper"
"GovernorMarkell",14,"SenatorCarper"
"SenatorDurbin",14,"SenatorCarper"
"TSA",14,"SenatorCarper"
"Delaware_DHSS",13,"SenatorCarper"
"SenBlumenthal",13,"SenatorCarper"
"USNavy",13,"SenatorCarper"
"christianacare",12,"SenatorCarper"
"RepBRochester",12,"SenatorCarper"
"SenatorTomUdall",12,"SenatorCarper"
"SenWhitehouse",12,"SenatorCarper"
"SenJeffMerkley",11,"SenatorCarper"
"SenateFinance",10,"SenatorCarper"
"DelawareDOT",9,"SenatorCarper"
"fema",9,"SenatorCarper"
"USGAO",9,"SenatorCarper"
"USPS",9,"SenatorCarper"
"WhiteHouse",9,"SenatorCarper"
"AmericanLungDE",8,"SenatorCarper"
"clairecmc",8,"SenatorCarper"
"LCVoters",8,"SenatorCarper"
"PattyMurray",8,"SenatorCarper"
"SenJohnMcCain",8,"SenatorCarper"
"SenWarren",8,"SenatorCarper"
"CleanAirMoms",7,"SenatorCarper"
"DelawareNG",7,"SenatorCarper"
"iava",7,"SenatorCarper"
"SenatorCardin",7,"SenatorCarper"
"WDEL",7,"SenatorCarper"
"Amtrak",6,"SenatorCarper"
"DEStateChamber",6,"SenatorCarper"
"EleanorNorton",6,"SenatorCarper"
"LungAssociation",6,"SenatorCarper"
"NAMIDelaware",6,"SenatorCarper"
"PHLAirport",6,"SenatorCarper"
"SenMarkey",6,"SenatorCarper"
"southcomwatch",6,"SenatorCarper"
"voxdotcom",6,"SenatorCarper"
"alzdelval",5,"SenatorCarper"
"ASlavitt",5,"SenatorCarper"
"BarackObama",5,"SenatorCarper"
"BillCassidy",5,"SenatorCarper"
"Collin_OMara",5,"SenatorCarper"
"Delaware_DOI",5,"SenatorCarper"
"DeptVetAffairs",5,"SenatorCarper"
"Gregs_Dad",5,"SenatorCarper"
"JECDems",5,"SenatorCarper"
"JimInhofe",5,"SenatorCarper"
"MarchofDimes",5,"SenatorCarper"
"nytimes",5,"SenatorCarper"
"OfficeGovEthics",5,"SenatorCarper"
"SenatorHassan",5,"SenatorCarper"
"SenRonJohnson",5,"SenatorCarper"
"timkaine",5,"SenatorCarper"
"UDResearch",5,"SenatorCarper"
"USAIDGuate",5,"SenatorCarper"
"USATODAY",5,"SenatorCarper"
"USCBO",5,"SenatorCarper"
"USFWSNortheast",5,"SenatorCarper"
"USTradeRep",5,"SenatorCarper"
"YouTube",5,"SenatorCarper"
"zipcodewilm",5,"SenatorCarper"
"BGClubsDE",4,"SenatorCarper"
"boyscouts",4,"SenatorCarper"
"brittanyhorn",4,"SenatorCarper"
"CAPAction",4,"SenatorCarper"
"DEDeptState",4,"SenatorCarper"
"DelawareAAP",4,"SenatorCarper"
"DelRivCoalition",4,"SenatorCarper"
