"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x965255336394240000",2018-02-18 16:03:00,"x249787913","SenatorCarper","How President Trump ""took the heat"" on immigration reform this week: by pressuring my Republican colleagues to vote against a bipartisan deal that would protect Dreamers, secure our border and make every American safer https://t.co/LCBKBHPG1g","TweetDeck",,,,FALSE,FALSE,32,13,,,"vox.com/policy-and-pol…","https://t.co/LCBKBHPG1g","https://www.vox.com/policy-and-politics/2018/2/15/17016334/white-house-veto-senate-immigration-deal",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964953599955660801",2018-02-17 20:04:00,"x249787913","SenatorCarper","A number of senators on both sides of the aisle worked in good faith to reach a deal to protect Dreamers. But when the opportunity arose, too few of my Republican colleagues were willing to take it. https://t.co/yWqFtF7fEk","TweetDeck",,,,FALSE,FALSE,36,13,,,"politico.com/story/2018/02/…","https://t.co/yWqFtF7fEk","https://www.politico.com/story/2018/02/15/immigration-daca-senate-412459",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964878101388787712",2018-02-17 15:04:00,"x249787913","SenatorCarper","The bright side of a dark day in the Senate is that the American people can now see clearly how much Democrats are willing to compromise to protect these deserving young people https://t.co/4152YO2sXU","TweetDeck",,,,FALSE,FALSE,29,11,,,"nytimes.com/2018/02/15/us/…","https://t.co/4152YO2sXU","https://www.nytimes.com/2018/02/15/us/politics/immigration-senate-dreamers.html",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964673502715502592",2018-02-17 01:31:00,"x249787913","SenatorCarper","The old saying goes: ""Fool me once, shame on you. Fool me twice, shame on me."" Well, the shame is on us if we ignore the threat we continue to face from Russia with respect to our country's free and fair election system.
https://t.co/eSHOZ4K7qy","TweetDeck",,,,FALSE,FALSE,84,30,,,"nbcnews.com/politics/polit…","https://t.co/eSHOZ4K7qy","https://www.nbcnews.com/politics/politics-news/special-counsel-mueller-charges-13-russians-interfering-2016-election-n848686",,,,,,,,,,,"en",,,,,,,,,,,,,
"x964595273493303298",2018-02-16 20:20:09,"x249787913","SenatorCarper","We heard it from our intelligence agencies. We heard it from Secretary Tillerson. We heard it from Director Coats. Now this. If you had any doubt that Russia meddled in our 2016 elections, this is your wake-up call. https://t.co/svvzDgus2Z","Twitter Web Client",,,,FALSE,FALSE,64,27,,,"usatoday.com/story/news/pol…","https://t.co/svvzDgus2Z","https://www.usatoday.com/story/news/politics/2018/02/16/special-counsel-indicts-russian-nationals-election-interference/345720002/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x963959447323279360",2018-02-15 02:13:36,"x249787913","SenatorCarper","I’m praying for the families who lost their loved ones today. But I know my prayers aren’t enough. Congress must take action to address our country’s epidemic of gun violence.","Twitter for iPhone",,,,FALSE,FALSE,442,107,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963858188666855424",2018-02-14 19:31:14,"x249787913","SenatorCarper","This morning I had the special honor of joining the Senate Judiciary Committee hearing to introduce Maryellen Noreika and Colm Connolly, both nominees to be U.S. District Judges for the District of Delaware https://t.co/7jq247PIwv","Twitter Web Client",,,,FALSE,FALSE,9,8,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/963857891433295878/pu/img/VoPQTeuWJbtUqn-N.jpg","https://t.co/7jq247PIwv","https://twitter.com/SenatorCarper/status/963858188666855424/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/963857891433295878/pu/img/VoPQTeuWJbtUqn-N.jpg","https://t.co/7jq247PIwv","https://twitter.com/SenatorCarper/status/963858188666855424/video/1",,,,"en",,,,,,,,,,,,,
"x963474560623443970",2018-02-13 18:06:50,"x249787913","SenatorCarper","It's imperative that nominees for top leadership posts at the @uscensusbureau are experienced, qualified and nonpartisan individuals willing to work with Congress and the administration to ensure a fair and accurate Census https://t.co/qFvgwHXEOv","Twitter Web Client",,,,FALSE,FALSE,15,4,,,"politico.com/story/2018/02/…","https://t.co/qFvgwHXEOv","https://www.politico.com/story/2018/02/12/census-commerce-department-brunell-405991",,,,,,,,,"x23092890","uscensusbureau","en",,,,,,,,,,,,,
"x963459674472316928",2018-02-13 17:07:41,"x249787913","SenatorCarper","Today I was visited by my friends at @SODelaware. They brought me a very special shirt to #PledgeRespect and spread the word to end the word. The @SpecialOlympics does such important work to educate, empower and build inclusive communities across the country. https://t.co/gvce6qwD4b","Twitter for iPhone",,,,FALSE,FALSE,49,9,"PledgeRespect",,,,,"http://pbs.twimg.com/media/DV7ldhxXcAI7ZXZ.jpg","https://t.co/gvce6qwD4b","https://twitter.com/SenatorCarper/status/963459674472316928/photo/1","photo","http://pbs.twimg.com/media/DV7ldhxXcAI7ZXZ.jpg","https://t.co/gvce6qwD4b","https://twitter.com/SenatorCarper/status/963459674472316928/photo/1",,"x55259680 19598173","SODelaware SpecialOlympics","en",,,,,,,,,,,,,
"x963191905310953472",2018-02-12 23:23:40,"x249787913","SenatorCarper","On the campaign trail, then-candidate Trump promised a large scale, trillion dollar infrastructure investment. 

After waiting more than a year for President Trump's #InfrastructurePlan, what the White House released today is unrealistic, inadequate and irresponsible.","Twitter Web Client",,,,FALSE,FALSE,66,36,"InfrastructurePlan",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x963152280089513985",2018-02-12 20:46:12,"x249787913","SenatorCarper","I'm sure that @EPAScottPruitt's $1,600 first-class plane ride from D.C. to New York was comfortable, but he only had to ask and I would've saved him a seat next to me on @Amtrak's Northeast Regional! We could've even sat in the quiet car. https://t.co/4skef1Zsmo","Twitter Web Client",,,,FALSE,FALSE,626,299,,,"washingtonpost.com/national/healt…","https://t.co/4skef1Zsmo","https://www.washingtonpost.com/national/health-science/first-class-travel-distinguishes-scott-pruitts-epa-tenure/2018/02/11/5bb89afc-0b7d-11e8-8b0d-891602206fb7_story.html?utm_term=.d5c5cf45951f",,,,,,,,,"x832672006113931269 119166791","EPAScottPruitt Amtrak","en",,,,,,,,,,,,,
"x963067944178802690",2018-02-12 15:11:05,"x249787913","SenatorCarper","The response has been swift and a plan is in place to get safe drinking water back to the Town of Blades. #NetDE #sussexde https://t.co/B3yUhs5hvJ","Twitter for iPhone",,,,FALSE,FALSE,9,7,"NetDE sussexde",,,,,"http://pbs.twimg.com/media/DV2BLsCWAAA4qbQ.jpg","https://t.co/B3yUhs5hvJ","https://twitter.com/SenatorCarper/status/963067944178802690/photo/1","photo","http://pbs.twimg.com/media/DV2BLsCWAAA4qbQ.jpg http://pbs.twimg.com/media/DV2BLsEXcAY4rTU.jpg http://pbs.twimg.com/media/DV2BLsCW0AA4xBr.jpg http://pbs.twimg.com/media/DV2BLsCXkAEoilQ.jpg","https://t.co/B3yUhs5hvJ https://t.co/B3yUhs5hvJ https://t.co/B3yUhs5hvJ https://t.co/B3yUhs5hvJ","https://twitter.com/SenatorCarper/status/963067944178802690/photo/1 https://twitter.com/SenatorCarper/status/963067944178802690/photo/1 https://twitter.com/SenatorCarper/status/963067944178802690/photo/1 https://twitter.com/SenatorCarper/status/963067944178802690/photo/1",,,,"en",,,,,"https://api.twitter.com/1.1/geo/id/d47f1e2b6b3c1e29.json","Blades","Blades, DE","city","United States","US",,,"-75.6134868 -75.593285 -75.593285 -75.6134868 38.628281 38.628281 38.6401147 38.6401147"
"x962136913690943488",2018-02-10 01:31:30,"x249787913","SenatorCarper","Our Olympic athletes’ hard work and dedication to their craft is truly inspirational. They’ve worked so hard to represent our country on the world stage, and I can’t wait to root them on as they compete in #PyeongChang2018. Go @TeamUSA! 🇺🇸","Twitter for iPhone",,,,FALSE,FALSE,18,8,"PyeongChang2018",,,,,,,,,,,,,"x21870081","TeamUSA","en",,,,,,,,,,,,,
"x962100342346436609",2018-02-09 23:06:11,"x249787913","SenatorCarper","We need to sharpen our pencils and stop making the kind of expensive, avoidable mistakes that lead to wasteful spending and make our agencies and programs vulnerable to fraud and abuse. https://t.co/Mz0HYFkdoM","Twitter Web Client",,,,FALSE,FALSE,19,8,,,"govexec.com/management/201…","https://t.co/Mz0HYFkdoM","http://www.govexec.com/management/2018/02/lawmakers-revive-effort-curb-agency-payments-dead-people/145789/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x962072463281610752",2018-02-09 21:15:24,"x249787913","SenatorCarper","Congress must pass #SESTA, which would help enable our federal and state law enforcement officials take down online sex traffickers and protect victims of sex trafficking. https://t.co/4BEaH78LwA","Twitter Web Client",,,,FALSE,FALSE,16,8,"SESTA",,"delawareonline.com/story/news/201…","https://t.co/4BEaH78LwA","https://www.delawareonline.com/story/news/2018/02/09/worlds-top-online-brothel-delaware-company-good-standing/308732002/",,,,,,,,,,,"en",,,,,,,,,,,,,
"x961751434806153216",2018-02-08 23:59:45,"x249787913","SenatorCarper","I love a good Delaware reunion - especially when it's to honor @JoeBiden and celebrate the opening of the @PennBiden Center! #netDE https://t.co/pxilNVU4zK","Twitter Web Client",,,,FALSE,FALSE,134,22,"netDE",,,,,"http://pbs.twimg.com/media/DVjTc74WAAEWaMZ.jpg","https://t.co/pxilNVU4zK","https://twitter.com/SenatorCarper/status/961751434806153216/photo/1","photo","http://pbs.twimg.com/media/DVjTc74WAAEWaMZ.jpg","https://t.co/pxilNVU4zK","https://twitter.com/SenatorCarper/status/961751434806153216/photo/1",,"x939091 831600619332968449","JoeBiden PennBiden","en",,,,,,,,,,,,,
"x961399481832034304",2018-02-08 00:41:13,"x249787913","SenatorCarper","Great to meet with @leagueofcities today and listen to their ideas to #RebuildWithUs. They understand better than most that we need historic investments in our infrastructure—and we can’t simply push the burden of funding these projects onto our towns, cities and states. https://t.co/RbOuEkQfk7","Twitter for iPhone",,,,FALSE,FALSE,15,12,"RebuildWithUs",,,,,"http://pbs.twimg.com/media/DVeTueQVwAEjxDc.jpg","https://t.co/RbOuEkQfk7","https://twitter.com/SenatorCarper/status/961399481832034304/photo/1","photo","http://pbs.twimg.com/media/DVeTueQVwAEjxDc.jpg","https://t.co/RbOuEkQfk7","https://twitter.com/SenatorCarper/status/961399481832034304/photo/1",,"x21803333","leagueofcities","en",,,,,,,,,,,,,
