"Mention","Frequency","screen_name"
"SenatorShaheen",143,"SenatorHassan"
"POTUS",117,"SenatorHassan"
"SenatorHassan",42,"SenatorHassan"
"livefreestart",35,"SenatorHassan"
"realDonaldTrump",35,"SenatorHassan"
"FCC",29,"SenatorHassan"
"DHSgov",25,"SenatorHassan"
"SenateGOP",23,"SenatorHassan"
"PPFA",17,"SenatorHassan"
"senrobportman",17,"SenatorHassan"
"AjitPaiFCC",16,"SenatorHassan"
"SenCoryGardner",16,"SenatorHassan"
"Patriots",14,"SenatorHassan"
"united",14,"SenatorHassan"
"celtics",11,"SenatorHassan"
"DEAHQ",11,"SenatorHassan"
"EPA",11,"SenatorHassan"
"NH_HSEM",10,"SenatorHassan"
"FIRSTweets",9,"SenatorHassan"
"NHNationalGuard",9,"SenatorHassan"
"SecPriceMD",9,"SenatorHassan"
"USCBO",9,"SenatorHassan"
"alpha_loft",8,"SenatorHassan"
"HHSGov",8,"SenatorHassan"
"NHMS",8,"SenatorHassan"
"politico",8,"SenatorHassan"
"RedSox",8,"SenatorHassan"
"RepAnnieKuster",8,"SenatorHassan"
"RepTomPrice",8,"SenatorHassan"
"SenWarren",8,"SenatorHassan"
"USDOL",8,"SenatorHassan"
"WMUR9",8,"SenatorHassan"
"HouseGOP",7,"SenatorHassan"
"SenatorCollins",7,"SenatorHassan"
"SenBobCasey",7,"SenatorHassan"
"ChiefWillard",6,"SenatorHassan"
"EPAScottPruitt",6,"SenatorHassan"
"JRosenworcel",6,"SenatorHassan"
"MSNBC",6,"SenatorHassan"
"SBAgov",6,"SenatorHassan"
"SecShulkin",6,"SenatorHassan"
"SenDuckworth",6,"SenatorHassan"
"SenMarkey",6,"SenatorHassan"
"UnionLeader",6,"SenatorHassan"
"BetsyDeVos",5,"SenatorHassan"
"BetsyDeVosED",5,"SenatorHassan"
"clairecmc",5,"SenatorHassan"
"CTIA",5,"SenatorHassan"
"GovChristie",5,"SenatorHassan"
"HOPE4NH",5,"SenatorHassan"
"KaiserFamFound",5,"SenatorHassan"
"SenateDems",5,"SenatorHassan"
"SenToddYoung",5,"SenatorHassan"
"SteveDaines",5,"SenatorHassan"
"timkaine",5,"SenatorHassan"
"usedgov",5,"SenatorHassan"
"washingtonpost",5,"SenatorHassan"
"AARPNH",4,"SenatorHassan"
"AmericanLegion",4,"SenatorHassan"
"Arlenv1",4,"SenatorHassan"
"CFPB",4,"SenatorHassan"
"CityYearNH",4,"SenatorHassan"
"CNN",4,"SenatorHassan"
"CoryBooker",4,"SenatorHassan"
"DEANEWENGLAND",4,"SenatorHassan"
"iava",4,"SenatorHassan"
"jaslow",4,"SenatorHassan"
"KeeneState_",4,"SenatorHassan"
"mitchellreports",4,"SenatorHassan"
"NatlGovsAssoc",4,"SenatorHassan"
"NHTI",4,"SenatorHassan"
"RiverbendCMHC",4,"SenatorHassan"
"SenateHSGACDems",4,"SenatorHassan"
"SenatorIsakson",4,"SenatorHassan"
"SenatorTimScott",4,"SenatorHassan"
"SenatorTomUdall",4,"SenatorHassan"
"SenJohnMcCain",4,"SenatorHassan"
"UofNH",4,"SenatorHassan"
"allinwithchris",3,"SenatorHassan"
"ASDNHorg",3,"SenatorHassan"
"brianschatz",3,"SenatorHassan"
"chrislhayes",3,"SenatorHassan"
"ChuckGrassley",3,"SenatorHassan"
"CleanAirMoms",3,"SenatorHassan"
"cubbynotes",3,"SenatorHassan"
"EastersealsNH",3,"SenatorHassan"
"fema",3,"SenatorHassan"
"FisherCats",3,"SenatorHassan"
"FTC",3,"SenatorHassan"
"grtrmanchester",3,"SenatorHassan"
"jcyr",3,"SenatorHassan"
"jimmykimmel",3,"SenatorHassan"
"NASA",3,"SenatorHassan"
"NewEnglandWire",3,"SenatorHassan"
"NewHampshireDOT",3,"SenatorHassan"
"NH_StatePolice",3,"SenatorHassan"
"NHHEAF",3,"SenatorHassan"
"NHHFA",3,"SenatorHassan"
"NHPRExchange",3,"SenatorHassan"
"NIH",3,"SenatorHassan"
"nytimes",3,"SenatorHassan"
"PattyMurray",3,"SenatorHassan"
"PLTWorg",3,"SenatorHassan"
"PPact",3,"SenatorHassan"
"RCFY",3,"SenatorHassan"
"RepSheaPorter",3,"SenatorHassan"
"SecretaryZinke",3,"SenatorHassan"
"Sen_JoeManchin",3,"SenatorHassan"
"SenateCommerce",3,"SenatorHassan"
"SenatorTester",3,"SenatorHassan"
"SenatorWicker",3,"SenatorHassan"
"SenWhitehouse",3,"SenatorHassan"
"spellmeyer",3,"SenatorHassan"
"SteveScalise",3,"SenatorHassan"
"thrwbck",3,"SenatorHassan"
"TIME",3,"SenatorHassan"
"ToysForTots_USA",3,"SenatorHassan"
"usairforce",3,"SenatorHassan"
"USCG",3,"SenatorHassan"
"USDA",3,"SenatorHassan"
"USDOT",3,"SenatorHassan"
"VP",3,"SenatorHassan"
"AdamSextonWMUR",2,"SenatorHassan"
"AmericaEast",2,"SenatorHassan"
"armi_usa",2,"SenatorHassan"
"BBBSNH",2,"SenatorHassan"
"BIAofNH",2,"SenatorHassan"
"BldgOnHope",2,"SenatorHassan"
"BusinessNHMag",2,"SenatorHassan"
"CBSNews",2,"SenatorHassan"
"CCSNH603",2,"SenatorHassan"
"CDCgov",2,"SenatorHassan"
"CLASP_DC",2,"SenatorHassan"
"CommonSense",2,"SenatorHassan"
"concordchamber",2,"SenatorHassan"
"ConMonitorNews",2,"SenatorHassan"
"craigmelvin",2,"SenatorHassan"
"DancingABC",2,"SenatorHassan"
"DartmouthHitch",2,"SenatorHassan"
"ebcne",2,"SenatorHassan"
"Embassy_of_AFG",2,"SenatorHassan"
"empoweryouth603",2,"SenatorHassan"
"ESGR",2,"SenatorHassan"
"FrankPallone",2,"SenatorHassan"
"gmtgiftbaskets",2,"SenatorHassan"
"goGSMgo",2,"SenatorHassan"
"GovChrisSununu",2,"SenatorHassan"
"GraniteStateIL",2,"SenatorHassan"
"greatbaycc",2,"SenatorHassan"
"GSCANH",2,"SenatorHassan"
"Harbor_HomesInc",2,"SenatorHassan"
"HarkinSummit",2,"SenatorHassan"
"HealthCareGov",2,"SenatorHassan"
"hiddencollect",2,"SenatorHassan"
"hopeonhavenhill",2,"SenatorHassan"
"HUDgov",2,"SenatorHassan"
"JECDems",2,"SenatorHassan"
"JeffFlake",2,"SenatorHassan"
"JohnBoozman",2,"SenatorHassan"
"JohnCornyn",2,"SenatorHassan"
"makeitlabs",2,"SenatorHassan"
"ManchCommHealth",2,"SenatorHassan"
"ManchesterCC",2,"SenatorHassan"
"ManchesterYPN",2,"SenatorHassan"
"MClyburnFCC",2,"SenatorHassan"
"MethuenConst",2,"SenatorHassan"
"mht_nh_police",2,"SenatorHassan"
"MonarchsHockey",2,"SenatorHassan"
"MPALNH",2,"SenatorHassan"
"mydemoulas",2,"SenatorHassan"
"NAMI_NH",2,"SenatorHassan"
"NASCAR",2,"SenatorHassan"
"NECouncil",2,"SenatorHassan"
"NEFIRST",2,"SenatorHassan"
"NewFuturesNH",2,"SenatorHassan"
"NHADEC_USA",2,"SenatorHassan"
"NHBR",2,"SenatorHassan"
"NHCUC",2,"SenatorHassan"
"NHDES",2,"SenatorHassan"
"NHFB",2,"SenatorHassan"
"NHHTC",2,"SenatorHassan"
"NHLBruins",2,"SenatorHassan"
"nhnonprofits",2,"SenatorHassan"
"nhpr",2,"SenatorHassan"
"NHProviders",2,"SenatorHassan"
"nhsl",2,"SenatorHassan"
"NOAA",2,"SenatorHassan"
"omnicomponents",2,"SenatorHassan"
