"Mention","Frequency","screen_name"
"BillCassidy",357,"BillCassidy"
"FoxNews",36,"BillCassidy"
"DavidVitter",35,"BillCassidy"
"CNN",33,"BillCassidy"
"realDonaldTrump",33,"BillCassidy"
"ChrisMurphyCT",31,"BillCassidy"
"FoxBusiness",25,"BillCassidy"
"LindseyGrahamSC",25,"BillCassidy"
"dberrygannett",23,"BillCassidy"
"SteveScalise",23,"BillCassidy"
"Saints",22,"BillCassidy"
"theadvocatebr",21,"BillCassidy"
"fema",18,"BillCassidy"
"SenatorCollins",17,"BillCassidy"
"NOLAnews",16,"BillCassidy"
"POTUS",15,"BillCassidy"
"foxandfriends",14,"BillCassidy"
"LSUbaseball",14,"BillCassidy"
"LSUfootball",13,"BillCassidy"
"elizabethcrisp",12,"BillCassidy"
"KATCTV3",12,"BillCassidy"
"TheHillEvents",12,"BillCassidy"
"FoxNewsSunday",11,"BillCassidy"
"GovernorPerry",11,"BillCassidy"
"WAFB",11,"BillCassidy"
"JohnKennedyLA",10,"BillCassidy"
"JSODonoghue",10,"BillCassidy"
"lsu",10,"BillCassidy"
"MaryLandrieu",10,"BillCassidy"
"SenatorCarper",10,"BillCassidy"
"thehill",10,"BillCassidy"
"GOPHELP",9,"BillCassidy"
"marcorubio",9,"BillCassidy"
"postlive",9,"BillCassidy"
"RepPaulHollis",9,"BillCassidy"
"SenAlexander",9,"BillCassidy"
"StephenHandwerk",9,"BillCassidy"
"AMEERBARAKA",8,"BillCassidy"
"cspan",8,"BillCassidy"
"MeetThePress",8,"BillCassidy"
"PeteSessions",8,"BillCassidy"
"RealBenCarson",8,"BillCassidy"
"wolfblitzer",8,"BillCassidy"
"chucktodd",7,"BillCassidy"
"joniernst",7,"BillCassidy"
"LSUfball",7,"BillCassidy"
"Morning_Joe",7,"BillCassidy"
"nrlc",7,"BillCassidy"
"SenCapito",7,"BillCassidy"
"theadvocateno",7,"BillCassidy"
"WBRZ",7,"BillCassidy"
"WWLTV",7,"BillCassidy"
"CreighDeeds",6,"BillCassidy"
"GOP",6,"BillCassidy"
"JohnCornyn",6,"BillCassidy"
"KSLA",6,"BillCassidy"
"MentalHealthAm",6,"BillCassidy"
"NewDay",6,"BillCassidy"
"nytimes",6,"BillCassidy"
"sarahkliff",6,"BillCassidy"
"SBAList",6,"BillCassidy"
"SecretaryZinke",6,"BillCassidy"
"SenTomCotton",6,"BillCassidy"
"talk1073",6,"BillCassidy"
"VP",6,"BillCassidy"
"WSJ",6,"BillCassidy"
"AmericaNewsroom",5,"BillCassidy"
"DDLA14",5,"BillCassidy"
"EnergyGOP",5,"BillCassidy"
"katiecouric",5,"BillCassidy"
"KTBS",5,"BillCassidy"
"MelindaDeslatte",5,"BillCassidy"
"MSNBC",5,"BillCassidy"
"politico",5,"BillCassidy"
"rrainey504",5,"BillCassidy"
"seanhannity",5,"BillCassidy"
"SenateMajLdr",5,"BillCassidy"
"SenDeanHeller",5,"BillCassidy"
"SenJohnMcCain",5,"BillCassidy"
"SenWhitehouse",5,"BillCassidy"
"TeamGleason",5,"BillCassidy"
"wdsu",5,"BillCassidy"
"WhiteHouse",5,"BillCassidy"
"YahooNews",5,"BillCassidy"
"BobCusack",4,"BillCassidy"
"ChamberSWLA",4,"BillCassidy"
"CQnow",4,"BillCassidy"
"DouthatNYT",4,"BillCassidy"
"GOHSEP",4,"BillCassidy"
"lagop",4,"BillCassidy"
"LD_Advocate",4,"BillCassidy"
"LouisianaGov",4,"BillCassidy"
"LSUBasketball",4,"BillCassidy"
"mffisher",4,"BillCassidy"
"OperationSpark",4,"BillCassidy"
"RedCross",4,"BillCassidy"
"RepFleming",4,"BillCassidy"
"RepTomPrice",4,"BillCassidy"
"SCPSheriff",4,"BillCassidy"
"SenatorDurbin",4,"BillCassidy"
"SenatorTimScott",4,"BillCassidy"
"SenBillNelson",4,"BillCassidy"
"SenJohnKennedy",4,"BillCassidy"
"SenThomTillis",4,"BillCassidy"
"ShannonBream",4,"BillCassidy"
"SpecialReport",4,"BillCassidy"
"TeamCavuto",4,"BillCassidy"
"theadvertiser",4,"BillCassidy"
"Varneyco",4,"BillCassidy"
"abraham_ralph",3,"BillCassidy"
"ActionNews17",3,"BillCassidy"
"AtlanticLIVE",3,"BillCassidy"
"BloombergBNA",3,"BillCassidy"
"bradjurkovich",3,"BillCassidy"
"brynstole",3,"BillCassidy"
"CNNnewsroom",3,"BillCassidy"
"dcexaminer",3,"BillCassidy"
"DorisMatsui",3,"BillCassidy"
"EA_High_School",3,"BillCassidy"
"ElbertGuillory",3,"BillCassidy"
"ENR_GOP",3,"BillCassidy"
"EpilepsyLA",3,"BillCassidy"
"FamousDC",3,"BillCassidy"
"fieldthigpen",3,"BillCassidy"
"garretgraves",3,"BillCassidy"
"geofkoss",3,"BillCassidy"
"GNOinc",3,"BillCassidy"
"GOPLeader",3,"BillCassidy"
"GovMikeHuckabee",3,"BillCassidy"
"JimmyKimmelLive",3,"BillCassidy"
"JoanneKenen",3,"BillCassidy"
"kevinlitten",3,"BillCassidy"
"KNOE8",3,"BillCassidy"
"KSLAWeather",3,"BillCassidy"
"LARighttoLife",3,"BillCassidy"
"LIGO",3,"BillCassidy"
"lisamurkowski",3,"BillCassidy"
"LSUEngineering",3,"BillCassidy"
"lsureveille",3,"BillCassidy"
"LSUsoftball",3,"BillCassidy"
"MBSuperdome",3,"BillCassidy"
"MHechtGNO",3,"BillCassidy"
"NFL",3,"BillCassidy"
"nicapamela",3,"BillCassidy"
"PelicansNBA",3,"BillCassidy"
"RandPaul",3,"BillCassidy"
"Reince",3,"BillCassidy"
"RepAbraham",3,"BillCassidy"
"RepGarretGraves",3,"BillCassidy"
"RepMikeJohnson",3,"BillCassidy"
"RepRichmond",3,"BillCassidy"
"SecBurwell",3,"BillCassidy"
"SenatorBarb",3,"BillCassidy"
"SenatorIsakson",3,"BillCassidy"
"SenatorWicker",3,"BillCassidy"
"SenFeinstein",3,"BillCassidy"
