"Mention","Frequency","screen_name"
"JimInhofe",404,"InhofePress"
"InhofePress",60,"InhofePress"
"NewsOK",33,"InhofePress"
"PC1170",32,"InhofePress"
"tulsaworld",31,"InhofePress"
"YouTube",29,"InhofePress"
"AGScottPruitt",22,"InhofePress"
"SASCRepublicans",22,"InhofePress"
"NewsOKPolitics",20,"InhofePress"
"FoxNews",18,"InhofePress"
"SenatorLankford",18,"InhofePress"
"EPA",17,"InhofePress"
"WSJ",17,"InhofePress"
"EPWGOP",15,"InhofePress"
"POTUS",15,"InhofePress"
"realDonaldTrump",14,"InhofePress"
"Heritage",12,"InhofePress"
"politico",12,"InhofePress"
"RepMullin",12,"InhofePress"
"rkrehbiel",12,"InhofePress"
"USATODAY",12,"InhofePress"
"WashTimes",12,"InhofePress"
"RepLankford",11,"InhofePress"
"SenMikeLee",11,"InhofePress"
"tperkins",11,"InhofePress"
"FreeBeacon",10,"InhofePress"
"TheOklahoman",10,"InhofePress"
"AOPA",9,"InhofePress"
"ChadPergram",9,"InhofePress"
"OKDOT",9,"InhofePress"
"SASCMajority",9,"InhofePress"
"SenJohnBarrasso",9,"InhofePress"
"cnsnews",8,"InhofePress"
"DavidVitter",8,"InhofePress"
"foxandfriends",8,"InhofePress"
"KellyAyotte",8,"InhofePress"
"KRMGtulsa",8,"InhofePress"
"LawtonConst",8,"InhofePress"
"nationaljournal",8,"InhofePress"
"okcthunder",8,"InhofePress"
"PeterRoff",8,"InhofePress"
"rcourikrmg",8,"InhofePress"
"SenTedCruz",8,"InhofePress"
"thehill",8,"InhofePress"
"usairforce",8,"InhofePress"
"al_armendariz",7,"InhofePress"
"EdMorrissey",7,"InhofePress"
"enidnews",7,"InhofePress"
"GovMikeHuckabee",7,"InhofePress"
"JHerbTheHill",7,"InhofePress"
"JRubinBlogger",7,"InhofePress"
"MikeBastasch",7,"InhofePress"
"okfarmbureau",7,"InhofePress"
"SenCarlLevin",7,"InhofePress"
"SenJohnMcCain",7,"InhofePress"
"cspan",6,"InhofePress"
"EPAScottPruitt",6,"InhofePress"
"EPWRepublicans",6,"InhofePress"
"FOX23",6,"InhofePress"
"jaketapper",6,"InhofePress"
"JJCarafano",6,"InhofePress"
"NEWSRADIOKTOK",6,"InhofePress"
"OKCFOX",6,"InhofePress"
"okstatechamber",6,"InhofePress"
"RepJBridenstine",6,"InhofePress"
"senate_gops",6,"InhofePress"
"TomCoburn",6,"InhofePress"
"USArmy",6,"InhofePress"
"WilliamJBennett",6,"InhofePress"
"1400Charlie",5,"InhofePress"
"AmericaNewsroom",5,"InhofePress"
"CoryBooker",5,"InhofePress"
"DailyCaller",5,"InhofePress"
"defconhill",5,"InhofePress"
"edmondsun",5,"InhofePress"
"FoxBusiness",5,"InhofePress"
"JerryBohnen",5,"InhofePress"
"KFAQ",5,"InhofePress"
"Kredo0",5,"InhofePress"
"MickCornett",5,"InhofePress"
"okagpolicy",5,"InhofePress"
"okiepolitics",5,"InhofePress"
"RepFrankLucas",5,"InhofePress"
"RoyBlunt",5,"InhofePress"
"ScottPruittOK",5,"InhofePress"
"SenateFloor",5,"InhofePress"
"SundanceAirport",5,"InhofePress"
"TomColeOK04",5,"InhofePress"
"TonyRussellTV",5,"InhofePress"
"washingtonpost",5,"InhofePress"
"CBSNews",4,"InhofePress"
"club4growth",4,"InhofePress"
"CraigBBannister",4,"InhofePress"
"DefenseOne",4,"InhofePress"
"DoughertyJC",4,"InhofePress"
"Ford",4,"InhofePress"
"foxnation",4,"InhofePress"
"GovMaryFallin",4,"InhofePress"
"hughhewitt",4,"InhofePress"
"IBDinvestors",4,"InhofePress"
"IngrahamAngle",4,"InhofePress"
"jamiedupree",4,"InhofePress"
"jerrydoyle",4,"InhofePress"
"joewertz",4,"InhofePress"
"JohnBoozman",4,"InhofePress"
"kate_sheppard",4,"InhofePress"
"kwhwradio",4,"InhofePress"
"loudobbsnews",4,"InhofePress"
"marthamaccallum",4,"InhofePress"
"NewsOn6",4,"InhofePress"
"QuorumCall",4,"InhofePress"
"Ron_on_RON",4,"InhofePress"
"SenateGOP",4,"InhofePress"
"SenatorMenendez",4,"InhofePress"
"SenatorReid",4,"InhofePress"
"StudentCam",4,"InhofePress"
"USChamber",4,"InhofePress"
"usnews",4,"InhofePress"
"AeroNews",3,"InhofePress"
"AP",3,"InhofePress"
"benfelder_okc",3,"InhofePress"
"BreitbartNews",3,"InhofePress"
"BretBaier",3,"InhofePress"
"CenterForBioDiv",3,"InhofePress"
"CNN",3,"InhofePress"
"connorobrienNH",3,"InhofePress"
"DavidLarter",3,"InhofePress"
"dcexaminer",3,"InhofePress"
"defense_news",3,"InhofePress"
"derryan11",3,"InhofePress"
"DRUDGE_REPORT",3,"InhofePress"
"DuncanBanner",3,"InhofePress"
"EAA",3,"InhofePress"
"EPAGov",3,"InhofePress"
"EPWDems",3,"InhofePress"
"EricaMartinson",3,"InhofePress"
"ericgarcetti",3,"InhofePress"
"FFAOK",3,"InhofePress"
"ForeignPolicy",3,"InhofePress"
"garlandjenna",3,"InhofePress"
"GENRayOdierno",3,"InhofePress"
"GenWelshUSAF",3,"InhofePress"
"Gorman_Siobhan",3,"InhofePress"
"GrahamBlog",3,"InhofePress"
"hereandnow",3,"InhofePress"
"hobbylobbystore",3,"InhofePress"
"Invisible",3,"InhofePress"
"JerryMoran",3,"InhofePress"
"KJRH2HD",3,"InhofePress"
"LarsLarsonShow",3,"InhofePress"
"marcorubio",3,"InhofePress"
"marklarsonradio",3,"InhofePress"
"marklevinshow",3,"InhofePress"
"OCPAThink",3,"InhofePress"
"OUDaily",3,"InhofePress"
"RCDefense",3,"InhofePress"
"RhettMorganTW",3,"InhofePress"
"rollcall",3,"InhofePress"
"SenateCommerce",3,"InhofePress"
"SenCapito",3,"InhofePress"
"StewSays",3,"InhofePress"
"tedcruz",3,"InhofePress"
"TIME",3,"InhofePress"
"USNavy",3,"InhofePress"
"zcolman",3,"InhofePress"
"ACUConservative",2,"InhofePress"
"ADP_UCO",2,"InhofePress"
"AFPMonline",2,"InhofePress"
"AGRutledge",2,"InhofePress"
"AirForceMag",2,"InhofePress"
"Alankota",2,"InhofePress"
"AmChemistry",2,"InhofePress"
"AmyAHarder",2,"InhofePress"
"AndyParksTWT",2,"InhofePress"
"ANGAus",2,"InhofePress"
"AnthonyAdragna",2,"InhofePress"
"axios",2,"InhofePress"
"BarackObama",2,"InhofePress"
"BenFreemanDC",2,"InhofePress"
"BennettJohnT",2,"InhofePress"
"BillHemmer",2,"InhofePress"
"bobbeauprez",2,"InhofePress"
"brithume",2,"InhofePress"
"BuckMcKeon",2,"InhofePress"
"CarltonLanding",2,"InhofePress"
"ChuckGrassley",2,"InhofePress"
"chucktodd",2,"InhofePress"
"CNBC",2,"InhofePress"
"CNNSitRoom",2,"InhofePress"
"CQEnergy",2,"InhofePress"
"CRTChuck",2,"InhofePress"
"CUFI",2,"InhofePress"
"dailyrundown",2,"InhofePress"
"DailySignal",2,"InhofePress"
"DanRiehl",2,"InhofePress"
"DennisPrager",2,"InhofePress"
"DickMorrisTweet",2,"InhofePress"
"DireStates",2,"InhofePress"
"dmartosko",2,"InhofePress"
"doorkeeper",2,"InhofePress"
"Elaine_Quijano",2,"InhofePress"
"EnidChamber",2,"InhofePress"
"eschor",2,"InhofePress"
"Forbes",2,"InhofePress"
"foxvanallen",2,"InhofePress"
"FRCdc",2,"InhofePress"
"FreedomWorks",2,"InhofePress"
"glennbeck",2,"InhofePress"
"govtrack",2,"InhofePress"
"HASCRepublicans",2,"InhofePress"
"jameslankford",2,"InhofePress"
"Jason_Plautz",2,"InhofePress"
"JD_Strong",2,"InhofePress"
"jeremyhobson",2,"InhofePress"
"JimDeMint",2,"InhofePress"
"John_Hudson",2,"InhofePress"
"JohnWiscaver",2,"InhofePress"
"joshrogin",2,"InhofePress"
"JournalRecord",2,"InhofePress"
"jrhcollison",2,"InhofePress"
"KamalaHarris",2,"InhofePress"
"kilmeade",2,"InhofePress"
"kristina_wong",2,"InhofePress"
"kristinabaum",2,"InhofePress"
"KXIITV",2,"InhofePress"
"LizWFB",2,"InhofePress"
"Macys",2,"InhofePress"
"Martin_Dempsey",2,"InhofePress"
"megynkelly",2,"InhofePress"
"MichaelEMann",2,"InhofePress"
"mitchellreports",2,"InhofePress"
"MTPDaily",2,"InhofePress"
"NBCNews",2,"InhofePress"
"NEWS9",2,"InhofePress"
"NoelSheppard",2,"InhofePress"
"NORMANCHAMBER",2,"InhofePress"
"NormanNews",2,"InhofePress"
"NRA",2,"InhofePress"
"OKEnergyToday",2,"InhofePress"
"OkieMuskogee33",2,"InhofePress"
"OKTurnpike",2,"InhofePress"
"olgs7",2,"InhofePress"
"OSUMBB",2,"InhofePress"
"OU_MBBall",2,"InhofePress"
"President_Boren",2,"InhofePress"
"ptrueman",2,"InhofePress"
"RayLRiv",2,"InhofePress"
"redcrossokc",2,"InhofePress"
"reidomullins",2,"InhofePress"
"RepBillShuster",2,"InhofePress"
"RepDennisRoss",2,"InhofePress"
"RepFredUpton",2,"InhofePress"
"ReutersZengerle",2,"InhofePress"
"ryanjtracy",2,"InhofePress"
"SarahMMimms",2,"InhofePress"
"seanhannity",2,"InhofePress"
