"Mention","Frequency","screen_name"
"SenatorRisch",86,"MikeCrapo"
"MikeCrapo",41,"MikeCrapo"
"INL",32,"MikeCrapo"
"KTVB",26,"MikeCrapo"
"POTUS",23,"MikeCrapo"
"RonWyden",23,"MikeCrapo"
"IdahoStatesman",18,"MikeCrapo"
"Sebelius",17,"MikeCrapo"
"Raul_Labrador",16,"MikeCrapo"
"SenJohnsonSD",16,"MikeCrapo"
"CongMikeSimpson",15,"MikeCrapo"
"uidaho",15,"MikeCrapo"
"senjudiciary",14,"MikeCrapo"
"USCapitolTree",14,"MikeCrapo"
"USDA",12,"MikeCrapo"
"FoxBusiness",11,"MikeCrapo"
"KLEWNews",11,"MikeCrapo"
"twinfallstn",11,"MikeCrapo"
"Chobani",10,"MikeCrapo"
"WSJ",10,"MikeCrapo"
"BankingGOP",9,"MikeCrapo"
"BudgetGOP",9,"MikeCrapo"
"cspan",9,"MikeCrapo"
"KPVI",9,"MikeCrapo"
"lisamurkowski",9,"MikeCrapo"
"senate_gops",9,"MikeCrapo"
"SenBennetCO",9,"MikeCrapo"
"thehill",9,"MikeCrapo"
"uscapitol",9,"MikeCrapo"
"BLMNIFC",8,"MikeCrapo"
"boisestatelive",8,"MikeCrapo"
"BroncoSportsFB",8,"MikeCrapo"
"GOPSenFinance",8,"MikeCrapo"
"HUDgov",8,"MikeCrapo"
"Idaho_Politics",8,"MikeCrapo"
"AARPIdaho",7,"MikeCrapo"
"cathymcmorris",7,"MikeCrapo"
"IdahoOnYourSide",7,"MikeCrapo"
"IdahoStateJ",7,"MikeCrapo"
"KBOI670",7,"MikeCrapo"
"KBOITV",7,"MikeCrapo"
"politico",7,"MikeCrapo"
"SenateBanking",7,"MikeCrapo"
"SenJohnBarrasso",7,"MikeCrapo"
"TomCoburn",7,"MikeCrapo"
"uvsj",7,"MikeCrapo"
"BloombergTV",6,"MikeCrapo"
"BudgetHawks",6,"MikeCrapo"
"ButchOtter",6,"MikeCrapo"
"IndianCommittee",6,"MikeCrapo"
"kevinmillershow",6,"MikeCrapo"
"librarycongress",6,"MikeCrapo"
"PeterCCook",6,"MikeCrapo"
"SenJeffMerkley",6,"MikeCrapo"
"SpeakerBoehner",6,"MikeCrapo"
"cdapresscom",5,"MikeCrapo"
"ChuckGrassley",5,"MikeCrapo"
"DeptVetAffairs",5,"MikeCrapo"
"Emjayktvb",5,"MikeCrapo"
"ENERGY",5,"MikeCrapo"
"EPA",5,"MikeCrapo"
"EximBankUS",5,"MikeCrapo"
"GerriWillisFBN",5,"MikeCrapo"
"IDFarmBureau",5,"MikeCrapo"
"jessika_jenson",5,"MikeCrapo"
"KaitlynFarr",5,"MikeCrapo"
"localnews8",5,"MikeCrapo"
"SenatorCardin",5,"MikeCrapo"
"SenatorFischer",5,"MikeCrapo"
"SenatorHeitkamp",5,"MikeCrapo"
"senorrinhatch",5,"MikeCrapo"
"thekudlowreport",5,"MikeCrapo"
"usairforce",5,"MikeCrapo"
"clairecmc",4,"MikeCrapo"
"ClifBar",4,"MikeCrapo"
"CNBC",4,"MikeCrapo"
"EPWRepublicans",4,"MikeCrapo"
"federalreserve",4,"MikeCrapo"
"FixtheDebt",4,"MikeCrapo"
"fredhochberg",4,"MikeCrapo"
"hilary_knight",4,"MikeCrapo"
"IdahoPressTrib",4,"MikeCrapo"
"JimInhofe",4,"MikeCrapo"
"krauthammer",4,"MikeCrapo"
"nateshelman",4,"MikeCrapo"
"Olympics",4,"MikeCrapo"
"RealBenCarson",4,"MikeCrapo"
"realneallarson",4,"MikeCrapo"
"SecretaryJewell",4,"MikeCrapo"
"SenJohnMcCain",4,"MikeCrapo"
"Sochi2014",4,"MikeCrapo"
"SpokesmanReview",4,"MikeCrapo"
"SquawkCNBC",4,"MikeCrapo"
"theaward",4,"MikeCrapo"
"USATODAY",4,"MikeCrapo"
"USCBO",4,"MikeCrapo"
"USMC",4,"MikeCrapo"
"USTreasury",4,"MikeCrapo"
"Varneyco",4,"MikeCrapo"
"WestPoint_USMA",4,"MikeCrapo"
"AARP",3,"MikeCrapo"
"AmericanLegion",3,"MikeCrapo"
"BOBSLEDR",3,"MikeCrapo"
"CoryBooker",3,"MikeCrapo"
"Forbes",3,"MikeCrapo"
"FoxNews",3,"MikeCrapo"
"HHSGov",3,"MikeCrapo"
