"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x964357164167909378",2018-02-16 04:33:59,"x2891210047","SenDanSullivan","Addressing the serious challenges in our immigration system – including a resolution for the beneficiaries of the DACA program – requires compassion, securing our border, and respect for the rule of law. See my statement on Senate immigration proposals: https://t.co/ioZSOoxLAC","TweetDeck",,,,FALSE,FALSE,14,4,,,"bit.ly/2Ex4yqw","https://t.co/ioZSOoxLAC","http://bit.ly/2Ex4yqw",,,,,,,,,,,"en",,,,,,,,,,,,,
"x963543188005900293",2018-02-13 22:39:32,"x2891210047","SenDanSullivan","While debate continues on merits of various infrastructure proposals, we must make sure we address our broken permitting system that has resulted in years-long delays, exorbitant costs &amp; the loss of private investment. 
 
See my joint Op-Ed ---https://t.co/5NAxnQxzn6 https://t.co/PA3Lvs5VWr","TweetDeck",,,,FALSE,FALSE,21,20,,,"bit.ly/2F2i7zG","https://t.co/5NAxnQxzn6","http://bit.ly/2F2i7zG","http://pbs.twimg.com/media/DV8xJxYXkAAGj26.jpg","https://t.co/PA3Lvs5VWr","https://twitter.com/SenDanSullivan/status/963543188005900293/photo/1","photo","http://pbs.twimg.com/media/DV8xJxYXkAAGj26.jpg","https://t.co/PA3Lvs5VWr","https://twitter.com/SenDanSullivan/status/963543188005900293/photo/1",,,,"en",,,,,,,,,,,,,
"x963240351950622721",2018-02-13 02:36:10,"x2891210047","SenDanSullivan","Once again, hats off to Kirk Alkire and all those that supported this effort to honor our #GoldStarFamilies #GoldStarPeak https://t.co/AXVIqtBCVV https://t.co/wwRj5mX15G","TweetDeck",,,,FALSE,FALSE,19,13,"GoldStarFamilies GoldStarPeak",,"ktuu.com/content/news/G…","https://t.co/AXVIqtBCVV","http://www.ktuu.com/content/news/Gold-Star-Peak-honors-family-in-the-Chugach-Mountains-473760783.html","http://pbs.twimg.com/media/DV4d76tX0AAJlOR.jpg","https://t.co/wwRj5mX15G","https://twitter.com/SenDanSullivan/status/963240351950622721/photo/1","photo","http://pbs.twimg.com/media/DV4d76tX0AAJlOR.jpg","https://t.co/wwRj5mX15G","https://twitter.com/SenDanSullivan/status/963240351950622721/photo/1",,,,"en",,,,,,,,,,,,,
"x963229458743398400",2018-02-13 01:52:53,"x2891210047","SenDanSullivan","Earlier today, I joined CNBC’s “Squawk Box” to discuss what I hope to see in a package to address our nation’s inadequate and deteriorating infrastructure. One critical element -- the need to fix our broken permitting system that inhibits investment.

https://t.co/AnkNZ7eMpM","TweetDeck",,,,FALSE,FALSE,5,3,,,"youtu.be/mzsKCj54K3g","https://t.co/AnkNZ7eMpM","https://youtu.be/mzsKCj54K3g",,,,,,,,,,,"en",,,,,,,,,,,,,
"x961731108554575872",2018-02-08 22:38:59,"x2891210047","SenDanSullivan","I recently met with #SecDef James Mattis on a number of national security priorities for AK and the nation. As a fellow Marine and the presiding officer during his Senate confirmation vote, I was proud to present him with his 98-1 vote tally card at the conclusion of our meeting. https://t.co/wA1j7zdcRp","TweetDeck",,,,FALSE,FALSE,59,12,"SecDef",,,,,"http://pbs.twimg.com/media/DVjAYS_WAAEzQhs.jpg","https://t.co/wA1j7zdcRp","https://twitter.com/SenDanSullivan/status/961731108554575872/photo/1","photo","http://pbs.twimg.com/media/DVjAYS_WAAEzQhs.jpg","https://t.co/wA1j7zdcRp","https://twitter.com/SenDanSullivan/status/961731108554575872/photo/1",,,,"en",,,,,,,,,,,,,
"x961036262961569794",2018-02-07 00:37:54,"x2891210047","SenDanSullivan","I recently wrote to CEO of @Etsy
to ask that the company reconsider its policies that negatively impact Alaska Native artists.
https://t.co/UOK7XbxXop https://t.co/9ZKcASNRMq","TweetDeck",,,,FALSE,FALSE,20,13,,,"bit.ly/2EMiUnZ","https://t.co/UOK7XbxXop","http://bit.ly/2EMiUnZ","http://pbs.twimg.com/media/DVZJOPCX0AAZN-_.jpg","https://t.co/9ZKcASNRMq","https://twitter.com/SenDanSullivan/status/961036262961569794/photo/1","photo","http://pbs.twimg.com/media/DVZJOPCX0AAZN-_.jpg","https://t.co/9ZKcASNRMq","https://twitter.com/SenDanSullivan/status/961036262961569794/photo/1",,"x11522502","Etsy","en",,,,,,,,,,,,,
"x960682857302814720",2018-02-06 01:13:36,"x2891210047","SenDanSullivan","@LtGovMallott &amp; I were in Ottawa, Canada today meeting w/ gov officials on the issue of transboundary mining --- an issue of significant concern not only for Southeast Alaska, but for the state as a whole. https://t.co/0cjpSKxtQX","TweetDeck",,"x2915180419","LtGovMallott",FALSE,FALSE,1,1,,,,,,"http://pbs.twimg.com/ext_tw_video_thumb/960682123215679488/pu/img/WMKGarBQ704kJLq-.jpg","https://t.co/0cjpSKxtQX","https://twitter.com/SenDanSullivan/status/960682857302814720/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/960682123215679488/pu/img/WMKGarBQ704kJLq-.jpg","https://t.co/0cjpSKxtQX","https://twitter.com/SenDanSullivan/status/960682857302814720/video/1",,"x2915180419","LtGovMallott","en",,,,,,,,,,,,,
"x959562328944541697",2018-02-02 23:01:01,"x2891210047","SenDanSullivan","I'm honored to nominate 33 outstanding young Alaskans to four of our country’s U.S. Military Service Academies.

https://t.co/yPPCCfwd1Y","TweetDeck",,,,FALSE,FALSE,22,9,,,"bit.ly/2DXuWd4","https://t.co/yPPCCfwd1Y","http://bit.ly/2DXuWd4",,,,,,,,,,,"en",,,,,,,,,,,,,
"x959247068693975040",2018-02-02 02:08:17,"x2891210047","SenDanSullivan","Yesterday, I met with @VP Mike Pence to brief him on AK's strategic military importance to the nation ahead of his scheduled visit later this month. We focused on what I call ""AK's 3 Pillars of Military Might,"" &amp;how proud we are of our AK-based military &amp; the missions they serve. https://t.co/XUzPf6ry0W","TweetDeck",,,,FALSE,FALSE,47,15,,,,,,"http://pbs.twimg.com/media/DU_tRt2WsAAf8Z5.jpg","https://t.co/XUzPf6ry0W","https://twitter.com/SenDanSullivan/status/959247068693975040/photo/1","photo","http://pbs.twimg.com/media/DU_tRt2WsAAf8Z5.jpg","https://t.co/XUzPf6ry0W","https://twitter.com/SenDanSullivan/status/959247068693975040/photo/1",,"x818910970567344128","VP","en",,,,,,,,,,,,,
"x959220460385980417",2018-02-02 00:22:33,"x2891210047","SenDanSullivan","RT @statedeptspox: Wholeheartedly agree with @SenDanSullivan who says Tom Shannon epitomizes the professional staff of the @StateDept. Than…","TweetDeck",,,,FALSE,TRUE,0,26,,,,,,,,,,,,,,"x1967216306 2891210047 9624742","statedeptspox SenDanSullivan StateDept","en",,,"x959204469417349120","Wholeheartedly agree with @SenDanSullivan who says Tom Shannon epitomizes the professional staff of the @StateDept. Thank you, Senator, for recognizing this true public servant and his distinguished career.",,,,,,,,,
"x959220217787355136",2018-02-02 00:21:36,"x2891210047","SenDanSullivan","UnderSecretary Tom Shannon’s leadership over past 35 yrs has been invaluable to the greater foreign policy discussion in the Senate and across the globe. He epitomizes the professional staff of the @StateDept and is a true public servant. I wish him well in his retirement.","TweetDeck",,,,FALSE,FALSE,12,9,,,,,,,,,,,,,,"x9624742","StateDept","en",,,,,,,,,,,,,
"x958806801209810944",2018-01-31 20:58:49,"x2891210047","SenDanSullivan","Thank you to all those who have reached out following today's tragic train collision outside Charlottesville, VA I was on board, but was not injured. My thoughts &amp; prayers are with the victims and their families.. My sincere appreciation also goes out to our first responders.","TweetDeck",,,,FALSE,FALSE,57,16,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,
"x958571564651380736",2018-01-31 05:24:05,"x2891210047","SenDanSullivan","#SOTU https://t.co/rpetIe81rw","TweetDeck",,,,FALSE,FALSE,37,12,"SOTU",,,,,"http://pbs.twimg.com/media/DU2Hg5ZWkAEEBBc.jpg","https://t.co/rpetIe81rw","https://twitter.com/SenDanSullivan/status/958571564651380736/photo/1","photo","http://pbs.twimg.com/media/DU2Hg5ZWkAEEBBc.jpg","https://t.co/rpetIe81rw","https://twitter.com/SenDanSullivan/status/958571564651380736/photo/1",,,,"und",,,,,,,,,,,,,
"x958448285567672328",2018-01-30 21:14:13,"x2891210047","SenDanSullivan","Ahead of President Trump’s first State of the Union address, today I joined @SquawkCNBC to discuss what I hope to hear. https://t.co/VhYLDhIAF9","TweetDeck",,,,FALSE,FALSE,7,2,,,"youtu.be/J_zjiJX5CY4","https://t.co/VhYLDhIAF9","https://youtu.be/J_zjiJX5CY4",,,,,,,,,"x404422077","SquawkCNBC","en",,,,,,,,,,,,,
"x957054045700550657",2018-01-27 00:54:00,"x2891210047","SenDanSullivan","This week we recognize the Alaska Pacific University Nordic Ski Team as our Alaskans of the Week

https://t.co/NNoMUHbJQT https://t.co/ErsfAHF6rs","TweetDeck",,,,FALSE,FALSE,6,5,,,"youtu.be/MGk4Wfs8tdc","https://t.co/NNoMUHbJQT","https://youtu.be/MGk4Wfs8tdc","http://pbs.twimg.com/media/DUgfA3zWAAUwAja.jpg","https://t.co/ErsfAHF6rs","https://twitter.com/SenDanSullivan/status/957054045700550657/photo/1","photo","http://pbs.twimg.com/media/DUgfA3zWAAUwAja.jpg","https://t.co/ErsfAHF6rs","https://twitter.com/SenDanSullivan/status/957054045700550657/photo/1",,,,"en",,,,,,,,,,,,,
