"Mention","Frequency","screen_name"
"POTUS",90,"SenPatRoberts"
"IStillLikeIke",48,"SenPatRoberts"
"KState",32,"SenPatRoberts"
"GOPSenFinance",31,"SenPatRoberts"
"SenatorDole",31,"SenPatRoberts"
"SenateAgGOP",25,"SenPatRoberts"
"Royals",22,"SenPatRoberts"
"GOPHELP",18,"SenPatRoberts"
"KansasStateFair",18,"SenPatRoberts"
"USTradeRep",16,"SenPatRoberts"
"kansasdotcom",14,"SenPatRoberts"
"RepLynnJenkins",14,"SenPatRoberts"
"USMC",14,"SenPatRoberts"
"EPA",13,"SenPatRoberts"
"SenCoryGardner",13,"SenPatRoberts"
"SenatorTimScott",12,"SenPatRoberts"
"KSFarmBureau",11,"SenPatRoberts"
"RepTomPrice",11,"SenPatRoberts"
"CJOnline",10,"SenPatRoberts"
"JerryMoran",10,"SenPatRoberts"
"KUnews",10,"SenPatRoberts"
"GovSamBrownback",9,"SenPatRoberts"
"USDA",9,"SenPatRoberts"
"FightingFirst",8,"SenPatRoberts"
"FortRiley",8,"SenPatRoberts"
"KCStar",8,"SenPatRoberts"
"RepKevinYoder",8,"SenPatRoberts"
"wibw",8,"SenPatRoberts"
"KSFTIPS",7,"SenPatRoberts"
"thehill",7,"SenPatRoberts"
"22ARW",6,"SenPatRoberts"
"AjitPaiFCC",6,"SenPatRoberts"
"CIA",6,"SenPatRoberts"
"DHSgov",6,"SenPatRoberts"
"FCC",6,"SenPatRoberts"
"HighPlainsJrnl",6,"SenPatRoberts"
"HouseCommerce",6,"SenPatRoberts"
"KUHoops",6,"SenPatRoberts"
"realDonaldTrump",6,"SenPatRoberts"
"SecretarySonny",6,"SenPatRoberts"
"SteveDaines",6,"SenPatRoberts"
"WIBWNews",6,"SenPatRoberts"
"BetsyDeVos",5,"SenPatRoberts"
"DionKansas",5,"SenPatRoberts"
"FarmBureau",5,"SenPatRoberts"
"mtagsummit",5,"SenPatRoberts"
"SenateCommerce",5,"SenPatRoberts"
"USArmy",5,"SenPatRoberts"
"USChamber",5,"SenPatRoberts"
"WhiteHouse",5,"SenPatRoberts"
"AmericanRoyal",4,"SenPatRoberts"
"AP",4,"SenPatRoberts"
"CapitolPolice",4,"SenPatRoberts"
"clairecmc",4,"SenPatRoberts"
"CoachBillSnyder",4,"SenPatRoberts"
"ConawayTX11",4,"SenPatRoberts"
"cwymca",4,"SenPatRoberts"
"HutchNews",4,"SenPatRoberts"
"kansasag",4,"SenPatRoberts"
"KansasDeptofAg",4,"SenPatRoberts"
"KStateFB",4,"SenPatRoberts"
"KStateMBB",4,"SenPatRoberts"
"SenatorFischer",4,"SenPatRoberts"
"SenJohnThune",4,"SenPatRoberts"
"SpiritAero",4,"SenPatRoberts"
"tomhanks",4,"SenPatRoberts"
"WashburnUniv",4,"SenPatRoberts"
"WE_Tweet",4,"SenPatRoberts"
"WichitaState",4,"SenPatRoberts"
"WSJopinion",4,"SenPatRoberts"
"4H",3,"SenPatRoberts"
"cspan",3,"SenPatRoberts"
"dcglobe",3,"SenPatRoberts"
"DeptofDefense",3,"SenPatRoberts"
"farmcredit",3,"SenPatRoberts"
"FortLeavenworth",3,"SenPatRoberts"
"GoShockers",3,"SenPatRoberts"
"GregAkagi",3,"SenPatRoberts"
"HBO",3,"SenPatRoberts"
"HHSGov",3,"SenPatRoberts"
"Kansas4H",3,"SenPatRoberts"
"KSAGOffice",3,"SenPatRoberts"
"KSIndColleges",3,"SenPatRoberts"
"kstatesports",3,"SenPatRoberts"
"KWCH12",3,"SenPatRoberts"
"kylenescott",3,"SenPatRoberts"
"librarycongress",3,"SenPatRoberts"
"Missey5Mae",3,"SenPatRoberts"
"NFIB",3,"SenPatRoberts"
"Olympics",3,"SenPatRoberts"
"PeterZampa",3,"SenPatRoberts"
"preventcancer",3,"SenPatRoberts"
"RepRonEstes",3,"SenPatRoberts"
"rollcall",3,"SenPatRoberts"
"SenatorHeitkamp",3,"SenPatRoberts"
"SenatorIsakson",3,"SenPatRoberts"
"senjudiciary",3,"SenPatRoberts"
"TeamUSA",3,"SenPatRoberts"
"USNavy",3,"SenPatRoberts"
"VP",3,"SenPatRoberts"
"WashTimes",3,"SenPatRoberts"
"amazon",2,"SenPatRoberts"
"amyklobuchar",2,"SenPatRoberts"
"bertnashcenter",2,"SenPatRoberts"
"Cargill",2,"SenPatRoberts"
"ChrisCoons",2,"SenPatRoberts"
"ChuckGrassley",2,"SenPatRoberts"
"CityofEmporiaKS",2,"SenPatRoberts"
"CityofWichita",2,"SenPatRoberts"
"CMSGov",2,"SenPatRoberts"
"CondoleezzaRice",2,"SenPatRoberts"
"DailyCaller",2,"SenPatRoberts"
"DepotTheater",2,"SenPatRoberts"
"DeptVetAffairs",2,"SenPatRoberts"
"DodgeCityCC",2,"SenPatRoberts"
"emporiastate",2,"SenPatRoberts"
"FedEx",2,"SenPatRoberts"
"GCCCBroncbuster",2,"SenPatRoberts"
"GeorgeHWBush",2,"SenPatRoberts"
"GoyerLexy",2,"SenPatRoberts"
"GreensburgKS",2,"SenPatRoberts"
"Greg4KS",2,"SenPatRoberts"
"greta",2,"SenPatRoberts"
"HarvestersORG",2,"SenPatRoberts"
"HouseAgNews",2,"SenPatRoberts"
"JackSock",2,"SenPatRoberts"
"JohnCornyn",2,"SenPatRoberts"
"KAHPERD",2,"SenPatRoberts"
"KansasCityFed",2,"SenPatRoberts"
"KansasYouthTour",2,"SenPatRoberts"
"kfdinews",2,"SenPatRoberts"
"kmispagel",2,"SenPatRoberts"
"KS_Bankers",2,"SenPatRoberts"
"KSNTNews",2,"SenPatRoberts"
"KUcancercenter",2,"SenPatRoberts"
"kulawschool",2,"SenPatRoberts"
"madeleine",2,"SenPatRoberts"
"MarsGlobal",2,"SenPatRoberts"
"McCaskillOffice",2,"SenPatRoberts"
"NASSP",2,"SenPatRoberts"
"NLRB",2,"SenPatRoberts"
"RepMarshall",2,"SenPatRoberts"
"RepWalberg",2,"SenPatRoberts"
"Reuters",2,"SenPatRoberts"
"RoyBlunt",2,"SenPatRoberts"
"SantiagoKahnKSN",2,"SenPatRoberts"
"ScottGottliebMD",2,"SenPatRoberts"
"SenAlexander",2,"SenPatRoberts"
"SenateMajLdr",2,"SenPatRoberts"
"SnCoHealth",2,"SenPatRoberts"
"SpeakerRyan",2,"SenPatRoberts"
"StateDept",2,"SenPatRoberts"
"TheJeffBridges",2,"SenPatRoberts"
"ToysForTots_USA",2,"SenPatRoberts"
"TysonFoods",2,"SenPatRoberts"
"US_FDA",2,"SenPatRoberts"
"USAFReserve",2,"SenPatRoberts"
"usairforce",2,"SenPatRoberts"
"usdafsa",2,"SenPatRoberts"
"USDOL",2,"SenPatRoberts"
"USDOT",2,"SenPatRoberts"
"VAChair",2,"SenPatRoberts"
"VentureBoldly",2,"SenPatRoberts"
"WSJ",2,"SenPatRoberts"
"4HKSFoundation",1,"SenPatRoberts"
"AAIGrantFund",1,"SenPatRoberts"
"aaronmurray11",1,"SenPatRoberts"
"AbileneRC1",1,"SenPatRoberts"
"ACUConservative",1,"SenPatRoberts"
"afspnational",1,"SenPatRoberts"
"AgBizKC",1,"SenPatRoberts"
"Agri",1,"SenPatRoberts"
"agripulse",1,"SenPatRoberts"
"AHAAdvocacy",1,"SenPatRoberts"
"Airbus",1,"SenPatRoberts"
"AlanColmes",1,"SenPatRoberts"
"Allie_Kite",1,"SenPatRoberts"
"amerambassoc",1,"SenPatRoberts"
"AmericaRoadTeam",1,"SenPatRoberts"
"amykpatel",1,"SenPatRoberts"
"andymarso",1,"SenPatRoberts"
"AndyPuzder",1,"SenPatRoberts"
"angio_org",1,"SenPatRoberts"
"AOPA",1,"SenPatRoberts"
"ASA_CSSA_SSSA",1,"SenPatRoberts"
"AtlantaFalcons",1,"SenPatRoberts"
"bbcworldservice",1,"SenPatRoberts"
"beccytanner",1,"SenPatRoberts"
"BGOV",1,"SenPatRoberts"
"BMarshall",1,"SenPatRoberts"
"braddeputy",1,"SenPatRoberts"
"BretBaier",1,"SenPatRoberts"
"BryanLowry3",1,"SenPatRoberts"
"BudgetGOP",1,"SenPatRoberts"
"C_FARE_DC",1,"SenPatRoberts"
"capitalpress",1,"SenPatRoberts"
"CatholicRelief",1,"SenPatRoberts"
"CBSNews",1,"SenPatRoberts"
"CCAInstitute",1,"SenPatRoberts"
"Cerner",1,"SenPatRoberts"
"Cessna",1,"SenPatRoberts"
"cfbhall",1,"SenPatRoberts"
"CFTC",1,"SenPatRoberts"
