"Hashtag","Frequency","screen_name"
"Florida",243,"SenRubioPress"
"Venezuela",84,"SenRubioPress"
"Zika",82,"SenRubioPress"
"HurricaneIrma",73,"SenRubioPress"
"Iran",69,"SenRubioPress"
"expressionNOToppression",57,"SenRubioPress"
"PuertoRico",54,"SenRubioPress"
"Cuba",53,"SenRubioPress"
"FreeChinasHeroes",49,"SenRubioPress"
"China",48,"SenRubioPress"
"HurricaneMatthew",45,"SenRubioPress"
"Israel",41,"SenRubioPress"
"humanrights",38,"SenRubioPress"
"Russia",32,"SenRubioPress"
"HumanRights",31,"SenRubioPress"
"Sayfie",29,"SenRubioPress"
"IranDeal",28,"SenRubioPress"
"NorthKorea",25,"SenRubioPress"
"PresidentXi",24,"SenRubioPress"
"taxreform",23,"SenRubioPress"
"ChildTaxCredit",22,"SenRubioPress"
"IrmaRecovery",21,"SenRubioPress"
"Orlando",21,"SenRubioPress"
"Jacksonville",20,"SenRubioPress"
"Syria",20,"SenRubioPress"
"veterans",20,"SenRubioPress"
"Miami",19,"SenRubioPress"
"ObamaCare",19,"SenRubioPress"
"Cuban",16,"SenRubioPress"
"Haiti",15,"SenRubioPress"
"Senate",15,"SenRubioPress"
"ExpressionNOToppression",14,"SenRubioPress"
"HongKong",14,"SenRubioPress"
"Putin",14,"SenRubioPress"
"ExpressionNotOppression",12,"SenRubioPress"
"Irma",12,"SenRubioPress"
"LiuXiaobo",12,"SenRubioPress"
"StAugustine",12,"SenRubioPress"
"TeamUSA",12,"SenRubioPress"
"ThinBlueLine",12,"SenRubioPress"
"HuracanMatthew",11,"SenRubioPress"
"HurricaneMaria",11,"SenRubioPress"
"Taiwan",11,"SenRubioPress"
"Egypt",10,"SenRubioPress"
"NationalPoliceWeek",10,"SenRubioPress"
"TaxReform",10,"SenRubioPress"
"TBT",10,"SenRubioPress"
"ISIS",9,"SenRubioPress"
"Rio2016",9,"SenRubioPress"
"ZikaVirus",9,"SenRubioPress"
"Algae",8,"SenRubioPress"
"Colombia",8,"SenRubioPress"
"Congress",8,"SenRubioPress"
"Everglades",8,"SenRubioPress"
"FloridaKeys",8,"SenRubioPress"
"HurricaneSeason",8,"SenRubioPress"
"IranTalks",8,"SenRubioPress"
"sayfie",8,"SenRubioPress"
"TampaBay",8,"SenRubioPress"
"Turkey",8,"SenRubioPress"
"BorisNemtsov",7,"SenRubioPress"
"Cheer4USA",7,"SenRubioPress"
"Hermine",7,"SenRubioPress"
"HumanTrafficking",7,"SenRubioPress"
"Jerusalem",7,"SenRubioPress"
"NATO",7,"SenRubioPress"
"VA",7,"SenRubioPress"
"Austria",6,"SenRubioPress"
"Borinqueneers",6,"SenRubioPress"
"childtaxcredit",6,"SenRubioPress"
"Chinese",6,"SenRubioPress"
"Floridians",6,"SenRubioPress"
"GirlsCountAct",6,"SenRubioPress"
"Hurricane",6,"SenRubioPress"
"Iraq",6,"SenRubioPress"
"MarcoMoments",6,"SenRubioPress"
"Mexico",6,"SenRubioPress"
"MIASalutes",6,"SenRubioPress"
"Naples",6,"SenRubioPress"
"ReligiousFreedom",6,"SenRubioPress"
"ReviveStAugustine",6,"SenRubioPress"
"Russian",6,"SenRubioPress"
"Thanksgiving",6,"SenRubioPress"
"TreasureCoast",6,"SenRubioPress"
"US",6,"SenRubioPress"
"VAAccountability",6,"SenRubioPress"
"Veterans",6,"SenRubioPress"
"AyaHijazi",5,"SenRubioPress"
"Azerbaijan",5,"SenRubioPress"
"Beijing",5,"SenRubioPress"
"FreeRaif",5,"SenRubioPress"
"Hezbollah",5,"SenRubioPress"
"highered",5,"SenRubioPress"
"HumanRightsDay",5,"SenRubioPress"
"HurricanePrep",5,"SenRubioPress"
"MiddleEast",5,"SenRubioPress"
"PyeongChang2018",5,"SenRubioPress"
"SaudiArabia",5,"SenRubioPress"
"SenateFloor",5,"SenRubioPress"
"Tampa",5,"SenRubioPress"
"Thankful",5,"SenRubioPress"
"Ukraine",5,"SenRubioPress"
"VeteransDay",5,"SenRubioPress"
"Vietnam",5,"SenRubioPress"
"Asia",4,"SenRubioPress"
"Assad",4,"SenRubioPress"
"Castro",4,"SenRubioPress"
"Challenger",4,"SenRubioPress"
"Constitution",4,"SenRubioPress"
"ElFaro",4,"SenRubioPress"
