"Hashtag","Frequency","screen_name"
"IranDeal",39,"SenSasse"
"Obamacare",24,"SenSasse"
"OPMhack",23,"SenSasse"
"Iran",19,"SenSasse"
"ACA",15,"SenSasse"
"OnThisDay",15,"SenSasse"
"TSA",15,"SenSasse"
"SCOTUS",13,"SenSasse"
"Nebraska",12,"SenSasse"
"prolife",12,"SenSasse"
"XU",12,"SenSasse"
"NEBreakfast",10,"SenSasse"
"BornAlive",9,"SenSasse"
"ThanksObamacare",9,"SenSasse"
"veterans",9,"SenSasse"
"SocialSecurity",8,"SenSasse"
"WOTUS",8,"SenSasse"
"TaxDay",7,"SenSasse"
"CFPB",6,"SenSasse"
"GBR",6,"SenSasse"
"IRS",6,"SenSasse"
"KingVBurwell",6,"SenSasse"
"SGR",6,"SenSasse"
"ag",5,"SenSasse"
"amnesty",5,"SenSasse"
"DefundPP",5,"SenSasse"
"HonorFlight",5,"SenSasse"
"OPMHack",5,"SenSasse"
"ConstitutionDay",4,"SenSasse"
"CPAC2016",4,"SenSasse"
"FFA",4,"SenSasse"
"KingvBurwell",4,"SenSasse"
"NEheroes",4,"SenSasse"
"NRISummit15",4,"SenSasse"
"ObamaCare",4,"SenSasse"
"SOTU",4,"SenSasse"
"VeteransDay",4,"SenSasse"
"AgDay2015",3,"SenSasse"
"ArborDay",3,"SenSasse"
"CloseEnough",3,"SenSasse"
"DDay",3,"SenSasse"
"Huskers",3,"SenSasse"
"MarchforLife",3,"SenSasse"
"MemorialDay",3,"SenSasse"
"NDAA",3,"SenSasse"
"NeverForget",3,"SenSasse"
"opendata",3,"SenSasse"
"SanBernardino",3,"SenSasse"
"SupportBlue",3,"SenSasse"
"UNL",3,"SenSasse"
"AmnestyBonus",2,"SenSasse"
"BWW2016",2,"SenSasse"
"CloseUpDC",2,"SenSasse"
"ConfirmGorsuch",2,"SenSasse"
"cybersecurity",2,"SenSasse"
"ebola",2,"SenSasse"
"FathersDay",2,"SenSasse"
"GirlsNation",2,"SenSasse"
"GorsuchHearing",2,"SenSasse"
"HappyThanksgiving",2,"SenSasse"
"MarchForLife",2,"SenSasse"
"NE",2,"SenSasse"
"NE150",2,"SenSasse"
"NeFFA15",2,"SenSasse"
"Prolife",2,"SenSasse"
"religiousliberty",2,"SenSasse"
"SenateFloor",2,"SenSasse"
"SOHillDay",2,"SenSasse"
"TPA",2,"SenSasse"
"Veterans",2,"SenSasse"
"WhyWeMarch",2,"SenSasse"
"1a",1,"SenSasse"
"4h",1,"SenSasse"
"73YearsStrong",1,"SenSasse"
"adoption",1,"SenSasse"
"AdoptionAngels",1,"SenSasse"
"Ag",1,"SenSasse"
"AgProud",1,"SenSasse"
"AgricultureDay",1,"SenSasse"
"AgWeek",1,"SenSasse"
"APeoplesJourney",1,"SenSasse"
"Apollo11",1,"SenSasse"
"BadIranDeal",1,"SenSasse"
"bannerbound",1,"SenSasse"
"BillofRightsDay",1,"SenSasse"
"BlackHistoryMonth",1,"SenSasse"
"BoysNation",1,"SenSasse"
"Brussels",1,"SenSasse"
"budget",1,"SenSasse"
"bww2017",1,"SenSasse"
"civilsociety",1,"SenSasse"
"collegeHRderby",1,"SenSasse"
"CollegeHRDerby",1,"SenSasse"
"Confirmed",1,"SenSasse"
