"Mention","Frequency","screen_name"
"SenatorWicker",200,"SenThadCochran"
"fema",64,"SenThadCochran"
"USDA",51,"SenThadCochran"
"msstate",35,"SenThadCochran"
"USNavy",35,"SenThadCochran"
"DeptVetAffairs",31,"SenThadCochran"
"EPA",27,"SenThadCochran"
"DeptofDefense",26,"SenThadCochran"
"nationalguardMS",23,"SenThadCochran"
"RoyBlunt",23,"SenThadCochran"
"USMC",23,"SenThadCochran"
"JerryMoran",22,"SenThadCochran"
"NASAStennis",21,"SenThadCochran"
"SenAlexander",21,"SenThadCochran"
"GreggHarper",20,"SenThadCochran"
"NASA",20,"SenThadCochran"
"usairforce",19,"SenThadCochran"
"MSEMA",18,"SenThadCochran"
"PhilBryantMS",17,"SenThadCochran"
"USArmy",17,"SenThadCochran"
"USCG",17,"SenThadCochran"
"CommerceGov",16,"SenThadCochran"
"DHSgov",16,"SenThadCochran"
"USDOL",16,"SenThadCochran"
"CongPalazzo",15,"SenThadCochran"
"SenShelby",15,"SenThadCochran"
"StateDept",15,"SenThadCochran"
"lisamurkowski",14,"SenThadCochran"
"SenatorCollins",14,"SenThadCochran"
"US_FDA",14,"SenThadCochran"
"USACEHQ",14,"SenThadCochran"
"JohnBoozman",13,"SenThadCochran"
"NOAA",13,"SenThadCochran"
"OleMissRebels",13,"SenThadCochran"
"SenatorKirk",13,"SenThadCochran"
"SenJohnHoeven",13,"SenThadCochran"
"UMMCnews",13,"SenThadCochran"
"USDOT",13,"SenThadCochran"
"WSJ",13,"SenThadCochran"
"mdaworks",12,"SenThadCochran"
"NatlParkService",12,"SenThadCochran"
"SouthernMiss",12,"SenThadCochran"
"washingtonpost",12,"SenThadCochran"
"HHSGov",11,"SenThadCochran"
"Keesler_AFB",11,"SenThadCochran"
"usdaRD",11,"SenThadCochran"
"usedgov",11,"SenThadCochran"
"Interior",10,"SenThadCochran"
"LindseyGrahamSC",10,"SenThadCochran"
"NIH",10,"SenThadCochran"
"librarycongress",9,"SenThadCochran"
"POTUS",9,"SenThadCochran"
"SenCapito",9,"SenThadCochran"
"TheJusticeDept",9,"SenThadCochran"
"FAANews",8,"SenThadCochran"
"HUDgov",8,"SenThadCochran"
"RepTrentKelly",8,"SenThadCochran"
"uscapitol",8,"SenThadCochran"
"VisitTheDelta",8,"SenThadCochran"
"CCAInstitute",7,"SenThadCochran"
"CFTC",7,"SenThadCochran"
"ENERGY",7,"SenThadCochran"
"GrahamBlog",7,"SenThadCochran"
"PruSpirit",7,"SenThadCochran"
"sunherald",7,"SenThadCochran"
"thehill",7,"SenThadCochran"
"UMMCTelehealth",7,"SenThadCochran"
"uscoastguard",7,"SenThadCochran"
"AlcornStateU",6,"SenThadCochran"
"DeltaState",6,"SenThadCochran"
"HIIndustries",6,"SenThadCochran"
"nationaljournal",6,"SenThadCochran"
"usbr",6,"SenThadCochran"
"usdafsa",6,"SenThadCochran"
"USGAO",6,"SenThadCochran"
"visitms",6,"SenThadCochran"
"ASSUREuas",5,"SenThadCochran"
"EPAGov",5,"SenThadCochran"
"FCC",5,"SenThadCochran"
"forestservice",5,"SenThadCochran"
"JacksonStateU",5,"SenThadCochran"
"MSManufacturers",5,"SenThadCochran"
"RedCross",5,"SenThadCochran"
