"Mention","Frequency","screen_name"
"POTUS",20,"SenToddYoung"
"SenDonnelly",17,"SenToddYoung"
"GarrisonRadio",16,"SenToddYoung"
"WaysandMeansGOP",13,"SenToddYoung"
"RepWalorski",11,"SenToddYoung"
"uscapitol",9,"SenToddYoung"
"SusanWBrooks",8,"SenToddYoung"
"nikkihaley",7,"SenToddYoung"
"RepJohnDelaney",7,"SenToddYoung"
"GOPHELP",6,"SenToddYoung"
"indystar",6,"SenToddYoung"
"marcorubio",6,"SenToddYoung"
"NoLabelsOrg",6,"SenToddYoung"
"SenateCommerce",6,"SenToddYoung"
"ToddRokita",6,"SenToddYoung"
"CityofJeff",5,"SenToddYoung"
"HHSGov",5,"SenToddYoung"
"NAVSEACrane",5,"SenToddYoung"
"StateDept",5,"SenToddYoung"
"USAID",5,"SenToddYoung"
"WFP",5,"SenToddYoung"
"AmericanLegion",4,"SenToddYoung"
"FoxNews",4,"SenToddYoung"
"GorsuchFacts",4,"SenToddYoung"
"IndianaUniv",4,"SenToddYoung"
"INGuardsman",4,"SenToddYoung"
"IUBloomington",4,"SenToddYoung"
"JeromeAdamsMD",4,"SenToddYoung"
"RepJimBanks",4,"SenToddYoung"
"SenDanCoats",4,"SenToddYoung"
"theheraldtimes",4,"SenToddYoung"
"VP",4,"SenToddYoung"
"washingtonpost",4,"SenToddYoung"
"WOWOpatmiller",4,"SenToddYoung"
"93wibc",3,"SenToddYoung"
"FoxBusiness",3,"SenToddYoung"
"GovHolcomb",3,"SenToddYoung"
"GovPenceIN",3,"SenToddYoung"
"Heritage",3,"SenToddYoung"
"HouseGOP",3,"SenToddYoung"
"INFarmBureau",3,"SenToddYoung"
"JGfortwayne",3,"SenToddYoung"
"JohnCornyn",3,"SenToddYoung"
"LifeAtPurdue",3,"SenToddYoung"
"MikeKellyPA",3,"SenToddYoung"
"NavalAcademy",3,"SenToddYoung"
"newsandtribune",3,"SenToddYoung"
"NotreDame",3,"SenToddYoung"
"purduemitch",3,"SenToddYoung"
"RepLarryBucshon",3,"SenToddYoung"
"RepLukeMesser",3,"SenToddYoung"
"RepTimGriffin",3,"SenToddYoung"
"TMSIDK_Show",3,"SenToddYoung"
"usairforce",3,"SenToddYoung"
"WFPChief",3,"SenToddYoung"
"WHO",3,"SenToddYoung"
"122fighterwing",2,"SenToddYoung"
"1SI_Chamber",2,"SenToddYoung"
"60Minutes",2,"SenToddYoung"
"ALSAIndiana",2,"SenToddYoung"
"amazon",2,"SenToddYoung"
"AmbassadorGreen",2,"SenToddYoung"
"AttyAbdul",2,"SenToddYoung"
"ButlerMBB",2,"SenToddYoung"
"CapitolPolice",2,"SenToddYoung"
"CityofKokomo",2,"SenToddYoung"
"CMSGov",2,"SenToddYoung"
"CNBC",2,"SenToddYoung"
"CNN",2,"SenToddYoung"
"DeptofDefense",2,"SenToddYoung"
"DeptVetAffairs",2,"SenToddYoung"
"ElderHeartInc",2,"SenToddYoung"
"Forbes",2,"SenToddYoung"
"FOX59",2,"SenToddYoung"
"GenDaveGoldfein",2,"SenToddYoung"
"GoodwillIndy",2,"SenToddYoung"
"HouseCommerce",2,"SenToddYoung"
"IndianaFFA",2,"SenToddYoung"
"IvyTechCC",2,"SenToddYoung"
"JacksonCoREMC",2,"SenToddYoung"
"JCCIndianapolis",2,"SenToddYoung"
"joeelliottshow",2,"SenToddYoung"
"karenaboutgary",2,"SenToddYoung"
"lexygross",2,"SenToddYoung"
"Micah_McVicker",2,"SenToddYoung"
"NAFCSuccess",2,"SenToddYoung"
"NationalFFA",2,"SenToddYoung"
"NewAlbanyIN",2,"SenToddYoung"
"NFP_nursefamily",2,"SenToddYoung"
"NRO",2,"SenToddYoung"
"NTU",2,"SenToddYoung"
"nwi",2,"SenToddYoung"
"PD_Furniture",2,"SenToddYoung"
"PeteOlson",2,"SenToddYoung"
"RepLipinski",2,"SenToddYoung"
"RepStutzman",2,"SenToddYoung"
"RepVisclosky",2,"SenToddYoung"
"RepWalberg",2,"SenToddYoung"
"rollcall",2,"SenToddYoung"
"SecElaineChao",2,"SenToddYoung"
"SenateFloor",2,"SenToddYoung"
"SenateMajLdr",2,"SenToddYoung"
"SenatorCardin",2,"SenToddYoung"
"SenatorTimScott",2,"SenToddYoung"
"SenJeffMerkley",2,"SenToddYoung"
"SpeakerBoehner",2,"SenToddYoung"
"TeamCavuto",2,"SenToddYoung"
"thehill",2,"SenToddYoung"
"TIME",2,"SenToddYoung"
"ToysForTots_USA",2,"SenToddYoung"
"tribstar",2,"SenToddYoung"
"TrineUniversity",2,"SenToddYoung"
"USDOT",2,"SenToddYoung"
"usedgov",2,"SenToddYoung"
"USGAO",2,"SenToddYoung"
"USGLC",2,"SenToddYoung"
"USMC",2,"SenToddYoung"
"uwci",2,"SenToddYoung"
"weeklystandard",2,"SenToddYoung"
"WilburRoss",2,"SenToddYoung"
"wischmeier",2,"SenToddYoung"
"WNDU",2,"SenToddYoung"
"WOWOFORTWAYNE",2,"SenToddYoung"
"WSJ",2,"SenToddYoung"
"104FMWIKY",1,"SenToddYoung"
"525Foundation",1,"SenToddYoung"
"82ndABNDiv",1,"SenToddYoung"
"a16z",1,"SenToddYoung"
"AAF",1,"SenToddYoung"
"ABC57News",1,"SenToddYoung"
"ABCNational",1,"SenToddYoung"
"AccentMarketing",1,"SenToddYoung"
"AEI",1,"SenToddYoung"
"AFPMonline",1,"SenToddYoung"
"AgFutureAmerica",1,"SenToddYoung"
"AGLPA_ports",1,"SenToddYoung"
"agriinstitute",1,"SenToddYoung"
"Amgen",1,"SenToddYoung"
"AMGeneral_LLC",1,"SenToddYoung"
"AndersonU",1,"SenToddYoung"
"AOCrows",1,"SenToddYoung"
"AP",1,"SenToddYoung"
"aplusk",1,"SenToddYoung"
"AvivEzra",1,"SenToddYoung"
"BACIINDY_2020",1,"SenToddYoung"
"BHSNathletics",1,"SenToddYoung"
"BillGates",1,"SenToddYoung"
"BloombergView",1,"SenToddYoung"
"BoilerBall",1,"SenToddYoung"
"BOPCareers",1,"SenToddYoung"
"BrandtHershman",1,"SenToddYoung"
"BreitbartNews",1,"SenToddYoung"
"CantorPress",1,"SenToddYoung"
"CBS4Indy",1,"SenToddYoung"
"CBYXPPP",1,"SenToddYoung"
"CCAInstitute",1,"SenToddYoung"
"ceoworks",1,"SenToddYoung"
"ChrisMurphyCT",1,"SenToddYoung"
"ChuckGrassley",1,"SenToddYoung"
"CityofSalemIN",1,"SenToddYoung"
"CivicEducation",1,"SenToddYoung"
"CongCulberson",1,"SenToddYoung"
"CookMedical",1,"SenToddYoung"
"corden_porter",1,"SenToddYoung"
"courierjournal",1,"SenToddYoung"
"courierpress",1,"SenToddYoung"
"cqprofiles",1,"SenToddYoung"
"cspan",1,"SenToddYoung"
"d",1,"SenToddYoung"
"DailyJournalNet",1,"SenToddYoung"
"DailySignal",1,"SenToddYoung"
"dandrezner",1,"SenToddYoung"
"DaVita",1,"SenToddYoung"
"dcexaminer",1,"SenToddYoung"
"EdWorkforce",1,"SenToddYoung"
"ElaineChao",1,"SenToddYoung"
"EliLake",1,"SenToddYoung"
"EMBeilman",1,"SenToddYoung"
"EPA",1,"SenToddYoung"
"EPAGreatLakes",1,"SenToddYoung"
"EPAScottPruitt",1,"SenToddYoung"
"Equifax",1,"SenToddYoung"
"EricShawnTV",1,"SenToddYoung"
"ErskineGreen",1,"SenToddYoung"
"facebook",1,"SenToddYoung"
"FamilyExpress",1,"SenToddYoung"
"FarmBureau",1,"SenToddYoung"
"FBCHammond",1,"SenToddYoung"
"federalreserve",1,"SenToddYoung"
"FedEx",1,"SenToddYoung"
"fhswethepeople",1,"SenToddYoung"
"fidelco",1,"SenToddYoung"
"FixOurTaxCode",1,"SenToddYoung"
"FJHChargers",1,"SenToddYoung"
"FlyEVV",1,"SenToddYoung"
"fox44tv",1,"SenToddYoung"
"FreeBeacon",1,"SenToddYoung"
"FreedomWorks",1,"SenToddYoung"
"FtMeadeMD",1,"SenToddYoung"
"FVIndiana",1,"SenToddYoung"
"GenRobertNeller",1,"SenToddYoung"
"GillianHTurner",1,"SenToddYoung"
"GKButterfield",1,"SenToddYoung"
"GoCathedral",1,"SenToddYoung"
"Google",1,"SenToddYoung"
"GoParks",1,"SenToddYoung"
"GOPConference",1,"SenToddYoung"
"GOPLeader",1,"SenToddYoung"
"GOPSenFinance",1,"SenToddYoung"
"GreensburgDaily",1,"SenToddYoung"
"gretawire",1,"SenToddYoung"
"GretchenCarlson",1,"SenToddYoung"
"Habitat_org",1,"SenToddYoung"
"HCSindy",1,"SenToddYoung"
"heraldbulletin",1,"SenToddYoung"
"HoosierAccess",1,"SenToddYoung"
"HoosierCrossFit",1,"SenToddYoung"
"HoosierFootball",1,"SenToddYoung"
"HUDgov",1,"SenToddYoung"
"hughhewitt",1,"SenToddYoung"
"HycaMis",1,"SenToddYoung"
"iava",1,"SenToddYoung"
"IIB",1,"SenToddYoung"
"IndianaMBB",1,"SenToddYoung"
"IndianaRailRoad",1,"SenToddYoung"
"IndyStateFair",1,"SenToddYoung"
"INHumanities",1,"SenToddYoung"
"inwhiskey",1,"SenToddYoung"
"IU_Health",1,"SenToddYoung"
"IUAA",1,"SenToddYoung"
"iucreditunion",1,"SenToddYoung"
"IUDM",1,"SenToddYoung"
"JeffBezos",1,"SenToddYoung"
"JessicaASmith8",1,"SenToddYoung"
"JHSRedDevils",1,"SenToddYoung"
"jimmychen",1,"SenToddYoung"
"JJenningsCo_op",1,"SenToddYoung"
"joelpollak",1,"SenToddYoung"
"joshrogin",1,"SenToddYoung"
"KelleySchool",1,"SenToddYoung"
"KokomoGrain",1,"SenToddYoung"
"Kredo0",1,"SenToddYoung"
"LaunchFishers",1,"SenToddYoung"
"LauraPappano",1,"SenToddYoung"
"LeeAFeinstein",1,"SenToddYoung"
"LGSuzanneCrouch",1,"SenToddYoung"
"LillyPad",1,"SenToddYoung"
"LittleLeague",1,"SenToddYoung"
"LizSchrayer",1,"SenToddYoung"
"LLBCCambyIN",1,"SenToddYoung"
"MActionProject",1,"SenToddYoung"
"MacTXPress",1,"SenToddYoung"
"Mainstreetcutz",1,"SenToddYoung"
"MarForRes",1,"SenToddYoung"
"Marion_CT",1,"SenToddYoung"
"marthamaccallum",1,"SenToddYoung"
"matthewltully",1,"SenToddYoung"
"MayorMcBarnes",1,"SenToddYoung"
"MayorWinnecke",1,"SenToddYoung"
"MCS_Indiana",1,"SenToddYoung"
"medicaldevices",1,"SenToddYoung"
"Medium",1,"SenToddYoung"
"mgroppe",1,"SenToddYoung"
"Morgancountyin",1,"SenToddYoung"
"MrGardnerCMS",1,"SenToddYoung"
"NASA",1,"SenToddYoung"
"NAT_ChrisM",1,"SenToddYoung"
"NationalGuard",1,"SenToddYoung"
"NatlParkService",1,"SenToddYoung"
"NCAA",1,"SenToddYoung"
"ND_JAG",1,"SenToddYoung"
"NDFootball",1,"SenToddYoung"
