"Hashtag","Frequency","screen_name"
"ProudNebraskan",164,"SenatorFischer"
"Senate",62,"SenatorFischer"
"GBR",56,"SenatorFischer"
"HearingFromYou",50,"SenatorFischer"
"NE",41,"SenatorFischer"
"SenateFloor",36,"SenatorFischer"
"EqualPay",35,"SenatorFischer"
"TaxReform",33,"SenatorFischer"
"WOTUS",33,"SenatorFischer"
"Nebraska",32,"SenatorFischer"
"IoT",31,"SenatorFischer"
"NEag",31,"SenatorFischer"
"LNK",27,"SenatorFischer"
"LoveNE",26,"SenatorFischer"
"NDAA",25,"SenatorFischer"
"TheGoodLife",25,"SenatorFischer"
"vets",25,"SenatorFischer"
"WorkplaceAdvancementAct",24,"SenatorFischer"
"NebraskaBreakfast",23,"SenatorFischer"
"PaidFamilyLeave",23,"SenatorFischer"
"LoveNebraska",21,"SenatorFischer"
"NEheroes",21,"SenatorFischer"
"PaidLeave",20,"SenatorFischer"
"FeedtheWorld",18,"SenatorFischer"
"NorthKorea",18,"SenatorFischer"
"paidleave",17,"SenatorFischer"
"ISIL",16,"SenatorFischer"
"SCOTUS",16,"SenatorFischer"
"StrongFamiliesAct",16,"SenatorFischer"
"NEAg",15,"SenatorFischer"
"POTUS",15,"SenatorFischer"
"EqualPayDay",14,"SenatorFischer"
"FeedTheWorld",14,"SenatorFischer"
"Huskers",14,"SenatorFischer"
"NEHeroes",13,"SenatorFischer"
"equalpay",12,"SenatorFischer"
"infrastructure",12,"SenatorFischer"
"OnTheRoadInNE",12,"SenatorFischer"
"SOTU",12,"SenatorFischer"
"GirlPower",11,"SenatorFischer"
"Iran",10,"SenatorFischer"
"IranDeal",10,"SenatorFischer"
"KarisLaw",10,"SenatorFischer"
"SecDef",10,"SenatorFischer"
"Service",10,"SenatorFischer"
"StrongFamilies",10,"SenatorFischer"
"WesternNE",10,"SenatorFischer"
"bipartisan",9,"SenatorFischer"
"FutureLeaders",9,"SenatorFischer"
"KerrieOn",9,"SenatorFischer"
"ListeningSession",9,"SenatorFischer"
"DIGITAct",8,"SenatorFischer"
"FY18NDAA",8,"SenatorFischer"
"Inauguration2017",8,"SenatorFischer"
"Infrastructure",8,"SenatorFischer"
"MemorialDay",8,"SenatorFischer"
"PAWSAct",8,"SenatorFischer"
"SemperFi",8,"SenatorFischer"
"TBT",8,"SenatorFischer"
"VeteransDay",8,"SenatorFischer"
"DefundPlannedParenthood",7,"SenatorFischer"
"KeepingAmericaSafe",7,"SenatorFischer"
"NEbreakfast",7,"SenatorFischer"
"Tradition",7,"SenatorFischer"
"transportation",7,"SenatorFischer"
"WorkingForYou",7,"SenatorFischer"
"Afghanistan",6,"SenatorFischer"
"agriculture",6,"SenatorFischer"
"beef",6,"SenatorFischer"
"BuildUSAInfrastructure",6,"SenatorFischer"
"CommunityCoffee",6,"SenatorFischer"
"GameDay",6,"SenatorFischer"
"heretohelp",6,"SenatorFischer"
"KnowledgeIsPower",6,"SenatorFischer"
"MarchForLife",6,"SenatorFischer"
"MissileDefense",6,"SenatorFischer"
"NEstudents",6,"SenatorFischer"
"NeverForget",6,"SenatorFischer"
"NEvets",6,"SenatorFischer"
"ObamaCare",6,"SenatorFischer"
"Omaha",6,"SenatorFischer"
"OnTheRoad",6,"SenatorFischer"
"TaxCutsandJobsAct",6,"SenatorFischer"
"UNL",6,"SenatorFischer"
"AugustinNebraska",5,"SenatorFischer"
"BeatCancer",5,"SenatorFischer"
"Bipartisan",5,"SenatorFischer"
"FischerAmendment",5,"SenatorFischer"
