"Hashtag","Frequency","screen_name"
"Oklahoma",70,"SenatorLankford"
"Obamacare",62,"SenatorLankford"
"FederalFumbles",58,"SenatorLankford"
"Iran",44,"SenatorLankford"
"religiousfreedom",39,"SenatorLankford"
"Senate",32,"SenatorLankford"
"ReligiousFreedom",31,"SenatorLankford"
"Russia",31,"SenatorLankford"
"SCOTUS",30,"SenatorLankford"
"ISIS",29,"SenatorLankford"
"Syria",29,"SenatorLankford"
"PlannedParenthood",27,"SenatorLankford"
"healthcare",24,"SenatorLankford"
"immigration",24,"SenatorLankford"
"OKC",23,"SenatorLankford"
"IranDeal",22,"SenatorLankford"
"TaxReform",21,"SenatorLankford"
"budget",20,"SenatorLankford"
"ThunderUp",20,"SenatorLankford"
"EPA",19,"SenatorLankford"
"SOTU",19,"SenatorLankford"
"Benghazi",18,"SenatorLankford"
"BoomerSooner",18,"SenatorLankford"
"NDAA",18,"SenatorLankford"
"Tulsa",18,"SenatorLankford"
"KeystoneXL",17,"SenatorLankford"
"OK05",17,"SenatorLankford"
"Zika",16,"SenatorLankford"
"energy",15,"SenatorLankford"
"nationalsecurity",15,"SenatorLankford"
"CutRedTape",14,"SenatorLankford"
"ProLife",14,"SenatorLankford"
"ScottPruitt",14,"SenatorLankford"
"SolutionSundays",14,"SenatorLankford"
"POTUS",13,"SenatorLankford"
"TPA",13,"SenatorLankford"
"Turkey",13,"SenatorLankford"
"House",12,"SenatorLankford"
"JavawithJames",12,"SenatorLankford"
"DHS",11,"SenatorLankford"
"FBI",11,"SenatorLankford"
"fostercare",11,"SenatorLankford"
"GoPokes",11,"SenatorLankford"
"LankfordSwearIn",11,"SenatorLankford"
"NationalDayofPrayer",11,"SenatorLankford"
"NeilGorsuch",11,"SenatorLankford"
"NorthKorea",11,"SenatorLankford"
"prolife",11,"SenatorLankford"
"abortion",10,"SenatorLankford"
"AndrewBrunson",10,"SenatorLankford"
"DACA",10,"SenatorLankford"
"DefundPP",10,"SenatorLankford"
"OKState",10,"SenatorLankford"
"FacebookLIVE",9,"SenatorLankford"
"GITMO",9,"SenatorLankford"
"humanrights",9,"SenatorLankford"
"MarchMadness",9,"SenatorLankford"
"MorningJoe",9,"SenatorLankford"
"SSDI",9,"SenatorLankford"
"ConfirmPruitt",8,"SenatorLankford"
"Congress",8,"SenatorLankford"
"FaithitForward",8,"SenatorLankford"
"HillaryClinton",8,"SenatorLankford"
"Israel",8,"SenatorLankford"
"KingvBurwell",8,"SenatorLankford"
"MLKDay",8,"SenatorLankford"
"poverty",8,"SenatorLankford"
"regulations",8,"SenatorLankford"
"religiousliberty",8,"SenatorLankford"
"transparency",8,"SenatorLankford"
"veterans",8,"SenatorLankford"
"WOTUS",8,"SenatorLankford"
"CR",7,"SenatorLankford"
"Dreamers",7,"SenatorLankford"
"education",7,"SenatorLankford"
"IRS",7,"SenatorLankford"
"LiftTheBan",7,"SenatorLankford"
"Paris",7,"SenatorLankford"
"RFS",7,"SenatorLankford"
"SanctuaryCities",7,"SenatorLankford"
"SenateOpportunityCoalition",7,"SenatorLankford"
"taxreform",7,"SenatorLankford"
"VeteransDay",7,"SenatorLankford"
"CommunityConversation",6,"SenatorLankford"
"federaldebt",6,"SenatorLankford"
"HCC",6,"SenatorLankford"
"IranNuclearDeal",6,"SenatorLankford"
"IranPayment",6,"SenatorLankford"
"NeverForget",6,"SenatorLankford"
"OKCBombing",6,"SenatorLankford"
"RepealAndReplace",6,"SenatorLankford"
"SolutionSunday",6,"SenatorLankford"
"TheyFeelPain",6,"SenatorLankford"
"adoption",5,"SenatorLankford"
"America",5,"SenatorLankford"
"Assad",5,"SenatorLankford"
"Bedlam",5,"SenatorLankford"
"brokenpromises",5,"SenatorLankford"
"CPAC2016",5,"SenatorLankford"
"crudeoil",5,"SenatorLankford"
"Cuba",5,"SenatorLankford"
"cyberattacks",5,"SenatorLankford"
"cybersecurity",5,"SenatorLankford"
"debt",5,"SenatorLankford"
"Gitmo",5,"SenatorLankford"
"GridlockReform",5,"SenatorLankford"
"HR1423",5,"SenatorLankford"
"InGodWeTrust",5,"SenatorLankford"
"Iraq",5,"SenatorLankford"
"MarchforLife",5,"SenatorLankford"
"NationalPrayerBreakfast",5,"SenatorLankford"
"NationalSecurity",5,"SenatorLankford"
"ObamaCare",5,"SenatorLankford"
"okstate",5,"SenatorLankford"
"PPSellsBabyParts",5,"SenatorLankford"
"S584",5,"SenatorLankford"
"Sooners",5,"SenatorLankford"
"SupportSmallBiz",5,"SenatorLankford"
"VoteARama",5,"SenatorLankford"
"ACA",4,"SenatorLankford"
"AHCA",4,"SenatorLankford"
"APeoplesJourney",4,"SenatorLankford"
"Appropriations",4,"SenatorLankford"
