"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970735704123715584","2018-03-05 19:00:01","x18909919","JimLangevin","New on #LangevinHitsTheRhode: I had the privilege of helping retired @RIStatePolice Detective Richard Esposito recover several military decorations he earned during his service in Vietnam. https://t.co/iKqFhWIxdf","TweetDeck","","","",FALSE,FALSE,4,2,"LangevinHitsTheRhode",NA,"medium.com/@JimLangevin/d…","https://t.co/iKqFhWIxdf","https://medium.com/@JimLangevin/dedicated-to-serve-7f4abbadc5b7","","","","","","","",NA,"x467643622","RIStatePolice","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970718637756690432","2018-03-05 17:52:12","x18909919","JimLangevin","Thanks to @AIPAC for inviting me to speak about the importance of strengthening #cybersecurity cooperation between the U.S. and Israel. https://t.co/QSdQMPliVo","Twitter Web Client","","","",FALSE,FALSE,17,9,"cybersecurity",NA,"","","","http://pbs.twimg.com/media/DXivLQoX4AEac6n.jpg","https://t.co/QSdQMPliVo","https://twitter.com/JimLangevin/status/970718637756690432/photo/1","photo","http://pbs.twimg.com/media/DXivLQoX4AEac6n.jpg","https://t.co/QSdQMPliVo","https://twitter.com/JimLangevin/status/970718637756690432/photo/1",NA,"x15987296","AIPAC","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970359304904757248","2018-03-04 18:04:21","x18909919","JimLangevin","The Reaching English Learners Act will help address the shortage of EL teachers across the country and provide resources to better train the teachers of tomorrow. I’m proud to lead this bill in the House. https://t.co/yOuVT6yI4X","Twitter for iPhone","","","",FALSE,FALSE,7,3,"",NA,"johnstonsunrise.net/stories/langev…","https://t.co/yOuVT6yI4X","http://johnstonsunrise.net/stories/langevin-introduces-bill-to-combat-english-learner-achievement-gap,132018","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970105125028188160","2018-03-04 01:14:20","x18909919","JimLangevin",".@pvdpreservation plays a key role in protecting and honoring Rhode Island’s capital city. Thank you for all you do. https://t.co/iDynZpFpTM","Twitter for iPhone","","","",FALSE,FALSE,7,3,"",NA,"","","","http://pbs.twimg.com/media/DXaBdphUQAE8ddl.jpg","https://t.co/iDynZpFpTM","https://twitter.com/JimLangevin/status/970105125028188160/photo/1","photo","http://pbs.twimg.com/media/DXaBdphUQAE8ddl.jpg","https://t.co/iDynZpFpTM","https://twitter.com/JimLangevin/status/970105125028188160/photo/1",NA,"x281696098","pvdpreservation","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970091160793419776","2018-03-04 00:18:50","x18909919","JimLangevin","It’s great to be back at the @HasbroChildrens Heroes Ball! https://t.co/2zyR4Ufsxr","Twitter for iPhone","","","",FALSE,FALSE,14,4,"",NA,"","","","http://pbs.twimg.com/media/DXZ0wk3V4AE2onH.jpg","https://t.co/2zyR4Ufsxr","https://twitter.com/JimLangevin/status/970091160793419776/photo/1","photo","http://pbs.twimg.com/media/DXZ0wk3V4AE2onH.jpg","https://t.co/2zyR4Ufsxr","https://twitter.com/JimLangevin/status/970091160793419776/photo/1",NA,"x31859256","HasbroChildrens","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970042043014803456","2018-03-03 21:03:40","x18909919","JimLangevin","Reading one of my favorites, “House Mouse, Senate Mouse” @WarwickMall for @NEARhodeIsland #ReadAcrossAmerica. Thanks for having me! https://t.co/5A8MwJY3Sr","Twitter for iPhone","","","",FALSE,FALSE,12,3,"ReadAcrossAmerica",NA,"","","","http://pbs.twimg.com/media/DXZIFtFU8AAgGT-.jpg","https://t.co/5A8MwJY3Sr","https://twitter.com/JimLangevin/status/970042043014803456/photo/1","photo","http://pbs.twimg.com/media/DXZIFtFU8AAgGT-.jpg http://pbs.twimg.com/media/DXZIFtEU0AA9Wjw.jpg","https://t.co/5A8MwJY3Sr https://t.co/5A8MwJY3Sr","https://twitter.com/JimLangevin/status/970042043014803456/photo/1 https://twitter.com/JimLangevin/status/970042043014803456/photo/1",NA,"x172349088 1752735062","WarwickMall NEARhodeIsland","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970028302919503873","2018-03-03 20:09:04","x18909919","JimLangevin","Thank you to everyone who attended #LunchwithLangevin in Wakefield and to @twistedpizzaRI for hosting us! Another engaging lunch in the books. https://t.co/ps9FIbrfGl","Twitter for iPhone","","","",FALSE,FALSE,5,2,"LunchwithLangevin",NA,"","","","http://pbs.twimg.com/media/DXY7lubVQAAYHcD.jpg","https://t.co/ps9FIbrfGl","https://twitter.com/JimLangevin/status/970028302919503873/photo/1","photo","http://pbs.twimg.com/media/DXY7lubVQAAYHcD.jpg","https://t.co/ps9FIbrfGl","https://twitter.com/JimLangevin/status/970028302919503873/photo/1",NA,"x704363699344117764","twistedpizzaRI","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969994852053274624","2018-03-03 17:56:09","x18909919","JimLangevin","I’m getting a lot of great questions and feedback from constituents. Stop by #LunchwithLangevin @twistedpizzaRI in Wakefield! I’ll be here until 2:30pm. https://t.co/RAUjnAOzoj","Twitter for iPhone","","","",FALSE,FALSE,7,3,"LunchwithLangevin",NA,"","","","http://pbs.twimg.com/media/DXYdK_XVQAEAjhm.jpg","https://t.co/RAUjnAOzoj","https://twitter.com/JimLangevin/status/969994852053274624/photo/1","photo","http://pbs.twimg.com/media/DXYdK_XVQAEAjhm.jpg http://pbs.twimg.com/media/DXYdK_XU8AARZI9.jpg","https://t.co/RAUjnAOzoj https://t.co/RAUjnAOzoj","https://twitter.com/JimLangevin/status/969994852053274624/photo/1 https://twitter.com/JimLangevin/status/969994852053274624/photo/1",NA,"x704363699344117764","twistedpizzaRI","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969957587029553157","2018-03-03 15:28:04","x18909919","JimLangevin","#LunchWithLangevin in Wakefield begins at 12:30pm today! If you are in the area, join me @twistedpizzaRI to share your thoughts and concerns.","Twitter for iPhone","","","",FALSE,FALSE,2,2,"LunchWithLangevin",NA,"","","","","","","","","","",NA,"x704363699344117764","twistedpizzaRI","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969690057794875392","2018-03-02 21:45:00","x18909919","JimLangevin","New on #LangevinHitsTheRhode: I met with seniors at the historic Hamilton House in Providence and toured their facility with @DavidCicilline. https://t.co/J7FruYkuxA","TweetDeck","","","",FALSE,FALSE,0,2,"LangevinHitsTheRhode",NA,"medium.com/@JimLangevin/i…","https://t.co/J7FruYkuxA","https://medium.com/@JimLangevin/impacting-seniors-lives-3f9351c31b55","","","","","","","",NA,"x23593446","davidcicilline","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
