"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970764780159033344","2018-03-05 20:55:34","x303861808","RepThompson","Today is the President’s artificially-imposed deadline for DACA. Without action, 800,000 young people could face deportation from the only country they’ve ever known as home. This is shameful and the President and Congress should come together now to pass the Dream Act.","Twitter for iPhone","","","",FALSE,FALSE,15,8,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970463023516307456","2018-03-05 00:56:29","x303861808","RepThompson","What a fun night at the Chinese Association of Solano County’s Chinese New Year Celebration. Did you know this event has helped provide more than $170,000 in scholarships for more than 230 students in our community? https://t.co/8uyFB2ja8D","Twitter for iPhone","","","",FALSE,FALSE,7,2,"",NA,"","","","http://pbs.twimg.com/media/DXfG-J_VQAA60zq.jpg","https://t.co/8uyFB2ja8D","https://twitter.com/RepThompson/status/970463023516307456/photo/1","photo","http://pbs.twimg.com/media/DXfG-J_VQAA60zq.jpg http://pbs.twimg.com/media/DXfG-J-VQAAcarj.jpg","https://t.co/8uyFB2ja8D https://t.co/8uyFB2ja8D","https://twitter.com/RepThompson/status/970463023516307456/photo/1 https://twitter.com/RepThompson/status/970463023516307456/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970386197183909889","2018-03-04 19:51:12","x303861808","RepThompson","Please join me in congratulating the new Lakeport Postmaster, Ben Lovato! Honored to recognize your years of diligent service for the U.S. Postal Service and we look forward to having you in our community! https://t.co/ATjtTH3N3E","Twitter for iPhone","","","",FALSE,FALSE,10,7,"",NA,"","","","http://pbs.twimg.com/media/DXeBGdHV4AAr0ZQ.jpg","https://t.co/ATjtTH3N3E","https://twitter.com/RepThompson/status/970386197183909889/photo/1","photo","http://pbs.twimg.com/media/DXeBGdHV4AAr0ZQ.jpg","https://t.co/ATjtTH3N3E","https://twitter.com/RepThompson/status/970386197183909889/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970341037884542977","2018-03-04 16:51:46","x303861808","RepThompson","It was a fun treat to honor Cathy Ivers for her retirement on the House floor and recognize her years of service at her retirement party this week. Enjoy your well-earned retirement! https://t.co/zvlfh6PjSS","Twitter for iPhone","","","",FALSE,FALSE,8,4,"",NA,"","","","http://pbs.twimg.com/media/DXdYBtPX4AAlTJe.jpg","https://t.co/zvlfh6PjSS","https://twitter.com/RepThompson/status/970341037884542977/photo/1","photo","http://pbs.twimg.com/media/DXdYBtPX4AAlTJe.jpg http://pbs.twimg.com/media/DXdYBtHWAAIXX6L.jpg","https://t.co/zvlfh6PjSS https://t.co/zvlfh6PjSS","https://twitter.com/RepThompson/status/970341037884542977/photo/1 https://twitter.com/RepThompson/status/970341037884542977/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970104479461904385","2018-03-04 01:11:46","x303861808","RepThompson","Honored to hear from students, teachers, parents, and members of our community at today’s Gun Violence Prevention Town Hall in Vallejo. Deeply humbling to hear your input and I will take your thoughts and ideas with me to Washington as we continue the fight to #EndGunViolence. https://t.co/9pMHBMscil","Twitter for iPhone","","","",FALSE,FALSE,34,12,"EndGunViolence",NA,"","","","http://pbs.twimg.com/media/DXaA4HPX4AEWKRZ.jpg","https://t.co/9pMHBMscil","https://twitter.com/RepThompson/status/970104479461904385/photo/1","photo","http://pbs.twimg.com/media/DXaA4HPX4AEWKRZ.jpg http://pbs.twimg.com/media/DXaA4IEW0AAsiOQ.jpg http://pbs.twimg.com/media/DXaA4HOX4AEfNhb.jpg","https://t.co/9pMHBMscil https://t.co/9pMHBMscil https://t.co/9pMHBMscil","https://twitter.com/RepThompson/status/970104479461904385/photo/1 https://twitter.com/RepThompson/status/970104479461904385/photo/1 https://twitter.com/RepThompson/status/970104479461904385/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970034253554683904","2018-03-03 20:32:43","x303861808","RepThompson","Thank you to all the students, teachers, parents, and community members from across the Sonoma Valley who joined me for today’s Gun Violence Prevention Town Hall. Hearing your thoughts and concerns is crucial to crafting policy and passing measures to help #EndGunViolence. https://t.co/RP4kU04YsQ","Twitter for iPhone","","","",FALSE,FALSE,60,14,"EndGunViolence",NA,"","","","http://pbs.twimg.com/media/DXZBAJLX4AAbYW0.jpg","https://t.co/RP4kU04YsQ","https://twitter.com/RepThompson/status/970034253554683904/photo/1","photo","http://pbs.twimg.com/media/DXZBAJLX4AAbYW0.jpg http://pbs.twimg.com/media/DXZBAJMWsAIERDJ.jpg http://pbs.twimg.com/media/DXZBAJUWAAE4t7t.jpg","https://t.co/RP4kU04YsQ https://t.co/RP4kU04YsQ https://t.co/RP4kU04YsQ","https://twitter.com/RepThompson/status/970034253554683904/photo/1 https://twitter.com/RepThompson/status/970034253554683904/photo/1 https://twitter.com/RepThompson/status/970034253554683904/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969784377772298240","2018-03-03 03:59:48","x303861808","RepThompson","Don and Peg McCown are incredible members of our community, serving veterans and working selflessly to help others. Honored to recognize them today as the 2017 Lake County Veterans of the Year! https://t.co/sJ9gcIRiN3","Twitter for iPhone","","","",FALSE,FALSE,37,9,"",NA,"","","","http://pbs.twimg.com/media/DXVdv_WW4AAoa66.jpg","https://t.co/sJ9gcIRiN3","https://twitter.com/RepThompson/status/969784377772298240/photo/1","photo","http://pbs.twimg.com/media/DXVdv_WW4AAoa66.jpg","https://t.co/sJ9gcIRiN3","https://twitter.com/RepThompson/status/969784377772298240/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969743690737610754","2018-03-03 01:18:07","x303861808","RepThompson","Great to speak with students at Middletown Middle School this morning about my work as chair of @HouseGVP. Their civic engagement and passion was inspiring and gives us all hope for the next generation of leaders! https://t.co/hnVOXbqni4","Twitter for iPhone","","","",FALSE,FALSE,30,12,"",NA,"","","","http://pbs.twimg.com/media/DXU4vl4VAAAcydo.jpg","https://t.co/hnVOXbqni4","https://twitter.com/RepThompson/status/969743690737610754/photo/1","photo","http://pbs.twimg.com/media/DXU4vl4VAAAcydo.jpg http://pbs.twimg.com/media/DXU4vl3U8AAUILL.jpg","https://t.co/hnVOXbqni4 https://t.co/hnVOXbqni4","https://twitter.com/RepThompson/status/969743690737610754/photo/1 https://twitter.com/RepThompson/status/969743690737610754/photo/1",NA,"x747853673917747200","HouseGVP","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969710190743490561","2018-03-02 23:05:00","x303861808","RepThompson","Reminder for Solano County: My Gun Violence Prevention Town Hall is tomorrow at 2pm at the Vallejo High School Gym. Be sure to get there as early as you can as parking spaces will be limited. I hope to see you there! https://t.co/yTvp9sa2iX","TweetDeck","","","",FALSE,FALSE,10,9,"",NA,"facebook.com/events/1887949…","https://t.co/yTvp9sa2iX","https://www.facebook.com/events/188794931721103/","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969696885169623040","2018-03-02 22:12:08","x303861808","RepThompson","Reminder for Sonoma County: Tomorrow at 10am I am hosting a Gun Violence Prevention Town Hall at the Hanna Boys Center in Sonoma Valley. Click below for details and I hope to see you there! https://t.co/46S1UzfaY7","TweetDeck","","","",FALSE,FALSE,19,16,"",NA,"facebook.com/events/2032226…","https://t.co/46S1UzfaY7","https://www.facebook.com/events/2032226180378659/","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
