"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966422024817139712","2018-02-21 21:19:00","x2573587962","TomOHalleran","Government officials should not be using your tax dollars to pay for first-class flights. RT to share my Taxpayers DIME Act with our government leaders and tell them enough is enough. #AZ01 https://t.co/6N0VgcJeQS","TweetDeck",NA,NA,NA,FALSE,FALSE,36,30,"AZ01",NA,"","","","http://pbs.twimg.com/media/DWXPBt0UQAAj04F.png","https://t.co/6N0VgcJeQS","https://twitter.com/TomOHalleran/status/966422024817139712/photo/1","photo","http://pbs.twimg.com/media/DWXPBt0UQAAj04F.png","https://t.co/6N0VgcJeQS","https://twitter.com/TomOHalleran/status/966422024817139712/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x965996218491928587","2018-02-20 17:07:00","x2573587962","TomOHalleran","My Nursing Home Care for Native American Veterans Act will ensure veterans living on tribal lands have access to quality, culturally responsive nursing home care near their families and loved ones. #AZ01 https://t.co/5ihgjVxLiZ","TweetDeck",NA,NA,NA,FALSE,FALSE,10,4,"AZ01",NA,"","","","http://pbs.twimg.com/media/DWXMT4DV4AA85AU.jpg","https://t.co/5ihgjVxLiZ","https://twitter.com/TomOHalleran/status/965996218491928587/photo/1","photo","http://pbs.twimg.com/media/DWXMT4DV4AA85AU.jpg","https://t.co/5ihgjVxLiZ","https://twitter.com/TomOHalleran/status/965996218491928587/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x965726440690864128","2018-02-19 23:15:00","x2573587962","TomOHalleran","RSVP by the end of today to join #TeamOHalleran at our Pinetop-Lakeside House Party. #AZ01 See more: https://t.co/NfSpjeVmGM","TweetDeck",NA,NA,NA,FALSE,FALSE,5,1,"TeamOHalleran AZ01",NA,"facebook.com/events/1825594…","https://t.co/NfSpjeVmGM","https://www.facebook.com/events/1825594174406038/","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x965634585701769216","2018-02-19 17:10:00","x2573587962","TomOHalleran","Happy #PresidentsDay!","TweetDeck",NA,NA,NA,FALSE,FALSE,3,1,"PresidentsDay",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x965401909954797568","2018-02-19 01:45:26","x2573587962","TomOHalleran","I am working to get #darkmoney out of our political system. Our elected leaders should answer only to the American people, not secret mega donors who hide their contributions. #AZ01 https://t.co/1fPeJiOOei","Twitter Web Client",NA,NA,NA,FALSE,FALSE,24,14,"darkmoney AZ01",NA,"","","","http://pbs.twimg.com/media/DWXLBzHUQAAnngO.jpg","https://t.co/1fPeJiOOei","https://twitter.com/TomOHalleran/status/965401909954797568/photo/1","photo","http://pbs.twimg.com/media/DWXLBzHUQAAnngO.jpg","https://t.co/1fPeJiOOei","https://twitter.com/TomOHalleran/status/965401909954797568/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x963502789052657664","2018-02-13 19:59:00","x2573587962","TomOHalleran","#TeamOHalleran will be in Pinetop-Lakeside next week! Join us for a house party to kickoff the new year. More info: https://t.co/NfSpjeVmGM https://t.co/IyRUeFJCJK","TweetDeck",NA,NA,NA,FALSE,FALSE,4,3,"TeamOHalleran",NA,"facebook.com/events/1825594…","https://t.co/NfSpjeVmGM","https://www.facebook.com/events/1825594174406038/","http://pbs.twimg.com/media/DV7DlHrU8AEv_jV.jpg","https://t.co/IyRUeFJCJK","https://twitter.com/TomOHalleran/status/963502789052657664/photo/1","photo","http://pbs.twimg.com/media/DV7DlHrU8AEv_jV.jpg","https://t.co/IyRUeFJCJK","https://twitter.com/TomOHalleran/status/963502789052657664/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x963419411574083585","2018-02-13 14:27:41","x2573587962","TomOHalleran","The American people deserve a Congress that is focused on the challenges facing our nation. I introduced the #NOPEAct to bring some accountability to Washington and end the perks that members of Congress enjoy at the taxpayers' expense. #AZ01 https://t.co/bg8mgwIBPC","Twitter Web Client",NA,NA,NA,FALSE,FALSE,5,4,"NOPEAct AZ01",NA,"","","","http://pbs.twimg.com/media/DV7AkSrU8AAsdLM.jpg","https://t.co/bg8mgwIBPC","https://twitter.com/TomOHalleran/status/963419411574083585/photo/1","photo","http://pbs.twimg.com/media/DV7AkSrU8AAsdLM.jpg","https://t.co/bg8mgwIBPC","https://twitter.com/TomOHalleran/status/963419411574083585/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x957784473306791936","2018-01-29 01:16:27","x2573587962","TomOHalleran","I am committed to promoting #AZ01 farmers &amp; ranchers and strengthening our rural communities. Thanks to all who met with me this weekend to talk about these issues. https://t.co/2cg9OaFDZg","Twitter for iPhone",NA,NA,NA,FALSE,FALSE,15,9,"AZ01",NA,"","","","http://pbs.twimg.com/media/DUq75AEUQAENfKL.jpg","https://t.co/2cg9OaFDZg","https://twitter.com/TomOHalleran/status/957784473306791936/photo/1","photo","http://pbs.twimg.com/media/DUq75AEUQAENfKL.jpg http://pbs.twimg.com/media/DUq75ADVwAAU-aL.jpg http://pbs.twimg.com/media/DUq75ADVAAARatg.jpg http://pbs.twimg.com/media/DUq75ADUMAApddt.jpg","https://t.co/2cg9OaFDZg https://t.co/2cg9OaFDZg https://t.co/2cg9OaFDZg https://t.co/2cg9OaFDZg","https://twitter.com/TomOHalleran/status/957784473306791936/photo/1 https://twitter.com/TomOHalleran/status/957784473306791936/photo/1 https://twitter.com/TomOHalleran/status/957784473306791936/photo/1 https://twitter.com/TomOHalleran/status/957784473306791936/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x956241543526060032","2018-01-24 19:05:24","x2573587962","TomOHalleran","Join #TeamOHalleran in Flagstaff tomorrow and Friday. We need your help to launch a new mailer!

Lunch and dinner provided. #AZ01 https://t.co/j9qUBXyo4f","Twitter for iPhone",NA,NA,NA,FALSE,FALSE,7,4,"TeamOHalleran AZ01",NA,"","","","http://pbs.twimg.com/media/DUVAm3uWsAA9i5m.jpg","https://t.co/j9qUBXyo4f","https://twitter.com/TomOHalleran/status/956241543526060032/photo/1","photo","http://pbs.twimg.com/media/DUVAm3uWsAA9i5m.jpg","https://t.co/j9qUBXyo4f","https://twitter.com/TomOHalleran/status/956241543526060032/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x955206695990546432","2018-01-21 22:33:17","x2573587962","TomOHalleran","Amazing to see the support and energy yesterday and today at the #WomensMarch in Casa Grande and Phoenix. Now it’s time to march to the polls. #AZ01 https://t.co/Dn0rtdGSuz","Twitter for iPhone",NA,NA,NA,FALSE,FALSE,31,11,"WomensMarch AZ01",NA,"","","","http://pbs.twimg.com/media/DUGTahrXUAETwSb.jpg","https://t.co/Dn0rtdGSuz","https://twitter.com/TomOHalleran/status/955206695990546432/photo/1","photo","http://pbs.twimg.com/media/DUGTahrXUAETwSb.jpg http://pbs.twimg.com/media/DUGTahsWAAIj18a.jpg http://pbs.twimg.com/media/DUGTahsXcAAP8ej.jpg http://pbs.twimg.com/media/DUGTahtXUAAhUzX.jpg","https://t.co/Dn0rtdGSuz https://t.co/Dn0rtdGSuz https://t.co/Dn0rtdGSuz https://t.co/Dn0rtdGSuz","https://twitter.com/TomOHalleran/status/955206695990546432/photo/1 https://twitter.com/TomOHalleran/status/955206695990546432/photo/1 https://twitter.com/TomOHalleran/status/955206695990546432/photo/1 https://twitter.com/TomOHalleran/status/955206695990546432/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
