"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970758271664406528","2018-03-05 20:29:42","x20747881","kyrstensinema","We need to work together on solutions that lower health care costs. The Trump administration’s actions took us in the wrong direction – and Arizonans will be paying for it. https://t.co/gxCtiLRy6i #AZSen","Twitter Web Client","","","",FALSE,FALSE,10,8,"AZSen",NA,"bloomberg.com/news/articles/…","https://t.co/gxCtiLRy6i","https://www.bloomberg.com/news/articles/2018-02-26/trump-s-obamacare-changes-to-push-up-premiums-report-projects","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970740883053150208","2018-03-05 19:20:36","x20747881","kyrstensinema","I’ve fought to protect Medicare and Social Security for current seniors and future generations, and I'll defend them against harmful cuts in the U.S. Senate. #AZSen https://t.co/HMuRLCqREE","Twitter Web Client","","","",FALSE,FALSE,8,5,"AZSen",NA,"","","","http://pbs.twimg.com/media/DXjDncJVMAA2I1c.jpg","https://t.co/HMuRLCqREE","https://twitter.com/kyrstensinema/status/970740883053150208/photo/1","photo","http://pbs.twimg.com/media/DXjDncJVMAA2I1c.jpg","https://t.co/HMuRLCqREE","https://twitter.com/kyrstensinema/status/970740883053150208/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970685483029114880","2018-03-05 15:40:28","x20747881","kyrstensinema","Report on what the Trump administration's health care changes will mean for AZ:
—20% hike in premiums
—124,000 more uninsured Arizonans

This is unacceptable. It’s time to work together to lower costs and improve coverage. https://t.co/gxCtiLRy6i #AZSen","Twitter Web Client","","","",FALSE,FALSE,51,31,"AZSen",NA,"bloomberg.com/news/articles/…","https://t.co/gxCtiLRy6i","https://www.bloomberg.com/news/articles/2018-02-26/trump-s-obamacare-changes-to-push-up-premiums-report-projects","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970463908703145984","2018-03-05 01:00:00","x20747881","kyrstensinema","Our heroes deserve the best care. We won't rest until every veteran receives the care he or she has earned. https://t.co/LIqisYB7Fz","Media Studio","","","",FALSE,FALSE,30,8,"",NA,"","","","http://pbs.twimg.com/media/DLOjsi_XcAAjrUp.jpg","https://t.co/LIqisYB7Fz","https://twitter.com/kyrstensinema/status/970463908703145984/photo/1","photo","http://pbs.twimg.com/media/DLOjsi_XcAAjrUp.jpg","https://t.co/LIqisYB7Fz","https://twitter.com/kyrstensinema/status/970463908703145984/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970402420554543104","2018-03-04 20:55:40","x20747881","kyrstensinema","Our heroes deserve the best care. We won't rest until every veteran receives the care he or she has earned. https://t.co/ib0rNSxgw8","Twitter for iPhone","","","",FALSE,FALSE,12,4,"",NA,"","","","http://pbs.twimg.com/media/DXeP2HfV4AAgA47.jpg","https://t.co/ib0rNSxgw8","https://twitter.com/kyrstensinema/status/970402420554543104/photo/1","photo","http://pbs.twimg.com/media/DXeP2HfV4AAgA47.jpg","https://t.co/ib0rNSxgw8","https://twitter.com/kyrstensinema/status/970402420554543104/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970346335185420291","2018-03-04 17:12:49","x20747881","kyrstensinema","This is unacceptable. We need to come together on solutions that lower health care costs and improve coverage – not go back to letting insurance companies call all the shots. https://t.co/gxCtiLRy6i","Twitter for iPhone","","","",FALSE,FALSE,53,26,"",NA,"bloomberg.com/news/articles/…","https://t.co/gxCtiLRy6i","https://www.bloomberg.com/news/articles/2018-02-26/trump-s-obamacare-changes-to-push-up-premiums-report-projects","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970046372618514432","2018-03-03 21:20:52","x20747881","kyrstensinema","#TeamSinema is at the Melrose Street Fair in Phoenix! Stop by our tent to say hello and sign our petition to get on the #AZSen ballot. https://t.co/vk8oJFYMSY","Twitter for iPhone","","","",FALSE,FALSE,32,9,"TeamSinema AZSen",NA,"","","","http://pbs.twimg.com/media/DXZMAmxUQAAqRWY.jpg","https://t.co/vk8oJFYMSY","https://twitter.com/kyrstensinema/status/970046372618514432/photo/1","photo","http://pbs.twimg.com/media/DXZMAmxUQAAqRWY.jpg http://pbs.twimg.com/media/DXZMAmzVoAAVOWb.jpg http://pbs.twimg.com/media/DXZMAmzVAAAohip.jpg","https://t.co/vk8oJFYMSY https://t.co/vk8oJFYMSY https://t.co/vk8oJFYMSY","https://twitter.com/kyrstensinema/status/970046372618514432/photo/1 https://twitter.com/kyrstensinema/status/970046372618514432/photo/1 https://twitter.com/kyrstensinema/status/970046372618514432/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969988274306494464","2018-03-03 17:30:00","x20747881","kyrstensinema","Have you signed our petition yet? We need 10,000 signatures to get on the ballot. Add your name today – all you need is your phone and driver’s license: https://t.co/BjBTnMugxc https://t.co/kCRxZC8Hcw","Media Studio","","","",FALSE,FALSE,21,12,"",NA,"bit.ly/2EkrHgA","https://t.co/BjBTnMugxc","http://bit.ly/2EkrHgA","http://pbs.twimg.com/media/DTOgGsJXUAAjNGK.jpg","https://t.co/kCRxZC8Hcw","https://twitter.com/kyrstensinema/status/969988274306494464/photo/1","photo","http://pbs.twimg.com/media/DTOgGsJXUAAjNGK.jpg","https://t.co/kCRxZC8Hcw","https://twitter.com/kyrstensinema/status/969988274306494464/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969673778169966592","2018-03-02 20:40:19","x20747881","kyrstensinema","I come from a military family, so supporting servicemembers, veterans, and their families is personal for me. Honored to earn the @MilitaryOfficer Congressional Leadership award. https://t.co/2p79OuIfyy https://t.co/x3uYbmBUrC","Twitter Web Client","","","",FALSE,FALSE,31,8,"",NA,"moaa.org/Content/Public…","https://t.co/2p79OuIfyy","http://www.moaa.org/Content/Publications-and-Media/News-Articles/2018-News-Articles/MOAA-to-Present-Congressional-Leadership-Awards-to-Arizona-Reps.aspx?list=12884902604&cat=12884901933","http://pbs.twimg.com/media/DXT4-prU0AAeWwD.jpg","https://t.co/x3uYbmBUrC","https://twitter.com/kyrstensinema/status/969673778169966592/photo/1","photo","http://pbs.twimg.com/media/DXT4-prU0AAeWwD.jpg","https://t.co/x3uYbmBUrC","https://twitter.com/kyrstensinema/status/969673778169966592/photo/1",NA,"x85365067","MilitaryOfficer","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969620063601836032","2018-03-02 17:06:52","x20747881","kyrstensinema","My family faced tough times when I was a kid. Education was my ticket to a better life.

On #ReadAcrossAmericaDay, I’m grateful for the books and teachers that helped me get my shot at the American Dream, and I'm determined to make sure all AZ's kids get their shot too. #AZSen https://t.co/Yj33uO7BDy","Media Studio","","","",FALSE,FALSE,109,23,"ReadAcrossAmericaDay AZSen",NA,"","","","http://pbs.twimg.com/media/DXTHq0aVAAA-Bun.jpg","https://t.co/Yj33uO7BDy","https://twitter.com/kyrstensinema/status/969620063601836032/photo/1","photo","http://pbs.twimg.com/media/DXTHq0aVAAA-Bun.jpg","https://t.co/Yj33uO7BDy","https://twitter.com/kyrstensinema/status/969620063601836032/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
