"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969370479202045952","2018-03-02 00:35:06","x557794383","CollinsNY27","In Warsaw with my friends on the Wyoming County Republican Committee. Grateful to have their support for another term serving #NY27 in Congress. https://t.co/GWNUU6VOJJ","Twitter for iPhone","","","",FALSE,FALSE,6,2,"NY27",NA,"","","","http://pbs.twimg.com/media/DXPlRT5U8AAPnIv.jpg","https://t.co/GWNUU6VOJJ","https://twitter.com/CollinsNY27/status/969370479202045952/photo/1","photo","http://pbs.twimg.com/media/DXPlRT5U8AAPnIv.jpg","https://t.co/GWNUU6VOJJ","https://twitter.com/CollinsNY27/status/969370479202045952/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x967452915454627841","2018-02-24 17:35:24","x557794383","CollinsNY27","At Tillman’s in Albion with the Orleans County GOP. I’m honored to once again have their support. 

I will continue to fight for important issues to the community like protecting our shoreline, expanding rural broadband access and strengthening our agriculture industry. https://t.co/FKTcEc1vC0","Twitter for iPhone","","","",FALSE,FALSE,6,1,"",NA,"","","","http://pbs.twimg.com/media/DW0VRZsU8AMjgg8.jpg","https://t.co/FKTcEc1vC0","https://twitter.com/CollinsNY27/status/967452915454627841/photo/1","photo","http://pbs.twimg.com/media/DW0VRZsU8AMjgg8.jpg","https://t.co/FKTcEc1vC0","https://twitter.com/CollinsNY27/status/967452915454627841/photo/1",NA,"","","en","","","","","https://api.twitter.com/1.1/geo/id/9070317e5a4fd80a.json","Albion","Albion, NY","city","United States","US",NA,NA,"-78.223955 -78.163384 -78.163384 -78.223955 43.233681 43.233681 43.262851 43.262851"
"x964516126364438528","2018-02-16 15:05:39","x557794383","CollinsNY27","Collins for Congress Campaign Statement on NY-27 Democrat Party Bosses Endorsing Nate McMurray https://t.co/okZAhHrMcq","TweetDeck","","","",FALSE,FALSE,8,4,"",NA,"","","","http://pbs.twimg.com/media/DWKlQ6MXcAAzMov.jpg","https://t.co/okZAhHrMcq","https://twitter.com/CollinsNY27/status/964516126364438528/photo/1","photo","http://pbs.twimg.com/media/DWKlQ6MXcAAzMov.jpg","https://t.co/okZAhHrMcq","https://twitter.com/CollinsNY27/status/964516126364438528/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x961403579943866369","2018-02-08 00:57:30","x557794383","CollinsNY27","I’m stuck in DC but happy to hear I was unanimously endorsed by the Livingston County GOP for another term. Very proud to represent Livingston County and all of #NY27 in Congress.","Twitter for iPhone","","","",FALSE,FALSE,23,3,"NY27",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x959229675661873153","2018-02-02 00:59:10","x557794383","CollinsNY27","I’m honored to have been unanimously endorsed by the Genesee County Republican Committee tonight in Batavia. Thank you for the opportunity to continuing serving #NY27 in Congress. https://t.co/476uzabg8M","Twitter for iPhone","","","",FALSE,FALSE,11,1,"NY27",NA,"","","","http://pbs.twimg.com/media/DU_eSvUU8AEEYuV.jpg","https://t.co/476uzabg8M","https://twitter.com/CollinsNY27/status/959229675661873153/photo/1","photo","http://pbs.twimg.com/media/DU_eSvUU8AEEYuV.jpg","https://t.co/476uzabg8M","https://twitter.com/CollinsNY27/status/959229675661873153/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x955466691751890944","2018-01-22 15:46:25","x557794383","CollinsNY27","From @news10nbc --&gt; Congressman Chris Collins: Don't pay me during #SchumerShutdown trending https://t.co/r0RmpxRNBe","TweetDeck","","","",FALSE,FALSE,5,1,"SchumerShutdown",NA,"whec.com/news/chris-col…","https://t.co/r0RmpxRNBe","http://www.whec.com/news/chris-collins-dont-pay-me-during-shutdown/4751717/#.WmYHDm0RXw8.twitter","","","","","","","",NA,"x16469116","news10nbc","en","","","","","","","","","","",NA,NA,""
"x954078438951936000","2018-01-18 19:50:00","x557794383","CollinsNY27","#TaxReform --&gt; Paycheck bump coming soon -- here’s how much you can expect https://t.co/LL635rjIOZ via @USATODAY","TweetDeck","","","",FALSE,FALSE,2,0,"TaxReform",NA,"usat.ly/2FIYiNM","https://t.co/LL635rjIOZ","https://usat.ly/2FIYiNM","","","","","","","",NA,"x15754281","USATODAY","en","","","","","","","","","","",NA,NA,""
"x954062081367535616","2018-01-18 18:45:00","x557794383","CollinsNY27",".@thebatavian: Collins introduces legislation to address lack of high-speed internet in rural communities https://t.co/qxIxVf2CNG","TweetDeck","","","",FALSE,FALSE,3,1,"",NA,"thebatavian.com/howard-b-owens…","https://t.co/qxIxVf2CNG","http://www.thebatavian.com/howard-b-owens/collins-introduces-legislation-to-address-lack-of-high-speed-internet-in-rural","","","","","","","",NA,"x14479940","thebatavian","en","","","","","","","","","","",NA,NA,""
"x953060026029150209","2018-01-16 00:23:11","x557794383","CollinsNY27","Speaking with the @amherst_gop about our accomplishments in Washington over the past year:

Stock market at record high 📈
Unemployment at historic low 📉
Tax cuts for middle class families ✂️ https://t.co/m1Z7vh5mCZ","Twitter for iPhone","","","",FALSE,FALSE,15,2,"",NA,"","","","http://pbs.twimg.com/media/DTnzB_2UMAA7q3P.jpg","https://t.co/m1Z7vh5mCZ","https://twitter.com/CollinsNY27/status/953060026029150209/photo/1","photo","http://pbs.twimg.com/media/DTnzB_2UMAA7q3P.jpg","https://t.co/m1Z7vh5mCZ","https://twitter.com/CollinsNY27/status/953060026029150209/photo/1",NA,"x745301566429794304","amherst_gop","en","","","","","https://api.twitter.com/1.1/geo/id/c1cf48941afc3bff.json","Williamsville","Williamsville, NY","city","United States","US",NA,NA,"-78.755728 -78.724698 -78.724698 -78.755728 42.945798 42.945798 42.975433 42.975433"
"x952199130868342784","2018-01-13 15:22:18","x557794383","CollinsNY27","Humbled to once again be endorsed by the @ERIECOUNTYGOP.  It is an honor to represent the residents of #NY27 in Congress. I look forward to earning the opportunity to continue to serve. https://t.co/BRPFuiODse","Twitter for iPhone","","","",FALSE,FALSE,14,5,"NY27",NA,"","","","http://pbs.twimg.com/media/DTbkDoyVQAE_Apl.jpg","https://t.co/BRPFuiODse","https://twitter.com/CollinsNY27/status/952199130868342784/photo/1","photo","http://pbs.twimg.com/media/DTbkDoyVQAE_Apl.jpg","https://t.co/BRPFuiODse","https://twitter.com/CollinsNY27/status/952199130868342784/photo/1",NA,"x502021794","ERIECOUNTYGOP","en","","","","","","","","","","",NA,NA,""
