"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x966425865549697024","2018-02-21 21:34:16","x4433285713","FrancisRooney","One of the greatest evangelist preachers of our time has passed at the age of 99. Billy Graham's kind words will not be forgotten. https://t.co/qHxNKdTFtr","Twitter Web Client","","","",FALSE,FALSE,6,3,"",NA,"","","","http://pbs.twimg.com/media/DWlvCNCVoAAOnaZ.jpg","https://t.co/qHxNKdTFtr","https://twitter.com/FrancisRooney/status/966425865549697024/photo/1","photo","http://pbs.twimg.com/media/DWlvCNCVoAAOnaZ.jpg","https://t.co/qHxNKdTFtr","https://twitter.com/FrancisRooney/status/966425865549697024/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x965610652873187328","2018-02-19 15:34:54","x4433285713","FrancisRooney","On Presidents' Day we honor our founding fathers and those who have lead the fight to protect our liberties. Happy #PresidentsDay to all! https://t.co/lLdqSawIPx","Twitter Web Client","","","",FALSE,FALSE,5,4,"PresidentsDay",NA,"","","","http://pbs.twimg.com/media/DWaJwLQVoAAMPEm.jpg","https://t.co/lLdqSawIPx","https://twitter.com/FrancisRooney/status/965610652873187328/photo/1","photo","http://pbs.twimg.com/media/DWaJwLQVoAAMPEm.jpg","https://t.co/lLdqSawIPx","https://twitter.com/FrancisRooney/status/965610652873187328/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x964169216822738946","2018-02-15 16:07:09","x4433285713","FrancisRooney","https://t.co/OP5GBN6jjD","Twitter Web Client","","","",FALSE,FALSE,4,1,"",NA,"","","","http://pbs.twimg.com/media/DWFqx__U0AEUlSP.jpg","https://t.co/OP5GBN6jjD","https://twitter.com/FrancisRooney/status/964169216822738946/photo/1","photo","http://pbs.twimg.com/media/DWFqx__U0AEUlSP.jpg","https://t.co/OP5GBN6jjD","https://twitter.com/FrancisRooney/status/964169216822738946/photo/1",NA,"","","und","","","","","","","","","","",NA,NA,""
"x962021359227363330","2018-02-09 17:52:20","x4433285713","FrancisRooney","Our historic tax plan is continuing to pay off. Millions of Americans are seeing higher wages, simplified taxes, and are keeping more of their hard-earned money. https://t.co/MmjMQcx3qW","Twitter Web Client","","","",FALSE,FALSE,2,0,"",NA,"","","","http://pbs.twimg.com/media/DVnJRzEVMAY0zI2.jpg","https://t.co/MmjMQcx3qW","https://twitter.com/FrancisRooney/status/962021359227363330/photo/1","photo","http://pbs.twimg.com/media/DVnJRzEVMAY0zI2.jpg","https://t.co/MmjMQcx3qW","https://twitter.com/FrancisRooney/status/962021359227363330/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x961032784440709120","2018-02-07 00:24:05","x4433285713","FrancisRooney","Happy Birthday to our 40th President, may we honor his legacy on his 107th birthday! https://t.co/F8ZYJmojdk","Twitter for iPhone","","","",FALSE,FALSE,9,2,"",NA,"","","","http://pbs.twimg.com/media/DVZGNKCUMAAZs4I.jpg","https://t.co/F8ZYJmojdk","https://twitter.com/FrancisRooney/status/961032784440709120/photo/1","photo","http://pbs.twimg.com/media/DVZGNKCUMAAZs4I.jpg","https://t.co/F8ZYJmojdk","https://twitter.com/FrancisRooney/status/961032784440709120/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x959572341046087680","2018-02-02 23:40:48","x4433285713","FrancisRooney","Today, President Trump put America first in his decision to approve the public release of the four-page memo!","Twitter for iPhone","","","",FALSE,FALSE,5,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x958546125891538944","2018-01-31 03:42:59","x4433285713","FrancisRooney","I am deeply disturbed by the contents of the FISA memo related to Mr. Mueller’s investigation - this document should be released immediately.","Twitter for iPhone","","","",FALSE,FALSE,5,2,"",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x956919088500170752","2018-01-26 15:57:44","x4433285713","FrancisRooney","If the men and women serving in our military were not paid during the​ government shutdown, then neither should elected officials. https://t.co/yboexZIEZC","Twitter Web Client","","","",FALSE,FALSE,6,1,"",NA,"","","","http://pbs.twimg.com/media/DUeoz07UQAAspYy.jpg","https://t.co/yboexZIEZC","https://twitter.com/FrancisRooney/status/956919088500170752/photo/1","photo","http://pbs.twimg.com/media/DUeoz07UQAAspYy.jpg","https://t.co/yboexZIEZC","https://twitter.com/FrancisRooney/status/956919088500170752/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x955934639725608960","2018-01-23 22:45:53","x4433285713","FrancisRooney","For three days the government was shutdown and lead by Senate Democrats. They refused to fund the government until we would agree on an issue entirely unrelated to the bill: immigration. This type of political gamesmanship is exactly why people have such disdain for Congress.","Twitter for iPhone","","","",FALSE,FALSE,7,1,"",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x954472274505150470","2018-01-19 21:54:58","x4433285713","FrancisRooney","I am thankful for the hard work of Governor Scott and the responsiveness of Secretary Zinke in carving Florida out of the Administration’s updated drilling plan.","Twitter Web Client","","","",FALSE,FALSE,6,1,"",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
