"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x965709453122252801","2018-02-19 22:07:30","x2327941633","MimiWaltersCA","Ronald Reagan and Abraham Lincoln are my two favorite Presidents.  They inspired me to enter public service, and they continue to inspire me today.  Happy #PresidentsDay! https://t.co/LPK0WCXixz","Twitter Web Client","","","",FALSE,FALSE,16,3,"PresidentsDay",NA,"","","","http://pbs.twimg.com/media/DWbjeYZUQAEhNgq.jpg","https://t.co/LPK0WCXixz","https://twitter.com/MimiWaltersCA/status/965709453122252801/photo/1","photo","http://pbs.twimg.com/media/DWbjeYZUQAEhNgq.jpg","https://t.co/LPK0WCXixz","https://twitter.com/MimiWaltersCA/status/965709453122252801/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x964253683759316999","2018-02-15 21:42:47","x2327941633","MimiWaltersCA","Raising the federal gas tax will only further hurt middle-class Californians, and that's why I will oppose any effort to raise the gas tax. https://t.co/XYTBsgeuDg","Twitter Web Client","","","",FALSE,FALSE,10,2,"",NA,"cnb.cx/2EtWV4p","https://t.co/XYTBsgeuDg","http://cnb.cx/2EtWV4p","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x964118345627979778","2018-02-15 12:45:00","x2327941633","MimiWaltersCA","""America is warming up to the Republican tax cuts — and Democrats are starting to get worried.""  #TaxReform is working and Americans know it!
https://t.co/Tl1ObL5yEj","TweetDeck","","","",FALSE,FALSE,14,8,"TaxReform",NA,"cnbc.com/2018/02/14/dem…","https://t.co/Tl1ObL5yEj","https://www.cnbc.com/2018/02/14/democrats-on-defensive-as-support-for-gop-tax-plan-grows.html","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x960927154346299393","2018-02-06 17:24:21","x2327941633","MimiWaltersCA","In the words of Margaret Thatcher, “In a time of average men, you stood taller than anyone else.” Happy Birthday President Reagan! https://t.co/DiFh87Bpv1","Twitter for iPhone","","","",FALSE,FALSE,13,2,"",NA,"","","","http://pbs.twimg.com/media/DVXmJwGW4AANYn4.jpg","https://t.co/DiFh87Bpv1","https://twitter.com/MimiWaltersCA/status/960927154346299393/photo/1","photo","http://pbs.twimg.com/media/DVXmJwGW4AANYn4.jpg","https://t.co/DiFh87Bpv1","https://twitter.com/MimiWaltersCA/status/960927154346299393/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x959091231568617473","2018-02-01 15:49:03","x2327941633","MimiWaltersCA","""It would be the first time the state has seen $4 gasoline since July 2014. Pump prices, which include taxes, are already 47 cents over the same time last year in California, the biggest statewide price change in the U.S."" #gastaxtrophe https://t.co/V2TMsRs0KV","Twitter Web Client","","","",FALSE,FALSE,5,4,"gastaxtrophe",NA,"bloom.bg/2BJry3x","https://t.co/V2TMsRs0KV","https://bloom.bg/2BJry3x","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x956691101133475841","2018-01-26 00:51:47","x2327941633","MimiWaltersCA","In Gov. Brown's final #SOTS today, he argued that it's better to build a bullet train than to build more freeways and expand airports. Jerry Brown is completely out-of-touch. I agree that ""it’s time to stop this train in its tracks"" https://t.co/kz7648BBKD","Twitter Web Client","","","",FALSE,FALSE,14,3,"SOTS",NA,"bayareane.ws/2rBmEpG","https://t.co/kz7648BBKD","http://bayareane.ws/2rBmEpG","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x956180244121219072","2018-01-24 15:01:49","x2327941633","MimiWaltersCA","""No matter what the prophets of apocalypse say, the world isn’t ending. Federal taxes are going down because of the Tax Cuts &amp; Jobs Act, and especially if Sacramento follows suit and reduces state taxes, Californians can look forward to better days ahead."" https://t.co/tgICrOpq23","Twitter Web Client","","","",FALSE,FALSE,11,4,"",NA,"bit.ly/2ruukK4","https://t.co/tgICrOpq23","http://bit.ly/2ruukK4","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x955822850631487488","2018-01-23 15:21:40","x2327941633","MimiWaltersCA","Sacramento's response to tax reform and the recent wave of corporate bonuses (aka Pelosi's ""crumbs"")? Money grab time! https://t.co/KcgibgnP8q","Twitter Web Client","","","",FALSE,FALSE,3,3,"",NA,"fxn.ws/2mXGsxV","https://t.co/KcgibgnP8q","http://fxn.ws/2mXGsxV","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x954920846228951041","2018-01-21 03:37:25","x2327941633","MimiWaltersCA","Good to join my colleague Rep. Steve Stivers on #FoxNews last night to talk #PelosiSchumerShutdown https://t.co/FLJiWtfZ6s","Twitter Web Client","","","",FALSE,FALSE,6,2,"FoxNews PelosiSchumerShutdown",NA,"video.foxnews.com/v/571555759700…","https://t.co/FLJiWtfZ6s","http://video.foxnews.com/v/5715557597001/","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x953710803437391875","2018-01-17 19:29:09","x2327941633","MimiWaltersCA","The ""worst-case scenario has happened"" with the high-speed rail boondoggle, and Sacramento Democrats need to finally show some real leadership and stop this madness. https://t.co/UGlWSJjpQi https://t.co/gD81PH8ZXT","Twitter Web Client","","","",FALSE,FALSE,10,3,"",NA,"lat.ms/2EOth9M","https://t.co/UGlWSJjpQi","http://lat.ms/2EOth9M","http://pbs.twimg.com/media/DTxCnrLU0AAO_nG.jpg","https://t.co/gD81PH8ZXT","https://twitter.com/MimiWaltersCA/status/953710803437391875/photo/1","photo","http://pbs.twimg.com/media/DTxCnrLU0AAO_nG.jpg","https://t.co/gD81PH8ZXT","https://twitter.com/MimiWaltersCA/status/953710803437391875/photo/1",NA,"","","en","","","","","","","","","","","","",""
