"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970758242669342720","2018-03-05 20:29:35","x816652616625168388","RepAndyBiggsAZ","I want to hear from YOU.

The ""Tax Cuts &amp; Jobs Act"" has already helped millions, including many in #AZ05. I've heard from countless constituents who have received bonuses, increased wages, or more $ in their paychecks. A number of business owners are adding jobs. https://t.co/jh3xsDV7bY","Twitter for iPhone","","","",FALSE,FALSE,13,7,"AZ05","","","","","http://pbs.twimg.com/media/DXjTeJMW0AA416e.jpg","https://t.co/jh3xsDV7bY","https://twitter.com/RepAndyBiggsAZ/status/970758242669342720/photo/1","photo","http://pbs.twimg.com/media/DXjTeJMW0AA416e.jpg","https://t.co/jh3xsDV7bY","https://twitter.com/RepAndyBiggsAZ/status/970758242669342720/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970703254303727616","2018-03-05 16:51:05","x816652616625168388","RepAndyBiggsAZ","Congratulations to these @BASISChandler students for winning the Arizona Science Bowl's regional competition. Good luck next month on the national stage. https://t.co/NWumXYvNhW #AZ05","TweetDeck","","","",FALSE,FALSE,6,5,"AZ05","","bit.ly/2FhDCLX","https://t.co/NWumXYvNhW","http://bit.ly/2FhDCLX","","","","","","","",NA,"x3331838446","BASISChandler","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970672729480364032","2018-03-05 14:49:47","x816652616625168388","RepAndyBiggsAZ","I'm about to join @Varneyco on @FoxBusiness to discuss border security. Hope you'll tune in at 8 am MT. #AZ05","TweetDeck","","","",FALSE,FALSE,9,9,"AZ05","","","","","","","","","","","",NA,"x281610530 56413858","Varneyco FoxBusiness","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970489439192604673","2018-03-05 02:41:27","x816652616625168388","RepAndyBiggsAZ","Thank you, @GeneralBrnovich, for your support of the ""Ashlynne Mike AMBER Alert in Indian Country Act."" Together, we are making a difference for our children. https://t.co/YgZOWD8VVa","Twitter for iPhone","","","",FALSE,FALSE,12,7,"","","","","","http://pbs.twimg.com/media/DXfe_xNV4AEqkDy.jpg","https://t.co/YgZOWD8VVa","https://twitter.com/RepAndyBiggsAZ/status/970489439192604673/photo/1","photo","http://pbs.twimg.com/media/DXfe_xNV4AEqkDy.jpg","https://t.co/YgZOWD8VVa","https://twitter.com/RepAndyBiggsAZ/status/970489439192604673/photo/1",NA,"x2868353169","GeneralBrnovich","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970394613767950339","2018-03-04 20:24:39","x816652616625168388","RepAndyBiggsAZ","Are you a student interested in interning in my Washington or AZ office? Do you know of a student looking for this internship?

Click the link to learn more - or to start the application process. I'm still looking for interns for the summer and fall. https://t.co/ieNLdtKctG #AZ05","Twitter for iPhone","","","",FALSE,FALSE,6,10,"AZ05","","biggs.house.gov/services/inter…","https://t.co/ieNLdtKctG","https://biggs.house.gov/services/internships","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969711086873214976","2018-03-02 23:08:34","x816652616625168388","RepAndyBiggsAZ","FRIDAYS STAND FOR FREEDOM.

Maricopa County wants to remove &amp; replace the Salt Cedar with native trees and shrubs, but a bureaucratic federal permitting process is preventing its removal.

MORE on what I'm trying to do about this issue: https://t.co/EttVvZYtzf #AZ05 https://t.co/GFGRn4GMBX","Twitter for Android","","","",FALSE,FALSE,2,2,"AZ05","","biggs.house.gov/freedom-fridays","https://t.co/EttVvZYtzf","https://biggs.house.gov/freedom-fridays","http://pbs.twimg.com/media/DXUbFhxXcAAzR90.jpg","https://t.co/GFGRn4GMBX","https://twitter.com/RepAndyBiggsAZ/status/969711086873214976/photo/1","photo","http://pbs.twimg.com/media/DXUbFhxXcAAzR90.jpg","https://t.co/GFGRn4GMBX","https://twitter.com/RepAndyBiggsAZ/status/969711086873214976/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969657239337357312","2018-03-02 19:34:35","x816652616625168388","RepAndyBiggsAZ","Congratulations to Mike Hummel, who was just nominated to be the next CEO of @SRPconnect. I wish him all the best as he prepares for his new role, and my team looks forward to working with him in the months ahead. https://t.co/jJWF83MAYH #AZ05","Twitter for iPhone","","","",FALSE,FALSE,5,4,"AZ05","","azcentral.com/story/money/bu…","https://t.co/jJWF83MAYH","https://www.azcentral.com/story/money/business/energy/2018/02/28/srp-board-nominates-mike-hummel-new-ceo-he-likely-earn-1-m-per-year/383289002/","","","","","","","",NA,"x76984842","SRPconnect","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969591711071600640","2018-03-02 15:14:12","x816652616625168388","RepAndyBiggsAZ","Manufacturing is up. Unemployment is down.

There's no denying it: the American economy is strong and gaining strength by the week. 

https://t.co/YrqycFXvtB #AZ05","Twitter for Android","","","",FALSE,FALSE,16,9,"AZ05","","bloom.bg/2GXMPtk","https://t.co/YrqycFXvtB","https://bloom.bg/2GXMPtk","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969407812186066944","2018-03-02 03:03:27","x816652616625168388","RepAndyBiggsAZ","The time is NOW.

The Clean Water Rule is one of the most intrusive and expansive regulations to come out of President Obama’s politicized EPA. Congress must act to eliminate WOTUS once and for all. #AZ05 https://t.co/FGXFiiF5Rt","Twitter for iPhone","","","",FALSE,FALSE,24,29,"AZ05","","","","","http://pbs.twimg.com/media/DXQHQ10VwAAvoHI.jpg","https://t.co/FGXFiiF5Rt","https://twitter.com/RepAndyBiggsAZ/status/969407812186066944/photo/1","photo","http://pbs.twimg.com/media/DXQHQ10VwAAvoHI.jpg","https://t.co/FGXFiiF5Rt","https://twitter.com/RepAndyBiggsAZ/status/969407812186066944/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969341055987605506","2018-03-01 22:38:11","x816652616625168388","RepAndyBiggsAZ","Thank you, Maricopa County Attorney Bill Montgomery, for your support of the ""Ashlynne Mike AMBER Alert in Indian Country Act."" Together, we are making a difference for our children. https://t.co/VSEv1g2ZvN","TweetDeck","","","",FALSE,FALSE,15,10,"","","","","","http://pbs.twimg.com/media/DXPKiDhXUAAQdC5.jpg","https://t.co/VSEv1g2ZvN","https://twitter.com/RepAndyBiggsAZ/status/969341055987605506/photo/1","photo","http://pbs.twimg.com/media/DXPKiDhXUAAQdC5.jpg","https://t.co/VSEv1g2ZvN","https://twitter.com/RepAndyBiggsAZ/status/969341055987605506/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
