"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969950533682417665","2018-03-03 15:00:02","x237312687","RepBillFlores","Good luck to the Marlin High School Girls Basketball Team as they play for the 3A State Championship. Go Lady Bulldogs! https://t.co/zFPeOpG3jS","TweetDeck","","","",FALSE,FALSE,6,2,"",NA,"wacotrib.com/sports/high_sc…","https://t.co/zFPeOpG3jS","http://www.wacotrib.com/sports/high_schools/central_texas_girls_basketball/big-building-big-games-marlin-girls-adapting-well-to-unfamiliar/article_3eb11186-90d8-5e04-a465-9ecd7b3ad7f1.html","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x969639475075866624","2018-03-02 18:24:00","x237312687","RepBillFlores","Happy Texas Independence Day! Today marks the 182nd anniversary of Texas independence. God Bless Texas! https://t.co/uhWdnlQvWO","TweetDeck","","","",FALSE,FALSE,9,7,"",NA,"","","","http://pbs.twimg.com/media/DXTHyA2X4AAqS8z.jpg","https://t.co/uhWdnlQvWO","https://twitter.com/RepBillFlores/status/969639475075866624/photo/1","photo","http://pbs.twimg.com/media/DXTHyA2X4AAqS8z.jpg","https://t.co/uhWdnlQvWO","https://twitter.com/RepBillFlores/status/969639475075866624/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x969360386398064640","2018-03-01 23:55:00","x237312687","RepBillFlores","This week, the House passed the Allow States and Victims to Fight Online Sex Trafficking Act, which works to curb the online sex trade. We must hold websites that facilitate illicit activities accountable &amp; bring online traffickers to justice https://t.co/c29CpWdiUR","TweetDeck","","","",FALSE,FALSE,2,4,"",NA,"washingtonpost.com/news/true-crim…","https://t.co/c29CpWdiUR","https://www.washingtonpost.com/news/true-crime/wp/2018/02/27/house-passes-anti-online-sex-trafficking-bill-allows-targeting-of-websites-like-backpage-com/?utm_term=.55968e925678","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x969317603872247808","2018-03-01 21:05:00","x237312687","RepBillFlores","The latest @USChamber Small Business Index shows record levels of optimism from small businesses that tax reform will help their company and the national economy. https://t.co/CCBzr6gDNO","TweetDeck","","","",FALSE,FALSE,1,1,"",NA,"uschamber.com/series/above-t…","https://t.co/CCBzr6gDNO","https://www.uschamber.com/series/above-the-fold/small-businesses-love-tax-reform-and-are-bullish-the-economy","","","","","","","",NA,"x85606078","USChamber","en","","","","","","","","","","","","",""
"x968974090403921920","2018-02-28 22:20:00","x237312687","RepBillFlores","Great to see that consumer confidence has reached 17-year high  https://t.co/B9IFiSKAs5","TweetDeck","","","",FALSE,FALSE,0,3,"",NA,"abcnews.go.com/Business/wireS…","https://t.co/B9IFiSKAs5","http://abcnews.go.com/Business/wireStory/us-consumer-confidence-rises-highest-level-february-53387708","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x968873009758031872","2018-02-28 15:38:20","x237312687","RepBillFlores","Today, I will be paying my respects to the late Rev. Billy Graham, who will lie in honor in the U.S. Capitol Rotunda. Live coverage of the service can be watched at https://t.co/XD7Hw0GssA https://t.co/9ivuGIkZw0","TweetDeck","","","",FALSE,FALSE,7,3,"",NA,"speaker.gov/live","https://t.co/XD7Hw0GssA","https://www.speaker.gov/live","http://pbs.twimg.com/media/DXIgxxwW4AAENRv.jpg","https://t.co/9ivuGIkZw0","https://twitter.com/RepBillFlores/status/968873009758031872/photo/1","photo","http://pbs.twimg.com/media/DXIgxxwW4AAENRv.jpg","https://t.co/9ivuGIkZw0","https://twitter.com/RepBillFlores/status/968873009758031872/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x968840711708831746","2018-02-28 13:30:00","x237312687","RepBillFlores","I am about to call in to @WTAW1620 to give a Washington update. Tune in or listen online https://t.co/IfCKrElin8","TweetDeck","","","",FALSE,FALSE,2,3,"",NA,"wtaw.com","https://t.co/IfCKrElin8","http://wtaw.com/","","","","","","","",NA,"x71686836","WTAW1620","en","","","","","","","","","","","","",""
"x968820578936377344","2018-02-28 12:10:00","x237312687","RepBillFlores","I am about to give a Washington update on @kwtx News Ten This Morning. Tune in or watch online https://t.co/dSKevfvZiV","TweetDeck","","","",FALSE,FALSE,2,2,"",NA,"kwtx.com/livestream","https://t.co/dSKevfvZiV","http://www.kwtx.com/livestream","","","","","","","",NA,"x12469012","kwtx","en","","","","","","","","","","","","",""
"x968631331499532288","2018-02-27 23:38:00","x237312687","RepBillFlores","Hardworking Central Texas families are seeing the positive benefits from the #TaxCutsandJobsAct – bigger paychecks, more jobs and fairer taxes.  https://t.co/mqXEvMNdPZ","TweetDeck","","","",FALSE,FALSE,3,1,"TaxCutsandJobsAct",NA,"youtu.be/qzaN_-tIhps","https://t.co/mqXEvMNdPZ","https://youtu.be/qzaN_-tIhps","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x968307095610314754","2018-02-27 02:09:36","x237312687","RepBillFlores","In TX-17 a typical working-class family of four will see a tax cut of $1,885. This much-welcomed influx of cash helps Central Texans have a chance to save and get ahead. #TaxCutsandJobsAct","TweetDeck","","","",FALSE,FALSE,11,7,"TaxCutsandJobsAct",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
