"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970701252018524161","2018-03-05 16:43:07","x2966765501","RepJohnKatko","Following the horrific shooting in Florida, I met with @WestGeneseeCSD students and @cbrownwgcsd for a discussion on school safety. I’m committed to finding bipartisan reforms in Congress and appreciate their input. https://t.co/pUPsQwxEbF","Twitter Web Client","","","",FALSE,FALSE,10,4,"",NA,"","","","http://pbs.twimg.com/media/DXifjX1WAAA_TRp.jpg","https://t.co/pUPsQwxEbF","https://twitter.com/RepJohnKatko/status/970701252018524161/photo/1","photo","http://pbs.twimg.com/media/DXifjX1WAAA_TRp.jpg http://pbs.twimg.com/media/DXifjXVXUAYJa3x.jpg","https://t.co/pUPsQwxEbF https://t.co/pUPsQwxEbF","https://twitter.com/RepJohnKatko/status/970701252018524161/photo/1 https://twitter.com/RepJohnKatko/status/970701252018524161/photo/1",NA,"x122543458 45899918","WestGeneseeCSD cbrownwgcsd","en","","","","","https://api.twitter.com/1.1/geo/id/203d7ab134b08f50.json","Camillus","Camillus, NY","city","United States","US","","","-76.345548 -76.265149 -76.265149 -76.345548 43.012064 43.012064 43.069908 43.069908"
"x969610245071925248","2018-03-02 16:27:51","x2966765501","RepJohnKatko","Glad to celebrate Recess Coffee &amp; Roastery's success today. @RecessCo was one of several local #CNY small businesses that recently completed the @SBAgov Emerging Leaders Program, which helps connect local entrepreneurs with the support they need to thrive in our community. https://t.co/NxR5RWNnR3","Twitter Web Client","","","",FALSE,FALSE,9,4,"CNY",NA,"","","","http://pbs.twimg.com/media/DXS-qMhWkAYhf11.jpg","https://t.co/NxR5RWNnR3","https://twitter.com/RepJohnKatko/status/969610245071925248/photo/1","photo","http://pbs.twimg.com/media/DXS-qMhWkAYhf11.jpg http://pbs.twimg.com/media/DXS-qMhWAAE7ftt.jpg http://pbs.twimg.com/media/DXS-qMkW4AAWrCZ.jpg","https://t.co/NxR5RWNnR3 https://t.co/NxR5RWNnR3 https://t.co/NxR5RWNnR3","https://twitter.com/RepJohnKatko/status/969610245071925248/photo/1 https://twitter.com/RepJohnKatko/status/969610245071925248/photo/1 https://twitter.com/RepJohnKatko/status/969610245071925248/photo/1",NA,"x119429440 153149305","RecessCo SBAgov","en","","","","","https://api.twitter.com/1.1/geo/id/138181506c13418e.json","Syracuse","Syracuse, NY","city","United States","US","","","-76.204476 -76.053145 -76.053145 -76.204476 42.984026 42.984026 43.121188 43.121188"
"x969264801816940544","2018-03-01 17:35:11","x2966765501","RepJohnKatko","Syracuse Police Chief Fowler traveled to DC this week to urge support for legislation I’ve introduced to combat the synthetic drug epidemic. Check out what he had to say on the difficulties law enforcement face trying to get these drugs off the streets --&gt; https://t.co/drmx1lEd0p","Twitter Web Client","","","",FALSE,FALSE,6,4,"",NA,"bit.ly/2FchAh4","https://t.co/drmx1lEd0p","http://bit.ly/2FchAh4","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x968915707965722624","2018-02-28 18:28:01","x2966765501","RepJohnKatko","Human trafficking is a modern-day version of slavery, and sadly, exists in many of our communities. In CNY, organizations like @mcmahonryancac and @VeraHouseInc work tirelessly to protect victims and end these crimes. I am proud to have supported H.R. 1865 https://t.co/ScpRYK1vfv","Twitter Web Client","","","",FALSE,FALSE,6,4,"",NA,"bit.ly/2taExfR","https://t.co/ScpRYK1vfv","http://bit.ly/2taExfR","","","","","","","",NA,"x710100526424334336 1311309108","mcmahonryancac VeraHouseInc","en","","","","","","","","","","","","",""
"x965978757722001409","2018-02-20 15:57:37","x2966765501","RepJohnKatko","I presented two LaFayette women, Kelli Maher and Jackie Bush Roorda, with copies of a Statement for the Congressional Record that I submitted in their honor. Both women donated their kidneys to complete strangers after learning that they could not donate to a friend in need. https://t.co/mMcmXJdglc","Twitter Web Client","","","",FALSE,FALSE,13,4,"",NA,"","","","http://pbs.twimg.com/media/DWfYVLpW0AEIAxC.jpg","https://t.co/mMcmXJdglc","https://twitter.com/RepJohnKatko/status/965978757722001409/photo/1","photo","http://pbs.twimg.com/media/DWfYVLpW0AEIAxC.jpg http://pbs.twimg.com/media/DWfYVPHX0AEZ5L0.jpg http://pbs.twimg.com/media/DWfYVNtW4AAOfy_.jpg http://pbs.twimg.com/media/DWfYVSPXkAE9lHT.jpg","https://t.co/mMcmXJdglc https://t.co/mMcmXJdglc https://t.co/mMcmXJdglc https://t.co/mMcmXJdglc","https://twitter.com/RepJohnKatko/status/965978757722001409/photo/1 https://twitter.com/RepJohnKatko/status/965978757722001409/photo/1 https://twitter.com/RepJohnKatko/status/965978757722001409/photo/1 https://twitter.com/RepJohnKatko/status/965978757722001409/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x964524738369478657","2018-02-16 15:39:52","x2966765501","RepJohnKatko","Great talking with Dan Sieburg about what we can do to help those who live in poverty in our community. Last November, Dan was named the new CEO of the @RescueMission of Syracuse, and is leading their continued efforts to fight hunger and end homelessness in Syracuse and CNY https://t.co/u9xDtAfUAH","Twitter Web Client","","","",FALSE,FALSE,11,4,"",NA,"","","","http://pbs.twimg.com/media/DWKseS6X4AAfOTh.jpg","https://t.co/u9xDtAfUAH","https://twitter.com/RepJohnKatko/status/964524738369478657/photo/1","photo","http://pbs.twimg.com/media/DWKseS6X4AAfOTh.jpg","https://t.co/u9xDtAfUAH","https://twitter.com/RepJohnKatko/status/964524738369478657/photo/1",NA,"x508875685","RescueMission","en","","","","","https://api.twitter.com/1.1/geo/id/138181506c13418e.json","Syracuse","Syracuse, NY","city","United States","US","","","-76.204476 -76.053145 -76.053145 -76.204476 42.984026 42.984026 43.121188 43.121188"
"x963946828155760640","2018-02-15 01:23:27","x2966765501","RepJohnKatko","I'm heartbroken by the fatal and senseless shooting in Parkland, Florida this afternoon.  My thoughts are with all of the victims, their families, and the first responders in the aftermath of this tragedy.","Twitter for iPhone","","","",FALSE,FALSE,27,6,"",NA,"","","","","","","","","","",NA,"","","en","","","","","https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US","","","-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x963844682999529473","2018-02-14 18:37:34","x2966765501","RepJohnKatko","Israeli Dep. Consul Amir Sagie of @IsraelinNewYork recently met with CNY leaders to discuss the state of US-Israeli relations, and CNY priorities including improving access to higher ed, helping non-profits &amp; creating quality jobs https://t.co/Gd28gGdl5S","Twitter Web Client","","","",FALSE,FALSE,9,4,"",NA,"","","","http://pbs.twimg.com/media/DWBC3E9XkAETP-K.jpg","https://t.co/Gd28gGdl5S","https://twitter.com/RepJohnKatko/status/963844682999529473/photo/1","photo","http://pbs.twimg.com/media/DWBC3E9XkAETP-K.jpg http://pbs.twimg.com/media/DWBC3FgW4AENRED.jpg","https://t.co/Gd28gGdl5S https://t.co/Gd28gGdl5S","https://twitter.com/RepJohnKatko/status/963844682999529473/photo/1 https://twitter.com/RepJohnKatko/status/963844682999529473/photo/1",NA,"x17814635","IsraelinNewYork","en","","","","","https://api.twitter.com/1.1/geo/id/138181506c13418e.json","Syracuse","Syracuse, NY","city","United States","US","","","-76.204476 -76.053145 -76.053145 -76.204476 42.984026 42.984026 43.121188 43.121188"
"x963529693751382019","2018-02-13 21:45:55","x2966765501","RepJohnKatko","Yesterday I was able to visit Ichor Therapeutics with LaFayette Town Supervisor Daniel Fitzpatrick and talk about what elected representatives can do at the local and federal level to bring tech, research, and startup businesses into small towns throughout Central New York. https://t.co/PdkAsNL0J6","Twitter Web Client","","","",FALSE,FALSE,2,3,"",NA,"","","","http://pbs.twimg.com/media/DV8lAkFX4AA0rV6.jpg","https://t.co/PdkAsNL0J6","https://twitter.com/RepJohnKatko/status/963529693751382019/photo/1","photo","http://pbs.twimg.com/media/DV8lAkFX4AA0rV6.jpg","https://t.co/PdkAsNL0J6","https://twitter.com/RepJohnKatko/status/963529693751382019/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x962044579686961155","2018-02-09 19:24:36","x2966765501","RepJohnKatko","The Bipartisan Budget Act will provide @oswegohealth with $1.4 million in stable funding to provide care --&gt; https://t.co/ebvqaN06EI","TweetDeck","","","",FALSE,FALSE,3,7,"",NA,"bit.ly/2sk3THB","https://t.co/ebvqaN06EI","http://bit.ly/2sk3THB","","","","","","","",NA,"x155034422","oswegohealth","en","","","","","","","","","","","","",""
