"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970806896780283904","2018-03-05 23:42:55","x2964287128","RepRickAllen","#GA12 REMINDER - My staff will be in Coffee and Jeff Davis counties tomorrow for Community Office Hours.

For the full list of dates and locations please click here → https://t.co/jv6TPltt37. https://t.co/A2BQOHtPvx","Twitter Web Client","","","",FALSE,FALSE,0,1,"GA12",NA,"bit.ly/2s0iFkN","https://t.co/jv6TPltt37","http://bit.ly/2s0iFkN","http://pbs.twimg.com/media/DXj_sknWAAUxWWW.png","https://t.co/A2BQOHtPvx","https://twitter.com/RepRickAllen/status/970806896780283904/photo/1","photo","http://pbs.twimg.com/media/DXj_sknWAAUxWWW.png","https://t.co/A2BQOHtPvx","https://twitter.com/RepRickAllen/status/970806896780283904/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x970710913178324992","2018-03-05 17:21:31","x2964287128","RepRickAllen","Yesterday I was able to attend the 17th Annual Empty Bowl Luncheon hosted by the Augusta Jewish Community Center and @ghfbEndHunger. Thanks for having me! https://t.co/oqGRmnVdyI","Twitter Web Client","","","",FALSE,FALSE,5,3,"",NA,"","","","http://pbs.twimg.com/media/DXioDmgWAAIMfn4.jpg","https://t.co/oqGRmnVdyI","https://twitter.com/RepRickAllen/status/970710913178324992/photo/1","photo","http://pbs.twimg.com/media/DXioDmgWAAIMfn4.jpg http://pbs.twimg.com/media/DXioEfEWAAEHVaJ.jpg","https://t.co/oqGRmnVdyI https://t.co/oqGRmnVdyI","https://twitter.com/RepRickAllen/status/970710913178324992/photo/1 https://twitter.com/RepRickAllen/status/970710913178324992/photo/1",NA,"x143840190","ghfbEndHunger","en","","","","","","","","","","","","",""
"x969676516329250816","2018-03-02 20:51:11","x2964287128","RepRickAllen","Take a look at my e-newsletter to see what I did this week in Washington → https://t.co/dLZfZSwXXX https://t.co/FkfT14OKi4","Twitter Web Client","","","",FALSE,FALSE,3,3,"",NA,"bit.ly/2I15Yfo","https://t.co/dLZfZSwXXX","http://bit.ly/2I15Yfo","http://pbs.twimg.com/ext_tw_video_thumb/969676348896743424/pu/img/Cc74QQ_R0X-iUqzG.jpg","https://t.co/FkfT14OKi4","https://twitter.com/RepRickAllen/status/969676516329250816/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/969676348896743424/pu/img/Cc74QQ_R0X-iUqzG.jpg","https://t.co/FkfT14OKi4","https://twitter.com/RepRickAllen/status/969676516329250816/video/1",NA,"","","en","","","","","","","","","","","","",""
"x969319693721964545","2018-03-01 21:13:18","x2964287128","RepRickAllen","#GA12 REMINDER - My staff will be in Treutlen, Montgomery, and Wheeler counties tomorrow for Community Office Hours.

For the full list of dates and locations please click here → https://t.co/jv6TPltt37. https://t.co/l8eQeFbp5l","Twitter Web Client","","","",FALSE,FALSE,0,2,"GA12",NA,"bit.ly/2s0iFkN","https://t.co/jv6TPltt37","http://bit.ly/2s0iFkN","http://pbs.twimg.com/media/DXO24lLW0AEk-N5.png","https://t.co/l8eQeFbp5l","https://twitter.com/RepRickAllen/status/969319693721964545/photo/1","photo","http://pbs.twimg.com/media/DXO24lLW0AEk-N5.png","https://t.co/l8eQeFbp5l","https://twitter.com/RepRickAllen/status/969319693721964545/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x968975944215158786","2018-02-28 22:27:22","x2964287128","RepRickAllen","#GA12 REMINDER - My staff will be holding community office hours across the district in March. Tomorrow they will be available in Burke, Effingham, Columbia, and Screven counties.

For the full list of dates and locations please click here → https://t.co/jv6TPltt37. https://t.co/1w6bLd2lEX","Twitter Web Client","","","",FALSE,FALSE,1,3,"GA12",NA,"bit.ly/2s0iFkN","https://t.co/jv6TPltt37","http://bit.ly/2s0iFkN","http://pbs.twimg.com/media/DXJ-XLoWAAYv2CG.png","https://t.co/1w6bLd2lEX","https://twitter.com/RepRickAllen/status/968975944215158786/photo/1","photo","http://pbs.twimg.com/media/DXJ-XLoWAAYv2CG.png","https://t.co/1w6bLd2lEX","https://twitter.com/RepRickAllen/status/968975944215158786/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x968916935252545536","2018-02-28 18:32:53","x2964287128","RepRickAllen","I joined my colleagues today in the U.S. Capitol Rotunda to honor the life of the late Rev. Billy Graham. To lie in honor at the U.S. Capitol is a tremendous tribute to Rev. Graham’s legacy and his devout faith that he spread across the world. https://t.co/ySmOn3AzDr","Twitter for iPhone","","","",FALSE,FALSE,34,9,"",NA,"","","","http://pbs.twimg.com/media/DXJI0OlW4AASpt_.jpg","https://t.co/ySmOn3AzDr","https://twitter.com/RepRickAllen/status/968916935252545536/photo/1","photo","http://pbs.twimg.com/media/DXJI0OlW4AASpt_.jpg","https://t.co/ySmOn3AzDr","https://twitter.com/RepRickAllen/status/968916935252545536/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x968879924181422080","2018-02-28 16:05:49","x2964287128","RepRickAllen","LIVE NOW: Arrival ceremony for the late Reverend Billy Graham to lie in honor at the U.S. Capitol Rotunda.
https://t.co/3jpkmdCM8j","Twitter Web Client","","","",FALSE,FALSE,3,2,"",NA,"speaker.gov/live","https://t.co/3jpkmdCM8j","https://www.speaker.gov/live","","","","","","","",NA,"","","en","","","","","","","","","","","","",""
"x968584533292527616","2018-02-27 20:32:02","x2964287128","RepRickAllen","Today I spoke on the House floor to honor the life of Rev. Billy Graham. Known as ""America's Pastor,"" Rev. Graham will forever be remembered for truly living God’s word. Tomorrow he will lie in honor at the Capitol Rotunda - a tremendous tribute to his life and legacy. https://t.co/v3KNTxEdfh","Twitter Web Client","","","",FALSE,FALSE,63,15,"",NA,"","","","http://pbs.twimg.com/ext_tw_video_thumb/968584332020539393/pu/img/ZCwSCht91uHUnML7.jpg","https://t.co/v3KNTxEdfh","https://twitter.com/RepRickAllen/status/968584533292527616/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/968584332020539393/pu/img/ZCwSCht91uHUnML7.jpg","https://t.co/v3KNTxEdfh","https://twitter.com/RepRickAllen/status/968584533292527616/video/1",NA,"","","en","","","","","","","","","","","","",""
"x968505037075951616","2018-02-27 15:16:09","x2964287128","RepRickAllen","The deadline for Summer Internship applications is quickly approaching. For anyone interested, please submit an application at https://t.co/sFNqjwQV7K. https://t.co/hJ2krUOLrq","Twitter Web Client","","","",FALSE,FALSE,3,3,"",NA,"allen.house.gov/forms/internsh…","https://t.co/sFNqjwQV7K","https://allen.house.gov/forms/internships/","http://pbs.twimg.com/media/DXDSBk-X4AAPi-c.png","https://t.co/hJ2krUOLrq","https://twitter.com/RepRickAllen/status/968505037075951616/photo/1","photo","http://pbs.twimg.com/media/DXDSBk-X4AAPi-c.png","https://t.co/hJ2krUOLrq","https://twitter.com/RepRickAllen/status/968505037075951616/photo/1",NA,"","","en","","","","","","","","","","","","",""
"x967172906328485890","2018-02-23 23:02:44","x2964287128","RepRickAllen","Take a look at my e-newsletter to see what I did this week in the district → https://t.co/DrQUQk78XM https://t.co/Ouj9wQuSvt","Twitter Web Client","","","",FALSE,FALSE,4,3,"",NA,"bit.ly/2onbil8","https://t.co/DrQUQk78XM","http://bit.ly/2onbil8","http://pbs.twimg.com/ext_tw_video_thumb/967172693010329600/pu/img/TUJ_z_QzeIoenNfr.jpg","https://t.co/Ouj9wQuSvt","https://twitter.com/RepRickAllen/status/967172906328485890/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/967172693010329600/pu/img/TUJ_z_QzeIoenNfr.jpg","https://t.co/Ouj9wQuSvt","https://twitter.com/RepRickAllen/status/967172906328485890/video/1",NA,"","","en","","","","","","","","","","","","",""
