"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x969244889195061248","2018-03-01 16:16:03","x831483464","RepRohrabacher","Why I voted no on H.R. 1865 https://t.co/oW98wpUlbm","dlvr.it","","","",FALSE,FALSE,5,1,"",NA,"dlvr.it/QJKqRL","https://t.co/oW98wpUlbm","http://dlvr.it/QJKqRL","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x968910269064892416","2018-02-28 18:06:24","x831483464","RepRohrabacher","My thoughts on @12StrongMovie in an Op-Ed in the @TheNatlInterest. It is a great movie that captures the nature of the conflict in Afghanistan and leadership of my friend, Gen. Abdul Rashid Dostum. https://t.co/KliKWwV0s0","Twitter Web Client","","","",FALSE,FALSE,8,5,"",NA,"nationalinterest.org/feature/what-1…","https://t.co/KliKWwV0s0","http://nationalinterest.org/feature/what-12-strong-tells-us-about-afghanistan-24675","","","","","","","",NA,"x913532757690552320 152311372","12StrongMovie TheNatlInterest","en","","","","","https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",NA,NA,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x968480900844572672","2018-02-27 13:40:14","x831483464","RepRohrabacher","Join me tonight for a Facebook Live town hall where I’ll answer questions from my constituents and give an update from Washington. Join my event by visiting my Facebook page: https://t.co/jzGh9HVe8a. I hope you can join me!","Twitter for iPhone","","","",FALSE,FALSE,3,6,"",NA,"facebook.com/events/3046678…","https://t.co/jzGh9HVe8a","https://www.facebook.com/events/304667820058049/?ti=icl","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x967162573744431106","2018-02-23 22:21:41","x831483464","RepRohrabacher","Excited for the future of @NAICobservatory, currently run by @NSF, as it continues to advance science under a consortium led by @UCF.  Arecibo is part of @NASA’s Near-Earth Object Observation program, helping track the orbits of asteroids that potentially threaten our Earth.","Twitter for iPhone","","","",FALSE,FALSE,11,4,"",NA,"","","","","","","","","","",NA,"x468701593 16245822 18999501 11348282","NAICobservatory NSF UCF NASA","en","","","","","","","","","","",NA,NA,""
"x966804908589682688","2018-02-22 22:40:27","x831483464","RepRohrabacher","Lists of history’s most influential figures tend to have persons of great power. We often overlook those who brought spiritual light to the world – the most authentic power of all. Our world will miss @BillyGraham and his leadership in spreading the Gospel of Christ.","Twitter Web Client","","","",FALSE,FALSE,12,5,"",NA,"","","","","","","","","","",NA,"x16570573","BillyGraham","en","","","","","https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",NA,NA,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x964640925799477248","2018-02-16 23:21:33","x831483464","RepRohrabacher","Rohrabacher: Indictment Means ‘Collusion’ Theory Will Collapse https://t.co/ZgeXhhUFR5","dlvr.it","","","",FALSE,FALSE,14,12,"",NA,"dlvr.it/QGgnzC","https://t.co/ZgeXhhUFR5","http://dlvr.it/QGgnzC","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x964634009434238976","2018-02-16 22:54:04","x831483464","RepRohrabacher","My statement on the indictment of Russian nationals alleged to have meddled in the 2016 U.S. presidential election: https://t.co/vBirZcGvpJ","Twitter Web Client","","","",FALSE,FALSE,9,7,"",NA,"rohrabacher.house.gov/media-center/p…","https://t.co/vBirZcGvpJ","https://rohrabacher.house.gov/media-center/press-releases/rohrabacher-indictment-means-collusion-theory-will-collapse","","","","","","","",NA,"","","en","","","","","https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",NA,NA,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x962417804233379840","2018-02-10 20:07:40","x831483464","RepRohrabacher","People are still talking about the amazing Falcon Heavy launch earlier this week, and what it means for America.  Private enterprise is rocket fuel for improving peoples lives. Great piece by @kevinnr https://t.co/QiZtly0b7w","Twitter for iPhone","","","",FALSE,FALSE,108,30,"",NA,"amp.nationalreview.com/corner/456273/…","https://t.co/QiZtly0b7w","http://amp.nationalreview.com/corner/456273/elon-musk-falcon-heavy-recall-early-days-space-exploration?__twitter_impression=true","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x962038151169458178","2018-02-09 18:59:03","x831483464","RepRohrabacher","Rohrabacher: Spending Bill ‘Both Bad Policy and Bad Procedure’ https://t.co/SfYgaCelE2","dlvr.it","","","",FALSE,FALSE,12,4,"",NA,"dlvr.it/QFjtfW","https://t.co/SfYgaCelE2","http://dlvr.it/QFjtfW","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x962032984428748800","2018-02-09 18:38:31","x831483464","RepRohrabacher","My statement on passage of the Bipartisan Budget Act of 2018: https://t.co/nimW0z1VSY","Twitter for iPhone","","","",FALSE,FALSE,4,3,"",NA,"rohrabacher.house.gov/media-center/p…","https://t.co/nimW0z1VSY","https://rohrabacher.house.gov/media-center/press-releases/rohrabacher-spending-bill-both-bad-policy-and-bad-procedure","","","","","","","",NA,"","","en","","","","","https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json","Manhattan","Manhattan, NY","city","United States","US",NA,NA,"-74.026675 -73.910408 -73.910408 -74.026675 40.683935 40.683935 40.877483 40.877483"
"x960988787756191745","2018-02-06 21:29:15","x831483464","RepRohrabacher","Congrats to @SpaceX on Falcon Heavy success. This is exactly the revolution we hoped to spur when, as Chair of the Space Subcommittee, I led the charge to update our laws. We have come so far. Thanks to my friend @elonmusk for constantly pushing the limits of the frontier.","Twitter Web Client","","","",FALSE,FALSE,13,6,"",NA,"","","","","","","","","","",NA,"x34743251 44196397","SpaceX elonmusk","en","","","","","https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",NA,NA,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
"x960960986692964354","2018-02-06 19:38:47","x831483464","RepRohrabacher","Happy birthday to my former boss, President Ronald Reagan. I served as a speechwriter and special assistant to Reagan prior to my election to Congress. He lived his entire life as a champion for America and Freedom, and I am grateful for him today. https://t.co/Uwfzitkfvs","Twitter for iPhone","","","",FALSE,FALSE,26,7,"",NA,"","","","http://pbs.twimg.com/media/DVYE7CQW0AY8ydO.jpg","https://t.co/Uwfzitkfvs","https://twitter.com/RepRohrabacher/status/960960986692964354/photo/1","photo","http://pbs.twimg.com/media/DVYE7CQW0AY8ydO.jpg","https://t.co/Uwfzitkfvs","https://twitter.com/RepRohrabacher/status/960960986692964354/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x959515526388056064","2018-02-02 19:55:03","x831483464","RepRohrabacher","Rohrabacher: Memo Debunks Conspiracy Theory, Exposes a Real Plot https://t.co/p6V25uhbQp","dlvr.it","","","",FALSE,FALSE,15,9,"",NA,"dlvr.it/QDm5CH","https://t.co/p6V25uhbQp","http://dlvr.it/QDm5CH","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x959508508633911297","2018-02-02 19:27:09","x831483464","RepRohrabacher","My statement on the release of the @HouseIntelComm memo, which shows conduct by the previous administration dwarfs Watergate by comparison. Thank you @POTUS for declassifying the information and @RepDevinNunes for your work on behalf of the American people. #memoday #FISAMemo https://t.co/KGWN67c0os","Twitter Web Client","","","",FALSE,FALSE,22,14,"memoday FISAMemo",NA,"","","","http://pbs.twimg.com/media/DVDaT7FX0AIMctX.jpg","https://t.co/KGWN67c0os","https://twitter.com/RepRohrabacher/status/959508508633911297/photo/1","photo","http://pbs.twimg.com/media/DVDaT7FX0AIMctX.jpg","https://t.co/KGWN67c0os","https://twitter.com/RepRohrabacher/status/959508508633911297/photo/1",NA,"x551195347 822215679726100480 344972339","HouseIntelComm POTUS RepDevinNunes","en","","","","","https://api.twitter.com/1.1/geo/id/01fbe706f872cb32.json","Washington","Washington, DC","city","United States","US",NA,NA,"-77.119401 -76.909396 -76.909396 -77.119401 38.801826 38.801826 38.9953797 38.9953797"
