"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970746021872533505","2018-03-05 19:41:01","x21406834","SenMarkey","All content is created equal. Putting corporations in control of what you see on the internet undermines freedom of speech, freedom of expression and our #digitalcivilrights. #NetNeutrality ensures that the internet remains free, open and democratic.

#OneMoreVote https://t.co/xdvrfrvkCs","Twitter Web Client","","","",FALSE,FALSE,36,24,"digitalcivilrights NetNeutrality OneMoreVote",NA,"","","","http://pbs.twimg.com/tweet_video_thumb/DXjIRmmXUAMdb7P.jpg","https://t.co/xdvrfrvkCs","https://twitter.com/SenMarkey/status/970746021872533505/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/DXjIRmmXUAMdb7P.jpg","https://t.co/xdvrfrvkCs","https://twitter.com/SenMarkey/status/970746021872533505/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970732739656863745","2018-03-05 18:48:15","x21406834","SenMarkey","As of today, over 1,200 Dreamers a day will lose their work permits and be subject to detention and deportation. We have a moral duty to address the humanitarian crisis @realDonaldTrump created by ending the #DACA program. #ProtectDreamers","Twitter Web Client","","","",FALSE,FALSE,82,52,"DACA ProtectDreamers",NA,"","","","","","","","","","",NA,"x25073877","realDonaldTrump","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970720000280547328","2018-03-05 17:57:37","x21406834","SenMarkey","No.

https://t.co/cDrbleQtzr","Twitter Web Client","","","",FALSE,FALSE,78,14,"",NA,"salon.com/2018/03/05/sho…","https://t.co/cDrbleQtzr","https://www.salon.com/2018/03/05/should-the-president-have-sole-authority-to-launch-a-nuclear-attack_partner/","","","","","","","",NA,"","","und","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970705687897616389","2018-03-05 17:00:45","x21406834","SenMarkey","The teachers strike in West Virginia is an extremely important moment. 

Maybe if we refer to it as “economic anxiety in Trump country” it will start getting the news coverage it deserves.","Twitter for iPhone","","","",FALSE,FALSE,373,148,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970664528651407362","2018-03-05 14:17:12","x21406834","SenMarkey","Teachers do one of the hardest &amp; most important jobs in the world. They are underpaid &amp; underappreciated. They might soon be told they have to defend their classrooms with guns. The least we can do is stand in solidarity with them as they fight for a 5% raise in West Virginia.","Twitter for iPhone","","","",FALSE,FALSE,407,102,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969651580533379072","2018-03-02 19:12:06","x21406834","SenMarkey","The #OpioidCrisis is the gravest public health crisis facing our nation. It deserves a real commitment to resources and action. @realDonaldTrump keeps holding dog-and-pony shows when he should be working with Congress to expand access to treatment. 

https://t.co/MP2WxxeOke","Twitter Web Client","","","",FALSE,FALSE,60,36,"OpioidCrisis",NA,"bostonglobe.com/news/nation/20…","https://t.co/MP2WxxeOke","https://www.bostonglobe.com/news/nation/2018/03/01/trump-keeps-talking-about-opioids-but-critics-want-action/i8JnuzmwrJKJEpbAaj9pZM/story.html","","","","","","","",NA,"x25073877","realDonaldTrump","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969622129636466688","2018-03-02 17:15:05","x21406834","SenMarkey","America spends less than $0.01 on gun violence research per life lost. Not only are we failing to pass gun safety laws, we are barely even studying what is causing gun violence. Let's pass my legislation that gives the CDC $60M for gun violence research.
https://t.co/fVb0TNtw52","Twitter Web Client","","","",FALSE,FALSE,395,164,"",NA,"washingtonpost.com/blogs/plum-lin…","https://t.co/fVb0TNtw52","https://www.washingtonpost.com/blogs/plum-line/wp/2018/03/02/this-major-new-report-on-gun-deaths-should-shock-and-anger-us-all/?utm_term=.ac4cdf9a464e","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969613200831533056","2018-03-02 16:39:36","x21406834","SenMarkey","Let’s see who believes preventing mass shootings is more important than profit.

I asked these retailers to commit to prohibiting the sale of assault-style rifles &amp; raising the age for firearms sales to 21

@Academy
@BassProShops
@Big5Since55
@DunhamsSports
@Scheels
@SportsmansWH https://t.co/kUaeDi5Nsb","Twitter Web Client","","","",FALSE,FALSE,122,49,"",NA,"","","","http://pbs.twimg.com/media/DXTB1fwWAAMTbZr.jpg","https://t.co/kUaeDi5Nsb","https://twitter.com/SenMarkey/status/969613200831533056/photo/1","photo","http://pbs.twimg.com/media/DXTB1fwWAAMTbZr.jpg http://pbs.twimg.com/media/DXTB20XW0AEDNaU.jpg","https://t.co/kUaeDi5Nsb https://t.co/kUaeDi5Nsb","https://twitter.com/SenMarkey/status/969613200831533056/photo/1 https://twitter.com/SenMarkey/status/969613200831533056/photo/1",NA,"x95520415 22695018 182089054 38717272 15777512 570321375","Academy BassProShops big5since55 DunhamsSports SCHEELS SportsmansWH","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969349511855435776","2018-03-01 23:11:47","x21406834","SenMarkey","Our two nations were lucky to live through the escalatory rhetoric and resulting #nuclear arms race of the Cold War. We should not repeat the mistakes of the past. I call on both the United States and Russia to de-escalate the nuclear rhetoric.

https://t.co/H4ytE1lIla","Twitter Web Client","","","",FALSE,FALSE,97,26,"nuclear",NA,"washingtonpost.com/world/europe/p…","https://t.co/H4ytE1lIla","https://www.washingtonpost.com/world/europe/putin-claims-russia-has-nuclear-arsenal-capable-of-avoiding-missile-defenses/2018/03/01/d2dcf522-1d3b-11e8-b2d9-08e748f892c0_story.html?utm_term=.2dd6ccc2fc87","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x969332081884049408","2018-03-01 22:02:32","x21406834","SenMarkey","Dear @EPAScottPruitt,

███████ change is real. Global ███████ is not a hoax. It should not be censored.

I █████ you.  

Your committed ████████,

Ed Markey

https://t.co/X10sRGOUkE","Twitter Web Client","","","",FALSE,FALSE,590,317,"",NA,"time.com/5075265/epa-we…","https://t.co/X10sRGOUkE","http://time.com/5075265/epa-website-climate-change-censorship","","","","","","","",NA,"x832672006113931269","EPAScottPruitt","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
