"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x833490424593526784","2017-02-20 01:36:17","x142332083","RonJohnsonWI","Had a great time at the St. Croix and Polk Co. Lincoln Day Dinner Saturday #wiright https://t.co/32VHQK03Ar","Hootsuite","","","",FALSE,FALSE,19,8,"wiright",NA,"","","","http://pbs.twimg.com/media/C5EnHzoUkAAqJzN.jpg","https://t.co/32VHQK03Ar","https://twitter.com/RonJohnsonWI/status/833490424593526784/photo/1","photo","http://pbs.twimg.com/media/C5EnHzoUkAAqJzN.jpg","https://t.co/32VHQK03Ar","https://twitter.com/RonJohnsonWI/status/833490424593526784/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x827925786078371840","2017-02-04 17:04:24","x142332083","RonJohnsonWI","Great Saturday morning in Green Bay with @MikeforWI and @wisgop! https://t.co/FgXAISgNwn","Hootsuite","","","",FALSE,FALSE,19,10,"",NA,"","","","http://pbs.twimg.com/media/C31iHJyXUAAly0-.jpg","https://t.co/FgXAISgNwn","https://twitter.com/RonJohnsonWI/status/827925786078371840/photo/1","photo","http://pbs.twimg.com/media/C31iHJyXUAAly0-.jpg","https://t.co/FgXAISgNwn","https://twitter.com/RonJohnsonWI/status/827925786078371840/photo/1",NA,"x1558285818 15182074","MikeforWI wisgop","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x801563480511934464","2016-11-23 23:10:00","x142332083","RonJohnsonWI",".@wisgop best-in-the-nation ground game helped power Ron's stunning upset #WISen https://t.co/ZkC6uc8L2O","Buffer","","","",FALSE,FALSE,15,9,"WISen",NA,"buff.ly/2ghtERF","https://t.co/ZkC6uc8L2O","http://buff.ly/2ghtERF","","","","","","","",NA,"x15182074","wisgop","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x801531525351243776","2016-11-23 21:03:02","x142332083","RonJohnsonWI","Wisconsin Republicans’ best-in-the-nation ground game helped power Ron Johnson’s stunning upset and historic victory https://t.co/QPUqjEXfiA","Buffer","","","",FALSE,FALSE,33,14,"",NA,"buff.ly/2g49CXO","https://t.co/QPUqjEXfiA","http://buff.ly/2g49CXO","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x801485972559003648","2016-11-23 18:02:01","x142332083","RonJohnsonWI","In Case You Missed It: Wisconsin Republicans’ ground game helped power Ron Johnson upset #WISen https://t.co/6bUgmEGu8d","Buffer","","","",FALSE,FALSE,7,2,"WISen",NA,"buff.ly/2f7aBcY","https://t.co/6bUgmEGu8d","http://buff.ly/2f7aBcY","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x800511449781112833","2016-11-21 01:29:37","x142332083","RonJohnsonWI","Ready for the @packers to take on some Washington dysfunction! #GoPackGo #GBvsWAS https://t.co/4bGyFNpU7w","Twitter for iPhone","","","",FALSE,FALSE,13,6,"GoPackGo GBvsWAS",NA,"","","","http://pbs.twimg.com/media/Cxv86S0UcAAUBAa.jpg","https://t.co/4bGyFNpU7w","https://twitter.com/RonJohnsonWI/status/800511449781112833/photo/1","photo","http://pbs.twimg.com/media/Cxv86S0UcAAUBAa.jpg","https://t.co/4bGyFNpU7w","https://twitter.com/RonJohnsonWI/status/800511449781112833/photo/1",NA,"x35865630","packers","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x799050444148449281","2016-11-17 00:44:06","x142332083","RonJohnsonWI","ICYMI: How Ron's campaign used data to beat Senator Feingold. #WISen https://t.co/gENcbcV5j8","Buffer","","","",FALSE,FALSE,6,4,"WISen",NA,"buff.ly/2f0U1Xf","https://t.co/gENcbcV5j8","http://buff.ly/2f0U1Xf","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x799002353173221376","2016-11-16 21:33:00","x142332083","RonJohnsonWI","""Johnson had the benefit of a sophisticated data operation inherited from the state’s GOP Gov. @ScottWalker"" #WISen https://t.co/YsfHI8niyk","Buffer","","","",FALSE,FALSE,8,1,"WISen",NA,"buff.ly/2fWBNXP","https://t.co/YsfHI8niyk","http://buff.ly/2fWBNXP","","","","","","","",NA,"x33750798","ScottWalker","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x798955800186081280","2016-11-16 18:28:01","x142332083","RonJohnsonWI","Read: How Ron's campaign used data to beat Senator Feingold. #WISen https://t.co/h7Og1sHv7F","Buffer","","","",FALSE,FALSE,6,4,"WISen",NA,"buff.ly/2fFXmMY","https://t.co/h7Og1sHv7F","http://buff.ly/2fFXmMY","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x797967163592216576","2016-11-14 00:59:31","x142332083","RonJohnsonWI","Congratulations to Wisconsin's own @Reince! Great hire by @realDonaldTrump  - RJ","Twitter for iPhone","","","",FALSE,FALSE,66,23,"",NA,"","","","","","","","","","",NA,"x20733972 25073877","Reince realDonaldTrump","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x797478809675120641","2016-11-12 16:38:59","x142332083","RonJohnsonWI","Ran into @scottwalker at Epcot Center. Great to relax with friends &amp; family after a hard-fought victory! https://t.co/5gTb7O3DAY","Twitter for iPhone","","","",FALSE,FALSE,118,32,"",NA,"","","","http://pbs.twimg.com/media/CxE2vjFUoAAigpB.jpg","https://t.co/5gTb7O3DAY","https://twitter.com/RonJohnsonWI/status/797478809675120641/photo/1","photo","http://pbs.twimg.com/media/CxE2vjFUoAAigpB.jpg","https://t.co/5gTb7O3DAY","https://twitter.com/RonJohnsonWI/status/797478809675120641/photo/1",NA,"x33750798","ScottWalker","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x796505883530366976","2016-11-10 00:12:55","x142332083","RonJohnsonWI","Thank you, Wisconsin! #TeamRonJon #WISen https://t.co/z6JXtH3f3a","Twitter for iPhone","","","",FALSE,FALSE,207,54,"TeamRonJon WISen",NA,"","","","http://pbs.twimg.com/media/Cw3B38WVIAA9KDa.jpg","https://t.co/z6JXtH3f3a","https://twitter.com/RonJohnsonWI/status/796505883530366976/photo/1","photo","http://pbs.twimg.com/media/Cw3B38WVIAA9KDa.jpg","https://t.co/z6JXtH3f3a","https://twitter.com/RonJohnsonWI/status/796505883530366976/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x796171948912996352","2016-11-09 02:05:59","x142332083","RonJohnsonWI","Polls are closed now in WI -- but if you're still in line, stay in line!","TweetDeck","","","",FALSE,FALSE,59,32,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x796166173910069249","2016-11-09 01:43:02","x142332083","RonJohnsonWI","Ron is working to keep us safe. Now, he needs your support. #TeamRonJon #WISen https://t.co/lcOOweMgWq","Buffer","","","",FALSE,FALSE,13,5,"TeamRonJon WISen",NA,"","","","http://pbs.twimg.com/tweet_video_thumb/CwyM6eGWgAIsvK7.jpg","https://t.co/lcOOweMgWq","https://twitter.com/RonJohnsonWI/status/796166173910069249/photo/1","photo","http://pbs.twimg.com/tweet_video_thumb/CwyM6eGWgAIsvK7.jpg","https://t.co/lcOOweMgWq","https://twitter.com/RonJohnsonWI/status/796166173910069249/photo/1",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
