"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970804425357955072","2018-03-05 23:33:06","x2955485182","SenatorRounds","I'll be live with Ian on @KOTARadio in about 15 mins. Tune in! https://t.co/PXoNrumjxf","Twitter Web Client","","","",FALSE,FALSE,2,1,"",NA,"kotaradio.com","https://t.co/PXoNrumjxf","http://www.kotaradio.com","","","","","","","",NA,"x2314378668","KOTARadio","en","","","","","","","","","","",NA,NA,""
"x966316098542030848","2018-02-21 14:18:05","x2955485182","SenatorRounds","Joined 25 senators in sending letter to @POTUS urging him to re-engage in Trans-Pacific Partnership (TPP) trade negotiations. Letter here: https://t.co/Mw5MxLQvSL","Twitter Web Client","","","",FALSE,FALSE,12,11,"",NA,"rounds.senate.gov/newsroom/press…","https://t.co/Mw5MxLQvSL","https://www.rounds.senate.gov/newsroom/press-releases/rounds-colleagues-urge-president-to-re-engage-in-tpp-","","","","","","","",NA,"x822215679726100480","POTUS","en","","","","","","","","","","",NA,NA,""
"x966066941591990272","2018-02-20 21:48:02","x2955485182","SenatorRounds","Thanks to @FRCdc for presenting me with the True Blue award. I’ll continue working to advance religious liberty and pro-life issues that are important to many South Dakota families https://t.co/SDC390oJAJ","Twitter for iPhone","","","",FALSE,FALSE,9,3,"",NA,"","","","http://pbs.twimg.com/media/DWgowZAWkAEv4FL.jpg","https://t.co/SDC390oJAJ","https://twitter.com/SenatorRounds/status/966066941591990272/photo/1","photo","http://pbs.twimg.com/media/DWgowZAWkAEv4FL.jpg","https://t.co/SDC390oJAJ","https://twitter.com/SenatorRounds/status/966066941591990272/photo/1",NA,"x18163042","FRCdc","en","","","","","","","","","","",NA,NA,""
"x965579472731824131","2018-02-19 13:31:00","x2955485182","SenatorRounds","I hope everyone is enjoying #PresidentsDay2018! Today we commemorate all of our past presidents, especially President George Washington, the father of our country. https://t.co/jjXW74dX2D","TweetDeck","","","",FALSE,FALSE,68,17,"PresidentsDay2018",NA,"","","","http://pbs.twimg.com/media/DWL6IHpXUAYbRgL.jpg","https://t.co/jjXW74dX2D","https://twitter.com/SenatorRounds/status/965579472731824131/photo/1","photo","http://pbs.twimg.com/media/DWL6IHpXUAYbRgL.jpg","https://t.co/jjXW74dX2D","https://twitter.com/SenatorRounds/status/965579472731824131/photo/1",NA,"","","en","","","","","","","","","","",NA,NA,""
"x964292271612022785","2018-02-16 00:16:07","x2955485182","SenatorRounds","I will continue to work with my colleagues to get results on pragmatic reforms to our border security and #immigration systems. Getting results is what you sent me here to do, and that’s what I intend to do. https://t.co/kS707Se59B","Twitter Web Client","","","",FALSE,FALSE,34,17,"immigration",NA,"rounds.senate.gov/newsroom/weekl…","https://t.co/kS707Se59B","https://www.rounds.senate.gov/newsroom/weekly-column/with-border-security-im-focused-on-results-","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x963991003433721856","2018-02-15 04:18:59","x2955485182","SenatorRounds","Introduced bipartisan legislation w/ @SenAngusKing and 15 others to provide $25 billion for enhanced border security, permanently fix DACA and begin making much-needed changes to our broken immigration system. My full statement: https://t.co/PEjrqMNKMO","Twitter for iPhone","","","",FALSE,FALSE,39,17,"",NA,"","","","http://pbs.twimg.com/media/DWDIs60VAAAEEk9.jpg","https://t.co/PEjrqMNKMO","https://twitter.com/SenatorRounds/status/963991003433721856/photo/1","photo","http://pbs.twimg.com/media/DWDIs60VAAAEEk9.jpg","https://t.co/PEjrqMNKMO","https://twitter.com/SenatorRounds/status/963991003433721856/photo/1",NA,"x1068481578","SenAngusKing","en","","","","","","","","","","",NA,NA,""
"x963911548166078464","2018-02-14 23:03:16","x2955485182","SenatorRounds","Our thoughts and prayers go out to the families of the victims &amp; all those impacted by today's senseless shooting in Florida. #PrayersforFlorida","Twitter Web Client","","","",FALSE,FALSE,23,11,"PrayersforFlorida",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
"x963519072532160512","2018-02-13 21:03:42","x2955485182","SenatorRounds","Chaired a @SASCMajority #CyberSecurity Subcommittee hearing today to discuss the DoD's role in protecting democratic elections. DoD has important role to play in challenging &amp; influencing the mindset of our cyber adversaries and defending U.S. from attacks. https://t.co/cHuuGpme5p","Twitter Web Client","","","",FALSE,FALSE,7,6,"CyberSecurity",NA,"","","","http://pbs.twimg.com/ext_tw_video_thumb/963518248636600321/pu/img/yFC2koONO_4H5RDX.jpg","https://t.co/cHuuGpme5p","https://twitter.com/SenatorRounds/status/963519072532160512/video/1","photo","http://pbs.twimg.com/ext_tw_video_thumb/963518248636600321/pu/img/yFC2koONO_4H5RDX.jpg","https://t.co/cHuuGpme5p","https://twitter.com/SenatorRounds/status/963519072532160512/video/1",NA,"x275572403","SASCMajority","en","","","","","","","","","","",NA,NA,""
"x963494194806427648","2018-02-13 19:24:51","x2955485182","SenatorRounds","Headed to @SASCMajority to chair a Cyber Subcommittee hearing on @DeptofDefense role in protecting democratic elections. Tune in here: https://t.co/PuFndbuDxX","Twitter Web Client","","","",FALSE,FALSE,7,6,"",NA,"armed-services.senate.gov/hearings/18-02…","https://t.co/PuFndbuDxX","https://www.armed-services.senate.gov/hearings/18-02-13-department-of-defenses-role-in-protecting-democratic-elections","","","","","","","",NA,"x275572403 66369181","SASCMajority DeptofDefense","en","","","","","","","","","","",NA,NA,""
"x963421568897617920","2018-02-13 14:36:16","x2955485182","SenatorRounds","We continue to see the benefits of #TaxReform: nearly 350 companies have announced bonuses or other benefits to more than 3.5 million Americans. #TaxCutsandJobsAct #healthyeconomy","Twitter Web Client","","","",FALSE,FALSE,6,6,"TaxReform TaxCutsandJobsAct healthyeconomy",NA,"","","","","","","","","","",NA,"","","en","","","","","","","","","","",NA,NA,""
