"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x970785438519742465","2018-03-05 22:17:39","x18915145","senrobportman","Pleased to join my friend @SenatorCardin at @AIPAC to discuss the Israel Anti-Boycott Act, critical bipartisan legislation to prevent unfair targeting of our ally Israel. #AIPAC2018 https://t.co/DpU5XWtLl9","TweetDeck","","","",FALSE,FALSE,9,7,"AIPAC2018",NA,"","","","http://pbs.twimg.com/media/DXjsKWYVQAAW4Tx.jpg","https://t.co/DpU5XWtLl9","https://twitter.com/senrobportman/status/970785438519742465/photo/1","photo","http://pbs.twimg.com/media/DXjsKWYVQAAW4Tx.jpg","https://t.co/DpU5XWtLl9","https://twitter.com/senrobportman/status/970785438519742465/photo/1",NA,"x109071031 15987296","SenatorCardin AIPAC","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970765394016374786","2018-03-05 20:58:00","x18915145","senrobportman","My bipartisan #STOPAct would help stop stories like this of fentanyl coming into our communities and fueling the #opioidcrisis. We need to pass the #STOPAct now.
https://t.co/iHPIws9GkQ","TweetDeck","","","",FALSE,FALSE,10,10,"STOPAct opioidcrisis STOPAct",NA,"cleveland.com/court-justice/…","https://t.co/iHPIws9GkQ","http://www.cleveland.com/court-justice/index.ssf/2018/03/akron_couple_led_operation_to.html","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970728154301124608","2018-03-05 18:30:01","x18915145","senrobportman","We continue to see real, tangible results from #taxreform across #Ohio with businesses like @Worldpay_Global raising wages and benefits. Tax reform is having a real impact https://t.co/X9FOKGDWka","TweetDeck","","","",FALSE,FALSE,10,8,"taxreform Ohio",NA,"bit.ly/2I0LROq","https://t.co/X9FOKGDWka","http://bit.ly/2I0LROq","","","","","","","",NA,"x106115785","Worldpay_Global","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970717327489683457","2018-03-05 17:47:00","x18915145","senrobportman",".@Worldpay_Global is another #Ohio-based company using the money saved from #taxreform to increase pay for its workers, reinvest, and give back to the community https://t.co/X9FOKGDWka","TweetDeck","","","",FALSE,FALSE,11,9,"Ohio taxreform",NA,"bit.ly/2I0LROq","https://t.co/X9FOKGDWka","http://bit.ly/2I0LROq","","","","","","","",NA,"x106115785","Worldpay_Global","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970714654115860481","2018-03-05 17:36:23","x18915145","senrobportman","On Friday, I joined @Worldpay_Global for their announcement of higher wages &amp; expanded benefits for employees thanks to #taxreform https://t.co/X9FOKGDWka","TweetDeck","","","",FALSE,FALSE,6,5,"taxreform",NA,"bit.ly/2I0LROq","https://t.co/X9FOKGDWka","http://bit.ly/2I0LROq","","","","","","","",NA,"x106115785","Worldpay_Global","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970382621367824384","2018-03-04 19:37:00","x18915145","senrobportman","#CARA2 increases opioid funding, limits opioid prescriptions to three days &amp; bolsters fight against the #opioidcrisis https://t.co/u31ooTz8Aj","TweetDeck","","","",FALSE,FALSE,19,6,"CARA2 opioidcrisis",NA,"bit.ly/2CLvVeZ","https://t.co/u31ooTz8Aj","http://bit.ly/2CLvVeZ","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970367522087362560","2018-03-04 18:37:00","x18915145","senrobportman","The #opioidcrisis is having a devastating impact on #Ohio communities, families, local budgets, the criminal justice system &amp; more. We must take a more aggressive role at the national level to help turn the tide. #STOPAct #CARA2","TweetDeck","","","",FALSE,FALSE,20,10,"opioidcrisis Ohio STOPAct CARA2",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970352423477882883","2018-03-04 17:37:00","x18915145","senrobportman","More #jobs. Higher wages. Bonuses. Better benefits. More charitable giving. This is what @Worldpay_Global announced on Friday thanks to #taxreform https://t.co/X9FOKGDWka","TweetDeck","","","",FALSE,FALSE,16,10,"jobs taxreform",NA,"bit.ly/2I0LROq","https://t.co/X9FOKGDWka","http://bit.ly/2I0LROq","","","","","","","",NA,"x106115785","Worldpay_Global","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970337323161399297","2018-03-04 16:37:00","x18915145","senrobportman","Great news! The @WhiteHouse endorsed #SESTA earlier this week! It’s time for the Senate to act so we can hold criminals accountable while providing justice for victims of sex trafficking https://t.co/02eCrjIypa #CDA230","TweetDeck","","","",FALSE,FALSE,79,43,"SESTA CDA230",NA,"bit.ly/2oJ2HZg","https://t.co/02eCrjIypa","http://bit.ly/2oJ2HZg","","","","","","","",NA,"x822215673812119553","WhiteHouse","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"x970322223390183425","2018-03-04 15:37:00","x18915145","senrobportman","Pleased to the House passed legislation to help stop online sex trafficking this week. It’s time for the Senate to act and hold these online sex traffickers accountable. #SESTA #CDA230 https://t.co/jpnvfsiQab","TweetDeck","","","",FALSE,FALSE,35,11,"SESTA CDA230",NA,"bit.ly/2FDEKL6","https://t.co/jpnvfsiQab","http://bit.ly/2FDEKL6","","","","","","","",NA,"","","en","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
