"Mention","Frequency","screen_name"
"HouseGOP",312,"BettyMcCollum04"
"realDonaldTrump",276,"BettyMcCollum04"
"HouseDemocrats",66,"BettyMcCollum04"
"SpeakerRyan",27,"BettyMcCollum04"
"EPA",23,"BettyMcCollum04"
"POTUS",23,"BettyMcCollum04"
"SenateGOP",20,"BettyMcCollum04"
"NatlParkService",17,"BettyMcCollum04"
"EPAScottPruitt",15,"BettyMcCollum04"
"AppropsDems",14,"BettyMcCollum04"
"cspan",14,"BettyMcCollum04"
"Interior",11,"BettyMcCollum04"
"USCBO",11,"BettyMcCollum04"
"GovMarkDayton",10,"BettyMcCollum04"
"UMNews",10,"BettyMcCollum04"
"UofStThomasMN",10,"BettyMcCollum04"
"Macalester",9,"BettyMcCollum04"
"MNNationalGuard",9,"BettyMcCollum04"
"MNRRA",9,"BettyMcCollum04"
"NCAI1944",9,"BettyMcCollum04"
"FCC",8,"BettyMcCollum04"
"DalaiLama",7,"BettyMcCollum04"
"HallieQBrownCtr",7,"BettyMcCollum04"
"SecretaryJewell",7,"BettyMcCollum04"
"SecretaryZinke",7,"BettyMcCollum04"
"MinnesotaDHS",6,"BettyMcCollum04"
"MPRnews",6,"BettyMcCollum04"
"NEHgov",6,"BettyMcCollum04"
"PioneerPress",6,"BettyMcCollum04"
"SenFranken",6,"BettyMcCollum04"
"amyklobuchar",5,"BettyMcCollum04"
"CircusJuventas",5,"BettyMcCollum04"
"facebook",5,"BettyMcCollum04"
"MetroTransitMN",5,"BettyMcCollum04"
"mnstatefair",5,"BettyMcCollum04"
"NPCA",5,"BettyMcCollum04"
"StateDept",5,"BettyMcCollum04"
"tpt",5,"BettyMcCollum04"
"usedgov",5,"BettyMcCollum04"
"BarackObama",4,"BettyMcCollum04"
"forestservice",4,"BettyMcCollum04"
"GallaudetU",4,"BettyMcCollum04"
"girlscouts",4,"BettyMcCollum04"
"humanities",4,"BettyMcCollum04"
"keithellison",4,"BettyMcCollum04"
"Medium",4,"BettyMcCollum04"
"MomsDemand",4,"BettyMcCollum04"
"NancyPelosi",4,"BettyMcCollum04"
"NASA",4,"BettyMcCollum04"
"NEAarts",4,"BettyMcCollum04"
"nytimes",4,"BettyMcCollum04"
"PPFA",4,"BettyMcCollum04"
"RepRaulGrijalva",4,"BettyMcCollum04"
"savethebwca",4,"BettyMcCollum04"
"sciencemuseummn",4,"BettyMcCollum04"
"SenateDems",4,"BettyMcCollum04"
"SmithsonianFolk",4,"BettyMcCollum04"
"StKate",4,"BettyMcCollum04"
"stpaullibrary",4,"BettyMcCollum04"
