"Hashtag","Frequency","screen_name"
"budget",7,"BlumenauerMedia"
"p2",5,"BlumenauerMedia"
"PIPA",5,"BlumenauerMedia"
"SOPA",5,"BlumenauerMedia"
"tlot",4,"BlumenauerMedia"
"GOP",3,"BlumenauerMedia"
"ACA",2,"BlumenauerMedia"
"CleanEnergy",2,"BlumenauerMedia"
"CPB",2,"BlumenauerMedia"
"jobs",2,"BlumenauerMedia"
"NPR",2,"BlumenauerMedia"
"Portland",2,"BlumenauerMedia"
"preservation",2,"BlumenauerMedia"
"Topline",2,"BlumenauerMedia"
"2010Census",1,"BlumenauerMedia"
"2012EnviroScorecard",1,"BlumenauerMedia"
"aarp",1,"BlumenauerMedia"
"ActOnClimate",1,"BlumenauerMedia"
"Afghanistan",1,"BlumenauerMedia"
"Art",1,"BlumenauerMedia"
"BigOil",1,"BlumenauerMedia"
"bikes",1,"BlumenauerMedia"
"bipartisan",1,"BlumenauerMedia"
"BP",1,"BlumenauerMedia"
"Budget",1,"BlumenauerMedia"
"Enbridge",1,"BlumenauerMedia"
"energy",1,"BlumenauerMedia"
"fendforfarmworkers",1,"BlumenauerMedia"
"Gibson",1,"BlumenauerMedia"
"GMOs",1,"BlumenauerMedia"
"hcr",1,"BlumenauerMedia"
"HPM",1,"BlumenauerMedia"
"IMPACT",1,"BlumenauerMedia"
"iran",1,"BlumenauerMedia"
"jobsspeech",1,"BlumenauerMedia"
"LaceyAct",1,"BlumenauerMedia"
"Libya",1,"BlumenauerMedia"
"marijuana",1,"BlumenauerMedia"
"MSNBC",1,"BlumenauerMedia"
"NDAA",1,"BlumenauerMedia"
"NSA",1,"BlumenauerMedia"
"nuclear",1,"BlumenauerMedia"
"nwehc",1,"BlumenauerMedia"
"Obama",1,"BlumenauerMedia"
"oilspill",1,"BlumenauerMedia"
"OR",1,"BlumenauerMedia"
"pbs",1,"BlumenauerMedia"
"PollinatorWeek",1,"BlumenauerMedia"
"RCTID",1,"BlumenauerMedia"
"SafeClimateCaucus",1,"BlumenauerMedia"
"sanctions",1,"BlumenauerMedia"
"shutdown",1,"BlumenauerMedia"
"sjnow",1,"BlumenauerMedia"
"SOTU",1,"BlumenauerMedia"
"TarSands",1,"BlumenauerMedia"
"TopLine",1,"BlumenauerMedia"
"TPM",1,"BlumenauerMedia"
"transpobill",1,"BlumenauerMedia"
"Unions",1,"BlumenauerMedia"
"VAWA",1,"BlumenauerMedia"
"WASH",1,"BlumenauerMedia"
"water",1,"BlumenauerMedia"
"waterday",1,"BlumenauerMedia"
"WorldWaterDay",1,"BlumenauerMedia"
