"Mention","Frequency","screen_name"
"MSNBC",35,"BradSherman"
"FoxNews",25,"BradSherman"
"CNN",22,"BradSherman"
"realDonaldTrump",21,"BradSherman"
"GOP",15,"BradSherman"
"FoxBusiness",14,"BradSherman"
"HillaryClinton",10,"BradSherman"
"POTUS",9,"BradSherman"
"TuckerCarlson",8,"BradSherman"
"cspanwj",7,"BradSherman"
"StateDept",7,"BradSherman"
"JohnKerry",6,"BradSherman"
"MattDababneh",6,"BradSherman"
"ANCA_DC",5,"BradSherman"
"burroughs",5,"BradSherman"
"CFPB",5,"BradSherman"
"Dodgers",5,"BradSherman"
"oreillyfactor",5,"BradSherman"
"BarackObama",4,"BradSherman"
"BBCWorld",4,"BradSherman"
"conanNBCLA",4,"BradSherman"
"cspan",4,"BradSherman"
"FOXLA",4,"BradSherman"
"GDLA",4,"BradSherman"
"greta",4,"BradSherman"
"HFACDemocrats",4,"BradSherman"
"HumaneSociety",4,"BradSherman"
"KNX1070",4,"BradSherman"
"ladailynews",4,"BradSherman"
"march4sciencela",4,"BradSherman"
"SenWarren",4,"BradSherman"
"WSJ",4,"BradSherman"
"AmroliwalaBBC",3,"BradSherman"
"CarolCNN",3,"BradSherman"
"EximBankUS",3,"BradSherman"
"GHCHS_UPDATES",3,"BradSherman"
"HouseGOP",3,"BradSherman"
"ICEgov",3,"BradSherman"
"jdbalart",3,"BradSherman"
"KTLAMorningNews",3,"BradSherman"
"MichaelCohen212",3,"BradSherman"
"NancyPelosi",3,"BradSherman"
"RepAlGreen",3,"BradSherman"
"repjohnlewis",3,"BradSherman"
"SenSanders",3,"BradSherman"
"SenSherrodBrown",3,"BradSherman"
"SpeakerRyan",3,"BradSherman"
"TeamCavuto",3,"BradSherman"
"Twitter",3,"BradSherman"
"UN",3,"BradSherman"
"WhiteHouse",3,"BradSherman"
"1PM",2,"BradSherman"
"2pm",2,"BradSherman"
"ABC7",2,"BradSherman"
"AJCGlobal",2,"BradSherman"
"allinwithchris",2,"BradSherman"
"AymanM",2,"BradSherman"
"BloombergTV",2,"BradSherman"
"BLS_gov",2,"BradSherman"
"Bradybuzz",2,"BradSherman"
"BrookingsFP",2,"BradSherman"
"ChristinaKTLA",2,"BradSherman"
