"Hashtag","Frequency","screen_name"
"MD02",194,"Call_Me_Dutch"
"TeamDutch",105,"Call_Me_Dutch"
"CISPA",30,"Call_Me_Dutch"
"AskMDDems",24,"Call_Me_Dutch"
"Baltimore",19,"Call_Me_Dutch"
"SOTU",19,"Call_Me_Dutch"
"Trumpcare",19,"Call_Me_Dutch"
"veterans",19,"Call_Me_Dutch"
"AskDems",18,"Call_Me_Dutch"
"RavensNation",15,"Call_Me_Dutch"
"baltimore",13,"Call_Me_Dutch"
"Dundalk",13,"Call_Me_Dutch"
"Maryland",13,"Call_Me_Dutch"
"md02",13,"Call_Me_Dutch"
"cyber",12,"Call_Me_Dutch"
"cybersecurity",12,"Call_Me_Dutch"
"GOPTaxScam",11,"Call_Me_Dutch"
"bipartisan",10,"Call_Me_Dutch"
"StateOfTheUnion",10,"Call_Me_Dutch"
"SuperBowl",10,"Call_Me_Dutch"
"EndBulkData",8,"Call_Me_Dutch"
"ACA",7,"Call_Me_Dutch"
"aletrail",7,"Call_Me_Dutch"
"ISIS",7,"Call_Me_Dutch"
"Ravens",7,"Call_Me_Dutch"
"STEM",7,"Call_Me_Dutch"
"EagleScout",6,"Call_Me_Dutch"
"EarthDay",6,"Call_Me_Dutch"
"jobs",6,"Call_Me_Dutch"
"MLK",6,"Call_Me_Dutch"
"NatSecForum",6,"Call_Me_Dutch"
"shutdown",6,"Call_Me_Dutch"
"bipartisanship",5,"Call_Me_Dutch"
"GetCovered",5,"Call_Me_Dutch"
"Medicaid",5,"Call_Me_Dutch"
"NSA",5,"Call_Me_Dutch"
"PurpleFriday",5,"Call_Me_Dutch"
"Randallstown",5,"Call_Me_Dutch"
"Ravensnation",5,"Call_Me_Dutch"
"SCOTUS",5,"Call_Me_Dutch"
"SparrowsPoint",5,"Call_Me_Dutch"
"techtrek",5,"Call_Me_Dutch"
"BRAC",4,"Call_Me_Dutch"
"DisarmHate",4,"Call_Me_Dutch"
"EqualPayDay",4,"Call_Me_Dutch"
"healthcare",4,"Call_Me_Dutch"
"hero",4,"Call_Me_Dutch"
"HowardCounty",4,"Call_Me_Dutch"
"orioles",4,"Call_Me_Dutch"
"Orioles",4,"Call_Me_Dutch"
