"Mention","Frequency","screen_name"
"MSNBC",25,"Clyburn"
"HouseDemocrats",22,"Clyburn"
"UofSC",20,"Clyburn"
"Clyburn",18,"Clyburn"
"chucktodd",17,"Clyburn"
"repjohnlewis",17,"Clyburn"
"HouseGOP",15,"Clyburn"
"BarackObama",14,"Clyburn"
"NancyPelosi",14,"Clyburn"
"mitchellreports",10,"Clyburn"
"Morning_Joe",10,"Clyburn"
"morningmika",10,"Clyburn"
"WhipHoyer",10,"Clyburn"
"edshow",9,"Clyburn"
"GamecockWBB",9,"Clyburn"
"fema",8,"Clyburn"
"dailyrundown",7,"Clyburn"
"dawnstaley",7,"Clyburn"
"RepBecerra",7,"Clyburn"
"rolandsmartin",7,"Clyburn"
"JoeNBC",6,"Clyburn"
"RepJohnLarson",6,"Clyburn"
"SpeakerRyan",6,"Clyburn"
"tamronhall",6,"Clyburn"
"TheRevAl",6,"Clyburn"
"wolfblitzer",6,"Clyburn"
"BennieGThompson",5,"Clyburn"
"CNN",5,"Clyburn"
"NewsNation",5,"Clyburn"
"OfficialCBC",5,"Clyburn"
"POTUS",5,"Clyburn"
"repcleaver",5,"Clyburn"
"RepRichmond",5,"Clyburn"
"SpeakerBoehner",5,"Clyburn"
"ChrisVanHollen",4,"Clyburn"
"DHSgov",4,"Clyburn"
"GamecockMBB",4,"Clyburn"
"hardball",4,"Clyburn"
"HouseDems",4,"Clyburn"
"MeetThePress",4,"Clyburn"
"NAACP",4,"Clyburn"
"nikkihaley",4,"Clyburn"
"postandcourier",4,"Clyburn"
"RepBrady",4,"Clyburn"
"repjoecrowley",4,"Clyburn"
"RepJohnConyers",4,"Clyburn"
"RepMarciaFudge",4,"Clyburn"
"SCSTATE1896",4,"Clyburn"
"brookebrower",3,"Clyburn"
"chiksdigscars",3,"Clyburn"
"CNNSitRoom",3,"Clyburn"
"DelegateDonna",3,"Clyburn"
"GOP",3,"Clyburn"
"HuffingtonPost",3,"Clyburn"
"JacksonLeeTX18",3,"Clyburn"
"NatlParkService",3,"Clyburn"
"NewDay",3,"Clyburn"
"NMAAHC",3,"Clyburn"
"RepAndreCarson",3,"Clyburn"
"RepBarbaraLee",3,"Clyburn"
"repdonnaedwards",3,"Clyburn"
"RepTerriSewell",3,"Clyburn"
"RepWilson",3,"Clyburn"
"Scotus",3,"Clyburn"
"SteveBenjaminSC",3,"Clyburn"
"thestate",3,"Clyburn"
"VP",3,"Clyburn"
"wearegolf",3,"Clyburn"
"WhiteHouse",3,"Clyburn"
"YouTube",3,"Clyburn"
"Act_Victorious",2,"Clyburn"
"allenu",2,"Clyburn"
"AmbassadorRice",2,"Clyburn"
"AmeriCorps",2,"Clyburn"
"Amfix",2,"Clyburn"
"askgeorge",2,"Clyburn"
"CapehartJ",2,"Clyburn"
"ChrisJansing",2,"Clyburn"
"CityofColumbia",2,"Clyburn"
"cspan",2,"Clyburn"
"DWStweets",2,"Clyburn"
"Eugene_Robinson",2,"Clyburn"
"francismarionu",2,"Clyburn"
"GregoryMeeks",2,"Clyburn"
"gwenifill",2,"Clyburn"
"hardball_chris",2,"Clyburn"
"HarrisPastides",2,"Clyburn"
"HouseFloor",2,"Clyburn"
"JansingCo",2,"Clyburn"
"Kateharpootlian",2,"Clyburn"
"MartinBashir",2,"Clyburn"
"MelWattNC12",2,"Clyburn"
"MichelleObama",2,"Clyburn"
"MorningJoe",2,"Clyburn"
"NationalService",2,"Clyburn"
"NatUrbanLeague",2,"Clyburn"
"nytimes",2,"Clyburn"
"repbobbyscott",2,"Clyburn"
"RepCummings",2,"Clyburn"
"RepEBJ",2,"Clyburn"
"RepJeffries",2,"Clyburn"
"RepJoeCourtney",2,"Clyburn"
"RepJudyChu",2,"Clyburn"
"RepKathyHochul",2,"Clyburn"
"RepLindaSanchez",2,"Clyburn"
"RepLujanGrisham",2,"Clyburn"
"RepNormDicks",2,"Clyburn"
"SCEMD",2,"Clyburn"
"SCETV",2,"Clyburn"
"senate_gops",2,"Clyburn"
"SenateMajLdr",2,"Clyburn"
"smithsonian",2,"Clyburn"
"StephenAtHome",2,"Clyburn"
"TheLBJSchool",2,"Clyburn"
"ThomasARoberts",2,"Clyburn"
"tvonetv",2,"Clyburn"
"UConn",2,"Clyburn"
"UTAustin",2,"Clyburn"
"wachfox",2,"Clyburn"
"WeGotEd",2,"Clyburn"
"WINGSforKids",2,"Clyburn"
"wis10",2,"Clyburn"
"WLTX",2,"Clyburn"
"woodhouseb",2,"Clyburn"
"_AABE",1,"Clyburn"
"_ajawilson22",1,"Clyburn"
"1001WVOC",1,"Clyburn"
"ABAesq",1,"Clyburn"
"AFLCIO",1,"Clyburn"
"AllenUniv",1,"Clyburn"
"anthonyfoxx",1,"Clyburn"
"AntiquitiesAct",1,"Clyburn"
"AprilDRyan",1,"Clyburn"
"ArethaFranklin",1,"Clyburn"
"ASALH",1,"Clyburn"
"AshlyeV",1,"Clyburn"
"ATT",1,"Clyburn"
"awidercircle",1,"Clyburn"
"BashirLive",1,"Clyburn"
"BCRIorg",1,"Clyburn"
"BenedictEDU",1,"Clyburn"
"BoltonWarren",1,"Clyburn"
"bridgettfrey",1,"Clyburn"
"BrownUniversity",1,"Clyburn"
"BuzzAtTheState",1,"Clyburn"
"CAPAC",1,"Clyburn"
"CapitolPolice",1,"Clyburn"
"carmeloanthony",1,"Clyburn"
"cbrangel",1,"Clyburn"
"CCUChanticleers",1,"Clyburn"
"chadwickboseman",1,"Clyburn"
"chakafattah",1,"Clyburn"
"chelseaostebo",1,"Clyburn"
"ChildrensTrustS",1,"Clyburn"
"Chull62068Carol",1,"Clyburn"
"ClaflinUniv1869",1,"Clyburn"
"ClemsonFB",1,"Clyburn"
"CloseUp_DC",1,"Clyburn"
"clownejd",1,"Clyburn"
"CNBC",1,"Clyburn"
"cnnam",1,"Clyburn"
"CNNSotu",1,"Clyburn"
"Cody_Dorsey",1,"Clyburn"
"ColaFireflies",1,"Clyburn"
"CollegeGameDay",1,"Clyburn"
"common",1,"Clyburn"
"CommonCause",1,"Clyburn"
"CongareeNPS",1,"Clyburn"
"CornellWBrooks",1,"Clyburn"
"CoryBooker",1,"Clyburn"
"CP3",1,"Clyburn"
"craigmelvin",1,"Clyburn"
"csingleton__2",1,"Clyburn"
"DANCEonFOX",1,"Clyburn"
"davidcicilline",1,"Clyburn"
"DCDemocrats",1,"Clyburn"
"DecodingDysSc",1,"Clyburn"
"democracy_21",1,"Clyburn"
"DenmarkTechSC",1,"Clyburn"
"DNLGYMN",1,"Clyburn"
"DrMichaelLomax",1,"Clyburn"
"DwayneWade",1,"Clyburn"
"EACgov",1,"Clyburn"
"eadyl7",1,"Clyburn"
"EdMarkey",1,"Clyburn"
"EdTowns",1,"Clyburn"
"EleanorNorton",1,"Clyburn"
"elijahcummings",1,"Clyburn"
"Empressley",1,"Clyburn"
"espn",1,"Clyburn"
"Esquiremag",1,"Clyburn"
"FaithNPolitics",1,"Clyburn"
"FedAmerHospital",1,"Clyburn"
"finneyk",1,"Clyburn"
"FLOTUS",1,"Clyburn"
"FrankLautenberg",1,"Clyburn"
"FrankMartin_SC",1,"Clyburn"
"FurmanU",1,"Clyburn"
"GamecocksOnline",1,"Clyburn"
"girlscouts",1,"Clyburn"
"GKButterfield",1,"Clyburn"
"governorbentley",1,"Clyburn"
"GUCollegeDems",1,"Clyburn"
"HansenClarke",1,"Clyburn"
"hboydbrown",1,"Clyburn"
"HeadStartgov",1,"Clyburn"
"HealthCareGov",1,"Clyburn"
"HenryWaxman",1,"Clyburn"
"HHSGov",1,"Clyburn"
"HilaryOShelton",1,"Clyburn"
"HispanicCaucus",1,"Clyburn"
"HistColumbia",1,"Clyburn"
"HouseAdm_Dems",1,"Clyburn"
"HUDNews",1,"Clyburn"
"iava",1,"Clyburn"
"JacksonJrOnline",1,"Clyburn"
"JamalSimmons",1,"Clyburn"
"jandoe",1,"Clyburn"
"JCSUniversity",1,"Clyburn"
"jdbalart",1,"Clyburn"
"JDBmsnbc",1,"Clyburn"
"Jeffsnation",1,"Clyburn"
"joejohnscnn",1,"Clyburn"
"john_dingell",1,"Clyburn"
"JohnAvlon",1,"Clyburn"
"JohnCarneyDE",1,"Clyburn"
"JohnKingUSA",1,"Clyburn"
"johnlegend",1,"Clyburn"
"johnlewis",1,"Clyburn"
"JosephNeal3",1,"Clyburn"
"JudiGatson",1,"Clyburn"
"katiecouric",1,"Clyburn"
"KatieMCampbell",1,"Clyburn"
"keithellison",1,"Clyburn"
"KeithOlbermann",1,"Clyburn"
"KingJames",1,"Clyburn"
"KogerCenter",1,"Clyburn"
"larry_kudlow",1,"Clyburn"
"Lawrence",1,"Clyburn"
