"Mention","Frequency","screen_name"
"DonaldNorcross",516,"DonaldNorcross"
"HouseGOP",157,"DonaldNorcross"
"DanaRedd",119,"DonaldNorcross"
"camdencountynj",102,"DonaldNorcross"
"SpeakerRyan",80,"DonaldNorcross"
"HouseDemocrats",68,"DonaldNorcross"
"cpsj",67,"DonaldNorcross"
"CoryBooker",66,"DonaldNorcross"
"CamdenCountyPD",56,"DonaldNorcross"
"repjohnlewis",54,"DonaldNorcross"
"camdencc",51,"DonaldNorcross"
"POTUS",50,"DonaldNorcross"
"RowanUniversity",48,"DonaldNorcross"
"SNJToday",48,"DonaldNorcross"
"CP_Phaedra",47,"DonaldNorcross"
"SenatorMenendez",42,"DonaldNorcross"
"4everinrhearts",39,"DonaldNorcross"
"BattleshipNJ",39,"DonaldNorcross"
"Rutgers_Camden",39,"DonaldNorcross"
"NJTVNews",38,"DonaldNorcross"
"CMDPromiseZone",35,"DonaldNorcross"
"CamCoAddiction",31,"DonaldNorcross"
"edworkforcedems",28,"DonaldNorcross"
"GloucesterCoNJ",28,"DonaldNorcross"
"usedgov",28,"DonaldNorcross"
"NancyPelosi",26,"DonaldNorcross"
"NBCPhiladelphia",26,"DonaldNorcross"
"BillMoen",24,"DonaldNorcross"
"centerffs",24,"DonaldNorcross"
"jointbasemdl",24,"DonaldNorcross"
"RepBonnie",24,"DonaldNorcross"
"USArmy",24,"DonaldNorcross"
"sixers",23,"DonaldNorcross"
"FrankPallone",21,"DonaldNorcross"
"WhipHoyer",21,"DonaldNorcross"
"RepTomMacArthur",20,"DonaldNorcross"
"USNavy",20,"DonaldNorcross"
"CCSNJ",19,"DonaldNorcross"
"RepSires",19,"DonaldNorcross"
"DeptfordTwp",18,"DonaldNorcross"
"njdotcom",18,"DonaldNorcross"
"RepPeteAguilar",18,"DonaldNorcross"
"CityofCamdenGov",17,"DonaldNorcross"
"fema",17,"DonaldNorcross"
"LouisCappelliJr",17,"DonaldNorcross"
"RepSeanMaloney",17,"DonaldNorcross"
"coopersferry",16,"DonaldNorcross"
"LGBTEqCaucus",16,"DonaldNorcross"
"phillydotcom",16,"DonaldNorcross"
"UHLocal54",16,"DonaldNorcross"
"CherryHillTwp",15,"DonaldNorcross"
"NBA",15,"DonaldNorcross"
"NJSenatePres",15,"DonaldNorcross"
"RepBrendanBoyle",15,"DonaldNorcross"
"RepDonaldPayne",15,"DonaldNorcross"
"usairforce",15,"DonaldNorcross"
"AsmBarclay",14,"DonaldNorcross"
"BillPascrell",14,"DonaldNorcross"
"HouseGVP",14,"DonaldNorcross"
"IBEW",14,"DonaldNorcross"
"nj_glassboro",14,"DonaldNorcross"
"BellmawrBorough",13,"DonaldNorcross"
"RepAnnieKuster",13,"DonaldNorcross"
"RowanCollege",13,"DonaldNorcross"
"KIPPNJ",12,"DonaldNorcross"
"PJK4brainhealth",12,"DonaldNorcross"
"realDonaldTrump",12,"DonaldNorcross"
"USDOL",12,"DonaldNorcross"
"USDOT",12,"DonaldNorcross"
"AndyPuzder",11,"DonaldNorcross"
"DeniseNakanoTV",11,"DonaldNorcross"
"glotwp",11,"DonaldNorcross"
"HHSGov",11,"DonaldNorcross"
"RepBrianFitz",11,"DonaldNorcross"
"RUengineering",11,"DonaldNorcross"
"CarlyQRomalino",10,"DonaldNorcross"
"Eagles",10,"DonaldNorcross"
"GloTwpPolice",10,"DonaldNorcross"
"JDSalant",10,"DonaldNorcross"
"MeghanAnomaly",10,"DonaldNorcross"
"MomsDemand",10,"DonaldNorcross"
"NJOHSP",10,"DonaldNorcross"
"PhillyInquirer",10,"DonaldNorcross"
"RepMcKinley",10,"DonaldNorcross"
"uscapitol",10,"DonaldNorcross"
"WhiteHouse",10,"DonaldNorcross"
"AswJones",9,"DonaldNorcross"
"BlueCollarDems",9,"DonaldNorcross"
"BurlcoTimes",9,"DonaldNorcross"
"Everytown",9,"DonaldNorcross"
"HUDgov",9,"DonaldNorcross"
"KatzJCC",9,"DonaldNorcross"
"pamlampitt1",9,"DonaldNorcross"
"PSEGNews",9,"DonaldNorcross"
"RepDebDingell",9,"DonaldNorcross"
"USPS",9,"DonaldNorcross"
"VoorheesTwp",9,"DonaldNorcross"
"ASPCA",8,"DonaldNorcross"
"CBSPhilly",8,"DonaldNorcross"
"ComcastNewsmkrs",8,"DonaldNorcross"
"DeptofDefense",8,"DonaldNorcross"
"holtecintl",8,"DonaldNorcross"
"KennedyHealth",8,"DonaldNorcross"
"MichaelAronNJTV",8,"DonaldNorcross"
"NJ5thLeg",8,"DonaldNorcross"
"ReadyNJ",8,"DonaldNorcross"
"AFLCIO",7,"DonaldNorcross"
"BenSimmons25",7,"DonaldNorcross"
"BGAlliance",7,"DonaldNorcross"
"BldgTrdsUnions",7,"DonaldNorcross"
"CamdenSchools",7,"DonaldNorcross"
"CarliLloyd",7,"DonaldNorcross"
"CooperFdn",7,"DonaldNorcross"
"cspan",7,"DonaldNorcross"
"DeptVetAffairs",7,"DonaldNorcross"
"Devin_Reaves",7,"DonaldNorcross"
"ghelmy",7,"DonaldNorcross"
"GregAdomaitis",7,"DonaldNorcross"
"HouseNewDems",7,"DonaldNorcross"
"KevinMLevy",7,"DonaldNorcross"
"KYWNewsradio",7,"DonaldNorcross"
"LouGreenwald",7,"DonaldNorcross"
"merchantville",7,"DonaldNorcross"
"MichaelPhelps",7,"DonaldNorcross"
"NJLaborDept",7,"DonaldNorcross"
"NJSBDCRutgersC",7,"DonaldNorcross"
"NSF",7,"DonaldNorcross"
"repmarkpocan",7,"DonaldNorcross"
"SocialSecurity",7,"DonaldNorcross"
"TheJusticeDept",7,"DonaldNorcross"
"WinslowTownship",7,"DonaldNorcross"
"6abc",6,"DonaldNorcross"
"Audubon_NJ",6,"DonaldNorcross"
"AviRichler",6,"DonaldNorcross"
"BurlCoNJ",6,"DonaldNorcross"
"ConstitutionCtr",6,"DonaldNorcross"
"DHSgov",6,"DonaldNorcross"
"GabbyGiffords",6,"DonaldNorcross"
"GovChristie",6,"DonaldNorcross"
"magnoliaborough",6,"DonaldNorcross"
"MedicareGov",6,"DonaldNorcross"
"njnaacp",6,"DonaldNorcross"
